# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,name,url
18,"https://www.google.com/maps/place/2001 University Avenue East  Waterloo,ON N2K 4K4",Semi-private,Par 71,"Waterloo, ON",1-888-833-8787,6532,https://www.golfgreysilo.ca,Grey Silo Golf Course,https://www.golfcanada.ca/golf-facility/grey-silo-golf-course-en/
9,"https://www.google.com/maps/place/7100-15 Street SE  Calgary,AB T2H 2Z8",Public,Par 54,"Calgary, AB",4036403555,2160,,Golfuture YYC,https://www.golfcanada.ca/golf-facility/golfuture-yyc-en/
18,"https://www.google.com/maps/place/P.O. Box 4  Gilbert Plains,MB R0L 0X0",Semi-private,Par 71,"Gilbert Plains, MB",(204) 548-2118,6396,https://www.golfgilbertplains.com,Gilbert Plains Country Club,https://www.golfcanada.ca/golf-facility/gilbert-plains-country-club-en/
18,"https://www.google.com/maps/place/Box 1070  Grimshaw,AB T0H 1W0",Public,Par —,"Grimshaw, AB",(780) 332-4949,—,,Creek Golf Course (The) - The Creek,https://www.golfcanada.ca/golf-facility/creek-golf-course-the-the-creek-en/
18,"https://www.google.com/maps/place/Building #136, PO Box 5169, St  Cold Lake,AB T9M 2C3",Public,Par 72,"Cold Lake, AB",(780) 594-5341,6618,https://www.northernspirit-lc.com,Cold Lake Golf & Winter Club,https://www.golfcanada.ca/golf-facility/cold-lake-golf-winter-club-en/
18,R3J 3Y5,Public,Par —,—,—,—,,CFB Winnipeg Golf Course,https://www.golfcanada.ca/golf-facility/cfb-winnipeg-golf-course-en/
18,"https://www.google.com/maps/place/935 Elm Tree Rd 935 Elm Tree Rd Little Britain,ON K0M 2C0",Semi-private,Par 71,"Little Britain, ON",705-878-1010,6493,,Cardinal 18 Golf Club,https://www.golfcanada.ca/golf-facility/cardinal-18-golf-club-en/
18,"https://www.google.com/maps/place/2725 K.L.O. Rd.  Kelowna,BC V1W 4S1",Semi-private,Par 72,"Kelowna, BC",(250) 862-3101,7109,https://harvestgolf.com,Harvest Golf Club,https://www.golfcanada.ca/golf-facility/harvest-golf-club-en/
18,"https://www.google.com/maps/place/Grenadier Island  Rockport,ON K0E 1V0",Private,Par 69,"Rockport, ON",—,6038,https://www.grenadiergolf.com,Grenadier Island Country Club,https://www.golfcanada.ca/golf-facility/grenadier-island-country-club-en/
9,"https://www.google.com/maps/place/1000 Second Line Of Scuggog RR  Port Perry,ON L9L 1B3",Public,Par 72,"Port Perry, ON",(905) 985-9888,6080,,Golfer's Dream Golf Club,https://www.golfcanada.ca/golf-facility/golfers-dream-golf-club-en/
18,"https://www.google.com/maps/place/300 Chemin du Chalet  Montebello,QC J0V 2L0",Public,Par 69,"Montebello, QC",(819) 423-6341,6053,https://www.fairmontgolf.com,Fairmont Le Château Montebello (Club de Golf),https://www.golfcanada.ca/golf-facility/fairmont-le-chateau-montebello-club-de-golf-en/
18,"https://www.google.com/maps/place/P.O. Box 40  Collingwood,ON L9Y 3Z4",Private,Par 71,"Collingwood, ON",(519) 599-9949,7122,https://www.georgianbayclub.com,Georgian Bay Club,https://www.golfcanada.ca/golf-facility/georgian-bay-club-en/
9,"https://www.google.com/maps/place/885 Lake Dr N  Keswick,ON L4P 3E9",Private,Par 68,"Keswick, ON",—,5146,,Eastbourne Golf Club,https://www.golfcanada.ca/golf-facility/eastbourne-golf-club-en/
18,"https://www.google.com/maps/place/2700 2nd Street South PO Box 297 Cranbrook,BC V1C 4N8",Semi-private,Par 72,"Cranbrook, BC",(250) 426-7812,6790,https://www.golfcranbrook.com,Cranbrook Golf Club,https://www.golfcanada.ca/golf-facility/cranbrook-golf-club-en/
9,"https://www.google.com/maps/place/Po Box 629  Raymond,AB T0K 2S0",Public,Par 72,"Raymond, AB",(403) 752-3322,6724,,Hell's Creek Golf and Footgolf Course,https://www.golfcanada.ca/golf-facility/hells-creek-golf-and-footgolf-course-en/
18,T0C 0X0,Public,Par —,—,—,—,,Castor Golf Club,https://www.golfcanada.ca/golf-facility/castor-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 1615  Golden,BC V0A 1H0",Public,Par 72,"Golden, BC",(250) 344-2700,6825,https://www.golfgolden.com,Golden Golf Club,https://www.golfcanada.ca/golf-facility/golden-golf-club-en/
18,"https://www.google.com/maps/place/55 Fraser Avenue  Oromocto,NB E2V 4R6",Public,Par 71,"Oromocto, NB",(506) 357-9343,6104,,Gage Golf & Curling Club,https://www.golfcanada.ca/golf-facility/gage-golf-curling-club-en/
18,"https://www.google.com/maps/place/Highway 53, PO Box 588  Forestburg,AB T0B 1N0",Public,Par —,"Forestburg, AB",(780) 582-3693,—,,Forestburg Golf Club,https://www.golfcanada.ca/golf-facility/forestburg-golf-club-en/
18,"https://www.google.com/maps/place/140 Equinelle Dr  Kemptville,ON K0G 1J0",Semi-private,Par 72,"Kemptville, ON",—,7065,https://equinelle.ca,eQuinelle Golf Club,https://www.golfcanada.ca/golf-facility/equinelle-golf-club-en/
18,"https://www.google.com/maps/place/50549 Range Road 234  Leduc County,AB T4X 0L7",Public,Par 71,"Leduc County, AB",(780) 464-4653,6590,https://www.eaglerockgolf.com,Eagle Rock Golf Course,https://www.golfcanada.ca/golf-facility/eagle-rock-golf-course-en/
18,"https://www.google.com/maps/place/1602 Aaron Road  Castlegar,BC V1N 4L6",Semi-private,Par 72,"Castlegar, BC",2503655006,6712,https://www.golfcastlegar.com,Castlegar Golf Club,https://www.golfcanada.ca/golf-facility/castlegar-golf-club-en/
18,T0C 2P0,Public,Par —,—,—,—,,Green Hills Golf and Winter Club,https://www.golfcanada.ca/golf-facility/green-hills-golf-and-winter-club-en/
18,"https://www.google.com/maps/place/RR # 2  Brookfield,NS B0N 1C0",Public,Par 70,"Brookfield, NS",(902) 673-3352,5597,,Brookfield Golf & Country Club Ltd,https://www.golfcanada.ca/golf-facility/brookfield-golf-country-club-ltd-en/
36,"https://www.google.com/maps/place/21770 Ladner Rd  Pitt Meadows,BC V3Y 1Z1",Public,,"Pitt Meadows, BC",6044601111,,,Golden Eagle Golf Club,https://www.golfcanada.ca/golf-facility/golden-eagle-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 239  Gabriola Island,BC V0R 1X0",Public,Par 71,"Gabriola Island, BC",(250) 247-8822,5705,https://www.gabriolagolf.com,Gabriola Golf & Country Club,https://www.golfcanada.ca/golf-facility/gabriola-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 425  Dawson Creek,BC V1G 4H3",Public,Par 72,"Dawson Creek, BC",(250) 843-7774,6493,https://www.farmingtonfairways.com,Farmington Fairways Ltd,https://www.golfcanada.ca/golf-facility/farmington-fairways-ltd-en/
18,"https://www.google.com/maps/place/1226 Concession 10 N Nottawasaga Rd  Duntroon,ON L0M 1H0",Semi-private,Par 71,"Duntroon, ON",(705) 445-3554,5864,,Duntroon Highlands Golf Club,https://www.golfcanada.ca/golf-facility/duntroon-highlands-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 1499 PO Box 1499 Sundre,AB T0M 1X0",Semi-private,Par 71,"Sundre, AB",(403)638-2450,6662,https://www.coyotecreekresort.ca,Coyote Creek Golf & RV Resort,https://www.golfcanada.ca/golf-facility/coyote-creek-golf-rv-resort-en/
27,"https://www.google.com/maps/place/523 Carlisle Rd  Carlisle,ON",Public,,"Carlisle, ON",(905) 689-8820,,,Carlisle Golf & Country Club,https://www.golfcanada.ca/golf-facility/carlisle-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 1584, Highway 9 South  Hudson Bay,SK S0E 0Y0",Public,Par —,"Hudson Bay, SK",(306) 865-2100,—,,Hudson Bay Golf Club Inc.,https://www.golfcanada.ca/golf-facility/hudson-bay-golf-club-inc-en/
18,"https://www.google.com/maps/place/8727 Cavendish Road. Route 6  Hunter River,PE C0A 1N0",Public,Par 72,"Hunter River, PE",(902) 963-2488,6874,https://www.greengablesgolf.com,Green Gables Golf Club,https://www.golfcanada.ca/golf-facility/green-gables-golf-club-en/
18,"https://www.google.com/maps/place/1101 Horseshoe Valley Rd - Com  Barrie,ON L4M 4Y8",Public,Par 69,"Barrie, ON",(705) 835-2790,5451,https://horseshoeresort.com,The Valley Club at Horseshoe Valley Resort,https://www.golfcanada.ca/golf-facility/horseshoe-resort-en/
18,"https://www.google.com/maps/place/Clubhouse Drive, PO Box 271  Hartney,MB R0M 0X0",Public,Par 70,"Hartney, MB",(204) 858-2011,5500,,Hartney Golf Club,https://www.golfcanada.ca/golf-facility/hartney-golf-club-en/
18,"https://www.google.com/maps/place/793522 3RD LINE EHS  MONO,ON L9W 5X7",Semi-private,Par 71,"MONO, ON",5199420754,6358,,Hockley Valley Resort,https://www.golfcanada.ca/golf-facility/hockley-valley-resort-en/
9,"https://www.google.com/maps/place/PO Box 155  Balgonie,SK S0G 0E0",Public,Par 72,"Balgonie, SK",(306) 771-2579,5794,,Green Acres Golf Club,https://www.golfcanada.ca/golf-facility/green-acres-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 819  Gold River,BC V0P 1G0",Public,Par 71,"Gold River, BC",(250) 283-7266,5665,,Gold River Golf Club,https://www.golfcanada.ca/golf-facility/gold-river-golf-club-en/
18,"https://www.google.com/maps/place/159291 Highway #10  Dundalk,ON N0C 1B0",Public,Par 72,"Dundalk, ON",(519) 923-9616,6058,,Dunadel Golf Club Ltd.,https://www.golfcanada.ca/golf-facility/dunadel-golf-club-ltd-en/
18,"https://www.google.com/maps/place/7525 Howard Ave, Box 1070 7525 Howard Ave, Box 1070 McGregor,ON N0R 1J0",Public,Par 70,"McGregor, ON",(519) 726-6781,6189,https://www.foxglengolfclub.com,Coachwood Golf and Country Club,https://www.golfcanada.ca/golf-facility/coachwood-golf-and-country-club-en/
36,"https://www.google.com/maps/place/105 S Pelham Rd  Welland,ON L3B 5N8",Semi-private,,"Welland, ON",(905) 788-1676,,https://www.sparrowlakes.com,Cardinal Lakes Golf Club,https://www.golfcanada.ca/golf-facility/cardinal-lakes-golf-club-en/
18,"https://www.google.com/maps/place/17500 Boul Bécancour  Bécancour,QC G9H 1A4",Semi-private,Par 71,"Bécancour, QC",(819) 233-2699,6028,https://www.golfgodefroy.qc.ca,Godefroy (Club de golf),https://www.golfcanada.ca/golf-facility/godefroy-club-de-golf-en/
18,"https://www.google.com/maps/place/612 Lakeshore Road  Dunnville,ON N1A 2W6",Semi-private,Par 72,"Dunnville, ON",(905) 701-5120,5976,,Freedom Oaks Golf Club,https://www.golfcanada.ca/golf-facility/freedom-oaks-golf-club-en/
27,"https://www.google.com/maps/place/1563 Vandorf Side Rd  Aurora,ON L4G 7C1",Semi-private,,"Aurora, ON",(905) 727-0446,,https://www.westviewgolf.ca,Westview Golf Club,https://www.golfcanada.ca/golf-facility/westview-golf-club-en/
9,—,Private,Par 70,"Elora, ON",—,5624,,Senjan Woods Golf Club,https://www.golfcanada.ca/golf-facility/senjan-woods-golf-club-en/
18,"https://www.google.com/maps/place/3654 Dunrobin Road 3654 Dunrobin Road Woodlawn,ON K0A 3M0",Semi-private,Par 72,"Woodlawn, ON",613-832-7290,6177,https://www.edgewoodlinks.com,Edgewood Links (Golf club),https://www.golfcanada.ca/golf-facility/edgewood-links-golf-club-en/
18,"https://www.google.com/maps/place/2100, Chemin Tour du Lac  Lac Nomininque,QC J0W 1R0",Public,Par 72,"Lac Nomininque, QC",8192783836,6066,,Nominingue (Club de golf),https://www.golfcanada.ca/golf-facility/hotel-nominingue-club-de-golf-et-nominingue-en/
9,"https://www.google.com/maps/place/8286 Hornby  Hornby,ON L0P 1E0",Public,Par 72,"Hornby, ON",888-833-8787,6655,,Hornby Glen Golf Course,https://www.golfcanada.ca/golf-facility/hornby-glen-golf-course-en/
18,"https://www.google.com/maps/place/841 Chemin des Pins  Trois-Rivières,QC G8W 2K1",Semi-private,Par 72,"Trois-Rivières, QC",(819) 378-2819,6548,https://www.golfdumoulin.ca,Du Moulin (Club de Golf),https://www.golfcanada.ca/golf-facility/du-moulin-club-de-golf-en/
18,"https://www.google.com/maps/place/420 Southborough Dr 420 Southborough Dr West Vancouver,BC V7S 1M2",Private,Par 70,"West Vancouver, BC",(604) 922-9331,6708,https://www.capilanogolf.com,Capilano Golf & Country Club,https://www.golfcanada.ca/golf-facility/capilano-golf-country-club-en/
18,"https://www.google.com/maps/place/555 Moneta Avenue PO Box 1800 555 Moneta Avenue PO Box 1800 Timmins,ON P4N 7W9",Semi-private,Par 72,"Timmins, ON",705-264-8450,6420,,Hollinger Golf Club,https://www.golfcanada.ca/golf-facility/hollinger-golf-club-en/
27,"https://www.google.com/maps/place/5700 Terry Fox Way  Mississauga,ON L5V 2W2",Public,Par 72,"Mississauga, ON",(905) 615-4653,6400,,BraeBen Golf Course,https://www.golfcanada.ca/golf-facility/braeben-golf-course-en/
18,"https://www.google.com/maps/place/450 Creed Road  Victoria,BC V9B 6C9",Public,Par 71,"Victoria, BC",—,6603,https://www.highlandpacificgolf.com,Highland Pacific Golf,https://www.golfcanada.ca/golf-facility/highland-pacific-golf-en/
18,"https://www.google.com/maps/place/PO Box 28  Elbow,SK S0H 1J0",Semi-private,Par 71,"Elbow, SK",(306) 854-2300,6300,https://www.harborgolfclub.com,Harbor Golf Club & Resort,https://www.golfcanada.ca/golf-facility/harbor-golf-club-resort-en/
9,"https://www.google.com/maps/place/1792 Hwy 20  Fonthill,ON L0S 1E6",Semi-private,Par —,"Fonthill, ON",905-892-7556,—,,Fox Run Golf Course,https://www.golfcanada.ca/golf-facility/fox-run-golf-course-en/
18,"https://www.google.com/maps/place/Po Box 5017  Drayton Valley,AB T7A 1R3",Public,Par 72,"Drayton Valley, AB",(780) 542-5865,6769,https://www.draytonvalleygolf.com,Drayton Valley Golf Club,https://www.golfcanada.ca/golf-facility/drayton-valley-golf-club-en/
36,"https://www.google.com/maps/place/2740 Davis Dr W  King,ON L7B 0G7",Semi-private,,"King, ON",(905) 841-7378,,,Cardinal Golf Club,https://www.golfcanada.ca/golf-facility/cardinal-golf-club-en/
18,"https://www.google.com/maps/place/422 North Shore Blvd E  Burlington,ON L7T 1W9",Private,Par 70,"Burlington, ON",(905) 634-7726,6553,,Burlington Golf & Country Club,https://www.golfcanada.ca/golf-facility/burlington-golf-country-club-en/
27,"https://www.google.com/maps/place/PO Box 1071  Saskatoon,SK S7K 3M4",Public,,"Saskatoon, SK",—,,,Holiday Park Golf Course,https://www.golfcanada.ca/golf-facility/holiday-park-golf-course-en/
18,"https://www.google.com/maps/place/803 Main Street  Grand Falls,NB E3Z 2W8",Public,Par 72,"Grand Falls, NB",(506) 473-4494,6648,https://ww.grandfallsgolf.nb.ca,Grand Falls Golf Club Inc.,https://www.golfcanada.ca/golf-facility/grand-falls-golf-club-inc-en/
18,"https://www.google.com/maps/place/2053 Boulevard de Douglas  Saint-Georges-de-Malbaie,QC G0C 2X0",Public,Par 72,"Saint-Georges-de-Malbaie, QC",(418) 368-2510,6354,https://www.clubdegolffortprevel.ca,Fort-Prével (Club de Golf),https://www.golfcanada.ca/golf-facility/fort-prevel-club-de-golf-en/
18,"https://www.google.com/maps/place/Box 111 RR2  Westerose,AB T0C 2V0",Public,Par 72,"Westerose, AB",—,6551,,Dorchester Ranch Golf Course,https://www.golfcanada.ca/golf-facility/dorchester-ranch-golf-course-en/
18,"https://www.google.com/maps/place/333 Canora Ave  Canora,SK S0A 0L0",Public,Par 72,"Canora, SK",—,6616,,Canora Golf & Country Club,https://www.golfcanada.ca/golf-facility/canora-golf-country-club-en/
18,"https://www.google.com/maps/place/P. O. Box 2359  Edmonton,AB T5J 2R7",Semi-private,Par 71,"Edmonton, AB",(780) 488-3039,5875,,Victoria Golf Course,https://www.golfcanada.ca/golf-facility/victoria-golf-course-en/
27,"https://www.google.com/maps/place/400 315 Ave  Kimberley,BC V1A 2Y5",Public,,"Kimberley, BC",2504277077,,,Bootleg Gap Golf,https://www.golfcanada.ca/golf-facility/bootleg-gap-golf-en/
9,"https://www.google.com/maps/place/Highway 32  Abbey,SK S0N 0A0",Public,Par —,"Abbey, SK",(306) 689-2479,—,,Abbey Golf Club,https://www.golfcanada.ca/golf-facility/abbey-golf-club-en/
18,"https://www.google.com/maps/place/69 Hamptons Drive NW  Calgary,AB T3A 5H7",Private,Par 72,"Calgary, AB",—,6737,,The Hamptons Golf Club,https://www.golfcanada.ca/golf-facility/the-hamptons-golf-club-en/
18,"https://www.google.com/maps/place/Box 56  Fort Langley,BC V1M 2R5",Public,Par 71,"Fort Langley, BC",6048885911,6410,https://www.fortlangleygolf.com,Fort Langley Golf Course,https://www.golfcanada.ca/golf-facility/fort-langley-golf-course-en/
18,"https://www.google.com/maps/place/10000 Dufferin St  Maple,ON L6A 1S3",Public,Par 72,"Maple, ON",(905) 653-4653,7476,,Eagles Nest Golf Club Inc,https://www.golfcanada.ca/golf-facility/eagles-nest-golf-club-inc-en/
9,"https://www.google.com/maps/place/463 Wolfe Lake Rd. R.R.2  Westport,ON KOG1XO",Public,Par 72,"Westport, ON",(613) 273-6463,6240,https://www.evergreengolfcourse.com,Evergreen Golf Club,https://www.golfcanada.ca/golf-facility/evergreen-golf-club-en/
9,"https://www.google.com/maps/place/359 Rue Notre Dame  Donnacona,QC G3M 1H3",Public,Par 70,"Donnacona, QC",(418) 285-1771,5482,https://www.golfdonnacona.com,Donnacona (Club de golf),https://www.golfcanada.ca/golf-facility/donnacona-club-de-golf-en/
18,"https://www.google.com/maps/place/Box 148  Seaforth,ON N0K 1W0",Semi-private,Par 71,"Seaforth, ON",(519) 522-0985,6276,,Seaforth Golf Course,https://www.golfcanada.ca/golf-facility/seaforth-golf-course-en/
18,"https://www.google.com/maps/place/PO Box 89  La Riviere,MB R0G 1A0",Public,Par —,"La Riviere, MB",(204) 242-2172,—,,Holiday Mountain Golf Course,https://www.golfcanada.ca/golf-facility/holiday-mountain-golf-course-en/
18,R0C 1B0,Public,Par —,—,—,—,,Gimli Golf & Country Club,https://www.golfcanada.ca/golf-facility/gimli-golf-country-club-en/
18,"https://www.google.com/maps/place/221 McLeese Dr  Kemble,ON N0H 1S0",Semi-private,Par 72,"Kemble, ON",(519) 370-2173,7174,,Cobble Beach Golf Links,https://www.golfcanada.ca/golf-facility/cobble-beach-golf-links-en/
18,"https://www.google.com/maps/place/Box 426  Carberry,MB R0K 0H0",Public,Par —,"Carberry, MB",(204) 834-2325,—,,Carberry Sandhills Golf & Country Club,https://www.golfcanada.ca/golf-facility/carberry-sandhills-golf-country-club-en/
9,"https://www.google.com/maps/place/P.O. Box 989  Boissevain,MB R0K 0E0",Public,Par 72,"Boissevain, MB",(204) 534-2365,6576,,Boissevain Golf Club,https://www.golfcanada.ca/golf-facility/boissevain-golf-club-en/
9,"https://www.google.com/maps/place/14432 Township Road 524  Vegreville,AB T9C 1R6",Public,Par 72,"Vegreville, AB",(780) 632-3140,6742,,Vegreville Golf Club,https://www.golfcanada.ca/golf-facility/vegreville-golf-club-en/
18,"https://www.google.com/maps/place/5185 University Blvd. 5185 University Blvd. Vancouver,BC V6T 1X5",Public,Par 68,"Vancouver, BC",(604) 224-7799,5827,https://www.universitygolf.com,University Golf Course,https://www.golfcanada.ca/golf-facility/university-golf-course-en/
18,K0L 1J0,Semi-private,Par 72,"Buckhorn, ON",—,6460,,Six Foot Bay Resort Inc.,https://www.golfcanada.ca/golf-facility/six-foot-bay-resort-inc-en/
18,"https://www.google.com/maps/place/15675 Dufferin Street  King City,ON L7B 1K5",Public,Par 72,"King City, ON",(905) 841-9262,7004,https://kingvalley.clublink.ca,King Valley Golf Club,https://www.golfcanada.ca/golf-facility/king-valley-golf-club-en/
18,"https://www.google.com/maps/place/660 Rue Merrill, Coaticook, QC J1A 2S2  Coaticook,QC J1A 2S2",Public,Par 72,"Coaticook, QC",(819) 849-9876,6132,https://www.clubdegolfcoaticook.ca,Coaticook (Club de Golf),https://www.golfcanada.ca/golf-facility/coaticook-club-de-golf-en/
18,"https://www.google.com/maps/place/2743 Boulevard Talbot  Chicoutimi,QC G7H 5B1",Public,Par 72,"Chicoutimi, QC",(418) 549-6608,6772,,Chicoutimi (Club de golf),https://www.golfcanada.ca/golf-facility/chicoutimi-club-de-golf-en/
18,R0G 1A0,Public,Par —,—,—,—,,Holiday Hills Resort and Golf Course,https://www.golfcanada.ca/golf-facility/holiday-hills-resort-and-golf-course-en/
18,"https://www.google.com/maps/place/1459 Simmons Rd 1459 Simmons Rd Odessa,ON K0H 2H0",Semi-private,Par 72,"Odessa, ON",(613) 386-3684,6589,https://www.camdenbraes.com,Camden Braes Golf & Country Club,https://www.golfcanada.ca/golf-facility/camden-braes-golf-country-club-en/
18,"https://www.google.com/maps/place/738 Brule Point Road  Tatamagouche,NS B0K 1V0",Public,Par 72,"Tatamagouche, NS",(902) 657-2666,5785,,Brule Point Golf,https://www.golfcanada.ca/golf-facility/brule-point-golf-en/
18,"https://www.google.com/maps/place/R.R #1, 77416 Bluewater Hwy  Bayfield,ON N0M 1G0",Public,Par 71,"Bayfield, ON",(519) 482-7197,6203,https://www.bluewatergolfandcamp.ca,Bluewater Golf Course,https://www.golfcanada.ca/golf-facility/bluewater-golf-course-en/
18,T6J 6G4,Public,Par —,—,—,—,,7 Oaks Golf Course,https://www.golfcanada.ca/golf-facility/7-oaks-golf-course-en/
18,"https://www.google.com/maps/place/3525 Forest Ridge Road  Chelmsford,ON P0M 1L0",Semi-private,Par 72,"Chelmsford, ON",—,6217,https://forestridgegolf.ca,Forest Ridge Golf Club,https://www.golfcanada.ca/golf-facility/forest-ridge-golf-en/
36,"https://www.google.com/maps/place/PO Box 12, Site 12, RR #5  Calgary,AB T2P 2G6",Semi-private,Par 71,"Calgary, AB",4032364653,6321,https://www.heatherglengolf.com,HeatherGlen Golf Course,https://www.golfcanada.ca/golf-facility/heatherglen-golf-course-en/
18,"https://www.google.com/maps/place/7887 264th Street  Langley,BC V1M 3M5",Public,Par 72,"Langley, BC",604-856-0929,6965,https://www.greenteecountryclub.com,GreenTee Golf Country Club,https://www.golfcanada.ca/golf-facility/greentee-golf-country-club-en/
9,"https://www.google.com/maps/place/7665 boulevard Lacordaire  Montréal,QC H1S 2A7",Public,Par —,"Montréal, QC",514-252-3345,—,https://www.golfquebec.org,Golf Québec,https://www.golfcanada.ca/golf-facility/golf-quebec-en/
18,"https://www.google.com/maps/place/Eagle Valley, R.R. 1 Sundre  Sundre,AB T0M 1X0",Public,Par 71,"Sundre, AB",(403) 556-4010,6444,https://www.forestheightsgolf.com,Forest Heights Golf Course,https://www.golfcanada.ca/golf-facility/forest-heights-golf-course-en/
27,"https://www.google.com/maps/place/4230 Rang de la Rivière N  Saint-Jean-Baptiste,QC J0L 2B0",Public,Par 72,"Saint-Jean-Baptiste, QC",(450) 464-3903,6339,https://www.domainederouville.com,Domaine de Rouville,https://www.golfcanada.ca/golf-facility/domaine-de-rouville-en/
18,S0L 1S0,Public,Par —,—,—,—,,Hoosier Golf Club,https://www.golfcanada.ca/golf-facility/hoosier-golf-club-en/
18,"https://www.google.com/maps/place/Box 130  Kitimat,BC V8C 2G6",Public,Par 72,"Kitimat, BC",(250) 632-4653,6492,https://www.kitmatgolf.com,Hirsch Creek Golf and Winter Club,https://www.golfcanada.ca/golf-facility/hirsch-creek-golf-and-winter-club-en/
18,"https://www.google.com/maps/place/4805 7th Line  Beeton,ON L0G 1A0",Semi-private,,"Beeton, ON",1-888-833-8787,,,The Club at Bond Head,https://www.golfcanada.ca/golf-facility/club-at-bond-head-en/
