# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Site Web,Total Yards,Type de club,Téléphone,Verges totales,Website,url
,9,"https://www.google.com/maps/place/PO Box 84  Manning,AB T0H 2M0",,Public,Par 72,,"Manning, AB",,780-836-2176,,6376,,,,,https://www.golfcanada.ca/golf-facility/condy-meadows-golf-rv-park-en/
,18,"https://www.google.com/maps/place/PO Box 1011  Wilkie,SK S0K 4W0",,Public,Par —,,"Wilkie, SK",,(306) 843-2035,,—,,,,,https://www.golfcanada.ca/golf-facility/wilkie-golf-club-en/
,9,S0A 1B0,,Public,Par 0,,—,,(306) 534-4724,,0,,,,,https://www.golfcanada.ca/golf-facility/carlton-trail-reg-park-golf-club-en/
,18,"https://www.google.com/maps/place/200 Summerhill Row  Fredericton,NB E3G 0C4",,Public,Par 72,,"Fredericton, NB",,—,,6765,,,,,https://www.golfcanada.ca/golf-facility/west-hills-golf-course-en/
,27,"https://www.google.com/maps/place/3700 Beaverdale Rd  Cambridge,ON N3H 4R7",,Semi-private,,,"Cambridge, ON",,1-888-833-8787,,,,,,https://www.golfbrookfield.ca,https://www.golfcanada.ca/golf-facility/brookfield-golf-club-en/
,18,"https://www.google.com/maps/place/2135 County Road 12 2135 County Road 12 Essex,ON N8M 2X6",,Public,Par 72,,"Essex, ON",,(519) 726-6179,,6901,,,,https://www.suttoncreekgolf.com,https://www.golfcanada.ca/golf-facility/sutton-creek-golf-club-en/
,18,"https://www.google.com/maps/place/2680 Boulevard du Saguenay  Jonquière,QC G7S 4L1",,Semi-private,Par 70,,"Jonquière, QC",,(418) 548-9353,,6243,,,,https://www.golfsaguenayarvida.com,https://www.golfcanada.ca/golf-facility/saguenay-arvida-club-de-golf-en/
18,,,"https://www.google.com/maps/place/2680 Boulevard du Saguenay  Jonquière,QC G7S 4L1",,,"Jonquière, QC",,Par 70,,https://www.golfsaguenayarvida.com,,Semi-privé,(418) 548-9353,6243,,https://www.golfcanada.ca/fr/golf-facility/saguenay-arvida-club-de-golf-fr/
,18,"https://www.google.com/maps/place/6177 Ripple Way  Sechelt,BC V7Z 0R2",,Public,Par 72,,"Sechelt, BC",,(604) 885-2700,,6553,,,,,https://www.golfcanada.ca/golf-facility/blue-ocean-golf-club-en/
,36,"https://www.google.com/maps/place/625 Rockway Drive  Kitchener,ON N2G 3B5",,Public,Par 70,,"Kitchener, ON",,(519) 741-2583,,5512,,,,,https://www.golfcanada.ca/golf-facility/rockway-golf-course-en/
,18,"https://www.google.com/maps/place/1217 North Muldrew Lake Road 1217 North Muldrew Lake Road Gravenhurst,ON P1P 1T9",,Semi-private,Par 72,,"Gravenhurst, ON",,(866) 361-7529,,7367,,,,,https://www.golfcanada.ca/golf-facility/muskoka-bay-resort-en/
,18,"https://www.google.com/maps/place/320 Thompson Rd  Thunder Bay,ON P7G 1L3",,Public,Par 72,,"Thunder Bay, ON",,(807) 767-460,,6632,,,,https://centennialgolfcourse.ca,https://www.golfcanada.ca/golf-facility/centennial-pines-golf-course-en/
18,,,"https://www.google.com/maps/place/320 Thompson Rd  Thunder Bay,ON P7G 1L3",,,"Thunder Bay, ON",,Par 72,,https://centennialgolfcourse.ca,,Public,(807) 767-460,6632,,https://www.golfcanada.ca/fr/golf-facility/centennial-pines-golf-course-fr/
,18,"https://www.google.com/maps/place/Box 492  Eastend,SK S0N 0T0",,Public,Par —,,"Eastend, SK",,(306) 295-3292,,—,,,,,https://www.golfcanada.ca/golf-facility/streambank-golf-club-en/
,18,"https://www.google.com/maps/place/P.O. Box 138  Ingonish Beach,NS B0C 1L0",,Public,Par 72,,"Ingonish Beach, NS",,(902) 285-2600,,6592,,,,https://www.golfcapebretonhighlands.ca,https://www.golfcanada.ca/golf-facility/cape-breton-highlands-links-en/
,18,"https://www.google.com/maps/place/4600 Rue Saint-Félix  Quebec,QC G1Y 3B3",,Semi-private,Par 72,,"Quebec, QC",,418-658-0711,,6724,,,,https://www.golfcap-rouge.qc.ca,https://www.golfcanada.ca/golf-facility/cap-rouge-club-de-golf-en/
,18,"https://www.google.com/maps/place/P.O. Box 59  St. Andrew's,NL A0N 1W0",,Public,Par 70,,"St. Andrew's, NL",,(709) 955-3322,,5846,,,,,https://www.golfcanada.ca/golf-facility/st-andrews-na-creige-golf-course-en/
,18,"https://www.google.com/maps/place/706 Tenth Line  Collingwood,ON L9Y 5H4",,Semi-private,Par 72,,"Collingwood, ON",,(705)4453911,,6359,,,,,https://www.golfcanada.ca/golf-facility/blue-mountain-golf-country-club-en/
,18,"https://www.google.com/maps/place/PO Box 206  North Sydney,NS B2A 3M3",,Semi-private,Par 71,,"North Sydney, NS",,(902) 794-4111,,6174,,,,https://seaviewgcc.com,https://www.golfcanada.ca/golf-facility/seaview-golf-country-club-en/
,27,"https://www.google.com/maps/place/Box 99  Wardsville,ON N0L 2N0",,Public,,,"Wardsville, ON",,(519) 693-4921,,,,,,,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-2/
,18,"https://www.google.com/maps/place/15580 Cabot Trail Rd PO Box 414 Cheticamp,NS B0E 1H0",,Public,Par 72,,"Cheticamp, NS",,(902) 224-3338,,6787,,,,https://www.leportagegolfclub.com,https://www.golfcanada.ca/golf-facility/le-portage-golf-club-en/
,18,"https://www.google.com/maps/place/Box 9-43  Canora,SK S0A 0L0",,Public,Par 72,,"Canora, SK",,(306) 792-4600,,6142,,,,https://www.goodspiritgolfresort.com,https://www.golfcanada.ca/golf-facility/good-spirit-golf-resort-en/
,18,"https://www.google.com/maps/place/1012 Golf Avenue  Windermere,ON P0B 1P0",,Semi-private,Par 72,,"Windermere, ON",,—,,6260,,,,https://www.windermeregolf.ca,https://www.golfcanada.ca/golf-facility/windermere-golf-country-club-en/
,18,"https://www.google.com/maps/place/3180 Grasswood Road West  Saskatoon,SK S7T 1A1",,Private,Par 72,,"Saskatoon, SK",,(306) 373-8687,,7057,,,,https://www.riversidecc.ca,https://www.golfcanada.ca/golf-facility/riverside-country-club-en/
,18,"https://www.google.com/maps/place/639 Willow Park Dr. SE  Calgary,AB T2J 0L6",,Private,Par 71,,"Calgary, AB",,(403) 271-4231,,6533,,,,https://www.willowparkgolf.com,https://www.golfcanada.ca/golf-facility/willow-park-golf-country-club-en/
,18,"https://www.google.com/maps/place/Highway 118 - Box 279  Port Carling,ON P0B 1J0",,Private,Par 70,,"Port Carling, ON",,(705) 765-6600,,6430,,,,https://www.portcarlinggc.com,https://www.golfcanada.ca/golf-facility/port-carling-golf-country-club-en/
,18,"https://www.google.com/maps/place/Box 118  Candle Lake,SK S0J 3E0",,Public,Par 73,,"Candle Lake, SK",,(306) 929-2211,,6432,,,,https://candlelakegolfresort.com,https://www.golfcanada.ca/golf-facility/candle-lake-golf-club-en/
,18,"https://www.google.com/maps/place/1137 Old Highway 117  Baysville,ON P0B 1A0",,Private,Par 72,,"Baysville, ON",,(705) 635-2582,,7166,,,,,https://www.golfcanada.ca/golf-facility/bigwin-island-golf-club-en/
,27,"https://www.google.com/maps/place/120 Indian Creek Road, West  Chatham,ON N7M 2E2",,Semi-private,,,"Chatham, ON",,(519)351-3672,,,,,,,https://www.golfcanada.ca/golf-facility/the-links-of-kent-golf-club-en/
27,,,"https://www.google.com/maps/place/120 Indian Creek Road, West  Chatham,ON N7M 2E2",,,"Chatham, ON",,,,,,Semi-privé,(519)351-3672,,,https://www.golfcanada.ca/fr/golf-facility/the-links-of-kent-golf-club-fr/
,18,"https://www.google.com/maps/place/855 Chemin Ste Catherine, QC J0P 1X0  Saint-Polycarpe,QC J0P 1X0",,—,,,"Saint-Polycarpe, QC",,(450) 267-3666,,,,,,,https://www.golfcanada.ca/golf-facility/st-polycarpe-club-de-golf-en/
,18,"https://www.google.com/maps/place/QC-207  Kahnawake,QC J0L 1B0",,Semi-private,Par 70,,"Kahnawake, QC",,—,,6206,,,,https://www.caughnawagagolfclub.com,https://www.golfcanada.ca/golf-facility/caughnawaga-golf-club-en/
,18,"https://www.google.com/maps/place/4331 Egremont Rd  Camlachie,ON N0N 1E0",,Semi-private,Par 68,,"Camlachie, ON",,(519) 899-4495,,—,,,,,https://www.golfcanada.ca/golf-facility/camlachie-golf-country-club-en/
,18,"https://www.google.com/maps/place/Box 59  Thedford,ON N0M 2N0",,Semi-private,Par 72,,"Thedford, ON",,(519) 296-4653,,6302,,,,,https://www.golfcanada.ca/golf-facility/widder-station-golf-grill-tap-house-en/
,18,"https://www.google.com/maps/place/511 Chemin Antoine-Boucher  Gatineau,QC J9J 3M5",,Public,Par 72,,"Gatineau, QC",,819-684-4465,,6035,,,,,https://www.golfcanada.ca/golf-facility/vieux-moulins-club-de-golf-les-en/
,36,"https://www.google.com/maps/place/3200 Via Centrale  Kelowna,BC V1V 2A4",,Public,,,"Kelowna, BC",,2507655955,,,,,,https://www.golfbc.com,https://www.golfcanada.ca/golf-facility/the-okanagan-golf-club-en/
,9,"https://www.google.com/maps/place/72039 Rd 43E  Beausejour,MB R0E0C0",,Public,Par 68,,"Beausejour, MB",,—,,5060,,,,,https://www.golfcanada.ca/golf-facility/rivers-edge-golf-course-en/
18,,,"https://www.google.com/maps/place/1275 Hamilton Rd  London,ON N5X 1B1",,,"London, ON",,Par 62,,,,Semi-privé,—,—,,https://www.golfcanada.ca/fr/golf-facility/east-park-golf-gardens-fr/
,9,"https://www.google.com/maps/place/PO Box 84, highway 24  Chitek Lake,SK S0J 0L0",,Public,Par 70,,"Chitek Lake, SK",,(306) 984-4514,,5892,,,,,https://www.golfcanada.ca/golf-facility/chitek-lake-golf-club-en/
,18,"https://www.google.com/maps/place/1275 Hamilton Rd  London,ON N5X 1B1",,Semi-private,Par 62,,"London, ON",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/east-park-golf-gardens-en/
,18,T0J 0G0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/big-valley-golf-course-en/
,18,"https://www.google.com/maps/place/400 Beacon Hall Dr  Aurora,ON L4G 0L3",,Private,Par 72,,"Aurora, ON",,(905) 841-9122,,7148,,,,,https://www.golfcanada.ca/golf-facility/beacon-hall-golf-club-en/
,18,"https://www.google.com/maps/place/4001 Whistler Way  Whistler,BC V0N 1B4",,Public,Par 71,,"Whistler, BC",,(604) 932-3280,,6678,,,,,https://www.golfcanada.ca/golf-facility/whistler-golf-club-en/
,18,T0M 0R0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/tooth-of-the-dogpound-creek-golf-course-en/
,9,"https://www.google.com/maps/place/245 Edge Hill Drive  Kitchener,ON N2P 2C8",,Public,Par 70,,"Kitchener, ON",,1-888-833-8787,,5684,,,,,https://www.golfcanada.ca/golf-facility/riveredge-golf-club-en/
,9,"https://www.google.com/maps/place/9521 Side Road No.10  Erin,ON N0B 1T0",,Semi-private,Par 72,,"Erin, ON",,1-888-833-8787,,6532,,,,https://www.golfcalerin.ca,https://www.golfcanada.ca/golf-facility/calerin-golf-club-en/
,18,"https://www.google.com/maps/place/10905 Reesor Road  Markham,ON L6B 1A8",,Public,,,"Markham, ON",,(905) 640-1233,,,,,,,https://www.golfcanada.ca/golf-facility/bushwood-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 4268  Spruce Grove,AB T7X 3B4",,Public,Par 72,,"Spruce Grove, AB",,(780) 962-4653,,6794,,,,https://www.linksgolfcourse.com,https://www.golfcanada.ca/golf-facility/the-links-at-spruce-grove-en/
,9,"https://www.google.com/maps/place/325 Rue du Golf  Saint-Lambert,QC J4P 1Z6",,Semi-private,Par 70,,"Saint-Lambert, QC",,(450) 671-4515,,5618,,,,https://www.golftstlambert.com,https://www.golfcanada.ca/golf-facility/st-lambert-club-de-golf-en/
,9,"https://www.google.com/maps/place/810 Beach Drive  Bowen Island,BC V0N 1G2",,Public,Par 70,,"Bowen Island, BC",,6049474653,,6006,,,,https://www.bowengolf.com,https://www.golfcanada.ca/golf-facility/bowen-island-golf-club-en/
9,,,"https://www.google.com/maps/place/810 Beach Drive  Bowen Island,BC V0N 1G2",,,"Bowen Island, BC",,Par 70,,https://www.bowengolf.com,,Public,6049474653,6006,,https://www.golfcanada.ca/fr/golf-facility/bowen-island-golf-club-fr/
,18,"https://www.google.com/maps/place/5946 12 Ave  Delta,BC V4L 1C7",,Private,Par 71,,"Delta, BC",,(604) 943-1155,,6218,,,,https://www.beachgrovegolf.com,https://www.golfcanada.ca/golf-facility/beach-grove-golf-club-en/
,18,"https://www.google.com/maps/place/516423 County Road 124, RR#3  Shelburne,ON L0N 1S7",,Semi-private,Par 71,,"Shelburne, ON",,(519) 925-5581,,6265,,,,,https://www.golfcanada.ca/golf-facility/shelburne-golf-country-club-en/
,18,"https://www.google.com/maps/place/11450 90e Rue  Saint-Georges,QC G5Y 5C4",,Semi-private,Par 72,,"Saint-Georges, QC",,(418) 228-6725,,6854,,,,https://www.golfstgeorges.com,https://www.golfcanada.ca/golf-facility/st-georges-club-de-golf-en/
18,,,"https://www.google.com/maps/place/8089 Franktown Rd  Richmond,ON K0A 2Z0",,,"Richmond, ON",,Par 70,,https://www.riverbendgolfclub.ca,,Public,613-838-7293,5675,,https://www.golfcanada.ca/fr/golf-facility/riverbend-golf-country-club-fr-2/
,18,"https://www.google.com/maps/place/8089 Franktown Rd  Richmond,ON K0A 2Z0",,Public,Par 70,,"Richmond, ON",,613-838-7293,,5675,,,,https://www.riverbendgolfclub.ca,https://www.golfcanada.ca/golf-facility/riverbend-golf-country-club-en-2/
,18,"https://www.google.com/maps/place/PO Box 321  Beaverlodge,AB T0H 0C0",,Public,Par 70,,"Beaverlodge, AB",,(780) 354-2538,,5822,,,,https://www.riverbendgolfcc.ca,https://www.golfcanada.ca/golf-facility/riverbend-golf-country-club-en/
18,,,"https://www.google.com/maps/place/PO Box 321  Beaverlodge,AB T0H 0C0",,,"Beaverlodge, AB",,Par 70,,https://www.riverbendgolfcc.ca,,Public,(780) 354-2538,5822,,https://www.golfcanada.ca/fr/golf-facility/riverbend-golf-country-club-fr/
,18,"https://www.google.com/maps/place/164, route 132  Metis-sur-Mer,QC G0J 1S0",,Public,Par 71,,"Metis-sur-Mer, QC",,(418) 936-3407,,6039,,,,https://www.golfboulerock.com,https://www.golfcanada.ca/golf-facility/boule-rock-club-de-golf-en/
,18,"https://www.google.com/maps/place/Road 3 West  Warren,MB R0C 3E0",,Public,Par 72,,"Warren, MB",,(204) 322-5104,,6854,,,,https://www.southinterlakegolf.mb.ca,https://www.golfcanada.ca/golf-facility/whispering-winds-of-warren-en/
18,,,"https://www.google.com/maps/place/Road 3 West  Warren,MB R0C 3E0",,,"Warren, MB",,Par 72,,https://www.southinterlakegolf.mb.ca,,Public,(204) 322-5104,6854,,https://www.golfcanada.ca/fr/golf-facility/whispering-winds-of-warren-fr/
,18,"https://www.google.com/maps/place/8632 Route 101  Welsford,NB E5K 4A1",,Public,Par 69,,"Welsford, NB",,(506) 486-2217,,5295,,,,,https://www.golfcanada.ca/golf-facility/welsford-golf-course-en/
,18,"https://www.google.com/maps/place/PO Box 299  Valleyview,AB T0H 3N0",,Public,Par 70,,"Valleyview, AB",,(780) 524-2449,,6024,,,,,https://www.golfcanada.ca/golf-facility/valleyview-riverside-golf-club-en/
,18,"https://www.google.com/maps/place/14110-156 St.  Edmonton,AB T6V 1J2",,Public,Par 72,,"Edmonton, AB",,(780) 447-2934,,6252,,,,https://www.twinwillowsgolf.com,https://www.golfcanada.ca/golf-facility/twin-willows-golf-club-en/
,18,"https://www.google.com/maps/place/1702 Cedar Valley Rd  Fraserville,ON K0L 1V0",,Public,Par 72,,"Fraserville, ON",,—,,6464,,,,,https://www.golfcanada.ca/golf-facility/baxter-creek-golf-club-en/
,9,"https://www.google.com/maps/place/104 Big Bay Point Rd  Innisfil,ON L9S 2P4",,Private,Par 66,,"Innisfil, ON",,(705) 436-1378,,4734,,,,,https://www.golfcanada.ca/golf-facility/big-bay-point-golf-country-club-en/
,18,"https://www.google.com/maps/place/155 Ennis Road  Ennismore,ON K0L 1T0",,Public,Par 72,,"Ennismore, ON",,(705) 292-7289,,6425,,,,,https://www.golfcanada.ca/golf-facility/tamarac-golf-country-club-en/
,18,"https://www.google.com/maps/place/1481 Golf Course Road R.R. #2  Minesing,ON L9X 0Y6",,Public,Par 72,,"Minesing, ON",,(705) 728-1866,,6171,,,,https://www.springwatergolf.com,https://www.golfcanada.ca/golf-facility/springwater-golf-course-en/
,9,"https://www.google.com/maps/place/1718 Balmoral Ave  Comox,BC V9M 2N1",,Public,Par 70,,"Comox, BC",,250 339 4444,,5339,,,,https://comoxgolfclub.ca,https://www.golfcanada.ca/golf-facility/comox-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 462 PO Box 462 Weyburn,SK S4H 2K3",,Public,Par 72,,"Weyburn, SK",,(306) 842-5881,,6540,,,,,https://www.golfcanada.ca/golf-facility/weyburn-golf-club-en/
18,,,"https://www.google.com/maps/place/PO Box 219  Shubenacadie,NS B0N 2H0",,,"Shubenacadie, NS",,Par 72,,https://www.linksatpennhills.com,,Public,(902) 758-1406,7236,,https://www.golfcanada.ca/fr/golf-facility/the-links-at-penn-hills-fr/
,18,"https://www.google.com/maps/place/PO Box 219  Shubenacadie,NS B0N 2H0",,Public,Par 72,,"Shubenacadie, NS",,(902) 758-1406,,7236,,,,https://www.linksatpennhills.com,https://www.golfcanada.ca/golf-facility/the-links-at-penn-hills-en/
9,,,P1L 1W8,,,"Bracebridge, ON",,Par 70,,,,Public,—,5562,,https://www.golfcanada.ca/fr/golf-facility/the-fairways-at-kirrie-glen-fr/
,9,P1L 1W8,,Public,Par 70,,"Bracebridge, ON",,—,,5562,,,,,https://www.golfcanada.ca/golf-facility/the-fairways-at-kirrie-glen-en/
,18,"https://www.google.com/maps/place/PO Box 243  Chaplin,SK S0H 0V0",,Public,Par —,,"Chaplin, SK",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/chaplin-municipal-golf-country-club-en/
,36,"https://www.google.com/maps/place/PO Box 489  Gormley,ON L0H 1G0",,Private,,,"Gormley, ON",,(905) 888-1219,,,,,,,https://www.golfcanada.ca/golf-facility/station-creek-golf-club-en/
,18,T0B 3M0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/bull-hill-golf-and-driving-range-en/
,18,"https://www.google.com/maps/place/1211 2ND Concession Road West  Copetown,ON L0R 1J0",,Private,Par 70,,"Copetown, ON",,(905) 628-2285,,6502,,,,https://www.beverlygolfclub.org,https://www.golfcanada.ca/golf-facility/beverly-golf-country-club-en/
,18,"https://www.google.com/maps/place/7422 Sideroad 30 & 31 Nottawasaga  Nottawa,ON L0M 1P0",,Public,Par 72,,"Nottawa, ON",,(705) 444-8337,,7035,,,,https://www.batteauxcreek.com,https://www.golfcanada.ca/golf-facility/batteaux-creek-golf-course-en/
,18,"https://www.google.com/maps/place/PO Box 269  Spruce Home,SK S0J 2N0",,Public,Par —,,"Spruce Home, SK",,(306) 764-4666,,—,,,,,https://www.golfcanada.ca/golf-facility/spruce-home-golf-club-en/
,18,"https://www.google.com/maps/place/2465 Westminster Drive  London,ON N6N 1L7",,Semi-private,Par 70,,"London, ON",,1-888-833-8787,,6160,,,,,https://www.golfcanada.ca/golf-facility/westminster-trails-golf-club-en/
,18,"https://www.google.com/maps/place/22011 88th Ave  Langley,BC V1M 2M3",,Public,Par 71,,"Langley, BC",,(604) 882-5130,,6516,,,,https://www.redwoods-golf.com,https://www.golfcanada.ca/golf-facility/the-redwoods-golf-course-en/
,18,"https://www.google.com/maps/place/35593 Lake Line  Port Stanley,ON N5L 1J1",,Public,Par 70,,"Port Stanley, ON",,905-641-8088,,5541,,,,,https://www.golfcanada.ca/golf-facility/the-bluffs-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 1011  Chatham,ON N7M 5L6",,Public,Par 0,,"Chatham, ON",,(519) 354-3231,,0,,,,,https://www.golfcanada.ca/golf-facility/rolyn-golf-trails-en/
,27,"https://www.google.com/maps/place/322 Line 2, North  Oro Medonte, ON,ON L0L 2L0",,Semi-private,,,"Oro Medonte, ON, ON",,(705) 721-1922,,,,,,,https://www.golfcanada.ca/golf-facility/shanty-bay-golf-club-en/
,18,"https://www.google.com/maps/place/105 Rue Bélanger  Gatineau,QC J8L 2X2",,Public,Par 71,,"Gatineau, QC",,(819) 986-8035,,6285,,,,https://www3.sympatico.ca/golf,https://www.golfcanada.ca/golf-facility/buckingham-club-de-golf-en/
,18,"https://www.google.com/maps/place/10500 Russell Rd  Port Perry,ON L9L 1B3",,Private,Par —,,"Port Perry, ON",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/summerlea-golf-club-en-2/
,18,"https://www.google.com/maps/place/132 Moore Line  Mooretown,ON N0N 1M0",,Semi-private,Par 71,,"Mooretown, ON",,(519) 867-2810,,6737,,,,,https://www.golfcanada.ca/golf-facility/st-clair-parkway-golf-club-en/
,18,"https://www.google.com/maps/place/3060 Hwy 221  Weston,NS B0P 1C0",,Public,Par 72,,"Weston, NS",,(902) 847-9000,,6450,,,,https://www.berwickheightsgolf.com,https://www.golfcanada.ca/golf-facility/berwick-heights-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 1525  Sparwood,BC V0B 2G0",,Public,Par 72,,"Sparwood, BC",,(250) 425-2612,,6156,,,,,https://www.golfcanada.ca/golf-facility/sparwood-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 568  Bassano,AB T0J 0B0",,Public,Par 72,,"Bassano, AB",,(403) 641-4016,,5965,,,,,https://www.golfcanada.ca/golf-facility/bassano-sage-thistle-golf-country-club-en/
,18,"https://www.google.com/maps/place/80 Rue des Ruines du Monastere  Winnipeg,MB R3V 0B1",,Private,Par 72,,"Winnipeg, MB",,(204) 269-7867,,7311,,,,https://www.southwood.ca,https://www.golfcanada.ca/golf-facility/southwood-golf-country-club-en/
,9,"https://www.google.com/maps/place/111 Champion Park Rd  Fruitvale,BC V0G 1L0",,Semi-private,Par 72,,"Fruitvale, BC",,(250) 367-7001,,5874,,,,https://www.golfchampionlakes.com,https://www.golfcanada.ca/golf-facility/champion-lakes-golf-country-club-en/
,18,"https://www.google.com/maps/place/12501-14 St. S.W.  Calgary,AB T2W 2Y8",,Private,Par 72,,"Calgary, AB",,(403) 281-1188,,7163,,,,https://www.canyonmeadowsgolf.com,https://www.golfcanada.ca/golf-facility/canyon-meadows-golf-country-club-en/
,18,"https://www.google.com/maps/place/939 boulevard Perron  Carleton-sur-Mer,QC G0C 1J0",,Public,Par 71,,"Carleton-sur-Mer, QC",,418-364-3434,,6346,,,,https://www.carletonsurmer.com,https://www.golfcanada.ca/golf-facility/carleton-sur-mer-club-de-golf-de-en/
,18,"https://www.google.com/maps/place/1548 King St W  Brockville,ON K6V 5T7",,Private,Par 72,,"Brockville, ON",,(613) 342-2468,,6514,,,,https://www.brockvillecountryclub.com,https://www.golfcanada.ca/golf-facility/brockville-country-club-en/
,18,"https://www.google.com/maps/place/RR #1  Morrisburg,ON K0C 1X0",,Semi-private,Par 72,,"Morrisburg, ON",,6135432003,,6895,,,,https://www.uppercanadagolf.com,https://www.golfcanada.ca/golf-facility/upper-canada-golf-course-en/
,36,"https://www.google.com/maps/place/3035 Escarpment Sideroad  Caledon Village,ON L7K 3L3",,Private,,,"Caledon Village, ON",,(519) 927-3001,,,,,,,https://www.golfcanada.ca/golf-facility/the-pulpit-club-en/
,18,"https://www.google.com/maps/place/635 St Vincent St N 635 St Vincent St N Barrie,ON L4M 4Y1",,Private,Par 72,,"Barrie, ON",,(705) 728-4802,,6851,,,,https://www.barriecountryclub.com,https://www.golfcanada.ca/golf-facility/barrie-country-club-en/
45,,,"https://www.google.com/maps/place/31002 Elbow River Drive SW  Calgary,AB T3Z2T8",,,"Calgary, AB",,,,https://www.glencoegolf.org,,Public,(403) 242-4019,,,https://www.golfcanada.ca/fr/golf-facility/the-glencoe-golf-country-club-fr/
,45,"https://www.google.com/maps/place/31002 Elbow River Drive SW  Calgary,AB T3Z2T8",,Public,,,"Calgary, AB",,(403) 242-4019,,,,,,https://www.glencoegolf.org,https://www.golfcanada.ca/golf-facility/the-glencoe-golf-country-club-en/
,18,"https://www.google.com/maps/place/3723 Mt. Seymour Prkwy.  North Vancouver,BC V7G 1C1",,Private,Par 72,,"North Vancouver, BC",,(604) 929-5491,,6432,,,,https://www.seymourgolf.com,https://www.golfcanada.ca/golf-facility/seymour-golf-country-club-en/
,18,"https://www.google.com/maps/place/PO Box 727  Leader,SK S0N 1H0",,Public,Par —,,"Leader, SK",,(306) 628-3256,,—,,,,,https://www.golfcanada.ca/golf-facility/river-ridge-golf-club-en/
