name,source,created_by,addr:city,addr:country,addr:housenumber,addr:postcode,addr:province,addr:street,addr:unit,opening_hours,operator,wheelchair,sport,short_name,website,golf,landuse,source:name,phone,golf:course,FIXME,contact:facebook,natural,building,email,type,area_m2,lat,lon,province,gcid
Candle Lake Golf Resort,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,598743.7261945542,53.76395486249375,-105.22133522804235,Saskatchewan,SN00154
Wascana Country Club,,,,,,,,,,,,,,,https://wascanacountryclub.com/,,,,,,,,,,,,584700.9008185599,50.41222791787583,-104.55790314447628,Saskatchewan,SN00036
Elmwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,582136.8502732592,50.29807807113513,-107.77571214182656,Saskatchewan,SN00034
Elmwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,582136.8502732592,50.29807807113513,-107.77571214182656,Saskatchewan,SN00035
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,581752.4363728283,49.37832917831285,-105.6478446429723,Saskatchewan,SN00067
Melfort Golf and Country Club,NRCan-CanVec-7.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,554926.3078521187,52.85235977588197,-104.59830064799554,Saskatchewan,SN00028
Rock Creek Golf & Country Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,+1-306-297-6366,,,,,,,,554485.7636851708,49.63598374377366,-108.4805822411216,Saskatchewan,SN00044
Unknown Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,553735.9253412272,51.10967196982054,-106.6019307402289,Saskatchewan,SN00013
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,545715.6556220263,50.83769029748221,-107.97152858225442,Saskatchewan,SN00099
Shell Lake,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,543626.298090626,53.30327318440634,-107.07212219448131,Saskatchewan,SN00141
Joanne Goulet Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,525146.9832251358,50.47493716848897,-104.70055318333476,Saskatchewan,SN00051
Last Oak Golf & Country Club,NRCan-CanVec-10.0,,,,,,,,,,Cowessess First Nation,,golf,,https://lastoakgolf.com/,,,,,,,,,,,,522731.71509163413,50.57304944372592,-102.67035203918485,Saskatchewan,SN00127
Regina,,,,,,,,,,,,,,,,rough,grass,,,,,,,,,,517248.4755213861,50.447835371101455,-104.66119380358603,Saskatchewan,SN00187
Flowing Springs Golf Greens,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,511807.97727901075,50.58042057781872,-104.76595614698648,Saskatchewan,SN00151
Nipawin,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,509627.09543669684,53.37448243286021,-103.99884232673921,Saskatchewan,SN00058
Phantom Lake Golf Club Inc,NRCan-CanVec-7.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,505786.64308605605,54.74870340787051,-101.87221379909451,Saskatchewan,SN00027
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,487957.07123702986,49.37977502045807,-102.77504582151667,Saskatchewan,SN00097
Kachur's Golf Club,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,483610.21458229114,53.21831931706353,-105.89323648152741,Saskatchewan,SN00037
Melville,,,,,,,,,,,,,golf,,,,,,,,,,,,,,464476.9428777571,50.94326331735273,-102.81089947189538,Saskatchewan,SN00210
Neudorf,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,464086.3149419913,50.70646502483621,-103.0176625029727,Saskatchewan,SN00081
Moose Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,459650.54637074005,49.30172284092077,-102.20230171100125,Saskatchewan,SN00197
Sask Landing,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,455459.95818703674,50.66243544455283,-107.97128724858878,Saskatchewan,SN00012
Cactus Hills Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,453229.8369093626,51.905699192946784,-106.82516407999903,Saskatchewan,SN00091
Meadowdale Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,445449.7555962343,50.13552821844581,-108.41046445524658,Saskatchewan,SN00109
Go Fore Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,https://mortlach.ca/blog/village-amenities/go-fore-golf-course,,,,,,,,,,,,430822.65906375786,50.453049023801604,-106.09067164709987,Saskatchewan,SN00087
Beechy,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,427722.4994428232,50.882377695331556,-107.38372659683777,Saskatchewan,SN00095
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,427600.7451713199,52.44635930969723,-109.2006415587886,Saskatchewan,SN00120
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,424789.9413627884,52.996674244457004,-106.9876857100276,Saskatchewan,SN00145
Wildwood Golf Course,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,417761.3465866309,52.11113047859766,-106.57917336633768,Saskatchewan,SN00016
Kamsack,CanVec 6.0 - NRCan,,,,,,,,,,,,golf,,,,,,,,,,,,,,413580.3578771782,51.569453936182214,-101.91406164016405,Saskatchewan,SN00024
Golf Kenosee,,,,,,,,,,,,,golf,,https://www.golfkenosee.com/,,,,,,,,,,,multipolygon,388772.4229316151,49.837109473873205,-102.29591637984983,Saskatchewan,SN00014
Coronach,,,,,,,,,,,,,,,,,,,,,,,,,,,388293.4444597441,49.104305316810986,-105.51637044200594,Saskatchewan,SN00048
Silver Lake Regional Park Golf Club,NRCan-CanVec-10.0,,,,,,Saskatchewan,,,,,,golf,,,,,,,,,,,,,,381675.8092046395,53.23074311333514,-109.26389376952126,Saskatchewan,SN00055
Wilkie,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,373637.39654651046,52.40167283341235,-108.69743257267291,Saskatchewan,SN00121
Frontier Golf Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,370018.4017584861,49.21972462492145,-108.56828676390303,Saskatchewan,SN00043
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,369654.247207459,50.43612626398516,-109.44712334298492,Saskatchewan,SN00112
Kelvington,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,369042.91774570284,52.155378723308516,-103.53431390571299,Saskatchewan,SN00080
Emerald Park,,,,,,,,,,,,,,,,,,,,,,,,,,,350014.48499411216,50.437142127435735,-104.3956633867444,Saskatchewan,SN00054
Cypress Hills Golf Course,Bing,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,346567.57701156085,49.64567322078202,-109.51018932275825,Saskatchewan,SN00011
White Bear Lake Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,339816.3572780699,49.75451974705823,-102.25381913132286,Saskatchewan,SN00015
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,337779.4386178784,51.84312903315122,-106.55338631006633,Saskatchewan,SN00144
Chaplin Municipal Golf and Country Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,337024.01845575,50.45891114639721,-106.68503979347234,Saskatchewan,SN00093
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,336459.2245644472,50.2778466201576,-108.41863546686918,Saskatchewan,SN00110
La Ronge,,,,,,,,,,,,,,,,,,,,,,,,,,,332475.79838047235,55.12908344762319,-105.26675599563603,Saskatchewan,SN00165
Esterhazy,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,328757.6453091114,50.65926672745489,-102.0600282435016,Saskatchewan,SN00130
Last Mountain regional park golf course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,328063.15051722986,51.354465418159364,-105.21250989500085,Saskatchewan,SN00065
Emma Lake Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,321625.22098977474,53.564560290216875,-105.8689014143421,Saskatchewan,SN00149
Maple Creek,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,319652.73092388856,49.89778485356629,-109.4685725376912,Saskatchewan,SN00111
Beaver Flat,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,318386.7396951003,50.659925190645545,-107.6734865297982,Saskatchewan,SN00103
Green Acres Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,318046.6379401903,50.48745800956034,-104.33952818608766,Saskatchewan,SN00178
Meota & District Lakeside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,316742.5930173596,53.033370219058426,-108.4379051800953,Saskatchewan,SN00196
Rocanville,,,,,,,,,,,,,,,,,,,,,add Name,,,,,,315143.8396195431,50.37520989958855,-101.67887808306826,Saskatchewan,SN00125
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,315029.7254386939,49.89078297334562,-102.05383641655625,Saskatchewan,SN00129
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,313238.2546384105,52.66183795492154,-105.61457020533311,Saskatchewan,SN00079
Redvers,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,310033.53591946233,49.573135727139345,-101.71050187564701,Saskatchewan,SN00123
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,306786.172461944,50.30665318087887,-104.20885059456658,Saskatchewan,SN00157
Manitou Beach Golf Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,305039.06814216904,51.71632772387676,-105.45711746292724,Saskatchewan,SN00070
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,303707.6570228419,52.807580888581874,-109.7827807354782,Saskatchewan,SN00045
McNab Regional Park,,,,,,,,,,,,,,,,,,,,,,,,,,,297765.9037539617,52.12318976172686,-104.51931240330241,Saskatchewan,SN00202
Kerrobert Golf Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,296118.97519913426,51.916278183982335,-109.15288399958115,Saskatchewan,SN00117
Carnduff Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,293920.3002958237,49.187935050262084,-101.79243457463298,Saskatchewan,SN00174
Goodwater,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,289044.34624416596,49.393668081418255,-103.70237903166644,Saskatchewan,SN00084
Indian Head,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,285557.74229198875,50.54094307307867,-103.66385129196121,Saskatchewan,SN00047
Birch Hills Golf Course,,,,,,,,,,,,,,,https://www.birchhillsgolfcourse.ca/,,,,,,,,,,,,283259.2901192524,52.989796491016044,-105.4465908409935,Saskatchewan,SN00208
Coteau Beach,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,multipolygon,280555.6546720926,51.16666049887709,-106.82636945339388,Saskatchewan,SN00008
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,277773.21865511284,50.20533093327396,-109.63541593988859,Saskatchewan,SN00113
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,277740.2856136138,50.8907072322564,-106.93978465996332,Saskatchewan,SN00092
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,276139.86466817156,53.390165673735446,-105.82131544106211,Saskatchewan,SN00143
Thomson Lake Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,275447.08118946693,49.77907275321049,-106.58419297691013,Saskatchewan,SN00094
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,271305.1069959568,50.72689232235715,-108.7468684970239,Saskatchewan,SN00104
Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,269350.0659142901,50.64925825009583,-109.89973053312863,Saskatchewan,SN00106
Assiniboia Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,266345.20329331903,49.614101248126225,-105.9494272146075,Saskatchewan,SN00025
Kindersley Regional Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,266244.0545333016,51.4627806256641,-109.14795795243978,Saskatchewan,SN00176
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,266124.88280874054,50.7880245951757,-104.99099810680597,Saskatchewan,SN00064
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,262205.7640531787,52.834785998386955,-108.86784169660531,Saskatchewan,SN00152
Silverwood Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,,260770.7804119823,52.190258195356385,-106.6233296394965,Saskatchewan,SN00022
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,255947.97139549404,49.48366775668288,-104.31469415345072,Saskatchewan,SN00068
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,254756.23983758403,51.31610736883939,-106.04557885585945,Saskatchewan,SN00089
Unknown Golf Course,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,254649.43275392888,53.1521094582059,-105.84026230450796,Saskatchewan,SN00038
Moose Jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,250765.66031785082,50.39168570321622,-105.49917173332544,Saskatchewan,SN00180
Kelliher Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,249389.3618127621,51.273925601082595,-103.69269256770166,Saskatchewan,SN00205
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,246981.71127122053,51.805271498407095,-103.54645819484139,Saskatchewan,SN00074
Wapella,,,,,,,,,,,,,,,,,,,,,,,,,,,246821.05824161222,50.25499252145718,-101.97704831623587,Saskatchewan,SN00046
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,241394.3177758819,49.85647796547837,-103.37607631820481,Saskatchewan,SN00124
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,239944.0957762459,50.67684773366059,-108.54106421558647,Saskatchewan,SN00105
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,235741.1347143857,49.38668182445626,-105.12991280494353,Saskatchewan,SN00207
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,234920.56687097598,51.98604392835566,-108.77934899916859,Saskatchewan,SN00115
Carlyle Golf & Country Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,234534.6460876465,49.637194463643766,-102.25931366353146,Saskatchewan,SN00128
Mistusinne,,,,,,,,,,,,,,,,,,,,,,,,,,,230675.28143567735,51.06723590814498,-106.52837317944609,Saskatchewan,SN00204
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,230317.07618847195,50.871553746598515,-109.33412050836918,Saskatchewan,SN00102
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,230036.48353088446,53.001178325686226,-106.99056737498825,Saskatchewan,SN00150
Whitewood,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,229077.18678702982,50.336046831607064,-102.2743501178151,Saskatchewan,SN00126
Sandy Beach Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,226977.63776147168,53.44843830448744,-109.99099485959769,Saskatchewan,SN00049
Lanigan Golf and Country Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,226676.5090541244,51.85108596951449,-105.01244804415511,Saskatchewan,SN00072
Kipling Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,225313.69736260522,50.095370567635456,-102.63878907917399,Saskatchewan,SN00183
Kipling Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,225313.69736260522,50.095370567635456,-102.63878907917399,Saskatchewan,SN00184
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,225206.70804704138,50.967775183750184,-108.76368303034488,Saskatchewan,SN00101
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,224479.7989552556,51.156034397926284,-103.48413027917663,Saskatchewan,SN00086
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,217413.22121131542,51.704525688092104,-108.47439712744358,Saskatchewan,SN00098
North Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,214538.76949617863,49.003569661080526,-102.54587699743313,Saskatchewan,SN00198
Edam,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,212878.86857935414,53.185640571856865,-108.78744656119511,Saskatchewan,SN00137
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,207884.15892586866,53.32331842913604,-108.87705872500888,Saskatchewan,SN00138
Bruno,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,203253.57592665436,52.258070460215784,-105.5207902669185,Saskatchewan,SN00078
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,200593.43891607947,53.6517640079384,-108.83689971719767,Saskatchewan,SN00139
Wolseley,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,199297.23703042115,50.41746819347598,-103.26937658904862,Saskatchewan,SN00059
Stoughton Golf and Country Club,,,,,,,,,,,,,golf,,,,,,,,,,,,,,199135.02150428563,49.67007672622389,-103.01701603063321,Saskatchewan,SN00209
Edam,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,198328.43540145573,53.188991101406394,-108.78906139890007,Saskatchewan,SN00136
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,197740.59822157063,51.47741248186966,-107.07083118965352,Saskatchewan,SN00096
Mossbank Golf Club,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,+1-306-354-2294,,,https://www.facebook.com/profile.php?id=100067122321898,,,,,193628.3050490563,49.92806758176915,-105.8787215957008,Saskatchewan,SN00066
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,193610.40187868528,54.02432593226856,-109.10228094908483,Saskatchewan,SN00146
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,193610.40187868528,54.02432593226856,-109.10228094908483,Saskatchewan,SN00147
Saskatchewan 56,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,184422.3461677502,50.77702396605313,-103.79034941057398,Saskatchewan,SN00061
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,180014.7093529952,52.516697734340696,-103.60930797090346,Saskatchewan,SN00083
Unknown Golf Course,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,179081.16574689327,52.08305576422515,-106.57983736512521,Saskatchewan,SN00182
Luseland,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,177840.26992799906,52.0808152198061,-109.40152303118256,Saskatchewan,SN00118
Hanley,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,176781.82093388686,51.62800091290741,-106.4309604460542,Saskatchewan,SN00090
Unknown Golf Course,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,9_hole,,,,,,,176174.1326671245,52.84038749661293,-102.38528154998377,Saskatchewan,SN00031
Lumsden Beach,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,174145.4387512599,50.76284621889918,-104.90403200733216,Saskatchewan,SN00063
Tisdale,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,171978.574149254,52.84937733055793,-104.03828895646166,Saskatchewan,SN00042
Colonsay,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,169711.68674752404,51.980512799641474,-105.87919431284261,Saskatchewan,SN00073
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,169152.3772034919,50.96805333968392,-105.45290335451311,Saskatchewan,SN00153
Pine Ridge Golf Course,NRCan-CanVec-10.0,,,,,,,,,,Waldheim Regional Park,,golf,,,,,,,,,,,,,,166670.28647572757,52.61971900588724,-106.64303622064264,Saskatchewan,SN00132
Unknown Golf Course,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,165436.972970853,53.16046281350372,-105.70870865599926,Saskatchewan,SN00039
Westfalia Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,164492.24565564352,50.49791724461814,-104.40610511831812,Saskatchewan,SN00177
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,159265.92425131108,49.39362547529087,-103.89349891523086,Saskatchewan,SN00085
Unknown Golf Course,NRCan-CanVec-10.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,156416.07568170017,53.21536009193535,-106.40213377273251,Saskatchewan,SN00140
Canora,NRCan-CanVec-8.0,,,,,,,,,,,,golf,,,,,,,,,,,,,,156244.89416590845,51.63260848887823,-102.42156621914835,Saskatchewan,SN00033
