addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,note,website,phone,material,check_date,opening_hours,addr:country,source,source:date,operator,wikidata,golf,landuse,ownership,sport,access,contact:website,surface,golf:course,area,fixme,name:en,description,wikipedia,golf:par,ele,gnis:feature_id,type,club,old_name,alt_name,start_date,contact:phone,area_m2,lat,lon,province,gcid
Charlotte,4735,28226,,Carmel Road,Carmel Country Club,,https://www.carmelcountryclub.org/,704-945-9630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799461.291788684,35.101309540250625,-80.81953963371295,North Carolina,NC00415
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786449.0303940617,34.715262101008,-77.38587799943667,North Carolina,NC00482
Charlotte,8600,28277,,Raintree Lane,Raintree Country Club,,http://www.raintreecountryclub.com/,704-542-8150,,,,,,,,Q7284964,,,,,,,,,,,,,,,,,multipolygon,,,,,,1694230.0036487102,35.082705006016646,-80.79033980852348,North Carolina,NC00069
Aberdeen,12615,28805,,US 15-501,Legacy Golf Links,,https://www.legacygolfnc.com/,+1 910 944 8825,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1631418.1055881337,35.095618368237204,-79.4202420096833,North Carolina,NC00172
Banner Elk,25,28604,NC,Rockrose Road,Diamond Creek,,,,,,,,,,"Diamond Creek Holdings, LLC",,,,,,,,,,,,,,,,,,multipolygon,,,,2003,,1522327.5413091877,36.15138591104828,-81.83622925947685,North Carolina,NC00206
Linville,2120,28646,NC,North Carolina Highway 105,Grandfather Golf & Country Club,,https://www.grandfatherclubnc.com/,+1-828-898-4531,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1507796.8535079556,36.09925731279035,-81.84990437550707,North Carolina,NC00192
Durham,1480,27713,,O'Kelly Chapel Road,Old Chatham Golf Club,,https://www.oldchathamgolf.org/,919-361-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503210.5840798167,35.842828958001746,-78.93414298171594,North Carolina,NC00261
Charlotte,1525,28217,NC,West Tyvola Road,Renaissance Park Golf Course,,,,,,,,,,,,,,county,,,,,18_hole,,,Harry Jones Sr. Golf Course,,,,,,,,,,,,1491452.1788444815,35.1725560466538,-80.91308821008528,North Carolina,NC00389
,,,,,Cramer Mountain Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477114.6952954903,35.229609967697556,-81.08405099990699,North Carolina,NC00455
,,,,,North Ridge Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470334.6667149116,35.88032367891761,-78.61172562786712,North Carolina,NC00249
,,,,,Greesnboro National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444257.5306626603,36.257756085627086,-79.82532707598274,North Carolina,NC00465
Charlotte,7817,28215,NC,Harrisburg Road,Charles T. Myers Golf Club,,https://www.myersparkcc.com/,+1 704 536 1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434486.6248692097,35.222047452346715,-80.69224352701148,North Carolina,NC00356
Whittier,79,28789,NC,Cahons Road,Sequoyah National Golf Club,,https://www.sequoyahnational.com/,+1-828-497-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428704.4782424099,35.43249977386956,-83.33573966895287,North Carolina,NC00419
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382612.3054394703,35.337168336334855,-82.27146676515068,North Carolina,NC00446
,,,,,Duke University Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354841.9459120834,35.99001952760292,-78.95186904953701,North Carolina,NC00239
West End,6033,27376,,Beulah Hill Church Road,Dormie Club,,http://www.dormieclub.com/,+1 910 215 4587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352758.7866822348,35.26439409945757,-79.49954074006558,North Carolina,NC00323
Raeford,349,28376,,South Parker Church Road,Bayonet at Puppy Creek,,https://www.bayonetgolf.com/,+1 888 229 6638,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1305333.583924687,35.013116173772055,-79.12583527002809,North Carolina,NC00089
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274407.4410753706,36.108115902163284,-75.73452199418365,North Carolina,NC00390
,,,,,Little River Golf Course,,http://littlerivernc.com/portfolio/little-river-golf-course-2/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1270870.6762314718,35.269670090387685,-79.42820279344465,North Carolina,NC00095
,,,,,Landfall Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247689.1854796703,34.23130318584228,-77.81255636429142,North Carolina,NC00393
Charlotte,2465,28205,NC,Mecklenburg Avenue,Charlotte Country Club,,https://www.charlottecountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242951.2611478763,35.22749553079925,-80.7888935805196,North Carolina,NC00245
Raleigh,2201,27614,,Wakefield Plantation Drive,TPC Wakefield Plantation,,https://www.ccwakefieldplantation.com/,+1 919 488 5100,,,,,,,,Q7671128,,,,,,,,,,,,,en:Country Club at Wakefield Plantation,,,,multipolygon,,,,,,1234548.2471658136,35.956698218326764,-78.55896995857681,North Carolina,NC00145
Charlotte,4300,28277,,Piper Glen Drive,TPC Piper Glen,,https://www.clubcorp.com/Clubs/TPC-Piper-Glen/,704-846-1212,,,,,,,,Q7671130,,,,,,,,,,,,,,,,,multipolygon,,,,,,1222073.9178166813,35.072404238311236,-80.81089265343772,North Carolina,NC00074
Charlotte,3700,28210,NC,Gleneagles Road,Quail Hollow Club,,https://www.quailhollowclub.com/,,,,,,,,,Q7268497,,,,,,,,,,,,,en:Quail Hollow Club,,,,,,,,,,1205253.623564198,35.114368355324636,-80.84223285871175,North Carolina,NC00435
Youngsville,100,27596,NC,Commonwealth Drive,Olde Liberty Golf Club,,https://www.oldelibertygolfnc.com/,+1-919-554-4690,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1197358.5352578284,36.076452195820046,-78.51438952227576,North Carolina,NC00143
Greenville,4950,27858,,Old Pactolus Road,Bradford Creek Public Golf Course,,https://www.greenvillenc.gov/government/recreation-parks/bradford-creek-public-golf-course,252-329-4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1158705.0543994547,35.61371322962826,-77.28969585496854,North Carolina,NC00063
,,,,,The 500 Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1145940.2203802443,35.748361840673546,-80.87093536618251,North Carolina,NC00180
,,,,,Members Club,,https://www.stjamesplantation.com/lifestyle/championship-golf/members-club-golf/,,,,,,,,Saint James Plantation,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1125763.6978201098,33.94076298812365,-78.12115742891719,North Carolina,NC00195
Rocky Mount,201,27804,,Belmont Club Way,Belmont Lake Golf Club,,https://www.belmontlakegolfclub.com/,+1 252 973 0800,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1120732.67518711,36.03086697198342,-77.78108146949432,North Carolina,NC00147
Etowah,470,28729,,Brickyard Road,Etowah Valley Golf & Resort,,https://www.etowahvalley.com/,+1 828 891 7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089836.101789491,35.32508793295142,-82.60603280744346,North Carolina,NC00363
,,,,,Brevofield Golf Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074554.0045600862,36.00470870377927,-78.57046132903777,North Carolina,NC00312
Sanford,442,27332,NC,Tobacco Road,Tobacco Road Golf Club,,https://tobaccoroadgolf.com/,+1 877 284 3762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074264.8506454793,35.39767833355385,-79.21383231102628,North Carolina,NC00337
Salisbury,220,28144,,Laurel Valley Way,Crescent Golf Club,,http://www.crescentgolfclub.com/,704-647-0025,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1069171.6128257927,35.70002440655967,-80.49550758916858,North Carolina,NC00080
Southern Pines,1005,28387,,Midland Road,Pine Needles,,http://www.pineneedles-midpines.com/pine-needles/,+1 910 692 7111,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1066951.025795755,35.200444105401516,-79.38662871831542,North Carolina,NC00099
Lake Lure,309,28746,NC,Winesap Road,Apple Valley Golf Course,,,,,,,,,,Rumbling Bald Resort,,,,,,,,,,,,,"Apple Valley Golf Course – Apple Valley opened in 1986 with rave reviews. It was called the “most beautiful mountain golf course” by Golf Digest. It was designed by Dan Maples, son of the great Ellis Maples.",,,,,,,,,,,1066370.5132008216,35.4538612176115,-82.16932717980166,North Carolina,NC00421
Indian Trail,6920,28079,,Howey Bottoms Road,Charlotte National Golf Club,,https://www.charlottenationalgc.com/,+1-704-882-8282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065857.780524742,35.12791942792987,-80.58335931429004,North Carolina,NC00354
,,,,,Stonebridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1064553.5296219399,34.940213861418776,-80.63378681679846,North Carolina,NC00201
Asheboro,3185,27205,NC,Tot Hill Farm Rd,Tot Hill Farm,,,,,,,,,,Tot Hill Farm Golf Club,,,,,,,,,,,,,,,,,,,,,,,,1060632.8678826028,35.6360421754903,-79.91021413169791,North Carolina,NC00483
,,,,,Finley Golf Course,,,,,,,,NCOnemap,,,,,,state,,yes,,,,,,,,,,,,,,,,,,1046295.958442896,35.90012599754465,-79.01977529298235,North Carolina,NC00241
Denver,7332,28037,,Kidville Road,Verdict Ridge Golf & Country Club,,https://www.verdictridge.com/,+1 704 257 0100,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1023098.5221475057,35.482339678358734,-81.03191748275859,North Carolina,NC00162
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1022851.8059573933,36.30085190877517,-75.80847997452013,North Carolina,NC00218
Clemmons,1000,27012,,Glen Day Drive,Salem Glen Country Club,,https://www.salemglen.com/,336-712-1010,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1019636.6897721895,35.976097919314654,-80.3875638227605,North Carolina,NC00085
,,,,,12 Oaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1012934.8322621785,35.66893880392313,-78.87465332486994,North Carolina,NC00120
,,,,,Pinehurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1012110.9447066952,35.182097747281105,-79.47497579405041,North Carolina,NC00214
,,,,,Mimosa Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1009067.6043231828,35.72496193128738,-81.71021065120486,North Carolina,NC00076
,,,,,Mimosa Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1009067.6043231828,35.72496193128738,-81.71021065120486,North Carolina,NC00075
,,,,,Crossings Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1003788.5434444639,35.982421116318605,-78.80601341019,North Carolina,NC00211
,,,,,Meadowlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002843.5629003395,36.005565033896154,-80.15611155718642,North Carolina,NC00464
Huntersville,14720,28078,,Northgreen Drive,Skybrook Golf Course,,https://www.skybrookgolf.com/,+1 704 948 6611,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1000004.3892141834,35.40875588038021,-80.76711081319583,North Carolina,NC00158
Cashiers,68,28717,,Golf Drive,Wade Hampton Golf Club,,https://www.wadehamptongc.com/,828-743-5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998994.3109413965,35.09241098024118,-83.0721463602571,North Carolina,NC00283
Goldsboro,2317,27530,,Salem Church Road,Lane Tree Golf Club,,https://www.lanetree.com/,+1 919 734 1245,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,995519.637747477,35.42362412565517,-78.0062538140441,North Carolina,NC00185
Advance,324,27006,,Bermuda Run Drive,Bermuda Run Country Club,,https://www.clubcorp.com/Clubs/Bermuda-Run-Country-Club,336-998-8155,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,991072.9289020919,36.00212668377662,-80.42435564875241,North Carolina,NC00083
,,,,,Star Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989245.1422308293,34.703867136987725,-77.05826817538342,North Carolina,NC00431
Clayton,400,27527,,Riverwood Drive,Riverwood Golf Club,,http://www.rgac.com/rw-golf.cfm,+1 919 550 1919,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,982763.31515931,35.665075203197276,-78.41248690210438,North Carolina,NC00149
Wake Forest,1200,27587,,Keith Road,The Hasentree Club,,https://www.hasentreecountryclub.com/,+1 919 556 3429,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,981447.5340371319,35.993674727787706,-78.59509441192567,North Carolina,NC00144
Burlington,2402,27215,,Pineway Drive,Alamance Country Club,,https://www.alamancecountryclub.com/,+1 336 584 0345,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,980880.1355043043,36.091821146355215,-79.49045609410274,North Carolina,NC00133
Greenville,311,27858,,Oxford Road,Brook Valley Country Club,,https://www.brookvalleycc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980340.6071163632,35.585191299913966,-77.32722467236424,North Carolina,NC00289
Southern Pines,290,28387,,Country Club Circle,Southern Pines Golf Club,,https://southernpinesgc.com/,+1 910 692 6551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977720.8818951759,35.15938687478102,-79.39859907222406,North Carolina,NC00267
,,,,,Olde Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974127.4684878412,34.12069230466607,-77.98644186604292,North Carolina,NC00397
Charlotte,7500,28227,,Olde Sycamore Drive,Olde Sycamore Golf Plantation,,https://www.oldesycamoregolf.com/,+1 704 573 1000,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,969864.9450093217,35.1644250763451,-80.6075274758553,North Carolina,NC00156
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,969109.8334472514,35.231910507004976,-79.38358562268827,North Carolina,NC00101
Charlotte,800,28216,NC,Radio Road,Sunset Hills,,https://www.charlottepublicgolf.com/update/,,,,,,,,,,,,county,,,,,,,,,,,,,,,,,,,,963715.1933261201,35.307244251309406,-80.88605236808742,North Carolina,NC00406
Huntersville,15801,28078,,Northstone Drive,NorthStone Country Club,,https://www.northstoneclub.com/,+1-704-948-4286,,,,,,,,Q7053617,,,,,,,,,,,,,en:NorthStone Country Club,,,,multipolygon,,,,,,958439.8710049447,35.431050195290794,-80.82312102166762,North Carolina,NC00059
Huntersville,15801,28078,,Northstone Drive,NorthStone Country Club,,https://www.northstoneclub.com/,+1-704-948-4286,,,,,,,,Q7053617,,,,,,,,,,,,,en:NorthStone Country Club,,,,multipolygon,,,,,,958439.8710049447,35.431050195290794,-80.82312102166762,North Carolina,NC00058
Davidson,19125,28036,,River Falls Drive,River Run Country Club,,https://www.clubcorp.com/Clubs/River-Run-Country-Club,+1 704 892 4633,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,957600.2720382831,35.46858931259649,-80.80287147220005,North Carolina,NC00157
Raleigh,1509,27606,,Main Campus Drive,Lonnie Poole Golf Course,,https://www.lonniepoolegolfcourse.com/,+1 919 833 3338,,,,,,,,Q6674755,,,,,,,,,,,,,,,,,,,,,,,955707.7641409033,35.75811285524691,-78.67872878307597,North Carolina,NC00339
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954975.6130739148,36.16529347997488,-79.30565499029804,North Carolina,NC00475
Huntersville,16500,28078,,Birkdale Commons Parkway,Birkdale Golf Club,,https://birkdale.com/,+1 704 895 8038,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,952257.8246873065,35.43689311736314,-80.88250655764958,North Carolina,NC00165
Huntersville,16500,28078,,Birkdale Commons Parkway,Birkdale Golf Club,,https://birkdale.com/,+1 704 895 8038,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,952257.8246873065,35.43689311736314,-80.88250655764958,North Carolina,NC00164
Sapphire,50,28774,,Slicers Avenue,Sapphire National Golf Club,,https://www.sapphirenational.com/,828-743-1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947844.0982471858,35.11699296764572,-83.02793701433369,North Carolina,NC00282
,,,,,Pinehurst Course No. 8,,https://www.pinehurst.com/golf/courses/no-8/,,,,,,,,Pinehurst Resort,,,,,,,,,,,,,,,,,,,,,,,,939108.730238914,35.21683134941224,-79.46953065128349,North Carolina,NC00324
Lake Norman,761,28164,,Club Drive,Cowan's Ford Golf Club,,https://www.cowansford.com/,+1 704 827 3088,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,938269.3920600727,35.445472569711406,-80.9674095798249,North Carolina,NC00163
Cornelius,19101,28031,,Peninsula Club Drive,The Peninsula Club,,https://www.thepeninsulaclub.com/,+1 704 896 7080,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,936675.0272411576,35.470262717210076,-80.91341048703624,North Carolina,NC00166
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,935682.728659924,35.49548488884985,-77.05307412490707,North Carolina,NC00231
Cashiers,1525,28717,,Highway 107 South,High Hampton Golf Club,,http://www.highhamptoninn.com/golf.aspx,800-334-2551,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,919820.4233761539,35.101615674286776,-83.08168974180758,North Carolina,NC00057
Raleigh,565,27603,NC,Competition Road,Eagle Ridge Golf Club,,http://www.rgac.com/er-golf.cfm,+1 919 661 6300,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,918339.4596156112,35.67002726612656,-78.66904043914269,North Carolina,NC00129
New Bern,5000,28562,,Clubhouse Drive,The Emerald Golf Club,,https://www.emeraldgc.com/,252-633-4440,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,918035.7923312031,35.11562457004278,-77.11414371558635,North Carolina,NC00067
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917894.1703181516,34.552023693614615,-77.90224283547701,North Carolina,NC00376
Concord,3247,28027,,Weddington Road Northwest,Cabarrus Country Club,,https://www.cabarruscc.org/,+1 704 786 3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913916.0517735985,35.396135747133336,-80.63321949162152,North Carolina,NC00357
Southern Pines,10,28387,,Knoll Road,Longleaf Golf & Family Club,,https://www.longleafgfc.com/,+1 910 692 6100,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,913562.7378636338,35.20649000886829,-79.42120488641145,North Carolina,NC00102
Winston-Salem,3535,27105,NC,Winston Lake Road,Winston Lake Golf Course,,https://www.winstonlakegolf.com/,,,,,,,,,,,,,,,,,,,boundary approximate,,,,,,,,,,,,,912454.2484009595,36.1226425801623,-80.19901218658079,North Carolina,NC00273
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,911931.1862499525,35.401803258388334,-77.60900250553833,North Carolina,NC00187
Charlotte,6001,28277,,Providence Country Club Drive,Providence Country Club,,https://www.providencecc.com/,704-846-8475,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,911657.6364625971,35.041551208139346,-80.78194727775511,North Carolina,NC00070
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911504.1228427525,35.20842139206536,-79.34599608845427,North Carolina,NC00326
Charlotte,7101,28269,,Highland Creek Parkway,Highland Creek Golf Club,,https://highlandcreekgolfclub.com/,+1 704 875 9000,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,910234.2846829472,35.38446367996611,-80.76546581111745,North Carolina,NC00159
Charlotte,3800,28269,,Prosperity Church Road,The Tradition Golf Club,,https://thetraditiongolfclub.com/,+1 704 503 7529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910175.3224106644,35.349462137402575,-80.76798863492037,North Carolina,NC00359
Cary,430,27511,,Saint Andrews Lane,MacGregor Downs Country Club,,https://www.macgregordowns.org/,919-467-0146,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,903825.5172239803,35.74561228685274,-78.79428042785358,North Carolina,NC00062
,,,,,Mid South Club,,https://talamoregolfresort.com/resort-golf/mid-south/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,893892.9282120045,35.187264858913856,-79.42136975444394,North Carolina,NC00104
Advance,261,27006,,Oak Valley Boulevard,Oak Valley Golf Club,,https://oakvalleygolfclub.com/,336-940-2000,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,892843.8630463817,35.982063281147745,-80.43839750013053,North Carolina,NC00082
,,,,,North Course,,,,,,,,,,Forest Creek Golf Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,890527.4876545437,35.23521640315584,-79.4260742521988,North Carolina,NC00093
,,,,,Maple Chase Golf & Country Club,,https://www.maplechasecc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882822.9025708442,36.1850754354662,-80.25495706142519,North Carolina,NC00296
Raleigh,3224,27610,NC,Auburn Knightdale Rd,River Ridge Golf Club,,,+19196618374,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,881916.855011922,35.726017138203936,-78.52277935197392,North Carolina,NC00224
Mooresville,120,28117,,Trump Square,Trump National Golf Club Charlotte,,https://www.trumpnationalcharlotte.com/,+1 704 799 7300,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,880496.0165620487,35.53346334112506,-80.92157203515205,North Carolina,NC00167
Charlotte,13704,28278,NC,Grand Palisades Parkway,The Palisades Country Club,,https://thepalisadescc.com/,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,multipolygon,,,,,,871688.3771977094,35.068218474473284,-81.0371320898662,North Carolina,NC00227
Holly Springs,5107,27540,,Linksland Drive,Devils Ridge Golf Club,,https://www.clubcorp.com/Clubs/Devils-Ridge-Golf-Club/,+1 919 557 6100,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,868666.1836461371,35.653042712732436,-78.8034699231026,North Carolina,NC00119
Fayetteville,6775,28306,,Irongate Drive,Gates Four Golf & Country Club,,https://www.gatesfour.com/,+1 910 425 6667,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,867923.7618742401,34.99500521520401,-79.01119680388905,North Carolina,NC00088
,,,,,Pinehurst No. 2,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,866187.9891658459,35.19147718207726,-79.46194999595232,North Carolina,NC00480
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,864018.5017937415,35.460885044352736,-82.60164301544796,North Carolina,NC00225
Raleigh,1527,27603,,Tryon Road,Raleigh Golf Association,,https://www.rgagolf.net/,+1 919 772 9987,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,863768.358015777,35.736725577644066,-78.6660970269449,North Carolina,NC00130
Charlotte,8801,28173,,Longview Club Drive,The Club at Longview,,https://www.theclubatlongview.com/,704-443-2500,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,863106.6641378027,35.026087269586675,-80.78751550900611,North Carolina,NC00071
Charlotte,8801,28173,,Longview Club Drive,The Club at Longview,,https://www.theclubatlongview.com/,704-443-2500,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,863106.6641378027,35.026087269586675,-80.78751550900611,North Carolina,NC00072
Matthews,6803,28104,,Stevens Mill Road,The Divide Golf Club,,http://www.thedividegolfclub.com/,+1 704 628 6438,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,855847.2985682529,35.13293209280277,-80.63792803307437,North Carolina,NC00155
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853359.51618678,35.20950430302617,-81.1462896813584,North Carolina,NC00454
,,,,,Croasdaile Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,851636.0860340935,36.03186564606323,-78.94642164936458,North Carolina,NC00052
,,,,,Sound of Freedom Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851310.4159914361,34.94383060493426,-76.89256325800429,North Carolina,NC00457
Greenville,200,27834,,Golf Club Wynd,Ironwood Golf & Country Club,,https://www.ironwoodgolf.com/,252-752-4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,848335.0381756964,35.642978160570586,-77.44553299766577,North Carolina,NC00064
Mebane,1700,27302,,Saint Andrews Drive,Mill Creek Golf Club,,https://www.golfmillcreek.com/,+1 919 563 4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,842984.4547983347,36.12140073540884,-79.265819393209,North Carolina,NC00136
Durham,1,27712,NC,Old Trail Drive,Treyburn Country Club,,https://www.treyburncc.com/,+1 919 620 0184,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,841629.7266447443,36.11910269712919,-78.86347036124823,North Carolina,NC00138
