description,name,website,golf:course,golf:par,phone,golf:links,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,operator,sport,access,gnis:feature_id,addr:country,check_date,check_date:currency:XBT,currency:XBT,opening_hours,note,old_name,disused,start_date,alt_name,wikidata,landuse,golf,access_fee,source,email,payment:cash,payment:mastercard,payment:visa,type,area_m2,lat,lon,province,gcid
,Stonebridge Country Club,http://golfstonebridgecc.com,18_hole,71,+1 603 497 8633,,Goffstown,161,03045,NH,Gorham Pond Road,,,,,,,,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,,,765571.1175800578,43.037086725423904,-71.63183414041357,New Hampshire,NH00096
,Owl's Nest Resort Golf Course,https://www.owlsnestresort.com/golf/,18_hole,72,+1 603 726 3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,760830.2387651367,43.86724321501509,-71.65283352968521,New Hampshire,NH00016
,Province Lake Golf Course,https://www.provincelakegolf.com,18_hole,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756782.3500571571,43.69105945283635,-70.97517270176442,New Hampshire,NH00073
,Lochmere Golf & Country Club,https://www.lochmeregolf.com/,18_hole,72,+1-603-528-4653,,Tilton,360,,NH,Laconia Road,Lochmere Golf,,,,,,,,,,,,,,,,,,,,,,,,728155.7865708881,43.470697054809456,-71.55344083493937,New Hampshire,NH00041
,Pembroke Pines Country Club,https://www.pembrokepinescc.com/,,,,,Pembroke,42,03275,NH,Whittemore Road,,,,,,2024-11-18,2024-02-29,no,09:00-21:00,,,,,,,,,,,,,,,,721072.160184294,43.1652951503914,-71.48615417527654,New Hampshire,NH00038
,Bald Peak Colony Club,https://www.baldpeak.org/golf,18_hole,72,+1 603 544 2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,713065.1211661949,43.697194787915706,-71.32709951474743,New Hampshire,NH00018
,Sagamore-Hampton Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706263.8177937317,42.99502719578795,-70.84132980017185,New Hampshire,NH00074
,The Ridge Country Club,https://www.pheasantridgeccnh.com/,18_hole,71,+1 603 524 7808,,Gilford,140,03249,,Country Club Road,,,,,,,,,,,Pheasant Ridge Country Club,,,,,,,,,,,,,,696680.7446102182,43.51960691491424,-71.43723098472806,New Hampshire,NH00067
,The Balsams Panorama Golf Course,https://thebalsamsresort.com/,18_hole,,,,,,,,,,,,,,,,,,"As of 2024.02.01: closed since at least 2019, currently undergoing comprehensive renovation. Tees and fairways were not discenrible, greens seem complete.",,yes,,,,,,,,,,,,,696070.113027782,44.8829186597698,-71.33294054116702,New Hampshire,NH00080
,Concord Country Club,https://www.concordcountryclub.org/,18_hole,70,+1 603 228 0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,694195.5504997774,43.2570301454762,-71.5376218918042,New Hampshire,NH00019
,Breakfast Hill Golf Club,https://breakfasthill.com/,18_hole,72,+1-603-436-5001,,Greenland,339,03840,,Breakfast Hill Road,,,,,,,,,,,,,,,,,,,,,,,,,675539.6881410988,43.016806876067434,-70.81648409796693,New Hampshire,NH00052
,Scottish Highlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674224.9536714429,42.75505226933915,-71.24443998833254,New Hampshire,NH00072
,Lake Sunapee Country Club,https://www.lakesunapeecc.com/,18_hole,70,+1 603 526 6040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662210.5967073047,43.400950022046686,-71.94713831777129,New Hampshire,NH00040
,Mount Washington Course,http://brettonwoods.com/activities/golf/overview,18_hole,72,+1-603-278-4653,,Bretton Woods,,03575,,Route 302,,,,,,,,,,,,,,,,,,,,,,,,,639534.5805736864,44.25372474686335,-71.43308165793022,New Hampshire,NH00039
,Hooper Golf Course,,,,,,,,,,,Town of Walpole,,,,,,,,,,,,,,,,,yes,GRANIT,,,,,,627410.650499932,43.06315484235649,-72.4190984668925,New Hampshire,NH00022
18 Hole Golf Course,Amherst Country Club,https://www.playamherst.com/,,,,,Amherst,72,03031,NH,Ponemah Road,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,617349.863569089,42.82841440555303,-71.60587089568224,New Hampshire,NH00013
,Sky Meadow Country Club,https://www.skymeadow.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,609416.4836230964,42.70346117974825,-71.47314425711468,New Hampshire,NH00010
,Newport Golf Club,https://newportgolfclub-nh.com/,18_hole,71,+1-603-863-7787,,Newport,112,03773,NH,Unity Road,,,,,,,,,,,,,,,,,,,,newportgolfclub.nh@gmail.com,yes,yes,yes,,601252.1813856829,43.34977952087232,-72.17268734071234,New Hampshire,NH00095
,Candia Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596785.881757491,43.04622468370473,-71.31990825856141,New Hampshire,NH00081
,Loudon Country Club,https://www.loudoncc.com/,18_hole,72,+1-603-783-3372,,Loudon,653,03507,,Route 106,,,,,,,,,,,,,,,,,,,,,,,,,595413.1641987963,43.33525799778876,-71.47667266953563,New Hampshire,NH00045
,Windham Country Club,https://windhamcc.com/,18_hole,72,+1 603 434 2093,,,,,,,Tomes,,,,,,,,,,,,,,,,,,,,,,,,567483.7684749326,42.81866156452068,-71.31157520179636,New Hampshire,NH00029
,Manchester Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563688.8050965786,42.94583879473871,-71.48421082953921,New Hampshire,NH00024
"Offers two courses, the 18-hole Championship Course and the 9-hole par 3 Executive Course",Hidden Valley Championship Course,http://www.hiddenvalleyrv.com/golfing.html,18_hole;9_hole,72;27,+1 603 887 7888,Champion;Exec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559704.2878244795,42.9203014988373,-71.24670715162713,New Hampshire,NH00026
,Beaver Meadow Golf Course,http://www.beavermeadowgolfcourse.com,,,+1-603-228-8954,,Concord,1,03301,NH,Beaver Meadow Street,City of Concord,,,,,,,,Mo-Su 08:00-18:30,,,,,,,,,,,,,,,,555163.2721850013,43.25960305747831,-71.56601785587338,New Hampshire,NH00069
,Kingswood Golf Club,https://kingswoodgolfclub.com/,,,+1 603 569 3569,,Wolfeboro,24,03894,,Kingswood Road,,,,,,,,,,,,,,,,,,,,,,,,,552650.109277041,43.5775061945352,-71.19223317765696,New Hampshire,NH00066
,Ridgewood Country Club,https://www.ridgewoodcc.net/golf/course#,18_hole,72,+1 603 476 5930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551518.3532198753,43.744226597837766,-71.3704967482314,New Hampshire,NH00042
,Overlook Golf Club,https://www.overlookgolfclub.com/,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,549032.9416779144,42.7189896356793,-71.54667100907584,New Hampshire,NH00034
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539330.7892393721,43.74063979868614,-71.67132573564903,New Hampshire,NH00094
,Eastman Links,https://www.eastmannh.org/golf-links,18_hole,71,+1 603 863 4500,,Grantham,6,03753,NH,Club House Lane,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,533473.485149,43.50219787467692,-72.11941713356143,New Hampshire,NH00014
,Souhegan Woods Golf Club,https://www.playgolfne.com/souhegan_home/,,,+1 603-673-0200,,Amherst,65,03031,,Thornton Ferry Road II,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,526843.1415902763,42.844696163443814,-71.57127701783075,New Hampshire,NH00009
,Derryfield Country Club,,,,,,Manchester,625,03104,NH,Mammoth Road,City of Manchester Department of Parks and Recreation,,,,,,,,,,,,,,,,,,,,,,,,524744.3732697326,42.992376242452636,-71.43186839897244,New Hampshire,NH00059
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523976.7521073187,42.932232910482256,-72.31998317038403,New Hampshire,NH00101
,Granite Fields Golf Club,https://granitefields.com/,,,+1-603-642-9977,,Kingston,7,,NH,NH 125,,,,,US,,,,,,,,,,,,,,,,,,,,521409.3326262931,42.862403713830794,-71.08026942585099,New Hampshire,NH00093
,Rochester Country Club,https://www.rochestercc.com/,18_hole,72,+1-603-332-0985,,Rochester,94,03839,,Church Street,,,,,,,,,,,,,,,,,,,,,,,,,519648.9276140615,43.26284759228716,-70.97325216827352,New Hampshire,NH00047
,Abenaqui Country Club,https://www.abenaquicc.com/,18_hole,72,+1-603-964-5563,,Rye Beach,731,03871,,Central Road,,,,,,,,,,,,,,,Q104898220,,,,,,,,,,515349.9608147205,42.97752414720604,-70.77587002010168,New Hampshire,NH00050
,North Conway Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509363.072623689,44.051247689698116,-71.13663739458312,New Hampshire,NH00032
,Nashua Country Club,https://www.nashuacountryclub.com/,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,503130.3231339614,42.74055053149014,-71.44568721272633,New Hampshire,NH00031
,Apple Hill Golf Club,http://applehillgolf.com/,18_hole;9_hole,70;27,+1-603-642-4414,Apple18;Par3,East Kingston,69,03827,,East Road,,,,,,,,,,,,,,,,,,,,,,,,,501640.1164603946,42.92255785136372,-70.98077304321309,New Hampshire,NH00051
,Hanover Country Club,https://golf.dartmouth.edu/,,,+1 603-646-2000,,Hanover,5,03755,NH,Hilton Field Road,,,,,,,,,,,,golf_course,,,Q5649374,,,,,,,,,multipolygon,496469.7080998812,43.71585983072819,-72.27926761782365,New Hampshire,NH00012
,Merrimack Valley Golf Club,,,,,,Methuen,210,01844,MA,Howe Street,,,,602869,,,,,,,,,,,,,,,,,,,,,487990.58784096886,42.75364522529602,-71.17895461133135,New Hampshire,NH00077
,Indian Mound Golf Course,https://www.indianmoundgc.com,18_hole,70,+1 603 539 7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,477846.06476553273,43.77743298331934,-71.16066852426687,New Hampshire,NH00017
,Wentworth by the Sea Country Club,https://www.wentworthbytheseacc.com/,,,+1-603-433-3050,,Rye,60,03870,,Wentworth Road,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,464662.2975049147,43.05080771606637,-70.73654571333867,New Hampshire,NH00011
,Androscoggin Valley Country Club,https://avccgolf.com/home,18_hole,70,+1 603 466 9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454169.9786472991,44.38740593793998,-71.15674274761393,New Hampshire,NH00089
,Hidden Creek Country Club,http://www.hiddencreekgolfnh.com/,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,445768.0869824325,42.880253201977006,-71.4494795477318,New Hampshire,NH00030
,Passaconaway Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442209.75495344884,42.86216396455831,-71.47906284659636,New Hampshire,NH00021
,Nippo Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422620.3752803479,43.233108431223684,-71.07771038535678,New Hampshire,NH00076
,Waukewan Golf Course,https://www.waukewangolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401729.65867644706,43.6878840899726,-71.52285431809722,New Hampshire,NH00049
,The Maplewood Golf Club,https://www.maplewoodgolfresort.com/,,,+1-877-869-3335,,Bethlehem,2691,03574,NH,Main Street,,,,,,,,,,,,,,,,,,,,,,,,,390127.29701923096,44.2814951705636,-71.66621775738527,New Hampshire,NH00057
,Mount Pleasant Course,http://brettonwoods.com/activities/golf/overview,9_hole,35,+1-603-278-4653,,Bretton Woods,,03575,,Route 302,,,,,,,,,,,,,,,,,,,,,,,,,367104.2478740814,44.25520781786983,-71.44555751509245,New Hampshire,NH00046
,Mountain View Grand Golf Course,https://www.mountainviewgrand.com/amenities/mountain-view-golf-course,9_hole,35,+1 855 837 2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,361620.19898982305,44.39823564395628,-71.5873214603621,New Hampshire,NH00015
,Bethlehem Country Club,http://www.bethlehemccnhgolf.com/,,,+1-603-869-5745,,Bethlehem,1901,03574,,Main Street,,,,,,,,,,,,,,,,,,,,,,,,,347672.5734938811,44.28289066580994,-71.69614020714998,New Hampshire,NH00056
,Wentworth Golf Club,https://www.wentworthgolf.com/,,,+1-603-383-9641,,Jackson,,03846,,Route 16A,,,,,,,,,,,,,,,,,,,,,,,,,331567.94055635756,44.14658592789614,-71.18697902564766,New Hampshire,NH00037
,Londonderry Country Club,https://londonderrycountryclub.com/,18_hole,62,+1 603 432 9789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320176.1346355648,42.886336593113924,-71.42344283880135,New Hampshire,NH00025
,Farmington Country Club,http://www.farmingtoncountryclubnh.com/,9_hole,36,+1 603 755 2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284467.51733591186,43.38409943837511,-71.05025244290174,New Hampshire,NH00087
,Whip Poor Will Golf Club,https://www.playgolfne.com/golf/proto/playgolfne/whippoorwill_home/whippoorwill_home.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271455.4146663159,42.78539391416184,-71.4309478897571,New Hampshire,NH00028
,Cochecho Country Club,,,,,,Dover,145,03820,NH,Gulf Road,,,,,,,,,,,,,,,,,,,,,,,,,264448.6690303955,43.19641226152536,-70.85112669949126,New Hampshire,NH00082
Holes 6 and 8 can also be played as par 4,Profile Club,https://www.profileclub.net/,9_hole,36,+1-630-823-7083,,Franconia,198,03580,,Profile Club Road,,,,,,,,,,,,,,,,,,,,,,,,,263590.74906379223,44.20639810448871,-71.69484612905914,New Hampshire,NH00058
,Pine Grove Springs Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258034.487034181,42.90475180026364,-72.43040744960457,New Hampshire,NH00085
,Den Brae Golf Course,https://www.denbrae.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256458.8155857425,43.50033876857651,-71.63576238483563,New Hampshire,NH00099
,Cochecho Country Club,,,,,,Dover,143,03820,NH,Gulf Road,,,,,,,,,,,,,,,,,,,,,,,,,255617.46724214623,43.200254258647526,-70.84438128507657,New Hampshire,NH00083
,Hoodkroft Country Club,https://www.hoodkroftcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240522.51979374464,42.886576952063216,-71.31448450044786,New Hampshire,NH00020
9 Hole Executive Golf Course,Ponemah Green Family Golf Center,https://www.playamherst.com/,,,,,Amherst,55,03031,NH,Ponemah Road,,,,,,,,,,,,,,,,,,,,,,,,,225346.383215095,42.830852569749226,-71.61407688701904,New Hampshire,NH00033
,Intervale Country Club,https://www.intervalecc.com/,9_hole,36,+1 603 647 6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225225.78515247404,43.030895230404305,-71.48099441196895,New Hampshire,NH00078
,Rockingham Country Club,https://www.rockinghamgolf.com/,9_hole,35,+1 603 659 9956,,,,,,,,,,,,,,,,,,,,The Rock,,,,,,,,,,,207894.8192698351,43.05356321791781,-70.94023433818816,New Hampshire,NH00043
,Exeter Country Club,https://www.exetercountryclub.com/,,,,,,,,,,,,,,,,,,,,,,1889,,,,,,,,,,,,207813.45689940415,42.99129016144654,-70.94057961964447,New Hampshire,NH00023
,The Eagle Mountain House & Golf Club,https://www.eaglemt.com/golf-en.html,9_hole,32,+1-800-966-5779,,Jackson Village,179,03846,,Carter Notch Road,,,,,,,,,,,,,,,,,,,,,,,,,200217.82757371978,44.15649820041414,-71.18201617867923,New Hampshire,NH00048
,Claremont Country Club,https://claremontcountryclubnh.com/,9_hole,34,+1 603 542 9550,,Claremont,53,03743,NH,Country Club Road,,,,,,,,,,,,,,,,,,,,,,,,,192269.3551105592,43.36143634342405,-72.35692929382091,New Hampshire,NH00088
,Hale’s Location Golf Course,https://www.haleslocationgolf.com/,9_hole,36,+1 603-356-2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,185459.7521007335,44.04653778758882,-71.16420581582364,New Hampshire,NH00008
,Duston Country Club,https://www.dustoncc.com/,,,+1 603 746 4234,,Hopkinton,40,03229,,Country Club Road,,,,,,,,,,,,,,,,,,,,,,,,,162249.5857353802,43.18380957282366,-71.74118545373088,New Hampshire,NH00061
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159331.21718859542,43.62058883337527,-71.51286951956642,New Hampshire,NH00100
,Carter Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150246.83258309006,43.63525286188815,-72.27747116813869,New Hampshire,NH00035
,World Cup Golf Center,https://www.worldcupgolfcenter.com/,,,+1 603 598 3838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128975.70827193453,42.71579115721983,-71.42280332627156,New Hampshire,NH00098
,Waterville Valley Golf Course,https://www.wvclubhouse.com/golf,9_hole,31,+1 603 236 4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116616.56582956879,43.95495735523985,-71.50607387080973,New Hampshire,NH00060
,Granliden Golf Course,https://www.granliden.com/golf,9_hole,32,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,115405.85450092403,43.406910163911135,-72.07770689625076,New Hampshire,NH00071
,Linderhof Country Club,https://www.linderhofcountryclub.com/thecourse,9_hole,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79352.94192088078,44.1162950261677,-71.18744845033754,New Hampshire,NH00044
,The Links - LaBelle Winery Golf Course,http://www.labellewinery.com,,,,,Derry,14,03038,NH,State Route 111,,,,,,,,,,,,,,,,,,,,,,,,,73720.8135562616,42.855359475262226,-71.21240595717606,New Hampshire,NH00027
,Locke Lake Links,https://lockelakecolony.com/,6_hole,24,,,,,,,,Locke Lake Colony Association,,private,,,,,,,"Course appears to be minimally groomed, with no real fairways.",,,,,,,,,,,,,,,50295.39887541719,43.37831244762095,-71.24241813473442,New Hampshire,NH00065
,Fore on 4 Driving Range,https://foreon4.com/,,,+1-603-868 6600,,Lee,86,03824,NH,Concord Road,,,,,,2025-09-28,,,,,,,,,,,,,,,,,,,44360.28424635093,43.1476305211032,-70.99767709428538,New Hampshire,NH00070
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,grass,driving_range,,,,,,,,41611.87828938847,43.04443285041259,-70.93023382255001,New Hampshire,NH00062
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20479.494544523764,43.78771916578583,-71.17387452825967,New Hampshire,NH00097
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,driving_range,,,,,,,,17594.354748564496,43.069747483476036,-71.04564125444783,New Hampshire,NH00063
