addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,gnis:feature_id,layer,golf,operator,note,source,sport,opening_hours,fixme,golf:course,access,type,start_date,wheelchair,not:name,email,height,area_m2,lat,lon,province,gcid
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,227666.39143440488,45.76604063565102,-108.5630020035415,Montana,MT00038
,,,,,River's Bend Golf Course,,,,,,,,,,,,,,multipolygon,,,,,,227604.31530340272,47.627081068946616,-115.40010042931044,Montana,MT00019
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,226513.14378893733,47.13117584287422,-104.74121045611481,Montana,MT00033
,,,,,Stevensville Golf Course,,,,,,,,,,,,,,multipolygon,,,,,,224412.32123307677,46.548965337399885,-114.09540822717972,Montana,MT00018
,,,,,Polson Bay Olde Course,,https://www.polsonbaygolf.com/golf/olde-course,,,,Polson Bay Golf Course,,,,,,,,,,,,,,207644.0869679468,47.69576042092631,-114.1318465678261,Montana,MT00076
,,,,,Linda Vista Golf Course,,,,,,,,,,,,,,,,,,,,200916.49002320055,46.822591610351935,-114.05829986266934,Montana,MT00087
,,,,,Arrowhead Meadows Golf Course,,,,,,,,,,,,,,,,,,,,196914.62765648455,46.5375769196438,-110.90286483745521,Montana,MT00055
,,,,,Trestle Creek Golf Course,,,,,,,,,,,,,,,,,,,,192530.29423275,47.28706062796267,-115.08718826727703,Montana,MT00096
,,,,,Livingston Golf and Country Club,,,,,,,,,,,,,,,,,,,,192130.58079204126,45.661202023609306,-110.54243356766922,Montana,MT00060
Billings,714,59102,MT,Poly Drive,Hilands Golf Club,+1-406-245-3049,https://www.hilandsgolfclub.com/,,,,,,,,,,,,,,,,,,191952.77426017757,45.79285249325086,-108.53647071020109,Montana,MT00052
,,,,,Highland View Par-3 Course,,,,-1,,,,,,,,,,,,,,,,140089.49734291033,45.978049057480014,-112.5249016909188,Montana,MT00094
,,,,,Silver Fox Golf Course,,,,,,,,,,,,,,,,,,,,138423.56844257258,47.592772334307604,-114.10536479048152,Montana,MT00100
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,92581.29887472387,45.72874626804944,-111.06929450475833,Montana,MT00086
,,,,,Meadow Creek Golf Course,,,,,,,,,,,,,,,,,,,,62032.682832339095,48.76170708898549,-114.90277767652294,Montana,MT00093
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,47869.58116987503,48.44178616525598,-114.34921492535257,Montana,MT00081
