addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,sport,addr:floor,check_date,internet_access,level,opening_hours,wheelchair,designation,old_name,alt_name,landuse,fixme,addr:country,golf:course,golf:par,operator,access,email,operator:type,umn:landuse,disused,gnis:feature_id,abandoned,addr:postbox,holes,addr:unit,description,wikidata,building:levels,operator:wikidata,surface,golf,ref,note,type,area,fax,start_date,wikipedia,area_m2,lat,lon,province,gcid
Wayzata,200,55391,MN,Wayzata Boulevard,Wayzata Country Club,+1-952-473-8846,http://wayzatacc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860064.2140680766,44.98017033029984,-93.53101115227923,Minnesota,MN00124
Becker,14000,55308,MN,Club House Lane,Pebble Creek Golf Course,,https://pebblecreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,858292.106645522,45.40769114232069,-93.8690388969369,Minnesota,MN00033
Woodbury,9555,55125,,Wedgewood Drive,Prestwick Golf Club,+1-651-731-4779,https://www.prestwick.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,852592.268016526,44.89581275271565,-92.91240830009973,Minnesota,MN00021
,,,,,Bellwood Oaks Golf Course,+1-651-437-4141,https://www.bellwoodoaksgolf.com/,,,,,,,sunrise-sunset,,,,,,,,18_hole,73,Bellwood Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,844049.8588618801,44.649463771507634,-92.83797063260023,Minnesota,MN00341
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841283.6448120408,44.56803857217485,-92.81045221779114,Minnesota,MN00279
,,,,,Little Crow Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840511.6703156971,45.28090898428993,-94.94948532758418,Minnesota,MN00304
,,,,,Whitefish Golf club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839550.9763003894,46.65702305818889,-94.23630094083946,Minnesota,MN00469
,,,,,Hazeltine National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,834507.5936965942,44.83114490297014,-93.58518390127578,Minnesota,MN00034
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820180.1808806959,45.08393219436995,-93.53402171473174,Minnesota,MN00425
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,812474.2018934903,45.25114822672324,-94.14474669820262,Minnesota,MN00070
,1920,55972,,Gladiola Drive,St. Charles Golf Club,+1-507-932-5444,https://www.stcharlesgolfclub.com/,bing,,,,,,,,,,Saint Charles Golf Club,,hole ways here are highway paths and don't have golf tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,810370.7912054627,43.95858051166089,-92.04601445197943,Minnesota,MN00139
,,,,,Somerby Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810184.7112165404,44.04815720472639,-92.63541924438489,Minnesota,MN00150
,,,,,Cannon Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809048.848526554,44.51769943736149,-92.93058964293476,Minnesota,MN00140
,,,,,Medina Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808551.2879310976,45.05261743561756,-93.53721711696241,Minnesota,MN00254
Stillwater,13600,55082,,North Hudson Boulevard,StoneRidge Golf Club,+1-651-436-4653,http://stoneridgegc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807046.2751037459,44.95270928392486,-92.82936223839047,Minnesota,MN00225
Otsego,10247,55362,MN,95th Street Northeast,Riverwood National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St NE,,,,,,,,,multipolygon,,,,,804751.5719100591,45.282623105810295,-93.6798866454172,Minnesota,MN00066
,,,,,Oak Summit Golf Course,,,digitalglobe,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,798077.0562239039,43.923808764732804,-92.49736543427214,Minnesota,MN00104
,,,,,Oak Summit Golf Course,,,digitalglobe,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,798077.0562239039,43.923808764732804,-92.49736543427214,Minnesota,MN00103
,,,,,Burl Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795054.5457665421,44.974922657153556,-93.66422944660033,Minnesota,MN00149
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788436.1222946473,45.557114515607466,-93.57461102667537,Minnesota,MN00239
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784454.8121578406,44.77179022670731,-93.69703432926927,Minnesota,MN00335
Oakdale,526,55128,,Inwood Avenue North,Oak Marsh Golf Course,+1-651-730-8886,https://www.oakmarshgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782161.047396024,44.95648698266329,-92.94209528105583,Minnesota,MN00168
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,778886.0303158365,45.69473131436042,-94.94539928806886,Minnesota,MN00062
Brooklyn Park,8700,55443,,Edinbrook Crossing,Edinburgh USA,+1-763-315-8550,https://www.edinburghusa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,771653.5046836392,45.114592186995,-93.32527229011285,Minnesota,MN00024
Walker,6516,56484,MN,Long Bow Trail NW,Long Bow Golf Club,+1-218-547-4124,https://longbowgolfclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771308.0170880035,47.17012568354446,-94.63110083139675,Minnesota,MN00410
,,,,,Hidden Greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767646.9671074902,44.66014040487827,-92.83954168661006,Minnesota,MN00179
,,,,,Minniwaska Golf Club,,https://www.minnewaskagolf.com/,,,,,,,,,,,,,,,18_hole,72,,,,,,,,,,,,,,,,,,,,,,,,,762236.8708312514,45.662128489932954,-95.41898896747152,Minnesota,MN00429
,,,,,Tipsinah Mounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757249.6197064051,46.00341192204742,-95.87430028645011,Minnesota,MN00359
,,,,,Columbia Golf Course,,,,,,,,,,,,,,,,,,,Minneapolis Park and Recreation Board,yes,,public,,,,,,,,,,,,,,,,,,,,,755284.2628195428,45.02706999753818,-93.25324683432675,Minnesota,MN00084
,,,,,Wild Marsh Golf Club,,https://www.wildmarsh.com/,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754079.4894730954,45.14793367938843,-93.87990151250813,Minnesota,MN00238
Owatonna,1991,55060,,Lemond Road,Owatonna Country Club,+1-507-451-6120,https://www.owatonnacc.com/,,,,,,,,yes,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753490.8966965603,44.064995025017225,-93.246907904229,Minnesota,MN00182
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749793.9034822538,45.65939884148472,-94.24158879097138,Minnesota,MN00385
,725,,,Sixth Avenue North,Spring Hill Golf Club,,https://springhillgc.com/,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,multipolygon,,,,,748552.6444551954,44.9966393913105,-93.54569688416049,Minnesota,MN00065
Stillwater,11950,55082,,80th Street North,Loggers Trail Golf Course,+1-651-439-7862,https://www.loggerstrail.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745739.6713346589,45.067198079186845,-92.87122572805718,Minnesota,MN00220
,,,,,Dellwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,739749.9819650177,45.102747964142026,-92.97694016225728,Minnesota,MN00060
,6200,,MN,Interlachen Boulevard,Interlachen Country Club,,https://www.interlachencc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735874.0511193558,44.9150295207451,-93.37724525413587,Minnesota,MN00089
,,,,,Eastwood Golf Club,,,MOA,,,,,,,,City of Rochester Park 19,,Eastwood Golf Course,,,,,,City of Rochester,,,,,,,,,,,,,,,,,,,,,,,,735690.1785152012,44.00689418840176,-92.40665366174257,Minnesota,MN00130
,,,,,The Classic at Madden's,,,,,,,,,,,,,,,,,18_hole,,Madden's Resort,,,,,,,,,,,,,,,,out_of_bounds,,,,,,,,735009.6353075744,46.37907421222254,-94.35403763984645,Minnesota,MN00397
Moorhead,401,56560,MN,34th Street South,The Meadows,+1 218 299 7888,https://www.cityofmoorhead.com/departments/parks-recreation/golf-courses/the-meadows/restaurant-pro-shop,,,,,,,,,,,,,,,,,City of Moorhead,,,,,,,,,,,,,,,,,,,multipolygon,,,,,731626.4029098325,46.86849260016418,-96.72795262921058,Minnesota,MN00026
,,,,,Meadowbrook Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731607.6490591817,44.92402624757435,-93.36907215648249,Minnesota,MN00091
,,,,,Tianna Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727717.5614988899,47.07753804815773,-94.58400964592572,Minnesota,MN00116
,,,,,Mesaba Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725492.3874162091,47.38139882492993,-92.93026490398482,Minnesota,MN00465
Bemidji,2425,56601,MN,Birchmont Beach Road Northeast,Bemidji Town & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723183.0818824719,47.544370727759684,-94.83633524394003,Minnesota,MN00115
Prior Lake,3151,55372,MN,Wilds Ridge,The Wilds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,721408.4753603719,44.73644705505511,-93.4584394850989,Minnesota,MN00040
,,,,,"The River Golf Course, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721011.907959662,48.576008155279624,-93.45614431376922,Minnesota,MN00243
,,,,,Oak Harbor Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718797.700513365,48.798160994997964,-94.70947645563314,Minnesota,MN00339
Sauk Centre,10548,56378,MN,Andrews Drive,GreyStone Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700122.8898071682,45.776989979896136,-94.93999556783949,Minnesota,MN00457
Cottage Grove,11099,55016,,South Highway 61,River Oaks Golf Course,+1-651-438-2121,https://www.riveroaksmunigolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692538.1544011898,44.79004872153782,-92.89077166727243,Minnesota,MN00223
,,,,,Kimball Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689214.7183428291,45.29571734732566,-94.295931048787,Minnesota,MN00372
Lakeville,16725,55044,MN,Innsbrook Drive,Crystal Lake Golf Club,+1-952-432-6566,https://crystallakegolfcourse.com/,,,,,,,,,,,,,,,,,,,info@crystallakegolfcourse.com,,,,,,,,,,,,,,,,,multipolygon,,+1-952-953-6462,,,686123.7886641774,44.70748728157051,-93.25170033916446,Minnesota,MN00038
,,,,,White Bear Yacht Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685739.9402591991,45.0936977995897,-92.9679524942275,Minnesota,MN00434
,,,,,Valleywood Golf Course,,,,,,,,,,,,,,,,,,,City of Apple Valley,,,,,,,,,,,,,,,,,,,,,,,,684568.0725488876,44.77162031944143,-93.15889975237455,Minnesota,MN00131
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682864.2239602176,44.686614559185394,-93.31076023462556,Minnesota,MN00148
,,,,,The Minikahda Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7751561,,,,,,,multipolygon,,,,en:The Minikahda Club,678675.1227706352,44.9398811203892,-93.32541703573342,Minnesota,MN00050
,,,,,Chomonix Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676825.7210960188,45.16061255519785,-93.10366883551544,Minnesota,MN00175
,,,,,Austin Country Club,,,bing,,,,,,,,country club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674371.336745484,43.67778236828955,-92.92407627532371,Minnesota,MN00128
,,,,,Village Green Golf Course,+1 218 299 7888,https://www.cityofmoorhead.com/departments/parks-recreation/golf-courses/village-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,671262.1827663088,46.84024166951108,-96.72544101967061,Minnesota,MN00020
,,,,,Whitebirch Golf Course,,https://breezypointresort.com/whitebirch-brainerd-golf-course/,,,,,,,,,,,,,,,,,Breezt Point Resort,,,,,,,,,,,,,,,,,,,multipolygon,,,,,670671.7418408284,46.59097956814401,-94.23539443309102,Minnesota,MN00047
,,,,,Oneka Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666639.5245485113,45.12739032552965,-92.98919803801151,Minnesota,MN00412
,,,,,Elk River Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf cartpath,,,,,,,,,666620.1198466679,45.332445910746095,-93.59719147653699,Minnesota,MN00283
,,,,,Brookview Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663990.3262496454,44.97972971197898,-93.38676845017906,Minnesota,MN00092
,,,,,Heritage Links Golf Club,,https://www.heritagelinks.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662268.0308994807,44.63312110579152,-93.35665456851584,Minnesota,MN00284
,,,,,Fox Hollow Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,660775.2267853868,45.22115815003759,-93.57359789576478,Minnesota,MN00064
Rochester,8600,55904,MN,Maple Valley Road SE,Maple Valley Golf & Country Club,+1-507-285-9100,https://www.maplevalleygolf.com/,bing,,,,,,,,,,Maple Valley Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658993.9650222333,43.89617068459493,-92.37685314599554,Minnesota,MN00142
,,,,,Atikwa Golf Club,+1-320-762-8337,https://arrowwoodresort.com/recreation-golf,,,,,,,,,,,,,,,18_hole,72,Arrowwood Resort,,,,,,,,,,,,,,,,,,,,,,,,658282.7468013407,45.93025844732893,-95.40616282934634,Minnesota,MN00446
,25238,55912,,540th Avenue,Meadow Greens Golf Course,+1-507-433-4878,https://www.meadowgreensgc.com/sites/courses/layout9.asp?id=722&page=40268,bing,,,,,,,,,Ramsey Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656649.5788870545,43.721225758573496,-92.96479198492987,Minnesota,MN00204
