name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,opening_hours,operator,golf:course,description,email,start_date,website,facebook,source,wikidata,alt_name,golf,landuse,old_name,addr:full,contact:facebook,golf:par,sport,note,wikipedia,layer,surface,addr:country,contact:website,access,hole,tee,opening_hours:signed,owner,type,fixme,designation,ele,gnis:feature_id,area_m2,lat,lon,province,gcid
Ocean County Golf Course at Atlantis,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,1029650.5972133012,39.58109240535329,-74.35776275230857,New Jersey,NJ00085
Rockleigh Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1000928.6601286043,40.997792965884074,-73.93798365527174,New Jersey,NJ00017
Flanders Valley Golf Course,Flanders,81,07836,NJ,Pleasant Hill Road,+1-973-584-5382,,,,,,,https://www.flandersvalleygc.com/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,984400.5281991918,40.83131113062723,-74.68640315784765,New Jersey,NJ00028
Mercer Oaks East Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980312.1787709378,40.27695463023365,-74.64392759829971,New Jersey,NJ00081
Eagle Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,970306.4242058601,40.06260123364809,-74.2494232630132,New Jersey,NJ00065
Laurel Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,959405.7234454154,39.99286662319205,-74.89350025899195,New Jersey,NJ00013
Unknown Golf Course,Boonton,990,,,Greenbank Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,951277.804830335,40.89513101808365,-74.38224803458559,New Jersey,NJ00047
Galloway National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942051.6065419376,39.45937840752174,-74.46154632790149,New Jersey,NJ00095
Galloway National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942051.6065419376,39.45937840752174,-74.46154632790149,New Jersey,NJ00096
Ramblewood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938537.6507090881,39.92655074079847,-74.93508112198161,New Jersey,NJ00106
Howell Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924769.8688346259,40.17910063684161,-74.18048463183432,New Jersey,NJ00299
Ballyowens Golf Club,,,,,,+1-855-977-6473,,Crystal Springs Resort,,"Used Bing Background - For TGC the offset is WE=+1.90, SN = +2.95",,,https://www.crystalgolfresort.com/golf/courses/ballyowen/,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,924461.932986133,41.1370971466664,-74.58338931060575,New Jersey,NJ00277
Galloping Hill Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,917080.4611173407,40.684787411332216,-74.28201136463689,New Jersey,NJ00027
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,910385.9588192316,40.312863172769525,-74.44566454919173,New Jersey,NJ00023
The Ridgewood Country Club,Paramus,96,07652,,West Midland Avenue,+1 201-599-3900,,,,,,,https://www.rcc1890.com/,,Yahoo,Q14705856,,,,,,,,,,,,,,,,,,,,,,,,,897258.465571867,40.942737719985345,-74.07819484429425,New Jersey,NJ00267
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,881103.709841731,40.471459461725445,-74.85014532532607,New Jersey,NJ00257
Sea Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880863.6875277769,39.62106047420443,-74.33233789686409,New Jersey,NJ00086
Berkshire Valley Golf Course,Jefferson,28,,,Cozy Lake Road,,,Morris County Park Commission,,,,,http://www.golfmorriscounty.com/fees/berkshire-valley-fees.html,,,,,,,,,,,,,,,,,,,,,,,multipolygon,fix borders,,,,871770.3222871133,41.00442376660365,-74.51174582916853,New Jersey,NJ00044
Upper Montclair Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862054.435946124,40.84401933970539,-74.1744598044645,New Jersey,NJ00110
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,858237.1384524568,40.60477240189457,-75.10986109663638,New Jersey,NJ00261
Farmstead Golf and Country club,Lafayette,88,,,Lawrence Road,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,855868.3707425627,41.05336364978658,-74.70249281255774,New Jersey,NJ00050
Harbor Pines Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852491.3675072652,39.347987702250514,-74.62000032708221,New Jersey,NJ00092
Due Process Stables Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,852134.599190932,40.30038855828627,-74.11322185377244,New Jersey,NJ00024
Hawk Pointe Golf Club,Washington,4,07882,,Clubhouse Drive,+1 908-689-1870,,,,,,,https://www.hawkpointegolf.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,851416.8579013406,40.73865617327021,-74.96822230920625,New Jersey,NJ00262
McCullough's Emerald Golf Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,842156.3497008921,39.35908229410982,-74.61072073130485,New Jersey,NJ00036
Greate Bay Resort and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839998.4280655093,39.31496965952466,-74.61221501678736,New Jersey,NJ00079
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815319.1947673196,39.863742779749536,-74.98601437080744,New Jersey,NJ00322
Preakness Valley Golf Course,Wayne,209,07470,NJ,Totowa Road,,,Passaic County,,,,,,,,Q20880738,,,,,,,,,,,,,,,,,,,,,,,,,812618.3948949791,40.91721416705026,-74.23110484549952,New Jersey,NJ00284
Seaview Golf Club Pines Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808682.6124554717,39.44945357237306,-74.4819326653179,New Jersey,NJ00078
Beckett Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806552.9128609285,39.71389158681379,-75.32741817501669,New Jersey,NJ00093
Cape May Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802927.3367462623,38.984013987995766,-74.89243653695632,New Jersey,NJ00268
Old Bridge Golf Course - The Rose Lambertson,Matawan,157,07747,NJ,Lambertson Road,,Mo-Su 07:15-22:00,Old Bridge Township,,"18-hole golf course, 18-hole mini-golf course, Clubhouse, 30 bay driving range",,,https://www.obnjgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,794761.1335499828,40.41514259858722,-74.2720019599019,New Jersey,NJ00336
Riverwinds Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787398.14844423,39.86130126669391,-75.1999720929887,New Jersey,NJ00281
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,773098.744456932,40.77754409734206,-74.56455944668093,New Jersey,NJ00161
Suneagles Golf Club,Eatontown,2000,07724,NJ,Lowther Drive,+1-732-389-4300,,,,,,,https://www.suneaglesgolf.com/web/pages/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,771401.1065237662,40.3000336983827,-74.07448130951093,New Jersey,NJ00274
Hominy Hill Golf Course,,,,,,,,Monmouth County Park System,,,,,,,NJ2002LULC,Q5890900,,,,,,,,,,,,,,,,,,,,,,,,,763301.7690453473,40.274248867810286,-74.1999535233033,New Jersey,NJ00169
Bey Lea Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,757097.443853358,39.98921644858215,-74.1906994392324,New Jersey,NJ00064
New Jersey National Golf Club,Basking Ridge,579,07920,NJ,Allen Road,+1 908-781-9400,,,,,,,http://newjerseynational.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,755266.5362379135,40.65888869270341,-74.61399817360505,New Jersey,NJ00220
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,751123.3524808834,39.18068819377141,-74.74444920101767,New Jersey,NJ00049
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,746952.2221324731,40.39127896958435,-74.71756950808167,New Jersey,NJ00198
Burlington Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746590.3644583247,40.03324584510471,-74.80430113861098,New Jersey,NJ00337
Atlantic City Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740804.1829452326,39.36747075921943,-74.54301624517682,New Jersey,NJ00247
Stone Harbor Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,740630.312332226,39.1091974145032,-74.81217012866806,New Jersey,NJ00039
Somerset Hills Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,735152.778359854,40.72211873788237,-74.58734391163499,New Jersey,NJ00219
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,730536.2732570423,40.22149310373704,-74.37688595594271,New Jersey,NJ00174
Battleground Country Club,Manalapan,1,07726,NJ,Covenhoven Road,+1 732-462-7575,,,,,,,https://www.battlegroundcc.com/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,722198.0413304941,40.26284635564361,-74.33618839376071,New Jersey,NJ00026
Arcola Country Club,Paramus,,07653,,Paramus Road,+1 201-843-3990,,,,,,,https://www.arcolacc.org/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,719925.9885392097,40.9278343058173,-74.0827390419844,New Jersey,NJ00259
Arcola Country Club,Paramus,,07653,,Paramus Road,+1 201-843-3990,,,,,,,https://www.arcolacc.org/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,719925.9885392097,40.9278343058173,-74.0827390419844,New Jersey,NJ00260
Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,719577.9626835283,39.52850257893365,-75.41807297532698,New Jersey,NJ00330
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,719573.4390160297,40.7096265249524,-75.147133119497,New Jersey,NJ00264
Scotland Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,719476.0980778075,39.69915647807173,-75.04712940013982,New Jersey,NJ00042
Spring Brook Country Club,Morristown,9,07960,,Spring Brook Road,+1 973 539 6660,,,,,,,https://www.springbrookcc.net/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,711636.6770761049,40.78148355644218,-74.49060858971566,New Jersey,NJ00123
Liberty National Golf Club,Jersey City,100,07305,NJ,Caven Point Road,+1-201-333-4105,,,,,,,http://www.libertynationalgc.com,,,Q6541896,,,,,,,,,,,,,,,,,,,,,,,,,710773.4389432393,40.694250004206104,-74.07368001165129,New Jersey,NJ00083
Centerton Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,708894.8145830431,39.532817415505676,-75.15070666607328,New Jersey,NJ00037
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,708251.7271136323,41.05885193524634,-74.1762416496122,New Jersey,NJ00059
Vineyard Golf at Renault Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,697541.4852353721,39.543163326792325,-74.59832615874446,New Jersey,NJ00084
TPC Jasna Polana,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,697016.640222033,40.33407607364922,-74.69387072057894,New Jersey,NJ00156
Spooky Brook Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692426.0566377587,40.506622819661494,-74.55961418353081,New Jersey,NJ00275
Knickerbocker Country Club,Tenafly,188,07670,,Knickerbocker Road,+1 201-568-1460,,,,,,,https://www.knickerbocker.cc/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,686537.7639473828,40.91666253489024,-73.98530011005666,New Jersey,NJ00113
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,685015.9774868999,40.602074733948264,-74.63450407346889,New Jersey,NJ00166
Eagle Oaks Golf and Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,674465.0993241793,40.21467878110611,-74.15597121102871,New Jersey,NJ00077
Tavistock Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665566.4995814203,39.87572346424698,-75.02733614902289,New Jersey,NJ00098
Bayonne Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661672.1081788791,40.662934454178966,-74.09532722647985,New Jersey,NJ00107
Forsgate Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,657625.6783265151,40.34692320045957,-74.45847018457042,New Jersey,NJ00031
Forsgate Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,657625.6783265151,40.34692320045957,-74.45847018457042,New Jersey,NJ00030
Plainfield Country Club,Edison,1591,08820,,Woodland Avenue,+1 908 757 1800,,,,,,,https://www.plainfieldcc.com/,,NJ2002LULC,Q7200685,,,,,,,,,,,,,,,,,,,,,,,,,656378.9009891842,40.59350889523772,-74.38579889451316,New Jersey,NJ00153
The Links at Brigantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,653677.6197350125,39.41698776097418,-74.36973609316914,New Jersey,NJ00010
Mountain View Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,652704.6773923126,40.28346970423109,-74.82753451791402,New Jersey,NJ00256
Quail Brook Golf Course,Somerset,625,08873,NJ,New Brunswick Road,+1-732-560-9199,,,,,,,https://www.quailbrookgolf.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,650475.2496907638,40.51391535947403,-74.51437677233424,New Jersey,NJ00177
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,649440.9165614003,40.76734182972911,-74.38249284218251,New Jersey,NJ00158
Arthur Hills Championship Course,,,,,,,,Greenbriar Oceanaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,649229.5229449568,39.78301381542531,-74.22561660335526,New Jersey,NJ00056
White Beeches Golf and Country Club,,,,,,,,,,,,,,,,Q7994470,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,644453.4755605586,40.95603439974075,-74.00542542401634,New Jersey,NJ00053
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,643813.4395242545,40.46668245343018,-74.8677286890667,New Jersey,NJ00046
Colts Neck Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,643139.7273734534,40.29994110531945,-74.18283798491791,New Jersey,NJ00052
Ash Brook Golf Course,Scotch Plains,1210,07076,,Raritan Road,+1 907 756 0414,,,,,,,https://www.ashbrookgolfcourse.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,642073.0380508896,40.60943537970166,-74.36624918671544,New Jersey,NJ00020
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,641386.3754287787,40.583110994572124,-74.6359715754263,New Jersey,NJ00180
Westlake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,637225.1547709276,40.100349603935946,-74.28790560885673,New Jersey,NJ00069
Pitman Golf Course,Sewell,501,08080,NJ,Pitman Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634619.6460548949,39.74148197460474,-75.15362415919462,New Jersey,NJ00315
Hopewell Valley Golf & Country Club,Hopewell,114,08525,NJ,Pennington-Hopewell Road,,,,,,,,https://golfmercercounty.com,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,633106.0278205704,40.36259941069231,-74.78445822320336,New Jersey,NJ00258
Preakness Hills Country Club,Wayne,1050,07470,NJ,Ratzer Road,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,628318.3461068134,40.946092696690194,-74.23583756989235,New Jersey,NJ00115
Forsgate Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,627945.3355985413,40.350245698707894,-74.46811944933461,New Jersey,NJ00032
Essex County Country Club,West Orange,350,07052,,Mount Pleasant Avenue,+1 973 731 1400,,,,,,,https://www.essexcountycc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,626779.4515788954,40.78442527466675,-74.26249430437333,New Jersey,NJ00159
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,620165.9082401402,40.21402025893098,-74.362953506195,New Jersey,NJ00173
Pine Barrens Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,619849.792096877,40.05861054197703,-74.29368475945776,New Jersey,NJ00072
Hollywood Golf Club,Ocean Township,510,07712,NJ,Roseld Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618083.8265177674,40.250602032048434,-74.02348682828162,New Jersey,NJ00296
Hackensack Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,616735.8523983244,40.97076506285771,-74.03729392636944,New Jersey,NJ00117
Mattawang Golf Club,Belle Mead,295-303,08502,,Township Line Road,+1 908 281 0778,,,,,,,https://www.mattawang-golf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,616649.6863161193,40.46324173977304,-74.64259533564454,New Jersey,NJ00186
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,612156.1638823476,40.1157146585294,-74.69238874005376,New Jersey,NJ00235
Indian Spring Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,609868.3597363905,39.881340352779176,-74.89051651113711,New Jersey,NJ00210
Shackamaxon Country Club,Scotch Plains,100,07076,NJ,Tillinghast Turn,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,US,https://www.shackamaxoncc.com/,,,,,,,,,,,603843.1230446158,40.62799508934313,-74.35196811686332,New Jersey,NJ00127
Spring Lake Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,600049.2228078017,40.14985704959038,-74.04561363213503,New Jersey,NJ00140
Town & Country Golf Links,Woodstown,197,08098,,Rt 40,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,598734.3779983725,39.655012393169336,-75.30936088979625,New Jersey,NJ00212
Francis Byrne Golf Course,West Orange,,07052,,Pleasant Valley Way,+1 973 736 2306,,Essex County,,,,,https://www.essexcountyparks.org/golf/francis-byrne-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,597803.882977702,40.7877273244872,-74.26911449811524,New Jersey,NJ00160
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596124.9973766138,41.153854701300254,-74.56510260307982,New Jersey,NJ00269
Black Bear,Franklin,138,07416,NJ,NJ 23,+1 855 977 6473,,Crystal Springs Resort,,,,,https://www.crystalgolfresort.com/golf/courses/black-bear/,,,,,,,,,,,,,,,,,,,,,,,,,,,,595545.9007472779,41.11628914389616,-74.57257776374317,New Jersey,NJ00276
High Bridge Hills Golf Club,High Bridge,203,08829,,Cregar Road,+1 908-638-5055,,,,,,,https://www.highbridgehills.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,590639.617855507,40.6673529565154,-74.9096762088991,New Jersey,NJ00231
Rumson Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,589619.7391932418,40.34851929923636,-74.0168656079437,New Jersey,NJ00132
Crestmont Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,583709.0005444466,40.80746534950808,-74.2759438170224,New Jersey,NJ00112
Bunker Hill Golf Course,Princeton,220,08540,NJ,Bunkerhill Road,+1-908-359-6335,,,,,,,https://www.bunker.distinctgolf.com/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,582811.0195349624,40.437519330603095,-74.575022641893,New Jersey,NJ00029
Wedgwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,581328.857403113,39.75984632267366,-75.06984969982798,New Jersey,NJ00060
Medford Village Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,580366.9934863806,39.87942168870728,-74.82963307309164,New Jersey,NJ00040
Beaver Brook Country Club,Annandale,25,08801,,Country Club Drive,+1 908-735-4200,,,,,,,https://www.beaverbrookcc.com/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,578515.4730837179,40.63224190458485,-74.89538633561685,New Jersey,NJ00033
Harkers Hollow Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,578461.0706955537,40.73089853592464,-75.13968399930026,New Jersey,NJ00248
Gambler Ridge Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,577416.4737079354,40.1323787945085,-74.51084062769036,New Jersey,NJ00238
Navesink Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,577292.3713359574,40.37315925618657,-74.06283383205758,New Jersey,NJ00215
