addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,contact:website,email,operator,sport,description,opening_hours,alt_name,barrier,dist,old_name,par,pins,note,level,golf,type,fax,access,fixme,area_m2,lat,lon,province,gcid
Lincoln,10501,68526,NE,Pine Lake Road,Hidden Valley Golf Club,402-483-2532,https://www.hiddenvalleylincoln.com/,Bing,,,,golf,,,,,,,,,,,,multipolygon,,,,794613.0995002068,40.73657468130407,-96.57090763861522,Nebraska,NE00007
Lincoln,3403,68522,,West Van Dorn Street,Pioneers Golf Course,402-441-8966,http://pioneersgolf.com/,,,,,,,,,,,,,,,,,multipolygon,,,,782696.4417071306,40.779012838542606,-96.77124749034967,Nebraska,NE00032
Eagle,6000,68347,NE,Woodland Hills Dr,Woodland Hills Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,,778635.6000416077,40.75115647257109,-96.42088605303515,Nebraska,NE00014
,,,,,Heritage Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,777477.2120257214,40.20300502315573,-100.65564956639614,Nebraska,NE00184
Valentine,1000,69201,NE,Dowden St,Frederick Peak Golf Club,,,,,,,,,,,,,,,,,,,,,,,753631.0707528865,42.888689515396514,-100.52358708494693,Nebraska,NE00245
Lincoln,,,NE,,Hillcrest Country Club,,,,,,East O Realty,,,,,,,,,,,,,multipolygon,,,,747410.0286833651,40.806810281836555,-96.59046237035824,Nebraska,NE00022
,,,,,Jackrabbit Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,746142.4726842715,40.95453070431969,-98.30598625205202,Nebraska,NE00091
Cambridge,900,69022,,Cross Creek Road,Cross Creek Golf Links,+1 308 697 4768,https://www.crosscreekgolflinks.com/,,,,,,,,,,,,,,,,,,,,,745586.8924399152,40.28894549862305,-100.16498450004873,Nebraska,NE00119
,,,,,Meadowlark Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,735535.5345476236,40.705333728962614,-99.12730611241032,Nebraska,NE00049
Hastings,601,68902,NE,W. Lochland Rd.,Lochland Country Club,+1-402-462-8783,https://lochlandcc.com/,,,,,,,,,,,,,,,,,,,,,727193.6826506903,40.637100301974705,-98.38886614433524,Nebraska,NE00190
Beatrice,5536,68310,NE,West Lilac Road,Hidden Acres Golf Course,,,,,,,,,,,,,,,,,,,,,,,726270.4927137956,40.2376524110355,-96.798497793288,Nebraska,NE00187
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,extent of actual golf course,,,,,,,722060.9412632865,41.33206045239797,-96.01515743601622,Nebraska,NE00130
,,,,,Happy Hollow Club,,https://www.happyhollowclub.com/Club/Scripts/Home/home.asp,bing,,,,,,,,,,,,,,-1,,,,,,711770.2333124513,41.24093206930812,-96.07014723417818,Nebraska,NE00072
,,,,,Tregaron Golf Course,,https://www.tregarongolf.com/,,,,,,,,,,,,,,,,,multipolygon,,,,695801.7175704024,41.107301668508185,-95.94396799559595,Nebraska,NE00003
,,,,,Beatrice Country Club,+1-402-223-2710,https://www.beatricecc.com/,,,,,,,,,,,,,,,,,,,,,688707.433892644,40.24048463525926,-96.73202955119953,Nebraska,NE00092
Gering,2550,69341,NE,Clubhouse Drive,Monument Shadows Golf,+1 308 635 2277,http://www.monumentshadows.com/,,,,,golf,,,,,,,,,,,,,,,,681554.1145103489,41.83899566715226,-103.68257976658126,Nebraska,NE00132
,,,,,Quail Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,673574.2997879094,41.40756064670243,-97.33362363729864,Nebraska,NE00240
,,,,,Crooked Creek Golf Course,,,bing,,,,,,,,,,,,,,,,multipolygon,,,,672585.8797763166,40.808525331413534,-96.54563590786742,Nebraska,NE00021
,,,,,Willow Lakes Golf Course,,,bing,,,USAF,,,,,,,,,,,,,,,,,671017.0180724682,41.12480713193689,-95.9416255887309,Nebraska,NE00087
Grand Island,2820,68801,NE,Riverside Drive,Riverside Country Club,+1-308-382-7298,https://www.riversidegolfclub.org/,,,,,,,,,,,,,,,,,,,,,668406.9829152556,40.89168574526503,-98.3487755738223,Nebraska,NE00038
Grand Island,2820,68801,NE,Riverside Drive,Riverside Country Club,+1-308-382-7298,https://www.riversidegolfclub.org/,,,,,,,,,,,,,,,,,,,,,668406.9829152556,40.89168574526503,-98.3487755738223,Nebraska,NE00039
,,,,,Evergreen Hills,,,,,,,,,,,,,,,,,,,,,,,668343.1152904164,41.95647492162733,-97.59591632287658,Nebraska,NE00242
,,,,,Riverview Golf and Country Club,,,,,,,,,,,,,,,,,,,multipolygon,,,,665902.7954213129,41.870843634841734,-103.71796103244124,Nebraska,NE00016
,,,,,Johnny Goodman Golf Course,,,,,,,,,,,,,,,,,,,,,,,661770.0906857081,41.19611838933339,-96.06711242029635,Nebraska,NE00076
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,659028.0666455233,42.05276698372272,-97.41379184682867,Nebraska,NE00197
,,,,,Alliance Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,650163.1059238841,42.06796606679091,-102.81051697774173,Nebraska,NE00200
,,,,,Mahoney Golf Course,,,bing,,,City of Lincoln,,,,,fence,,,,,,,,,,,,642996.9085175843,40.845527965048554,-96.61350013491393,Nebraska,NE00043
,56331,68401,,Road 1,The Golf Club at Table Creek,,https://www.tablecreek.com/index.htm,bing,,,,,,,,,,,,,,,,,,,,636465.8584663849,40.67124069225718,-95.92972933248252,Nebraska,NE00089
,,,,,Pacific Springs Golf Course,,https://pacificsprings.com/,,,,,,,,,,,,,,,,,multipolygon,,,,630050.5555387813,41.254098295083274,-96.18406472063141,Nebraska,NE00005
,,,,,Benson Park Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,627246.7253508818,41.303762143609895,-96.01758956377314,Nebraska,NE00082
,,,,,Champions Run Country Club,,https://www.championsomaha.com/Public/Champions-Run-6.html,bing,,,,,,,,,,,,,,,,,,,,616676.5090228036,41.28982088921145,-96.12895776424979,Nebraska,NE00063
North Platte,608,69101,,Birdie Lane,Lake Maloney Golf Course,308-532-9998,http://lakemaloneygc.com/,,,,,,,,,,,,,,,,,,,,,614627.0950907206,41.030891026219386,-100.78712188970503,Nebraska,NE00107
North Platte,2401,69101,,Halligan Drive,Iron Eagle Golf Course,308-535-6730,http://www.ironeaglegolf.com/,,,,,,,,,,,,,,,,,,,,,607846.3966473797,41.111364414655014,-100.73618022164898,Nebraska,NE00106
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,606986.1618258277,40.89215672611581,-98.40899745080125,Nebraska,NE00126
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,606986.1618258277,40.89215672611581,-98.40899745080125,Nebraska,NE00125
,,,,,Indian Trails Country Club,1-402-528-3404,https://www.indiantrailsclub.com/,,,,,,,,Indian Trails Golf Course,,,,,,,,,,,,,606812.7243832842,41.9074789264043,-96.82075030546781,Nebraska,NE00040
Norfolk,1227,68701,,Eldorado Road,Eldorado Hills Golf Club,+1 402 371 1453,https://www.eldogolf.com/,,,,,,,,,,,,,,,,,multipolygon,,,,606528.2537638653,42.04907519530994,-97.46038699238947,Nebraska,NE00008
,,,,,The Pines Country Club,,,bing,,,,,,,,,,,,,,,,,,,,595990.4282750549,41.330705917211965,-96.36206675183466,Nebraska,NE00061
,,,,,The Knolls Golf Course,,http://www.knollsgolf.com/,bing,,,,,,,,,,,,,,,,,,,,590019.8566981169,41.296635199539,-96.09133944160972,Nebraska,NE00067
,,,,,The Knolls Golf Course,,http://www.knollsgolf.com/,bing,,,,,,,,,,,,,,,,,,,,590019.8566981169,41.296635199539,-96.09133944160972,Nebraska,NE00068
,,,,,Miracle Hill Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,572566.2284506727,41.27320255537911,-96.09552162796143,Nebraska,NE00060
,,,,,Tara Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,566313.6508596295,41.172603206801924,-96.0528840362186,Nebraska,NE00077
,,,,,River Wilds Golf Club,,,,,,,,,,,,,,,,,,,,,,,562211.9478836101,41.58377681190475,-96.16390939469137,Nebraska,NE00176
Hastings,3005,68901,NE,South Southern Hills Drive,Southern Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,551128.5879836947,40.54618408293285,-98.43801391800547,Nebraska,NE00249
Wayne,,68787,NE,East 21st Street,Wayne Country Club,402-375-1152,http://www.waynecountryclub.org/,Bing,,troyharder@pga.com,,,,,,,,,,,,,,,,,,541081.3014279364,42.250193080619475,-97.01383912761762,Nebraska,NE00122
,,,,,Scottsbluff Country Club,,,,,,,,,,,,,,,,,,,,,,,533171.3492490839,41.89871954302314,-103.68065190568979,Nebraska,NE00041
,,,,,Oakland Golf Club,,,,,,,,,,,,,,,,,,,,,,,531236.0690987176,41.835591296882264,-96.4771796144975,Nebraska,NE00052
,,,,,Elks Country Club,,,,,,,,,,,,,,,,,,,,,,,524305.3978139287,41.47865602915719,-97.39380084564979,Nebraska,NE00036
North Platte,1008,69101,,West 18th Street,River’s Edge Golf Club,308-532-7550,http://riversedgegolfnp.com/,,,,,,,,,,,,,,,,,,,,,507908.152124354,41.15260013884663,-100.76901948128663,Nebraska,NE00108
,,,,,Holdrege Country Club,,,,,,,,,,,,,,,,,,,,,,,507170.6736592274,40.45495808316064,-99.38663980188602,Nebraska,NE00053
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,502903.9128614334,40.674469098945956,-99.83942862556675,Nebraska,NE00192
Fremont,2710,68025,NE,North Somers Avenue,Fremont Golf Club,(402) 721-6641,https://www.fremontgolfclub.org/,,,,,,,,,,,,,,,,,,,,,490227.5709017184,41.458719960151114,-96.50355374545772,Nebraska,NE00111
,,,,,Kearney Country Club,,,,,,,,,,,,,,,,,,,,,,,475052.87271001964,40.70464086605098,-99.10734378870418,Nebraska,NE00050
Cozad,100,69130,,Country Club Road,Cozad Country Club,+1 308 784 2585,https://www.cozadcountryclub.net/,,,,,,,,,,,,,,,,,,,,,471823.73829248856,40.84898637018362,-99.95236627374167,Nebraska,NE00150
Ashland,16119,68003,NE,Highway 6,Ashland Golf Club,402-944-3344,https://ashlandgolfclub.com/,,,,,,,Mo-Su 08:00-17:30,,,,,,,,,,,,,,467659.2274998323,41.003836077933194,-96.39622463608961,Nebraska,NE00112
Lincoln,3200,68502,NE,South 24th Street,Country Club of Lincoln,402-423-8502,https://www.ccl.cc/viewCustomPage.aspx?id=1,bing+knowledge,,,Country Club of Lincoln,,,,The Country Club of Lincoln,,,Lincoln Country Club,,,,,,multipolygon,402-423-8578,,,457697.2773969357,40.77984230217149,-96.6880036950516,Nebraska,NE00030
,,,,,Ridgeview Country Club,,,,,,,,,,,,,,,,,,,,,,,447662.077711676,42.80345547148,-103.0212846460726,Nebraska,NE00199
,,,,,Chimney Rock Golf Course,,,,,,,,,,,,,,,,,,,,,,,439160.09622301254,41.777339450334274,-103.32913599863363,Nebraska,NE00201
Crawford,3440,69339,,Highway 20,Legend Buttes Golf Course,+1 308 665 2431,https://crawfordnebraska.net/?page_id=548,,,,,,,,,,,,,,,,,,,,,438174.8525686808,42.680980628713435,-103.42349221084463,Nebraska,NE00133
,,,,,Elmwood Park Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,436595.55972627987,41.25235825753774,-96.01102698612583,Nebraska,NE00079
York,1016,68467,,West Elm Street,York Country Club,+1 402 362 3721,https://www.yorkcountryclub.net/,,,,,,,,,,,,,,,,,,,,,434473.5403356052,40.86083185495023,-97.60791913534742,Nebraska,NE00160
York,1016,68467,,West Elm Street,York Country Club,+1 402 362 3721,https://www.yorkcountryclub.net/,,,,,,,,,,,,,,,,,,,,,434473.5403356052,40.86083185495023,-97.60791913534742,Nebraska,NE00161
,,,,,Bassett Country Club,,,bing,,,,,,,,,,,,,,,,,,,,428509.5424755775,42.57123118176558,-99.58245849171342,Nebraska,NE00045
,,,,,Scenic Knolls Golf Course,,,,,,,,,,,,,,,,,,,,,,,422350.59373126103,41.977148505982875,-103.81761552524011,Nebraska,NE00238
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,416440.05298293795,42.4821891360363,-96.44915333766393,Nebraska,NE00196
Seward,1046,68434,NE,Country Club Drive,Seward Community Golf Course,+1-402-643-6650,https://golfseward.com/,Bing,,,City of Seward Nebraska,,"The Seward Community Golf Course has a nine-hole grass green course with four sets of tees. The course is located on approximately 60 acres of semi-rolling ground on the north side of Seward. It features many trees, bunkers and lakes.",Tu-Su 08:00-sunset,,,,,,,,,,,,,,413361.2708445772,40.92240391428934,-97.10409925404362,Nebraska,NE00116
,,,,,Golf at Indian Creek - Gray Hawk Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,404573.5277533605,41.30155244575707,-96.22982900666193,Nebraska,NE00128
,,,,,Golf at Indian Creek - Gray Hawk Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,404573.5277533605,41.30155244575707,-96.22982900666193,Nebraska,NE00127
,,,,,Golf at Indian Creek - Blackbird Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,392162.7063640416,41.29976245676737,-96.22471672147896,Nebraska,NE00096
,,,,,Golf at Indian Creek - Blackbird Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,392162.7063640416,41.29976245676737,-96.22471672147896,Nebraska,NE00097
Fremont,1126,68025,NE,County Road X,Valley View Golf Course,(402) 721-7772,https://www.vvgolfcourse.com/,Bing,,,,golf,,,,,,,,,,,,,,,,387649.5095142682,41.39730839832145,-96.50793603415688,Nebraska,NE00046
Milford,801,68405,,South D Street,Thornridge Golf Course,+1 402 761 3606,https://www.thornridgegolfcourse.com/,,,,,,,,,,,,,,,,,,,,,386016.88249414566,40.76624474650848,-97.06001035130447,Nebraska,NE00164
,,,,,Falls City Country Club,,,,,,,,,,,,,,,,,,,,,,,378751.90164666803,40.0681739502241,-95.65818538514908,Nebraska,NE00236
Dakota City,466,68731,NE,Highway 35,Old Dane Golf Club,(402) 987-1100,http://www.olddanegolf.com/,,,,,,,,,,,,,,,,,,,,,378588.45915134693,42.41152867378208,-96.43573896422576,Nebraska,NE00117
North Bend,400,68649,,Cottonwood Street,North Bend Golf Course,+1 402 652 3666,https://www.northbendgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,374723.5243687815,41.45899215942645,-96.78961559162515,Nebraska,NE00175
,,,,,Chappell Golf Course,+1 308 874 2729,https://www.chappellne.org/9-hole-golf-course,,,,,,,,,,,,,,,,,,,,,374047.8017077084,41.0805337545585,-102.4619082006632,Nebraska,NE00140
Tekamah,3398,68061,,County Road H,Northridge Country Club,+1 402 374 2661,https://www.golfnorthridge.com/,,,,,,,,,,,,,,,,,multipolygon,,,,364474.56936817867,41.78784335614441,-96.23503779439012,Nebraska,NE00010
,,,,,Courthouse and Jail Rock Golf Course,,,,,,,,,,,,,,,,,,,,,,,360448.47428765456,41.589175148188616,-103.10432914689665,Nebraska,NE00198
,,,,,Red Cloud Golf Course,,,,,,,,,,,,,,,,,,,,,,,359538.7292269298,40.0994121380636,-98.47831631924402,Nebraska,NE00145
Sutton,500,68979,,Fox Hollow Lane,Fox Hollow Golf Course,+1 402 773 5365,http://foxhollowgolfsutton.com/,,,,,,,,,,,,,,,,,,,,,355325.0474565766,40.600798207677244,-97.85098440320921,Nebraska,NE00157
,,,,,Lawrence Country Club,,,,,,,,,,,,,,,,,,,,,,,349704.6641299465,40.290425415006794,-98.32532369329675,Nebraska,NE00102
,,,,,Oak Hills Country Club,,,bing,,,,,,,,,,,,,,,,,,,,348462.0238946961,41.196541609146216,-96.10033924580644,Nebraska,NE00075
,,,,,Golf at Indian Creek - Red Feather Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,343737.19818807126,41.29676256674544,-96.22271039078457,Nebraska,NE00098
,,,,,Golf at Indian Creek - Red Feather Course,,https://www.golfatindiancreek.com/golf-course/the-course/map/,bing,,,,,,,,,,,,,,,,,,,,343737.19818807126,41.29676256674544,-96.22271039078457,Nebraska,NE00099
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,,329517.5592427019,40.439869080485465,-101.52063792377626,Nebraska,NE00015
Albion,2419,68620,,State Highway 91,Albion Country Club,402-395-2493,http://www.albioncountryclub.com/,,,,,,,,,,,,,,,,,,,,,323544.04398976103,41.68692378066092,-98.02068195654519,Nebraska,NE00100
Hyannis,,69350,NE,,Pelican Beach Golf Course,,,,,,,,,,,,,,,,,,,,,,,322382.63872124517,41.99676071194335,-101.71475488755512,Nebraska,NE00246
Stanton,56611,68779,,Golf Course Road,Elkhorn Acres Golf Course,402-439-2191,https://www.elkhornacresgolf.com/,,,,,,,,,,,,,,,,,,,,,320678.63179229863,41.94206531032769,-97.20700315122671,Nebraska,NE00101
,,,,,Arnold Golf Course,,,,,,,,,,,,,,,,,,,,,,,320175.9640885732,41.40528468492162,-100.1871204579441,Nebraska,NE00177
,,,,,Buffalo Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,318841.2516537359,40.744719760226005,-99.05954109894202,Nebraska,NE00051
,,,,,Unknown Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,317670.197715049,41.390923403229515,-97.9567889033702,Nebraska,NE00048
Humboldt,71550,68376,NE,631 Avenue,Kirkman's Lakeview Golf Course,,,,,,,,,Mo-Th 10:00-20:00; Fr-Su 08:00-20:00,,,,,,,,,,,,,,317138.44089548534,40.19475320273639,-95.99954771380139,Nebraska,NE00237
O'Neill,49175,68763,,West Hynes Avenue,O'Neill Golf Club,+1 402 336 1676,http://www.oneillcountryclub.com/,,,,,,,,,,,,,,,,,,,,,312762.8699997401,42.46277750591913,-98.66257464204737,Nebraska,NE00137
,,,,,Charipar Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,307040.4253672172,41.69622270370031,-97.24550247804171,Nebraska,NE00090
,,,,,Sand Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,301216.21881486435,42.71175545620307,-102.47121135963015,Nebraska,NE00134
Geneva,1115,68361,,Road L,Hidden Hills Country Club,+1 402 759 3084,https://www.hiddenhillscountryclub.com/,,,,,,,,,,,,,,,,,,,,,298738.5966711245,40.536970801676475,-97.62022074156836,Nebraska,NE00158
Ainsworth,,69210,,,Ainsworth Municipal Golf Course,+1 402 387 1658,http://www.golfainsworth.com/,,,,,,,,,,,,,,,,,,,,,297856.74198162206,42.56256876469723,-99.99100960054032,Nebraska,NE00136
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,295742.68279069173,42.754984394823154,-98.02977949519318,Nebraska,NE00165
,,,,,Gordon Country Club GC and Park,,,,,,,,,,,,,,,,,,,,,,,295002.2055824169,42.80375443769592,-102.22563419552723,Nebraska,NE00135
Friend,910,68359,,Cherry Street,Friend Country Club,+1 402 947 6501,https://friendcountryclub.com/,,,,,,,,,,,,,,,,,,,,,294070.879440756,40.64644353386259,-97.27923121678661,Nebraska,NE00162
Blue Hill,433,68930,,North Willson Street,Ash Hollow Golf Course,+1 402 756 2418,http://www.golfashhollow.com/,,,,,,,,,,,,,,,,,,,,,292239.05869043473,40.33956357315344,-98.44121736022771,Nebraska,NE00146
Osceola,960,68651,NE,Nebraska Street,Ryan Hill Country Club,+1 402 747 6661,https://www.ryanhillcc.com/,,,,,,,,,,,,,,,,,,,,,291237.1592003138,41.18039867329627,-97.55660468974325,Nebraska,NE00104
Lincoln,419,68521,NE,Fletcher Avenue,Links at Lincoln,+1 (402) 476-1012,http://www.lindseymanagement.com/cgi-bin/detail.cgi?type=golf&id=46&city=Lincoln&state=NE,,,,HPI Lincoln LLC,golf,,,,,,,,,,,,multipolygon,,,,288027.151262148,40.86869389975578,-96.71546098544833,Nebraska,NE00034
Lincoln,419,68521,NE,Fletcher Avenue,Links at Lincoln,+1 (402) 476-1012,http://www.lindseymanagement.com/cgi-bin/detail.cgi?type=golf&id=46&city=Lincoln&state=NE,,,,HPI Lincoln LLC,golf,,,,,,,,,,,,multipolygon,,,,288027.151262148,40.86869389975578,-96.71546098544833,Nebraska,NE00033
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,288010.02347698325,40.89107403232581,-101.73005193937615,Nebraska,NE00191
,,,,,Elk Creek Country Club,,,,,,,,,,,,,,,,,,,,,,,282987.8836747129,40.19464615316304,-98.06485815120787,Nebraska,NE00144
Alma,102,,NE,Dick Brown Drive,Alma Municipal Golf Course,+1-308-928-2341,https://www.almacity.com/golf-course.html,,,,,,,,,,,,,,,,,,,,,282118.22328615515,40.099654812415416,-99.37610573802652,Nebraska,NE00148
,,,,,Wymore Country Club,,https://www.wymorecountryclub.net/,,,,,,,,,,,,,,,,,,,,,278924.2649843042,40.119786220508935,-96.68553387291512,Nebraska,NE00142
,,,,,Syracuse Country Club,,,,,,,,,,,,,,,,,,,,,,,277968.90533489507,40.6641589968938,-96.19120040785104,Nebraska,NE00093
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,275121.0300459207,42.41969921043426,-97.09383848672863,Nebraska,NE00168
