club,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,contact:facebook,phone,website,ele,gnis:feature_id,operator,fixme,USGS-LULC:CLASS,note,source,url,alt_name,USGS-LULC:CNTYNAME,USGS-LULC:LEVEL_I,USGS-LULC:LEVEL_II,USGS-LULC:STATECTY,wikidata,wikipedia,access,opening_hours,wheelchair,sport,description,fax,golf,building,LandPro08:DE3,LandPro08:LC_NAME,LandPro08:LU_NAME,LandPro08:reviewed,old_name,start_date,ownership,mobile,golf:course,golf:par,contact:website,owner,type,addr:country,LandPro08:DE5,LandPro08:LC,LandPro08:LCLU,LandPro08:LU,facebook,area,area_m2,lat,lon,province,gcid
,Pine Forest Country Club,,,,,,,,,,,,,,Other Urban Or Built-Up Land,LULC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910805.2110299377,31.562389303593015,-81.88477688027861,Georgia,GA00164
,Chimney Oaks Golf Club,Homer,148,30457,GA,Chimney Oaks Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868926.2128099396,34.35790004667809,-83.48827455726457,Georgia,GA00431
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816581.0385989873,32.8335472280308,-84.84761211109934,Georgia,GA00400
,Whitepath Golf Course,Ellijay,1156,30540,GA,Shenendoah Drive,,+1-706-276-3080,golfwhitepath.com,,,,,,,,,,,,,,,,,Mo-Su 07:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1787528.8965657451,34.7599126094278,-84.43855838628802,Georgia,GA00398
,Augusta National Golf Club,Augusta,2604,30904,GA,Washington Road,,+1-706-667-6000,https://www.masters.com,,,Augusta National Inc.,,,,,,,,,,,Q765780,en:Augusta National Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787256.0723089338,33.50096030696152,-82.02242552715808,Georgia,GA00386
,Unknown Golf Course,,,,,,,,,,,,Name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756385.92381081,32.33236946791845,-83.51367364427621,Georgia,GA00374
,Champion's Retreat,,37,30809,GA,Champions Parkway,,+1-706-854-6960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,US,,,,,,,1738630.3526687126,33.59648910846159,-82.16172143847211,Georgia,GA00108
,Unknown Golf Course,,,,,,,,,,,,Name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724438.376494959,31.587380875715983,-83.56562926447158,Georgia,GA00371
,Valdosta Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721892.7080201982,30.8902110553024,-83.30754562285848,Georgia,GA00459
,Chicopee Woods Golf Course,Gainesville,2515,30504,GA,Atlanta Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713766.1006484462,34.24026255637657,-83.84812030153668,Georgia,GA00372
,The Golf Club of Georgia,Alpharetta,1,30005,,Golf Club Drive,,+1 770 664 8644,https://golfclubofgeorgia.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1710070.7546587642,34.08858537438309,-84.2246360394708,Georgia,GA00048
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646898.073610754,33.38229120382053,-82.14120524699622,Georgia,GA00457
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595307.2053137748,32.36015913485998,-83.33447430732359,Georgia,GA00430
,Old Toccoa Farm,Mineral Bluff,596,30559,GA,Curtis Switch Rd,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,1591506.6049446675,34.92333090429663,-84.32340425911678,Georgia,GA00464
,TPC Sugarloaf,Duluth,2595,30097,GA,Sugarloaf Club Drive,,+1-770-418-1113,https://tpc.com/sugarloaf/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,1584632.982348776,33.99885579939488,-84.11096555054131,Georgia,GA00118
,Athens Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582023.893934079,33.978083860879195,-83.4079427462673,Georgia,GA00139
,Athens Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582023.893934079,33.978083860879195,-83.4079427462673,Georgia,GA00138
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1569923.6040506961,30.810741246643975,-83.37928268287037,Georgia,GA00086
,Eagle's Landing Country Club,Stockbridge,100,30281,,Eagles Landing Way,,+1 770 389 2000,https://www.clubcorp.com/Clubs/Eagles-Landing-Country-Club,,,ClubCorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1545979.3283484976,33.50487290513393,-84.21046769686006,Georgia,GA00016
,Unknown Golf Course,,,,,,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,1541076.370690334,34.2405285184641,-83.84796810264113,Georgia,GA00276
,White Oak,Newnan,141,30265,,Clubview Drive,,+1 770 251 6700,https://www.clubcorp.com/Clubs/White-Oak-Canongate,,,ClubCorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1530066.2778469035,33.38894499024717,-84.72329549035472,Georgia,GA00023
,Stone Mountain Golf Club,Stone Mountain,11,30083,GA,Stonewall Jackson Drive,,,https://www.stonemountaingolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 770-465-3278,,,,,multipolygon,,,,,,,,1443256.3716212297,33.81335359893264,-84.12655331864353,Georgia,GA00053
,Ansley Golf Club - Settindown,,1608,,,Settindown Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426300.9435911586,34.10336341983615,-84.4223754239922,Georgia,GA00425
,Cannongate 1 Golf Course,Sharpsburg,924,30277,GA,Shaw Rd,,,https://www.invitedclubs.com/,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,,,,,+1-770-463-3342,,,,,multipolygon,,AU,171,171171,171,,,1406849.2305449517,33.47264258583318,-84.65512712999163,Georgia,GA00015
,The Golf Club at Bradshaw Farm,Woodstock,3030,30188,GA,Bradshaw Club Dr,,+1-770-592-2222,https://www.bradshawfarmgc.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,1385959.2695826807,34.156638800982556,-84.44754068979893,Georgia,GA00110
,The Golf Club at Bradshaw Farm,Woodstock,3030,30188,GA,Bradshaw Club Dr,,+1-770-592-2222,https://www.bradshawfarmgc.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,1385959.2695826807,34.156638800982556,-84.44754068979893,Georgia,GA00111
,Mirror Lake Golf Club,Villa Rica,1000,30180,,Canongate Parkway,,+1 770 459 5599,https://www.clubcorp.com/Clubs/Chapel-Hills-Mirror-Lake,,,ClubCorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1384797.2429085283,33.74623737789321,-84.89043861833518,Georgia,GA00072
,Unknown Golf Course,,,,,,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,1359582.7584525114,34.2602372903014,-84.27311705168326,Georgia,GA00277
,Flat Creek,Peachtree City,100,30269,GA,Flat Creek Road,,+1-770-487-8140,https://www.invitedclubs.com/,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,,,,,,,,,,multipolygon,,AU,171,171171,171,,,1343896.8124071339,33.412181061377716,-84.57728050471357,Georgia,GA00024
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337391.2645172,34.7031115161057,-83.45708130664923,Georgia,GA00353
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,,,,,,,,,,multipolygon,,AU,171,171171,171,,,1327148.1192539695,33.93905625880559,-83.59748993384183,Georgia,GA00039
,Cateechee Golf Club,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311400.7517414787,34.323395525066175,-82.92156810678004,Georgia,GA00347
,The Creek Golf Course at Hard Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306932.127966459,33.659810100791276,-83.61047768849623,Georgia,GA00146
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,1284369.3667853978,31.668060713047662,-85.03608599789192,Georgia,GA00329
,Highland Walk Golf Course at Victoria Bryant State Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281353.9629533824,34.30404398002065,-83.16724091069706,Georgia,GA00145
,Flint River Golf Course,Albany,2000,,,McAdams Road,,+1-229-430-5267,http://www.albany.ga.us/content/1798/2879/117101/117203.aspx,,1671268,,,,,,,,,,,,,,,,,,,,,,,,,,Turner Field Municipal Golf Course,,municipal,,,,,,,,,,,,,,1262569.5958261227,31.608208779521778,-84.09661007593635,Georgia,GA00310
,Flint River Golf Course,Albany,2000,,,McAdams Road,,+1-229-430-5267,http://www.albany.ga.us/content/1798/2879/117101/117203.aspx,,1671268,,,,,,,,,,,,,,,,,,,,,,,,,,Turner Field Municipal Golf Course,,municipal,,,,,,,,,,,,,,1262569.5958261227,31.608208779521778,-84.09661007593635,Georgia,GA00311
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261035.722865722,31.873635888769947,-83.91229950799594,Georgia,GA00349
,Healy Point Country Club,Macon,293,31211,,River North Boulevard,,478-743-1495,https://www.clubcorp.com/Clubs/River-Forest-Healy-Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1256264.4101488825,32.94063234578741,-83.65743919020986,Georgia,GA00074
,Ocean Forest Golf Club,,,,,,,,,,2502690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1248972.8852593384,31.21243111617099,-81.31961414120924,Georgia,GA00088
,Ocean Forest Golf Club,,,,,,,,,,2502690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1248972.8852593384,31.21243111617099,-81.31961414120924,Georgia,GA00087
,Fields Ferry Golf Club,Calhoun,581,30701,GA,Fields Ferry Drive Northeast,,+1-706-625-9001,https://fieldsferrygolf.com/,,,,,,,,,,,,,,,,,Mo-Su 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1243236.5974331298,34.55174482716515,-84.84558453352724,Georgia,GA00399
,Standard Club,Johns Creek,6230,30097,,Abbotts Bridge Road,,+1 770 497 1920,https://www.standardclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,multipolygon,,,,,,,,1238236.6177578366,34.05710481334751,-84.18070950874629,Georgia,GA00128
,The Club at Savannah Harbor,,,,,,,,,,,,,,Cropland And Pasture,LULC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236027.0551542891,32.08990015874797,-81.08073412292008,Georgia,GA00161
,Governors Towne Club,Acworth,4200,30101,,Governors Towne Drive,,770-529-5455,https://www.governorstowneclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1224884.5305511851,34.06569354942349,-84.7360819966142,Georgia,GA00075
,Frederica Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212497.052701918,31.26198059355459,-81.36520350448116,Georgia,GA00443
,Bacon Park Golf Course,Savannah,1,31406,,Shorty Cooper Drive,,+1-912-354-2625,https://www.baconparkgolf.com/,,2502684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201899.0436456935,32.01053484427645,-81.08665778096962,Georgia,GA00162
,Sanctuary Golf Club,Waverly,2050,31565,GA,Sanctuary Wynd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1181033.9329405008,31.10686776577269,-81.58317729286568,Georgia,GA00123
,Jennings Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163511.7846347364,33.9264922754969,-83.47269272471773,Georgia,GA00462
,Plantation Course,Saint Simons Island,100,31522,,Retreat Avenue,,,,,,Sea Island,,Other Urban or Built-up Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158936.0746699695,31.14296058101196,-81.40418698103676,Georgia,GA00315
,Whitewater Creek Country Club,Fayetteville,175,30215,GA,Birkdale Dr,,,https://www.invitedclubs.com/clubs/the-clubs-of-peachtree-city-and-newnan/golf/whitewater-creek-course,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,1148900.2423408872,33.37795637771735,-84.50370887790041,Georgia,GA00122
,Sea Palms Golf Club,Saint Simons Island,5445,31522,,Frederica Road,,800-841-6268,https://www.seapalms.com/,,1671591,,,Other Urban or Built-up Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1137594.505642528,31.200524653906033,-81.3752738070449,Georgia,GA00062
,River Pointe Golf Club,Albany,801,31701,,River Pointe Drive,,+1-229-883-4885,https://www.riverpointegolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132239.193448352,31.61548450150551,-84.13008757068596,Georgia,GA00312
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127339.481957584,32.004308396923,-81.13229855378142,Georgia,GA00296
,Wolf Creek Golf Course,Atlanta,3000,30331,GA,Union Rd SW,,+1-404-344-1334,https://www.wolfcreekgc.com/,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,,,,,,,,,,multipolygon,,AU,171,171171,171,,,1125475.1714478699,33.67637421493821,-84.57825457230648,Georgia,GA00030
,Arrowhead Pointe,Elberton,2790,30635,GA,Olympic Rowing Drive,,+1-706-283-6000,http://www.arrowheadpointegc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1116092.9813284678,34.15564738819353,-82.73116160154059,Georgia,GA00125
,Woodmont Golf and Country Club,Canton,,30115,GA,Gaddis Road,,,https://www.woodmontgolfclub.com/,,,,,,,,,,,,,,Q125792845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100760.580622604,34.22884926859984,-84.35273874445022,Georgia,GA00366
,Callahan Golf Links,Waleska,4911,30183,GA,Reinhardt College Parkway,,+1-770-720-1900,https://www.callahangolflinks.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,1079351.807577944,34.296988687116716,-84.52943195381954,Georgia,GA00282
,Planterra Club,Peachtree City,500,30269,GA,Clubhouse Dr,,+1-770-487-8141,https://www.invitedclubs.com/clubs/planterra-club,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,1077382.4914844646,33.37273912799109,-84.58426286917165,Georgia,GA00189
,Hickory Hill Golf Course,Jackson,,,GA,,,,,,,,,,,,,,,,,,,,,+1-770-775-2433,,,,,,,,,,,,,,,,,,,,,,,,,,,1063955.2341176777,33.32110947473779,-83.95100911599553,Georgia,GA00441
,Hickory Hill Golf Course,Jackson,,,GA,,,,,,,,,,,,,,,,,,,,,+1-770-775-2433,,,,,,,,,,,,,,,,,,,,,,,,,,,1063955.2341176777,33.32110947473779,-83.95100911599553,Georgia,GA00440
,Bowden Golf Course,,,,,,,,,,,,,,,,,,,,,,Q19817669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063407.604400605,32.86001914534493,-83.5668755819579,Georgia,GA00158
,Seaside Course,Saint Simons Island,100,31522,,Retreat Avenue,,,https://www.seaisland.com/golf/best-golf-courses/,,,Sea Island,,Other Urban or Built-up Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053569.843813755,31.146397612054823,-81.40948994946565,Georgia,GA00316
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050691.2161109492,32.95030405307179,-83.73623544736104,Georgia,GA00453
,Crosswinds Golf Club,Savannah,232,31408,GA,James B. Blackburn Drive,,+1-912-966-1909,https://www.crosswindsgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1043321.054054675,32.13046154791439,-81.2338936714917,Georgia,GA00078
,Marietta Country Club,Marietta,1400,30152,GA,Marietta Country Club Drive Northwest,,+1-770-426-1808,https://mariettacountryclub.org/Home,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,AU,171,171171,171,,,1039539.9585225193,33.984776469376726,-84.61996550192187,Georgia,GA00018
,Bentwater Golf Club,Acworth,100,30101,GA,Golf Links Drive,,+1-770-529-9554,https://www.bentwatergolf.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,1038774.4670780585,34.054390858433074,-84.75997068730194,Georgia,GA00238
,Atlanta Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035707.3241995531,33.93812062348794,-84.42905100635183,Georgia,GA00230
,Unknown Golf Course,,,,,,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,1033364.7838953343,33.878286544741684,-84.20726335284756,Georgia,GA00225
,Unknown Golf Course,,,,,,,,,,,,,,,LULC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029371.7234937581,30.860265840731977,-84.5897650230775,Georgia,GA00165
,The University of Georgia Golf Course,Athens,2600,30605,GA,Riverbend Road,,,,,,University of Georgia Auxillery Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025869.4315128612,33.91286048744016,-83.3679059915001,Georgia,GA00442
,Chapel Hills Golf Club,Douglasville,3300,30135,GA,Golf Ridge Blvd,,,https://www.invitedclubs.com/clubs/chapel-hills-mirror-lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-770-949-0030,,,,,multipolygon,,,,,,,,1025159.141264843,33.71186783248293,-84.72133292079081,Georgia,GA00079
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018278.420617305,32.01001979551616,-84.1133763268509,Georgia,GA00350
,Peachtree Golf Club,NE  Suite 2800,999,30309,GA,Peachtree Street,,,https://www.peachtreeclub.com/,,,,,,,LandPro08,,,,,,,,,,,,,,,,,,,,no,,,,+1-404-817-0999,,,,,,,,,,,,,1003654.6196018533,33.88371522956442,-84.32323853007352,Georgia,GA00226
,Trident Lakes Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:00 - 18:00,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,1002254.8356727159,30.8238787448931,-81.55314361859321,Georgia,GA00092
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,998661.9500607152,33.47544685720332,-84.39766450037847,Georgia,GA00096
,Forest Hills Golf Club,Augusta,1500,30909,,Comfort Road,,+1-706-733-0001,https://www.theforesthillsgolfcourse.com/,,358087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994894.3280473674,33.47460644098909,-82.05457294275708,Georgia,GA00382
,Heron Bay Golf & Country Club,Locust Grove,5100,30248,GA,Heron Bay Boulevard,,+1-770-320-8500,https://www.greenvalleygolfgroup.com/heron-bay,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,,,,,,,990566.2423642266,33.339121866430695,-84.20233097744695,Georgia,GA00114
,Pine Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990000.9758808746,32.61007352098646,-83.57972662160067,Georgia,GA00403
,Unknown Golf Course,,,,,,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,,,,,,,,,985069.07233894,34.148121982028655,-84.33093948524785,Georgia,GA00259
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,,,,,,,,,,multipolygon,,AU,171,171171,171,,,979329.6117266358,33.42364931288243,-84.78194456786282,Georgia,GA00025
,The Club at Osprey Cove,Saint Marys,123,31558,,Osprey Drive,,912-882-5575,http://www.ospreycoveclub.com/,,2502683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,977754.633566217,30.749840361069907,-81.61484616400799,Georgia,GA00059
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971360.1676793722,31.21988417041579,-84.69778507160258,Georgia,GA00379
,Taylors Creek Golf Course,Fort Stewart,,31314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965245.9367494856,31.880194357181455,-81.62214760662198,Georgia,GA00306
,Bear's Best Atlanta,Suwanee,5342,30024,GA,Aldeburgh Dr,,+1-678-714-2582,https://www.invitedclubs.com/clubs/bear-s-best-atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,964964.365247633,34.08500589550072,-84.10626674537963,Georgia,GA00073
,The Landing,Greensboro,1104,30642,,Landing Drive,,+1 706 467 1464,https://www.reynoldslakeoconee.com/golf/courses/landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,963485.9812146786,33.46890608928296,-83.25751198818745,Georgia,GA00083
,Unknown Golf Course,,,,,,,,,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,18_hole,,,,,,,,,,,,960977.1564664739,34.30170974015263,-84.06015156233065,Georgia,GA00286
,Stonebridge Golf and Country Club,Albany,319,31721,,Osprey Ridge Court,,229-889-0312,http://www.stonebridgegcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,953577.0046838955,31.57365516664638,-84.28180931419158,Georgia,GA00071
,Indian Hills Country Club,Marietta,4001,30068,GA,Clubland Drive,,+1-770-971-2605,https://www.indianhillscc.com/staging-area/Home,,,,,,,LandPro08,,,,,,,,,,,,,,,,,UNDEVELOPABLE,GOLF_COURSE,GOLF_COURSE,no,,,,,,,,,multipolygon,,AU,171,171171,171,,,952258.5019149298,33.96596495815929,-84.4421268988646,Georgia,GA00041
,Windermere Golf Club,Cumming,5000,30041,,Davis Love Drive,,+1 678 513 1000,https://www.clubcorp.com/Clubs/Windermere-Olde-Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,950947.134074919,34.13898930630534,-84.12118992294539,Georgia,GA00076
