name,sport,phone,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,website,addr:housename,charge,fee,golf:course,golf:par,operator,source,addr:country,contact:facebook,contact:website,type,end_date,note,area_m2,lat,lon,province,gcid
Buffalo Golf Club,,,Buffalo,500,82834,WY,West Hart Street,https://www.buffalowygolf.com/,,,,,,City of Buffalo,,,,,,,,578414.0365663114,44.3537342476038,-106.71076963028126,Wyoming,WY00026
RGCC,golf,,,,,,,,,,,,,,,,,,,,,573240.8688345007,41.56709664253065,-109.538284805217,Wyoming,WY00018
Green Hills Golf Course,,+1 307 347 8972,Worland,1455,82401,WY,Airport Road,https://www.greenhillswy.com/,,,,,,,,,,,,,,545162.9113890873,43.971804064205934,-107.94560235787972,Wyoming,WY00032
Paradise Valley Country Club,,+1-307-234-9146,Casper,70,82604,WY,East Magnolia Street,https://www.paradisevalleyccwyo.com/,,,,,,,,,,,multipolygon,,,533472.9257984454,42.821276259441476,-106.40425792497552,Wyoming,WY00007
Airport Golf Course,,+1-307-637-6418,Cheyenne,4801,82009,WY,Central Avenue,,,,,,,,,,,,multipolygon,,,531500.8400351626,41.164430313331955,-104.83338820668021,Wyoming,WY00009
Newcastle Country Club,,+1-307-746-2639,Newcastle,2302,82701-2329,WY,West Main Street,https://newcastlecountryclub.com/,,,,,,,,,https://www.facebook.com/pages/Newcastle-Country-Club/120727447940325,,,,,497513.64979793143,43.84775642956283,-104.22917289293432,Wyoming,WY00046
Gillette Golf Club,golf,+1-307-682-4774,Gillette,1800,82718,WY,Country Club Road,https://gillettegolfclub.com/,,,,,,,survey;local knowledge,,,,,,,490877.04117999837,44.266975601281565,-105.47275891575553,Wyoming,WY00029
Hay Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,402281.01004484814,43.74443642482478,-105.5036176871523,Wyoming,WY00053
Valli Vu Golf Course,golf,,,,,,,,,,,,,,,,,,,,,392609.9714864956,42.70349826896469,-110.92915363923983,Wyoming,WY00033
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,360397.29111360165,42.96424466825831,-110.97608624840444,Wyoming,WY00045
Lusk Municipal Golf Course,,+1 307 334 2438,Lusk,,82225,,Highway 273,https://www.townoflusk.org/index.asp?SEC=BEF3DFA1-5F84-4DC3-9A89-34FCDE710898&Type=B_BASIC,,,,,,,,,,,,,,338751.6575684247,42.75750148768952,-104.47803656561442,Wyoming,WY00040
Fossil Island Golf Club,golf,,,,,,,,,,,,,,,,,,,,,337192.8860737469,41.807157067147074,-110.5387348154893,Wyoming,WY00023
Prairie View Golf Course,,+1 307 637 6420,Cheyenne,3601,82001,WY,Windmill Road,https://cheyennerec.org/golf-division/,Prairie View Golf Course,14 USD/9 holes,yes,9_hole,36,Cheyenne Community Recreation & Events,"local visit, city website",,,,,,,335396.0192970923,41.151574146165075,-104.774715239418,Wyoming,WY00015
Targhee Village Golf Course,golf,,Alta,530,,WY,Perimeter Drive,http://targheevillage.com/,,,,,,,,,,,,,,333818.6593514534,43.73744320903154,-111.03187783670154,Wyoming,WY00038
Midway Golf Course,,,,,,,,,,,,,,,,,,http://www.midwaygolfcourse.com,,,,333288.788822031,44.40416619108461,-108.0532022506413,Wyoming,WY00028
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,328224.01694903057,43.552194166855884,-109.66418301981695,Wyoming,WY00049
Rendezvous Meadows Golf Course,,,Pinedale,,82941,WY,Club House Road,,,,,,,,,,,,,,,295088.75672538835,42.860833919321124,-109.88102133803461,Wyoming,WY00025
Little America Golf Course,,+1-307-775-8400,Cheyenne,2800,82009,WY,West Lincolnway,https://cheyenne.littleamerica.com/attractions/Golf_Course,,,,,,www.littleamerica.com,"local visit, company website",,,,,,,267477.6717912465,41.118787320310865,-104.85814303482431,Wyoming,WY00019
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,244992.93896507483,44.40594133449801,-104.364450356695,Wyoming,WY00042
Saratoga Inn Golf Course,,,Saratoga,601,82331,WY,East Pic Pike Road,,,,,,,Saratoga Inn,,,,,,,,224344.25424595212,41.44595894423851,-106.79843707749313,Wyoming,WY00044
Unknown Golf Course,,,,,,,,,,,,,,,Bing,,,,,,,223184.37152774056,43.662594688630975,-108.21361209688084,Wyoming,WY00020
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,206329.7956037135,42.973651527532546,-110.97015931221782,Wyoming,WY00048
Keyhole Golf and Country Club,,,Pine Haven,230,82721,WY,Pine Haven Road,,,,,,,,,US,,,,,,198686.79896721023,44.36014347552332,-104.80697280980908,Wyoming,WY00052
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,179188.3543267156,42.04161669850692,-104.95744238174099,Wyoming,WY00034
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,139960.52841067934,42.85289015697059,-105.87642897492339,Wyoming,WY00031
Trail Ruts Golf Course,golf,,,,,,,,,,,,,,,,,,,,,134324.41559519683,42.253962330370534,-104.73979966697706,Wyoming,WY00024
