name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,source,addr:state,email,old_name,operator,access,golf:course,sport,fixme,golf:par,start_date,facebook,type,opening_hours,addr:country,area_m2,lat,lon,province,gcid
Wild Oak Golf Course,Mitchell,2500,57301,East 1st Avenue,,http://wildoakgolfcourse.com/,,SD,,,,,,,,,,,multipolygon,,,699934.1869151595,43.706429696006865,-97.98636162491647,South Dakota,SD00022
Spearfish Canyon Country Club,Spearfish,120,57783,Spearfish Canyon Road,,,,,,,,,,,,,,,multipolygon,,,698933.5562354488,44.48073770311675,-103.8416543230894,South Dakota,SD00005
Madison Golf & Country Club,,,,,,https://madisongolfsd.com/,,,,,,,,,,,,,,,,698216.4687320743,44.00994123246159,-97.18291655804033,South Dakota,SD00083
Meadowbrook Golf Course,,,,,,,,,,,,,,,,,,,,,,688574.6712269273,44.061544768790235,-103.27610268158008,South Dakota,SD00059
Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,673615.0539879263,44.39847874175078,-103.59463570439958,South Dakota,SD00026
Minnehaha Country Club,Sioux Falls,3101,57105,West 22nd Street,+1 605-336-1085,https://www.minnehahacc.com/Home,,SD,,,,private,,,,,,,,,,656248.1461863342,43.52677659689203,-96.76674711520319,South Dakota,SD00087
EdgeBrook Golf Course,,,,,,http://www.cityofbrookings.org/index.aspx?NID=312,bing,,,,City of Brookings,,,,,,,,,,,651433.9696225927,44.286171762369406,-96.76357454563691,South Dakota,SD00040
Wall Golf Course,Wall,1801,57790,Golf Course Road,,https://www.wallsd.us/index.asp?SEC=4B5FD50A-949C-4D60-81C0-2B786B4BF585&DE=05F3EE8D-B1F4-46F0-B1FD-038E2FB81040,,SD,,,City of Wall,,,,,,,https://www.facebook.com/people/Wall-Community-Golf-Course/100057278206547/,,,,627987.0885860481,43.97641707175916,-102.25347555434612,South Dakota,SD00092
Lee Park Golf Course,,,,,,,,,,,,,,,boundary approximate,,,,,,,617593.9528483467,45.47739387612656,-98.50084131780112,South Dakota,SD00096
Rocky Run Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,615324.9597190788,43.82827589985994,-96.73414547873013,South Dakota,SD00018
Oahe Hills Golf Course,,,,,,,,,,,,,,,boundary approximate,,,,,,,601157.5552499155,45.56233862678051,-100.42305777318931,South Dakota,SD00099
Brandon Golf Course,Brandon,2100,57005,East Aspen Boulevard,+1 605-582-7100,https://brandongc.com/,,,,,,,,,,,,,multipolygon,,,601019.1952712333,43.59159619034891,-96.56054666717755,South Dakota,SD00015
Southern Hills Golf Course,Hot Springs,12783,57747,US Highway 18,,,,SD,,,,,,,,,,,multipolygon,,,589773.0957499756,43.4228136966902,-103.5029198945488,South Dakota,SD00008
Southern Hills Golf Course,Hot Springs,12783,57747,US Highway 18,,,,SD,,,,,,,,,,,multipolygon,,,589773.0957499756,43.4228136966902,-103.5029198945488,South Dakota,SD00009
Brookings Country Club,Brookings,2180,57006,Clubhouse Drive,+1-605-693-4316,https://www.brookingscc.com/,,SD,,,,,,,,,,,multipolygon,,US,580199.7534633881,44.21378483270499,-96.83276390772917,South Dakota,SD00032
Arrowhead Club,,,,,,https://www.arrowheadccrc.com/,,,,,Arrowhead Club,private,,,,,,,,,,536981.5305006999,44.05217315929977,-103.2682229736697,South Dakota,SD00058
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,534722.1367433782,43.45763416579144,-96.60545524225523,South Dakota,SD00078
Central Valley Golf Club,Hartford,700,57033,SD Highway 38,,,,SD,,,GreatLIFE Golf & Fitness Club,,,,,,,,multipolygon,sunrise-sunset,,517176.03431962716,43.63014207629934,-96.93571195905793,South Dakota,SD00013
Hillcrest Golf & Country Club,,,,,,,bing,,,,,,,golf,,,,,,,,500062.21750795055,42.89773155349493,-97.38377841361104,South Dakota,SD00041
Olive Grove Golf Course,,,,,,,,,,,,,,,,,,,,,,492990.32539018797,45.44639957316117,-98.08788427305745,South Dakota,SD00100
Two Rivers Golf Club,Dakota Dunes,150,57049,South Oak Tree Lane,+1 605-232-3241,https://www.golftworivers.com/,,,,,,,,,,,,,,,,445582.0300640996,42.501631307957034,-96.47977739677371,South Dakota,SD00060
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,443352.47730250016,43.27727427665707,-100.65847234473001,South Dakota,SD00095
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,439528.9855160543,43.94063445006505,-96.97864500663701,South Dakota,SD00089
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,439528.9855160543,43.94063445006505,-96.97864500663701,South Dakota,SD00088
Tomahawk Lake Country Club,,,,,,,,,,,,,,,,,,,multipolygon,,,437676.9844583393,44.28797131772425,-103.68542492013998,South Dakota,SD00007
Meadow Creek Golf Course,,,,,,https://www.meadowcreekvolga.com/,,,,,,,,,,,,,,,,436488.02134594205,44.31379066098246,-96.91975256642857,South Dakota,SD00085
Prairie Ridge Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,413139.3491422276,44.12848291277689,-103.07577266340995,South Dakota,SD00011
Chamberlain Country Club,,,,,,,,,,,,,,,,,,,,,,388983.711045866,43.81163264665588,-99.41552311444912,South Dakota,SD00086
Springfield Golf Club,Springfield,41550,57062,Boat Basin Drive,,,,SD,,,,,,,,,,,multipolygon,,,388795.50011732936,42.86245064030811,-97.87641753083136,South Dakota,SD00025
River Ridge Golf Course,Garretson,25412,57030,485th Avenue,,,,SD,,,,,,,,,,,multipolygon,,,386702.4059643363,43.69919502983294,-96.50584716136477,South Dakota,SD00035
Lake Platte Golf Club,Platte,27574,57301,Golf Course Road,+1 605-337-3300,,Bing,SD,,,,,,,,,,,,,,385572.5133313287,43.38808557572905,-98.88940732644994,South Dakota,SD00069
Rocky Knolls Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,377248.8389986987,43.7556857920505,-103.62309124725006,South Dakota,SD00010
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,343704.38192880916,43.71931253200284,-97.39880658195842,South Dakota,SD00039
Valley View Golf Course,Freeman,27996,57029,438th Avenue,,,,SD,,,,,,,,,,,multipolygon,,,339632.90156946494,43.33213672915211,-97.43753941038516,South Dakota,SD00027
Winner Country Club,Winner,1220,57580,Country Club Road,,,,SD,,,,,,,,,,,,,,338101.4829272545,43.36641030578821,-99.84538833102363,South Dakota,SD00068
Hiawatha Golf Club,Canton,100,57013,North Hiawatha Drive,+1 605 987 2474,https://hiawathagolfclub.com/,,,,,,,,,,,,,,,,329244.71490636707,43.30288719896055,-96.553934960397,South Dakota,SD00067
Belle Fourche Country Club,,,,,,,,,,,,,,,,,,,,,,328853.8145785285,44.64437387730817,-103.86317845876118,South Dakota,SD00051
Lemmon Country Club,,,,,,,,,,,,,,,,,,,,,,325839.8106681806,45.91674675909126,-102.11729561938331,South Dakota,SD00052
Lenkota Country Club,,,,,+1-605-647-5335,https://lenkota.com/,,,,,,,,,,,,,,,,314566.276604087,43.34807676645632,-96.91321494018395,South Dakota,SD00075
Lead Golf Course,,,,,,,,,,,,,,,,,,,,,,301330.3005650687,44.27050282803385,-103.8131364284121,South Dakota,SD00098
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,298585.80530217965,44.544134675063034,-98.98616794207148,South Dakota,SD00072
The Pointe Golf & Event Center,,,,,,,,,,,,,,,,,,,,,,291293.24598855246,42.6776170884322,-96.67316256340614,South Dakota,SD00080
Britton Country Club,,,,,,,,,,,,,,,,,,,multipolygon,,,289178.77689892205,45.80395055044047,-97.72697955109355,South Dakota,SD00003
Gettysburg Golf Course,,,,,,,,,,,,,,,,,,,,,,279874.6931850904,45.0185646910474,-99.94778959984502,South Dakota,SD00090
Rolling Hills Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,279569.0774119462,45.46932014200572,-98.51000850571467,South Dakota,SD00055
Dunes Golf Course,,,,,,,,,,,,,,,,,,,,,,277126.6967482714,44.38769342956798,-100.3853079173804,South Dakota,SD00077
Northern Links Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,269930.66047338786,43.632716174976046,-96.71674325311889,South Dakota,SD00047
Sunrise Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,269927.37364830746,43.9748988875985,-96.81188284933776,South Dakota,SD00084
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,267842.0540313219,45.77630119102814,-99.60836574149424,South Dakota,SD00073
Randall Hills Country Club,,,,,,https://www.randallhillscc.com/,,,,,,,,,,,,,,,,267489.9131841146,43.069652445139056,-98.5269187727976,South Dakota,SD00082
Split Rock Country Club,,,,,,,,,,,,,,,,,,,,,,264793.0550325762,45.44566230312497,-99.0430318758987,South Dakota,SD00076
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,261777.2271969626,43.17741011462512,-101.7228707369985,South Dakota,SD00045
Clark Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,260233.2739569873,44.88413323452603,-97.74178117777814,South Dakota,SD00037
Castlewood Golf Course,,,,,,,,,,,,,,,,,,,,,,256890.43337656098,44.71485410410402,-97.021457332109,South Dakota,SD00101
Gregory Golf Course,Gregory,33830,57533,288th Street,+1 605 835 8134,,,,,,,,9_hole,,,36,1966,,,,,250563.43616868203,43.23026613428814,-99.40965850359694,South Dakota,SD00074
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,250406.14462409675,43.18154374558519,-99.312701043457,South Dakota,SD00091
Webster Golf Club,,,,,,,,,,,,,,,,,,,,,,239340.11282563416,45.33877556469874,-97.52640831177217,South Dakota,SD00065
Fish Lake Country Club,Plankinton,39051,57368,253rd Street,,,,SD,,,,,,,,,,,multipolygon,,,225340.40421800874,43.718840425947164,-98.39739687313606,South Dakota,SD00029
Fisher Grove Country Club,Frankfort,17290,57440,Fishers Lane,,,,SD,,,,,,,,,,,multipolygon,,,222328.0655242998,44.880633858465806,-98.35303966280759,South Dakota,SD00016
Unknown Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,221761.86110885566,44.072245646019404,-101.65370758069515,South Dakota,SD00044
Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,208422.11464851102,43.03007858494663,-96.62610746147823,South Dakota,SD00036
Clear Lake Golf Club,,,,,,,,,,,,,,,,,,,,,,201757.1294248913,44.7486607811765,-96.68947792956088,South Dakota,SD00071
Kingsbury County Country Club,De Smet,611,57231,7th Street Southwest,+1 605 854 3134,https://www.golfkccc.com/,,SD,,,,,,,,,,,multipolygon,,,191945.01661863676,44.38070861859131,-97.5568765105078,South Dakota,SD00033
Kingsbury County Country Club,De Smet,611,57231,7th Street Southwest,+1 605 854 3134,https://www.golfkccc.com/,,SD,,,,,,,,,,,multipolygon,,,191945.01661863676,44.38070861859131,-97.5568765105078,South Dakota,SD00034
Kuehn Golf Course,Sioux Falls,2901,57106,South Kuehn Park Road,,,,SD,,,,,,,,,,,multipolygon,,,184577.33214951694,43.52028097659798,-96.80812168710617,South Dakota,SD00023
Hidden Valley Golf Course,Brandon,1708,57005,East Redwood Bloulevard,+1 605-582-2424,https://golfthevalley.com/,Bing,,,,,,,,,,,,multipolygon,,,176965.05269788342,43.59871499686455,-96.56172367562303,South Dakota,SD00014
Springs Country Club,Wessington Springs,704,57382,2nd Street Northeast,,,,SD,,,,,,,,,,,multipolygon,,,165945.09158962907,44.08358488411999,-98.56265422698418,South Dakota,SD00030
Village Green Golf Course,Howard,508,57349,East Farmer Avenue,,,,SD,,,,,,,,,,,multipolygon,,,161306.37785850375,44.01328745054206,-97.5179293425805,South Dakota,SD00031
Scotland Dawson Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,160022.0599336714,43.142114418678126,-97.72654020636676,South Dakota,SD00070
Executive Golf Course,,,,,,,,,,,,,,golf,,,,,,,,157964.7545306859,44.08704974193183,-103.23682403580088,South Dakota,SD00043
Gate City Golf Course,,,,,,,,,,,,,,,,,,,,,,155495.6248124949,44.763396916572525,-96.46244802115874,South Dakota,SD00079
Dry Run Creek Park & Disc Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,132219.92691902205,43.706307177986446,-98.02397505643292,South Dakota,SD00053
Prairie Dunes Golf Course,Goodwin,248,57238,West Chicago Avenue,,,,SD,,,,,,,,,,,multipolygon,,,112347.17070138002,44.874876725583576,-96.85549836872414,South Dakota,SD00024
Unknown Golf Course,,,,,,,Bing,,,,,,,,,,,,,,,106378.94002502719,44.368172705535876,-98.1962093940097,South Dakota,SD00054
Forest Drive Disc Golf Course,,,,,,,Bing,,,,,,,disc_golf,,,,,,,,93668.37771023986,45.542684452336154,-98.61714966030591,South Dakota,SD00057
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,73527.873612851,44.04736511538009,-103.19937055207339,South Dakota,SD00049
Unknown Golf Course,,,,,,,bing,,,,,,,golf,,,,,,,,62867.263493242484,42.89548294919341,-97.3803297893038,South Dakota,SD00042
9-Hole Short/Executive Course,,,,,,,Bing,,,,,,,,,,,,,,,38328.41361266233,44.28942502204018,-96.76569100294613,South Dakota,SD00050
Cloud Nine Golf Course,Watertown,625,57201,20th Avenue SE,,https://www.facebook.com/pages/Cloud-Nine-Casino/485980714815029?rf=108155299226980,Bing,SD,,,,,,,,,,,multipolygon,,,35079.51689023146,44.877732755940656,-97.10623904882378,South Dakota,SD00019
Kiwanis Disc Golf Course,,,,,,,,,,,,,,disc_golf,,,,,,,,21866.47878998464,43.733217557331436,-98.030832032699,South Dakota,SD00063
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,17737.165774637553,43.585305870718635,-96.75941523024787,South Dakota,SD00093
Eagle Pass Lodge driving range,,,,,,,,,,,,,,,,,,,,,,11025.758236337531,44.55575117231132,-99.2490984691936,South Dakota,SD00102
