abandoned,disused:leisure,disused:name,note,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,fixme,golf:course,golf:par,phone,golf,opening_hours,operator,website,access,golf:designer,wikidata,source,email,landuse,name:tr,area,addr:county,type,review,sport,fee,wikimedia_commons,wikipedia,opening_date,area_m2,lat,lon,province,gcid
,,,,Toana Vista Golf Course,West Wendover,2319,89883,NV,Pueblo Boulevard,18 hole Par 72,,18_hole,72,+1-775-664-4300,,,,https://www.toanavistagolf.com/,,,,,info@toanavistagolf.com,,,,,multipolygon,,,,,,,885112.9532541359,40.732634464894026,-114.09479225118139,Nevada,NV00066
,,,,The Legacy Golf Club,Henderson,130,89074,NV,Par Excellence Drive,18 hole Par 72,,18_hole,72,+1-888-629-3930,,,,https://www.thelegacygc.com/,,,,,,,,,,multipolygon,,,,,,,883841.0707910607,36.03561273381728,-115.0819221911281,Nevada,NV00015
,,,,Palm Valley Golf Course,Las Vegas,9201,89134,NV,Del Webb Boulevard,18 hole Par 72,,18_hole,72,+1 702 363 4373,,,,https://www.golfsummerlin.com/courses/palm-valley,private,,,,,,,,,multipolygon,,,,,,,873294.3439267142,36.211107738502115,-115.29526339744531,Nevada,NV00029
,,,,Toiyabe Golf Club,Washoe Valle,19,89704,,Lightning W Ranch Road,18 hole Par 72,,18_hole,72,+1 775-882-0882,,,,https://www.toiyabegc.com/,,,,,,,,,,multipolygon,,,,,,,861365.0162096937,39.23993851891441,-119.82474106623378,Nevada,NV00039
,,,,Dayton Valley Golf Course,Dayton,101,89403,,Palmer Drive,18 hole Par 72,,18_hole,72,(775) 246-7888; 775-246-7888-1,,,,http://www.daytonvalley.com/,,Arnold Palmer,,,,,,,,multipolygon,,,,,,,854855.122524335,39.24797639187605,-119.55136864666011,Nevada,NV00036
,,,https://www.facebook.com/pages/White-Pine-Golf-Course/233958029952668?rf=201590509888723 and http://www.worldgolf.com/courses/usa/nevada/eastely/white-pine-golf-course-public.html,White Pine Golf Course,Ely,,89301,NV,,18 hole Par 72,,18_hole,72,+17752894095,,,,,,,,,,,,,,,,,,,,,854038.4089727295,39.269225451957595,-114.85889218047541,Nevada,NV00088
,,,,Jackpot Golf Club,Jackpot,415,89825,NV,Ace Drive,18 Holes Par 72,,,,+1-775-755-2260,,,,https://www.jackpotgolfclub.com/,,,,,,,,,,,,,,,,,840584.6873638332,41.98997140538419,-114.6600073599176,Nevada,NV00104
,,,,Mojave Resort Golf Club,Laughlin,9905,89029,NV,Aha Macav Parkway,18 hole Par 72,,18_hole,72,+1 702-535-4653,,,,http://mojaveresortgolfclub.com/,,,,,,,,,,,,,,,,,840419.843770288,35.02231827329471,-114.64815786360602,Nevada,NV00080
,,,,Dragon Ridge Country Club,Henderson,552,89012,NV,South Stephanie Street,18 hole Par 72,,18_hole,72,+1-702-614-4444,,,,http://www.dragonridgegolf.com/,private,,,,receptionist@dragonridgegolf.com,,,,,multipolygon,,,,,,,822029.1035748302,36.00826925375282,-115.04725457136985,Nevada,NV00014
,,,,Red Rock Country Club,,,,,,18 hole Par 72,,18_hole,72,,,,,http://www.redrockcountryclub.com/,private,Arnold Palmer,,,,,,,,multipolygon,,,,,,,813956.6486948236,36.13644293019837,-115.34701934467411,Nevada,NV00025
,,,,Highland Falls Golf Course,,,,,,18 hole Par 72,,18_hole,72,+1-702-254-7010,,,,https://www.golfsummerlin.com/course/hfc.html,private,,,,,,,,,multipolygon,,,,,,,813794.3082421996,36.2120183072199,-115.31935683267395,Nevada,NV00028
,,,,Siena Golf Club,Las Vegas,10575,89135,NV,Siena Monte Ave.,18 hole Par 72,,18_hole,72,888-823-5523;702-900-1742,,,,https://www.sienagolfclub.com/,private,,,,,,,,,multipolygon,,,,,,,800950.7088671015,36.10448887175387,-115.32139379688172,Nevada,NV00018
,,,,Rhodes Ranch Country Club,Las Vegas,20,89148,NV,Rhodes Ranch Parkway,18 hole Par 72,,18_hole,72,(702) 740-4114;1-888-311-TEES,,,,https://www.rhodesranchgolf.com/,private,,,,,,,,,multipolygon,,,,,,,785944.1576318139,36.044006529919315,-115.28682784394896,Nevada,NV00017
,,,,D'Andrea Golf Club,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,2022,784632.5391349924,39.55710071838981,-119.69169887553869,Nevada,NV00030
,,,,SouthShore Golf Club at Lake Las Vegas,Henderson,100,89011,NV,Strada Di Circolo,18 hole Par 71,,18_hole,71,+1 702-564-1600; 800-564-1603,,,,https://www.pacificlinks.com/default.aspx?p=DynamicModule&pageid=358091&ssid=265889&vnf=1,private,,,,,,,,,multipolygon,,,,,,,784042.5596182062,36.1059716312735,-114.91720049386309,Nevada,NV00046
,,,,Somersett Golf and Country Club,Reno,2019,89523-3829,NV,Championship Trail,18 hole Par 72,,18_hole,72,+1-775-787-1800,,,,https://www.somersettgolfandcountryclub.com/,private,,,,,,,,,multipolygon,,,,,,,780979.4301286382,39.5341660836846,-119.93415971437005,Nevada,NV00006
,,,,Painted Desert Golf Club,Las Vegas,5555,89149,NV,Painted Mirage Road,18 hole par 72,,18_hole,72,+1 702-645-2570,,,,https://www.painteddesertgc.com/,private,,,,,,,,,multipolygon,,,,,,,778804.5961585683,36.25714554923766,-115.25840155467456,Nevada,NV00013
,,,,Reflection Bay Golf Club,,,,,,,,,,,,,,,yes,,,,,,,,,multipolygon,,,yes,,,,755025.3402999712,36.110268201687695,-114.92997165487311,Nevada,NV00057
,,,,Washoe Golf Course,Reno,2601,89509,NV,Foley Way,18 hole Par 72,,18_hole,72,+1-775-828-6640,,,,https://www.washoegolf.org/,,,,,,,,,,,,,,,,,744222.6797040642,39.496932578696864,-119.8174172951764,Nevada,NV00068
,,,,Silver Oak Golf,Carson City,1251,89703,NV,Country Club Drive,18 hole Par 71,,18_hole,71,+1-775-841-7000,,,,http://silveroakgolf.com/,,,,,info@silveroakgolf.com,,,,,,,,,,,,738577.7855009862,39.191586959448514,-119.78239038716538,Nevada,NV00094
,,,,Chimera Golf Club,Henderson,901,89011,NV,Olivia Parkway,18 hole Par 72,,18_hole,72,+1-702-951-1500,,,,https://chimeragolfclub.com/,,,,,,,,,,multipolygon,,,,,,,714918.4420097676,36.079454099368306,-114.96869414898244,Nevada,NV00010
,,,,The Golf Club at Fernley,Fernley,50,89408,NV,Desert Lakes Drive,18 hole Par 72,,18_hole,72,+1-775-835-6933,,,,https://www.thegolfclubatfernleynv.com/,,,,,,,,,,multipolygon,,,,,,,711912.5097963287,39.58558213862973,-119.14865979562435,Nevada,NV00020
,,,,Arroyo Golf Club,Las Vegas,2250,89135,NV,C Red Springs Drive,18 hole Par 72,,18_hole,72,866-934-4653;702-900-1741,,,,https://www.thearroyogolfclub.com/,private,Arnold Palmer,,,,,,,,multipolygon,,,,,,,701330.078133295,36.144591864511845,-115.34364977986257,Nevada,NV00026
,,,,Boulder City Municipal Golf Course,,,,,,18 hole Par 72,,18_hole,72,+1-702-293-9236,,,,http://bouldercitygolf.com/,private,,,,,,,,,multipolygon,,,,,,,693429.6667301608,35.95580038417376,-114.84173132652401,Nevada,NV00058
,,,,Las Vegas Country Club,Las Vegas,3000,89109,NV,Joe W. Brown Drive,18 hole Par 72,,18_hole,72,+1-702-734-1122,,24/7,,https://www.lasvegascc.com/,private,,Q6492534,,,,,,,multipolygon,,,,Category:Las Vegas Country Club,en:Las Vegas Country Club,,690364.8687962267,36.13591775145579,-115.14430540559465,Nevada,NV00008
,,,,Canyon Gate Country Club,Las Vegas,2001,89117,NV,Canyon Gate Drive,18 hole Par 72,,18_hole,72,+1 702-363-4320; +1 702-363-0303,,,,https://www.clubcorp.com/Clubs/Canyon-Gate-Country-Club,private,,Q21188157,,,,,,,multipolygon,,,,,,,689227.7488270539,36.14812020347338,-115.2866911888215,Nevada,NV00016
,,,,Lake Ridge Golf Course,Reno,1218,89519,NV,Golf Club Drive,18 hole par 71,,18_hole,71,800.815.6966;775.825.2200,out_of_bounds,,,http://www.lakeridgegolf.com/,,Robert Trent Jones Sr.,,,,,,,,multipolygon,,,,,,,686171.6899998331,39.475747603802745,-119.81586966031955,Nevada,NV00031
,,,,Wolf Run Golf Club,Reno,1400,89511,NV,Wolf Run Road,18 hole Par 72,,18_hole,72,+1-775-851-3301,,,,https://www.wolfrungolfclub.com/,,,,,,,,,,multipolygon,,,,,,,685220.9701958462,39.41074171654649,-119.77754564761584,Nevada,NV00055
,,,,The Oasis - Canyons Course,Mesquite,100,89027,NV,Palmer Lane,18 hole Par 71,,18_hole,71,(888) 367-3386; (702) 346.7820,,,,https://theoasisgolfclub.com/,,,,,,,,,,multipolygon,,,,,,,675517.6029608349,36.82863494755158,-114.06458496342447,Nevada,NV00021
,,,,Las Vegas Golf Club,Las Vegas,4300,89107,NV,West Washington Avenue,18 hole Par 72,,18_hole,72,+1-702-646-3003,,,,https://www.lasvegasgc.com/,private,,,,,,,,,,,,,,,,674854.9399165032,36.18455586572034,-115.19916807303441,Nevada,NV00072
,,,Website http://www.desertrosegc.com not available anymore info e.g. at http://www.worldgolf.com/courses/usa/nevada/lasvegas/desert-rose-golf-course-public.html,Desert Rose Golf Course,Las Vegas,5483,89142,NV,Club House Drive,18 hole Par 71,website www.desertrosegc.com not available anymore,18_hole,71,+1-702-431-4653,,,,,private,,,,,,,,,,,,,,,,665401.6489990114,36.14506559717995,-115.05542494632178,Nevada,NV00083
,,,,Round Mountain Golf Course,Round Mountain,,89045,NV,,9 hole Par 36,,9_hole,36,+1-775-377-2880,,,,https://www.rmgcgolf.com/,,,,,,,,,,,,,,,,,651596.905379332,38.69830895399648,-117.15567034726892,Nevada,NV00091
,,,,Ruby View Golf Course,Elko,2100,89801,NV,Ruby View Drive,18 hole Par 71,,18_hole,71,+1-775-777-7277,,,,http://www.ci.elko.nv.us/recreation/golf.htm,,,,,,,,,,,,,,,,,650568.5715777329,40.85575181197051,-115.75997631844452,Nevada,NV00092
,,,,Wildhorse Golf Club,Henderson,2100,89014,NV,W. Warm Springs Rd.,18 Hole Par 70,,,,+1-702-434-9000,,sunrise-sunset,Elite Golf Management,https://www.golfwildhorse.com/,,,,,,,,,,,,,,,,,632703.884632481,36.06103362772652,-115.07844512034205,Nevada,NV00105
,,,,Falcon Ridge Golf Course,Mesquite,1024,89027,NV,Normandy Lane,18 hole Par 71,"area is not completely mapped, a several holes on the east side of the course are still missing",18_hole,71,+1 702-346-6363,,,,https://golffalcon.com/,,,,,info@golffalcon.com,,,,,multipolygon,,,,,,,624157.0369854019,36.81370298521509,-114.10276966385413,Nevada,NV00023
,,,,Angel Park Golf Club,Las Vegas,100,89145,NV,South Rampart Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,623292.9517767173,36.173665200935595,-115.2828254422363,Nevada,NV00114
,,,,Wynn Golf Course,Las Vegas,3131,89109,NV,South Las Vegas Boulevard,18 hole Par 70,,18_hole,70,+1-702-770-4653,,,,https://www.wynnlasvegas.com/,private,,,,,,Wynn Golf Sahası,,,,,,,,,,612924.3002653214,36.125777691621444,-115.15939773160191,Nevada,NV00067
,,,,Bali Hai Golf Club,,,,,,18 hole Par 71,,18_hole,71,+1 702 450 8191,,,,https://www.balihaigolfclub.com/,private,,,,,,,,,,,,,,,,602538.0747744892,36.079473017551486,-115.17644448943904,Nevada,NV00076
,,,,Las Vegas National Golf Club,Las Vegas,1911,89109,NV,East Desert Inn Road,18 hole Par 71,,18_hole,71,(866)695-1961;(702) 734-1796,,,,https://www.lasvegasnational.com/,private,,Q15709483,,,,,,,multipolygon,,,,,,,593035.1975485558,36.12445794121238,-115.123204399172,Nevada,NV00009
,,,,The Oasis - Palmer Course,Mesquite,100,89027,NV,Palmer Lane,18 hole Par 71,,18_hole,71,(888) 367-3386; (702) 346.7820,,,,https://theoasisgolfclub.com/,,,,,,,,,,multipolygon,,,,,,,576557.531864598,36.81777769296134,-114.08099498612202,Nevada,NV00022
,,,,Incline Village Golf Courses - Championship Course,Incline Village,955,89451,,Fairway Boulevard,18 hole Par 72,,18_hole,72,(775) 832 1146; (866) 925 4653,,,The Golf Courses at Incline Village,http://www.golfincline.com/,,,,,,,,,,multipolygon,,,,,,,569979.4084901696,39.254116222211074,-119.94305008357121,Nevada,NV00037
,,,,Wildcreek Golf Course,Sparks,3500,89431,NV,Sullivan Lane,18 hole Par 72 + 9 hole Par 27 Executive Course,,27_hole,72 + 27,+1 775-673-3100,,,,http://golfwildcreek.com/,,,,,,,,,Washoe,,,,,,,,534530.9821868412,39.560372284265036,-119.76650495051699,Nevada,NV00069
,,,,Spring Creek Golf Course,Spring Creek,410,89815,,Fairway Boulevard,18 hole Par 71,,18_hole,71 + 35 + 35,+1-775-753-6331,,,,https://www.springcreeknv.net/SCA-Golf-Page.html,,,,,,,,,,multipolygon,,,,,,,500871.3193349166,40.739816209335245,-115.59389090818729,Nevada,NV00038
,,,,Carson Valley Golf Course,Gardnerville,1027,89460,,Riverview Drive,18 hole Par 71,,18_hole,71 + 35 + 35,+1 775-265-3181,,,,https://www.carsonvalleygolf.com/,,,,,golf@carsonvalleygolf.com,,,,,multipolygon,,,,,,,496167.16334795457,38.91134695238047,-119.71756210392219,Nevada,NV00041
,,,,Los Prados Golf & Country Club,Las Vegas,5150,89130,NV,Los Prados Circle,18 hole Par 70,,18_hole,70,+1-702-645-5696,,,,https://losprados-golf.com/,private,,,,,,,,,multipolygon,,,,,,,494033.2834819455,36.25422711419954,-115.21536125221049,Nevada,NV00012
,,,,Desert Pines Golf Club,Las Vegas,3415,89101,NV,East Bonanza Road,,,,,,,,,https://www.desertpinesgolfclub.com/,,,,,,,,,,,,,,,,,469162.4013795112,36.17061154834942,-115.10188259414518,Nevada,NV00110
,,,,Desert Willow Golf Course,Henderson,2020,89012,NV,West Horizon Ridge Parkway,18 hole Par 60,,18_hole,60,+1 702-263-4653,,,,https://www.desertwillowlasvegas.com/,private,,,Bing,,,,,,multipolygon,no,golf,,,,,463406.9702607307,36.00629940143855,-115.07484619352294,Nevada,NV00034
,,,,Eagle Crest Golf Course,Las Vegas,2203,89134,NV,Thomas W. Ryan Boulevard,18 hole Par 60,,18_hole,60,+1 702-240-1320,,,,https://www.golfsummerlin.com/course/ecc.html,private,,,,,,,,,multipolygon,,,,,,,459038.77476154,36.198929313032835,-115.33321184143404,Nevada,NV00064
,,,,Casablanca Golf Course,Mesquite,1100,89027,NV,West Hafen Lane,18 hole Par 72,"mapping is bad, basically just contains the grass areas, should instead have the contours",18_hole,72,+1-702-346-6764,,,,https://casablancaresort.com/golf-course-details/,,,,,,,,,,multipolygon,,,,,,,407839.37803767517,36.79208524124834,-114.11501529583106,Nevada,NV00027
,,,,Sunrise Course,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,395042.4616189812,36.09619084849944,-115.2495254814348,Nevada,NV00061
,,,,Angel Park Golf Club - Palm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381572.53850991203,36.18125343042847,-115.28410432899258,Nevada,NV00115
,,,,Durango Hills Golf Club,Las Vegas,3501,89129,NV,North Durango Drive,,,,,+1-702-229-4653,,,,https://www.durangohillsgolf.com/,,,,,,,,,,,,,,,,,362316.82777705276,36.222851452969365,-115.28304677052427,Nevada,NV00111
,,,,Mountain View Golf Club,Battle Mountain,205,89820,NV,Fairway Drive,9 hole Par 35,,9_hole,35,+1-775-635-2380,,,,https://www.mvgolfclub.com/,,,,,,,,,,,,,,,,,358254.3853667756,40.61925165187314,-116.96182655219818,Nevada,NV00106
,,,,Lakes Course,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,320312.2615763943,36.09777807748665,-115.26544858665531,Nevada,NV00063
,,,,Incline Village Golf Courses - Mountain Course,Incline Village,690,89451,,Wilson Way,18 hole Par 58,,18_hole,58,(775) 832 1150; (866) 925 4653,,,The Golf Courses at Incline Village,http://www.golfincline.com/,,,,,,,,,,multipolygon,,,,,,,313975.4501362941,39.266813562081104,-119.94974984992177,Nevada,NV00053
,,,"no website available, info at http://www.worldgolf.com/courses/usa/nevada/wells/chimney-rock-municipal-golf-course-public.html or http://www.nevadagolf.com/courses/wells/chimney-rock-municipal-golf-course/",Chimney Rock Municipal Golf Course,Wells,750,89835,NV,Ventosa,9 hole Par 35,,9_hole,35,+1-775-752-3928,,,,,,,,,,,,,,,,,,,,,309954.9921200558,41.09940855711012,-114.97448728396172,Nevada,NV00085
,,,"no website available, info at http://www.worldgolf.com/courses/usa/nevada/wells/chimney-rock-municipal-golf-course-public.html or http://www.nevadagolf.com/courses/wells/chimney-rock-municipal-golf-course/",Chimney Rock Municipal Golf Course,Wells,750,89835,NV,Ventosa,9 hole Par 35,,9_hole,35,+1-775-752-3928,,,,,,,,,,,,,,,,,,,,,309954.9921200558,41.09940855711012,-114.97448728396172,Nevada,NV00084
,,,,Lake View Executive Golf Course,Pahrump,1471,89048,,Mount Charleston Drive,18 Hole Par 59,,18_hole,59,+1-775-727-4040,,sunrise-sunset,Town of Pahrump,https://www.lakeviewgolfpahrump.com/,,,,,,,,,,multipolygon,,,,,,,286152.4359052979,36.17649620514802,-115.98587049320733,Nevada,NV00044
,,,,Canyon Course,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,260676.71121642698,36.094092962883934,-115.26282224239073,Nevada,NV00062
