name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,golf:course,golf:links,golf:par,phone,website,opening_hours,access,email,fax,source,old_name,owner,ownership,wikidata,wheelchair,natural,type,operator,addr:country,landuse,wikipedia,area_m2,lat,lon,province,gcid
Green Valley Country Club,Portsmouth,371,02871,,Union Street,,,,,+1 401-847-9543,https://www.greenvalleyccofri.com/,,,,,,,,,,,,,,,,,626910.7739466047,41.564229814109126,-71.26795826326796,Rhode Island,RD00031
Fenner Hill Country Club,Hope Valley,33,02832,,Wheeler Lane,,,,,+1 401 539 8000,https://fennerhill.com/,06:00-dusk,,,,,,,,,,,,,,,,622743.441929847,41.494060229130184,-71.7232080742688,Rhode Island,RD00050
Laurel Lane Country Club,West Kingston,309,02892,,Laurel Lane,,18,,70,+1 401-783-3844,https://laurellanecountryclub.com/,,,,,,,,,,,,,,,,,622384.60988189,41.49027400205426,-71.60239930682643,Rhode Island,RD00043
Foster Country Club,Foster,67,02825,,Johnson Road,,18,,71,+1 401 397 7750,https://fostercountryclub.com/,,,,,,,,,,,,,,,,,616364.7337811129,41.7515176497462,-71.75049360510481,Rhode Island,RD00046
Triggs Memorial Golf Course,Providence,1533,02909,RI,Chalkstone Avenue,,,,,+1-401-521-8460,https://triggs.us/,,,,,,,,,,,,,,,,,596210.7598721796,41.83760314781596,-71.45869347424416,Rhode Island,RD00021
Sakonnet Golf Club,Little Compton,79,02837,RI,Sakonnet Point Road,,18,,70,+1 401-635-4821,http://sakonnetgc.com/,,,,,,,,,,,,,,,,,593921.5710114297,41.47483153815174,-71.18552338184365,Rhode Island,RD00036
Rhode Island Country Club,Barrington,150,02806,,Nayatt Road,,,,,+1 401-245-5700,https://www.ricc.org/,,,,,,,,,Q7320907,,,,,,,,587804.7036762271,41.73209908306194,-71.33119444891938,Rhode Island,RD00032
Kirkbrae Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,575445.6059852398,41.946869833372546,-71.45765109214031,Rhode Island,RD00045
Crystal Lake Golf Club,Mapleville,100,02839,RI,Broncos Highway,,,,,+1-401-567-4500,https://crystallakegolfclub.com/,,,,,,,,,,,,,,,,,573526.3352882338,41.93721370667737,-71.6708047095655,Rhode Island,RD00060
Point Judith Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,573386.7818725328,41.40870885702625,-71.47021685484779,Rhode Island,RD00015
Point Judith Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,573386.7818725328,41.40870885702625,-71.47021685484779,Rhode Island,RD00014
Valley Country Club,,,,,,,18,,72,+1-401-821-1115,https://www.valleycountryclub.net/,,,,,,,,,,,,,,,,,572685.685950988,41.70347032732736,-71.5086450190768,Rhode Island,RD00028
Valley Country Club,,,,,,,18,,72,+1-401-821-1115,https://www.valleycountryclub.net/,,,,,,,,,,,,,,,,,572685.685950988,41.70347032732736,-71.5086450190768,Rhode Island,RD00029
Montaup Country Club,Portsmouth,500,02871,,Anthony Road,,18,,71,+1 401-683-0955,https://www.montaupcc.com/,,,,,,,,,,,,,,,,,570227.4008825762,41.637181414363724,-71.23432598270463,Rhode Island,RD00022
North Kingstown Golf Course,North Kingstown,615,02852,,Callahan Raod,,18,,70,+1 401-294-0684,http://www.nkgc.com/,,,,,,,,,,,,,,,,,564887.6080623567,41.598365404579596,-71.42952546454218,Rhode Island,RD00030
Melody Hill Country Club,Harmony,55,02829,,Melody Hill Lane,,,,,+1 401 949 9851,https://www.melodyhillcc.com/,,,,,,,,,,,,,,,,,546873.6085705495,41.884514422248216,-71.61068320233831,Rhode Island,RD00048
Wanumetonomy Golf and Country Club,Middletown,152,02842,,Browns Lane,,,,,+1 401 847 5141,https://www.wanumetonomy.com/,,,,,,,,,,,,,,,,,506824.0802434975,41.53805318763156,-71.30307537838176,Rhode Island,RD00047
Metacomet Country Club,East Providence,500,02914,RI,Veterans Memorial Parkway,,,,,+1-401-438-1122,http://www.metacometcc.org/,,,ltyrell@metacometcc.org,+1-401-435-6468,,,,,Q6822428,,,multipolygon,Metacomet Country Club,,,,505011.82360844885,41.80683043266858,-71.37887206618747,Rhode Island,RD00005
Potowomut Golf Club,East Greenwich,439,02818,RI,Ives Road,,,,,+1 401 885 8700,https://potowomut.com/,,,info@potowomut.com,,,,,,,,,multipolygon,,US,,,502603.08510092885,41.66231793983832,-71.42713687379664,Rhode Island,RD00007
Warwick Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,recreation_ground,,481732.02803070925,41.67341691101188,-71.38390118978191,Rhode Island,RD00010
Winnapaug Country Club,Westerly,184,02891,,Shore Road,,,,,+1 401-596-1237,http://www.winnapaugcountryclub.com/,,,,,,,,,,,,multipolygon,,,,,478420.3106239186,41.34098655308659,-71.79563377106768,Rhode Island,RD00001
Wannamoisett Country Club,Rumford,96,02916,,Hoyt Avenue,,,,,+1 401-434-1200,https://www.wannamoisett.com/,,,,,,,,,Q7968030,,,multipolygon,,,,,472384.5728852714,41.84754907800399,-71.35988044190601,Rhode Island,RD00012
Agawam Hunt,,,,,,,,,,+1 401-434-3254,https://www.agawamhunt.org/,,,,,,,,,,,,multipolygon,,,,,470405.66607980954,41.83229861485037,-71.35540483008516,Rhode Island,RD00003
Pawtucket Country Club,Pawtucket,900,02861,,Armistice Boulevard,,18_hole,,69,+1 401-725-2918,https://www.pawtucketcountryclub.com/,,,,,MassGIS OpenSpace (http://www.mass.gov/mgis/osp.htm),,Pawtucket Golf Club,private,,,,,,,,,456586.19473515183,41.8773884800541,-71.33727277210721,Rhode Island,RD00020
Country View Golf Club,Harrisville,49,02830,,Club Lane,,,,,+1 401 568 7157,https://www.countryviewgolf.net/,,,,,,,,,,,,,,,,,448256.11024545034,41.943968015234184,-71.60600328361166,Rhode Island,RD00049
Beaver River Golf Club,West Kingston,343,02892,,Kingstown Road,,18,,70,+1 401-539-2100,https://beaverrivergolf.com/,,,,,,,,,,,,,,,,,400251.47356360266,41.495125633835166,-71.63795490496433,Rhode Island,RD00042
Goddard Memorial State Golf Course,,,,,,,9,,36,+1-401-884-9834,https://riparks.ri.gov/parks/goddard-memorial-state-golf-course,,,,,,,,,,,,multipolygon,,,,,345833.79880421056,41.6573264622352,-71.435635551472,Rhode Island,RD00008
Wood River Golf,,,,,,,18,,69,+1-401-364-0700,http://www.woodrivergolf.com/,,,,,,,,,,,,multipolygon,,,,,336747.2550598685,41.45007196914396,-71.72259763498589,Rhode Island,RD00009
West Warwick Country Club,,,,,,,9,,35,+1-401-821-9789,https://www.wwccgolf.com/,,,,,,,,,,,,,,,,,330894.3546904784,41.72442917486385,-71.51400038845253,Rhode Island,RD00040
West Warwick Country Club,,,,,,,9,,35,+1-401-821-9789,https://www.wwccgolf.com/,,,,,,,,,,,,,,,,,330894.3546904784,41.72442917486385,-71.51400038845253,Rhode Island,RD00039
Jamestown Golf Course,Jamestown,245,02835,,Canonicus Avenue,,9,,36,+1 401-423-9930,http://jamestowngolf.com/,,,,,,,,,,,,,,,,,312349.37694551144,41.50507917709527,-71.37035893227433,Rhode Island,RD00041
The Preserve Golf Course,Wyoming,87,02898,,Kingstown Road,,18,,54,+1 401-539-4653,https://www.thepreserveri.com/,,private,,,,,,,,,,,,,,,292735.35385890666,41.49260831304267,-71.68246600006613,Rhode Island,RD00058
East Greenwich Golf Club,East Greenwich,1646,02818,,Division Road,,9,,36,+1 401-884-5656,http://www.eastgreenwichgolfclub.com/,,,,,,,,,,,,,,,,,282280.7840040831,41.65820001705976,-71.50958412289836,Rhode Island,RD00034
East Greenwich Golf Club,East Greenwich,1646,02818,,Division Road,,9,,36,+1 401-884-5656,http://www.eastgreenwichgolfclub.com/,,,,,,,,,,,,,,,,,282280.7840040831,41.65820001705976,-71.50958412289836,Rhode Island,RD00035
Mulligan's Island Golf and Entertainment,,,,,,,9_hole;8_hole,Short Course; Pitch and Putt,27;24,+1-401-464-8855,https://www.mulligansisland.com/,,,,,,,,,,,,,,,,,261201.92482329672,41.7404160545362,-71.47058131219461,Rhode Island,RD00033
Weekapaug Golf Club,Westerly,265,02891,,Shore Road,,,,,+1 401-322-7870,https://www.weekapauggolfclub.com/,,,,,,,,,,,,multipolygon,,,,,252334.41302915468,41.339096043864295,-71.77621608425696,Rhode Island,RD00011
Coventry Pines Golf Course,,,,,,,9,,36,,https://coventrypines.com/,,,,,,,,,,,,,,,,,246991.0570684501,41.669910917407464,-71.63162247950876,Rhode Island,RD00023
Midville Country Club,,,,,,,9,,35,+1-401-828-9215,https://midvillegolfclub.com/,,,,,,,,,,,,,,,,,242447.93191042487,41.72244649669203,-71.50035679229065,Rhode Island,RD00027
Lincoln Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,235210.16164034573,41.91551792907906,-71.42749674986106,Rhode Island,RD00059
Rolling Greens Golf Course,,,,,,,9,,35,+1-401-294-9859,https://rollinggreensri.com/,,,,,,,,,,,,,,,,,234092.4329501449,41.580599496549404,-71.51283595065478,Rhode Island,RD00052
Glocester Country Club,Chepachet,156,02814,,Putnam Pike,,9,,35,+1 401 949 3330,https://glocestercc.com/,,,,,,,,,,,,multipolygon,,,,,216776.4002582514,41.885797088380826,-71.59076312633321,Rhode Island,RD00017
Unknown Golf Course,,,,,,,9_hole,,,,,,,,,,,,,,,,multipolygon,,,,,209373.6930626558,41.416592643990676,-71.59003602978103,Rhode Island,RD00019
Harbor Lights Golf Course,,,,,,,9_hole,,36,+1-401-737-6353,https://harborlightsri.com/golf/,,,,,,,,,,,,,,,,,204469.18614218998,41.686460820416784,-71.3850196451467,Rhode Island,RD00053
Louisquisset Golf Club,North Providence,1,02904,RI,Overlook Circle,,,,,+1 401 353 8610,,,,,,,,,,,,,multipolygon,,,,,173447.386323735,41.87304465973683,-71.44227049210943,Rhode Island,RD00006
Kings Crossing Golf Club,North Kingstown,655,02852,,Old Baptist Road,,9,,36,+1 401-294-2872,https://kingscrossinggolfclub.com/,,,,,,,,,,,,multipolygon,,,,,170642.50551679594,41.60091523692555,-71.48817186163467,Rhode Island,RD00002
Pinecrest Golf Club,,,,,,,9_hole,,,,https://www.pinecrestri.com/,,,,,,,,,,,,,,,,,153610.8827305578,41.46730281763551,-71.65544517105474,Rhode Island,RD00061
Bristol Golf Park,,,,,,,9_hole,,32,+1-401-578-6564,https://bristolgolfpark.com/,,,,,,,,,,,grassland,,,,,,124023.1285876318,41.70075933880241,-71.27019351971681,Rhode Island,RD00056
Button Hole,Providence,1,02909,,Button Hole Drive,,,,,+1 401-421-1664,https://www.buttonhole.org/,,,,,,,,,,yes,,,,,,,115100.68151600078,41.82588869428434,-71.46393745617426,Rhode Island,RD00038
Silver Spring Golf Club,,,,,,Par 67 when played as an 18 hole round,7_hole,,27,,,,,,,RIGIS,,,,,,,,,,,,109050.07446685612,41.78506519818534,-71.36502246755543,Rhode Island,RD00054
Fairlawn Golf Course,Lincoln,3,02865,,Sherman Avenue,,9_hole,,27,+1 401-334-3937,http://www.fairlawngolfcourse.com/,,,,,,,,,,,,multipolygon,,,,,59227.01439918113,41.91347069599745,-71.44101247143747,Rhode Island,RD00018
