check_date,name,wikidata,golf:course,addr:city,addr:postcode,addr:state,fixme,addr:housenumber,addr:street,contact:facebook,email,phone,website,addr:country,golf:par,operator,access,wikipedia,note,description,sport,wheelchair,fee,source,opening_hours,contact:website,operator:type,operator:wikidata,golf,alt_name,fax,building,building:levels,type,opening_hours:covid19,contact:youtube,area_m2,lat,lon,province,gcid
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684975.0799348992,44.93758986666018,-123.1617320318839,Oregon,OR00079
,RedTail Golf Course,,,Beaverton,97008,OR,,8200,Southwest Scholls Ferry Road,,customers@ryggolf.com,+1-503-646-5166,https://www.portland.gov/parks/redtail-golf-course,,,City of Portland,,,,,,,,,Mo-Su sunrise-20:00,https://www.golfredtail.com,public,Q6106,,,,,,,,,682355.9247316142,45.459099470669194,-122.77465301423996,Oregon,OR00070
,Heron Lakes Great Blue,,18_hole,Portland,97217,OR,,3500,North Victory Boulevard,,,,,,,City of Portland,,,,,,,,,,https://portlandparksgolf.com/heron-lakes-course-info/,public,Q6106,course,,,,,,,,679554.961066932,45.60183558857299,-122.70262234337206,Oregon,OR00193
,Salmon Run Golf Course,,,Brookings,97415,OR,,99040,South Bank Chetco River Rd,,,+1-541-469-4888,https://www.salmonrungolf.com/,,,,,,,,,,,,,,,,,,,,,,,,676814.1664040706,42.05383447342171,-124.21012223666871,Oregon,OR00198
,Meadow Lakes Golf Course,,,,,,,,,,,,https://www.meadowlakesgc.com/,,,,,,,,,,,,,,,,,,,,,,,,675770.5573060584,44.29582144487692,-120.85562062865854,Oregon,OR00090
,Willamette Valley Country Club,,,Canby,97013,OR,,900,Country Club Place,,,+1-503-266-4066,http://www.willamettevalleycc.com/,,,,private,,,,,,,,,,,,,,+1-503-266-7663,,,,,,673566.8029253063,45.28512854798675,-122.68281728028305,Oregon,OR00061
,Columbia Edgewater Country Club,Q29097364,,Portland,97211,,,2220,Northeast Marine Drive,,,,https://www.cecc.com/,,,,,,,,,,,bing,,,,,,,,,,,,,664793.6247784472,45.59633503038117,-122.64578352942343,Oregon,OR00047
,The Courses,,,Welches,97067,,,68010,East Fairway Avenue,,,503-622-3151,http://www.theresortcourses.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,662661.5752941658,45.33600570451993,-121.96124797267215,Oregon,OR00007
,Roseburg Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649413.0585883568,43.26888766610674,-123.40270488705201,Oregon,OR00103
,Stone Creek Golf Club,,,Oregon City,97045,,,14603,South Stoneridge Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,640565.0247818559,45.29970048190032,-122.56883961153129,Oregon,OR00084
,Widgi Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,635742.4294629093,44.0030839290905,-121.38608079593536,Oregon,OR00017
,Arrowhead Golf Club,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,633973.8915678671,45.2001182134683,-122.58704730593483,Oregon,OR00050
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628144.2557692295,45.667694626252704,-121.59123178614027,Oregon,OR00196
,Creekside Golf Club,,,,,,,,,,,+1 503-363-4653,https://www.golfcreekside.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,626414.4956042813,44.86498305292132,-123.04220857568649,Oregon,OR00037
,Persimmon Country Club,,,,,,,,,,,,,,,Hoei and Company Limited,private,,,,,,,,,,,,,,,,,,,,619247.8447254024,45.46652451150757,-122.42038290796312,Oregon,OR00057
,Rock Creek Country Club,,,,,,,,,,,,,,,United States Golf Clubs of Oregon,private,,,,,,,,,,,,,,,,,,,,619093.3397620441,45.554177608566256,-122.88152689017855,Oregon,OR00072
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606861.6781483879,44.66540355381365,-123.10492128264136,Oregon,OR00173
,Crooked River Ranch Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597381.4232121975,44.42462667589831,-121.2396272764862,Oregon,OR00143
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596799.5232782053,44.855741603421755,-121.16559388475305,Oregon,OR00177
,OGA Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,595580.0660328964,45.15948855431311,-122.84919155937156,Oregon,OR00013
,Rose City Golf Course,,,,,,,,,,,,https://www.portland.gov/parks/rose-city-golf-course,,,City of Portland,,,,,,,,,,https://www.rosecitygc.com/,public,Q6106,,,,,,multipolygon,,,591872.0544269148,45.53957902536103,-122.58980183224467,Oregon,OR00014
,Tualatin Country Club,,,,,,,,,,,,,,,Tualatin Country Club,private,,,,,,,,,,,,,,,,,,,,591848.7670790523,45.39132641549723,-122.77125990781906,Oregon,OR00064
,Riverside Golf and Country Club,,,Portland,97211,,,8105,Northeast 33rd Drive,,,,https://www.riversidegcc.com/,,,Riverside Golf and Country Club,private,,,,,,,,,,,,,,,,,,,,590695.7906099865,45.585699215490244,-122.63782713752701,Oregon,OR00046
,Michelbook Country Club,,,,,,,,,,,,https://www.michelbook.com/,,,,,,,,,,,,,,,,,,,,,,,,590104.9505647579,45.220087816520895,-123.21385998710674,Oregon,OR00162
,Coos Golf Club,,,Coos Bay,97420,OR,,93884,Coos-Sumner Lane,,,,,US,,,,,,,,,,,,,,,,,,,,,,,587561.7543318291,43.29125503478352,-124.20033442661862,Oregon,OR00169
,Indian Creek Golf Course,,,Hood River,97031,OR,,3605,Brookside Drive,,,+1-541-386-7770,https://indiancreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,584546.4955433154,45.68772110122078,-121.53988204502373,Oregon,OR00101
,Waverly Country Club,Q14709331,,,,,,,,,,,,,,Waverly Country Club,private,en:Waverley Country Club,,,,,,,,,,,,,,,,,,,580476.784284807,45.45329547292639,-122.6530436738922,Oregon,OR00045
,Eastmoreland Golf Course,,,,,,,,,,,,https://www.portland.gov/parks/eastmoreland-golf-course,,,City of Portland,,,,,,,,,,,public,Q6106,,,,,,multipolygon,,,580147.2642494615,45.47351073830855,-122.63691544919463,Oregon,OR00022
,Eugene Country Club,,,,,,,,,,,,https://www.eugenecountryclub.com/,,,,private,,,,,,yes,,,,,,,,,,,,,,567699.3047339198,44.067305247919194,-123.0868390543364,Oregon,OR00051
,Pendleton Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562961.6307506425,45.565245078658904,-118.79684834654574,Oregon,OR00133
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,561929.5107655216,44.88681099822396,-124.02703106785347,Oregon,OR00033
,Reames Golf and Country Club,,,,,,,,,,,,,,,The Growler Guys,,,,,,,,,,,,,,,,,,,,,559441.752291839,42.18636244466856,-121.79514176931524,Oregon,OR00085
,The Resort Course At Eagle Crest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555644.2222221504,44.26098013998845,-121.25553291660218,Oregon,OR00156
,Astoria Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554443.4948301301,46.104997382795645,-123.92524283748206,Oregon,OR00104
,Big Meadow Golf Course,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,549328.9398926734,44.37336282317107,-121.66836896644602,Oregon,OR00019
,Langdon Farms Golf Course,,,,,,,,,,,,,,,Langdon Farms Golf Club,private,,,,,,,,,,,,,,,,,,,,547074.3022255587,45.274708924511096,-122.76653527245895,Oregon,OR00041
,Salem Golf Club,,,Salem,97302,,,2025,Golf Course Road South,,,503-363-6652,https://www.salemgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,541907.2500083277,44.9159840367174,-123.0722758335692,Oregon,OR00098
,Forest Hills Golf Course,,,,,,,,,,,,,,,Forest Hills Golf Course Incorporated,private,,Open for self-picking during opening hours in June-July,,,,,,,,,,,,,,,,,,538642.2703106524,45.48026602582903,-123.04693372930409,Oregon,OR00060
,Umpqua Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522981.1872200951,43.3919728650553,-123.3443542867824,Oregon,OR00087
,Buffalo Peak Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521599.95721437474,45.19890441979077,-117.85524491099962,Oregon,OR00153
,McNary Golf Club,,,Keizer,97303,,,155,McNary Estates Drive North,,,,,,,,,,,,,,,,,https://mcnarygolfclub.com/,,,,,,,,multipolygon,,,514579.94057253393,45.01206101190274,-123.03251322256152,Oregon,OR00030
,Oswego Lake Country Club,,,Lake Oswego,97034,OR,,20,Iron Mountain Boulevard,,,,,,,Oswego Lake Country Club,private,,,,,,,,,,,,,,,,,,,,505020.9387255903,45.42053355231371,-122.68700101669464,Oregon,OR00043
,Glaze Meadow Golf Course,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,504882.1306220332,44.34670664286201,-121.65715057007326,Oregon,OR00018
,Ocean Dunes Golf Links,,,Florence,97439,OR,Better area shape? Also fill in features.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499267.51422011585,43.992205885565276,-124.08692557661709,Oregon,OR00195
,Charbonneau Golf Course,,,,,,,,,,,,https://www.charbonneaugolfclub.com/,,,Charbonneau Golf Course Incorporated,private,,,,,,,,,,,,,,,,,multipolygon,,,494543.50980089477,45.288161940236776,-122.75618507857224,Oregon,OR00026
,Grants Pass Golf Club,,,,,,,,,,,,https://www.gpgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,481813.25246413384,42.39399932770461,-123.34342106107206,Oregon,OR00102
,Albany Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474052.1972307582,44.64309079988209,-123.10213089178515,Oregon,OR00052
,Corvallis Country Club,,,Corvallis,97333,OR,,1850,SW Whiteside Dr,,,,,,,Corvallis Country Club,,,,,,,,,,,,,,,,,,,,,474025.56096363795,44.54381139679862,-123.29656828380334,Oregon,OR00122
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469265.71000643325,44.8246867871973,-122.81927306122711,Oregon,OR00076
,Portland Golf Club,Q7231937,,,,,,,,,,,https://portlandgolfclub.com/,,,,private,,,,,,,,,,,,,,,,,,,,466974.96629752737,45.47426189227568,-122.76110161180856,Oregon,OR00069
,Mountain View Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457372.4252029446,45.42187994075689,-122.38206587165828,Oregon,OR00081
,Middlefield Golf Course,,18_hole,Cottage Grove,97424,OR,,91,Village Drive,https://www.facebook.com/pages/Middlefield-Golf-Course/114025791962307,,+1 541 942 8730,https://middlefieldgolf.com,,,City of Cottage Grove,,,,,,,,,,,,,,,,,,multipolygon,,,453675.0141309456,43.810059858569275,-123.03979858400356,Oregon,OR00031
,Gresham Golf and Country Club,,,,,,,,,,,,,,,Gresham Golf Course Incorporated,private,,,,,,,,,,,,,,,,,,,,433624.4731466506,45.509235895600995,-122.4087620274311,Oregon,OR00056
,Old Back Nine Golf Club,,9_hole,,,,,,,,,,https://www.oldbacknine.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,426435.42451578466,44.004246838616325,-121.31182353617035,Oregon,OR00025
,Big River Golf Course,,,Umatilla,,OR,,709,Willamette Street,,,+1-541-922-3006,https://bigrivergolfcourse.org/,,,,,,,,,,,,,,,,,,,,,,,,425048.83055127616,45.921807712421874,-119.28275066302056,Oregon,OR00130
,Wildwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419546.2160327292,45.678409387674215,-122.87912251213778,Oregon,OR00138
,Alderbrook Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417169.2425881006,45.511176381951415,-123.85778471001238,Oregon,OR00163
,Harbor Links Golf Course,,,Klamath Falls,97601,OR,,601,Harbor Isle Blvd,,,+1-541-882-0609,https://www.harborlinksgolf.net/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,416216.91878257605,42.251122225589334,-121.80967447550638,Oregon,OR00036
,Baker City Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415702.3563428993,44.76427451867589,-117.8451405257391,Oregon,OR00065
,Bayou Golf Club,,,McMinnville,97128,OR,,9301,Southwest Bayou Drive,,,+1-503-472-4651,https://www.bayougolfcourse.com/,,,,,,,,,,,,,,,,,,+1-503-472-3399,,,multipolygon,,,413064.02821752295,45.170358114690835,-123.21456629382581,Oregon,OR00032
,Gearhart Golf Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397356.8928665865,46.03361850450984,-123.92147233455289,Oregon,OR00073
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374654.32445284526,43.75763638775494,-122.45472507005866,Oregon,OR00126
,Sunset Bay Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365101.0872724775,43.32316884755459,-124.36745817010969,Oregon,OR00183
,Oregon City Golf Club,,,,,,,,,,,,,,,Herberger Family Limited Partnership,private,,,,,,,,,,,,,,,,,,,,363175.65110196435,45.316493424451565,-122.54794269195774,Oregon,OR00053
,Woodburn Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,353336.54720280826,45.15303283600839,-122.87183627058265,Oregon,OR00011
,Woodburn Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,353336.54720280826,45.15303283600839,-122.87183627058265,Oregon,OR00012
,Chehalem Glenn Golf Course,,18_hole,Newberg,97132,OR,,4501,East Fernwood Road,,,,,,,Chehalem Park and Recreation District,,,,,,,,,,,,,,,,,,multipolygon,,,348241.76360673865,45.30280698533289,-122.93188900210599,Oregon,OR00035
,Laurelwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318039.195915953,44.02602831103734,-123.06751549206327,Oregon,OR00095
,Chinook Winds Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,316406.61898031656,45.00247416344938,-123.98933363923581,Oregon,OR00020
,Chinook Winds Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,316406.61898031656,45.00247416344938,-123.98933363923581,Oregon,OR00021
,Quail Point Golf Course,,,Medford,97504,,,1200,Mira Mar Avenue,,,541-857-7000,http://www.quailpointgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,312940.35844270425,42.30987457190576,-122.84294276836418,Oregon,OR00108
,Stewart Park Golf Course,,,Roseburg,97470,,,1005,Stewart Park Drive,,,+1 541 672 4592,https://www.cityofroseburg.org/departments/parks/golf-course/,,,,,,,,,,,,,,,,,,,,,,,,308082.1306703391,43.22189792347341,-123.37108630674844,Oregon,OR00145
,Oak Knoll Golf Course,,,Ashland,97520,,,3070,Highway 66,,oakknollinfo@ashland.or.us,541-482-4311,https://www.oakknollgolf.org/,,,Ashland Parks & Recreation Commission,,,,,,,,,,,,,,,,,,,,,306859.17035281804,42.180060704677814,-122.65586796070613,Oregon,OR00120
,Forest Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305267.1806128697,43.69961446398805,-124.13016360570744,Oregon,OR00148
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299785.264369688,42.54576914288872,-124.37130227869541,Oregon,OR00186
,Illinois Valley Golf Club,,9_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292913.46479206503,42.17800163773919,-123.65095711540653,Oregon,OR00105
,Desert Peaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291008.28063406644,44.653112924966955,-121.14585439509369,Oregon,OR00142
,Christmas Valley Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290702.5323454144,43.24484054266788,-120.68678578800372,Oregon,OR00086
,Claremont Golf Club,,,Portland,97229,,,15800,Northwest Country Club Drive,,,,https://claremontgolfclub.com/,,,Claremont Limited Partnership,,,,,,,,,,,,,,,,,,multipolygon,07:00-19:30,,281532.98123697576,45.5499547302189,-122.84151243658137,Oregon,OR00023
,La Grande Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270519.2260229447,45.333826523014544,-118.04274804280769,Oregon,OR00150
,Oakway Golf Course,,,Eugene,97401,OR,,2000,Cal Young Road,,,,,,,,yes,,,,,,,,,,,,,,,,,multipolygon,,,257210.98867198091,44.07387459623081,-123.0845907113371,Oregon,OR00029
,Sah-hah-lee Golf Course,,,,,,,,,,,,,,,John A Lisac,private,,,,,,,,,,,,,,,,,,,,256249.9093616055,45.397026943469996,-122.52787163262519,Oregon,OR00054
,River's Edge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256167.53972820356,44.07834540066943,-121.31764088647392,Oregon,OR00179
,Stewart Meadows Golf Course,,,Medford,,,,1301,South Holly Street,,,541-770-6554,https://www.stewartmeadowsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,255615.72228138562,42.30887971042646,-122.86548606737567,Oregon,OR00075
,Seaside Golf Club,,,Seaside,,OR,,,Avenue U,,,,,US,,,,,,,,,,,,,,,,,,,,,,,250634.50652061094,45.975595279981476,-123.93212468177688,Oregon,OR00135
,Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,250299.73179781198,43.56612991333715,-119.07571389777385,Oregon,OR00094
,Springwater Golf Course,,,Estacada,97023,,,25230,South Wallens Road,,,+1 503 630 4586,http://www.springwatergolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,249579.132586346,45.24798885903941,-122.34895187270754,Oregon,OR00109
,Sunset Grove Golf Club,,,,,,,,,,,,,,,Sunset Grove Golf Club,private,,,,,,,,,,,,,,,,,,,,242314.0572033708,45.56483118935476,-123.10211837678301,Oregon,OR00059
