name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,website,description,email,mobile,opening_hours,operator,source,alt_name,contact:facebook,place,wikidata,golf:course,fixme,golf:par,start_date,building,golf,sport,note,access,wheelchair,type,addr:country,fee,old_name,area_m2,lat,lon,province,gcid
Solina Golf Club,West Columbia,200,29170,,Indian River Drive,803-881-9971,https://golfbluebird.com/solina-golf-club,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1025969.3356974088,33.90541336004381,-81.17416258763586,South Carolina,SC00044
Dunes West Golf Club,Mount Pleasant,3535,29466,SC,Wando Plantation Way,,https://www.duneswestgolfclub.com/-home,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1013618.2601120822,32.91275083652471,-79.7996214031955,South Carolina,SC00164
Pinecrest Golf Club,Bluffton,1,29910,SC,Pinecrest Way,+1-843-757-8960,https://pinecrestsc.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,1002355.1762618739,32.255785986498445,-80.89110576634191,South Carolina,SC00178
Whispering Pines Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995783.2627161521,33.682040368240074,-78.91566064126616,South Carolina,SC00199
Monticello Golf Club,,,,,,,https://www.savannahlakes.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,985725.9000574036,33.911082033950436,-82.36345767229302,South Carolina,SC00150
Harbour Town Golf Links,Hilton Head Island,11,29928,SC,Lighthouse Lane,+1-843-363-8385,https://www.seapines.com/golf/courses/harbour-town-golf-links,,,,,,,,,,Q5654884,,,,,,,,,,,multipolygon,,,,973948.5882443571,32.13015488955042,-80.8094990210619,South Carolina,SC00067
Greenwood Country Club,Greenwood,607,29649,,Cambridge Avenue West,+1 864 942 8851,https://greenwoodcountryclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,968146.1514057667,34.19914496647944,-82.18026838681668,South Carolina,SC00105
The Legends Golf Course,Port Royal,2315,29902,SC,Belleau Wood Road,+1-843-228-2240,https://southcarolina.usmc-mccs.org/recreation-fitness/legends-golf-course,,,,,,,,,,,,Name?,,,,,,,,,,,,,962157.926532946,32.30928600214599,-80.68362668719662,South Carolina,SC00319
The Legends Golf Course,Port Royal,2315,29902,SC,Belleau Wood Road,+1-843-228-2240,https://southcarolina.usmc-mccs.org/recreation-fitness/legends-golf-course,,,,,,,,,,,,Name?,,,,,,,,,,,,,962157.926532946,32.30928600214599,-80.68362668719662,South Carolina,SC00318
Tradition Golf Club,Pawleys Island,1027,29585,,Willbrook Road,877-599-0888,https://www.traditionclubmyrtlebeach.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,959678.3815314161,33.484050258794554,-79.11490569683612,South Carolina,SC00076
Wrenwoods Golf Course,,,,,,,https://www.jbcharleston.com/recreation/wrenwoods/index.html,,,,,,bing,,,,,,,,,,,,,,,,,,,957220.9448342997,32.9037256396295,-80.06288385003303,South Carolina,SC00215
Boscobel Golf Club,,,,,,,http://www.golfaag.com/boscobel-country-club.asp,,,,,,,,,,,,,,,,,,,,,,,,,951312.2009914499,34.61384666073968,-82.77558243269553,South Carolina,SC00231
Glen Dornoch Waterway Golf Links,Little River,4840,29566,,Glen Dornoch Way,+1 843 249 2541,https://www.glensgolfgroup.com/myrtle-beach-golf-courses/glen-dornoch/,,,,,,,,,,,,,,,,,,,,,,,,,947588.705936319,33.876485861033935,-78.6010520795942,South Carolina,SC00271
Spring Lake Country Club,York,1375,29745,SC,Springlake Road,,https://www.springlakegolfcourse.com/,,,,,,,,,,,18_hole,,,,,,,,,,,,,,947219.1105669768,35.01942417217427,-81.264306236706,South Carolina,SC00295
Broomsedge Golf Club,Rembert,5360,29128,SC,Red Hill Road,,https://www.broomsedgegolf.com/,,,,,,,,,,,,,,2024-10-22,,,,,,,,,,,945044.110960704,34.17926668692986,-80.42579821884328,South Carolina,SC00325
The River Golf Club,North Augusta,307,29841,,Riverside Boulevard,+1-803-202-0110,https://www.rivergolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,945030.163754257,33.483614323110544,-81.96230256425552,South Carolina,SC00216
TPC of Myrtle Beach,Murrells Inlet,1100,29576,,TPC Boulevard,866-592-4427,http://www.tpcgolfmyrtlebeach.com/,,,,,,,,,,,,,,,,,,,,,,,,,942683.5781015648,33.57882703394959,-79.06458366908043,South Carolina,SC00241
Cherokee National Golf & Recreation Club,Gaffney,442,29341,,Cherokee National Highway,+1 864 489 9417,http://www.cherokeenationalgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,930577.0010848241,35.12614667104024,-81.70111683452886,South Carolina,SC00272
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,921608.1776501924,33.42004184537992,-79.14802301224245,South Carolina,SC00187
Hilton Head National Golf Club,Bluffton,60,29910,SC,Hilton Head National Drive,+1-843-842-5900,https://hiltonheadnational.com/,,,,,,,,,,,,,,,,,,,,,,,,,914442.2760731762,32.233634918194454,-80.83093221013553,South Carolina,SC00343
Willbrook Plantation,Pawleys Island,426,29585,,Tidewater Circle,877-283-2122,https://willbrookgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,903949.7429407126,33.490021972043216,-79.12574815878625,South Carolina,SC00077
The Club at Brookstone,,,,,,,https://www.theclubatbrookstone.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,898926.7388764563,34.62408285822478,-82.62448727740984,South Carolina,SC00158
The Links at Stono Ferry,Hollywood,4812,29449,SC,Stono Links Drive,+1-843-763-1817,https://stonoferrygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,898489.9350540456,32.75650781329335,-80.1612266331612,South Carolina,SC00329
Old South Golf Links,Bluffton,50,29910,SC,Buckingham Plantation Drive,+1-843-837-7155,https://www.oldsouthgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,896323.9846859663,32.231474165791134,-80.81735451644732,South Carolina,SC00342
Debordieu Club,Georgetown,908,29440,,Bonny Neck Drive,843-527-6000,https://www.debordieuclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,891097.5880087281,33.37727800222475,-79.16881414226602,South Carolina,SC00083
Furman University Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,888083.8384578044,34.92870010976923,-82.44758289318281,South Carolina,SC00066
Orangeburg Country Club,Orangeburg,2745,29118,,Griffith Drive,+1 803 534 5988,https://www.orangeburgcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,881215.1124238084,33.51110529249539,-80.9039448439997,South Carolina,SC00268
Country Club of Lexington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880902.2671648433,33.94553173512769,-81.29143432044596,South Carolina,SC00282
Riverside Golf Course,,,,,,,https://www.gccsc.com/,,,,,Greenville Country Club,,,,,,18_hole,,71,,,,,,,,,,,,876910.0598398808,34.816714954271276,-82.37418164771222,South Carolina,SC00197
Riverside Golf Course,,,,,,,https://www.gccsc.com/,,,,,Greenville Country Club,,,,,,18_hole,,71,,,,,,,,,,,,876910.0598398808,34.816714954271276,-82.37418164771222,South Carolina,SC00196
The Country Club of Spartanburg,,,,,,,https://sbrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,875898.7109059395,34.94202003073567,-81.86847880794777,South Carolina,SC00234
Beech Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874533.3171480291,33.96971314430799,-80.53302876653343,South Carolina,SC00324
Carolina Lakes,Sumter,400,29152,SC,Stuart Street,+1 803 895 1399,,,,,,,,,,,,,,,,,,,,private,,multipolygon,,,,874022.81500415,33.98143346065131,-80.47916472517424,South Carolina,SC00149
Midland Valley Golf Club,Graniteville,151,29829,,Midland Drive,803-663-7332,https://playmidlandvalley.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,873733.4865462983,33.55060211265103,-81.83165431867522,South Carolina,SC00054
Arcadian Shores Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860005.4470227781,33.77795200933376,-78.77881643118658,South Carolina,SC00275
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,859837.4420908098,33.314991180595754,-81.02284352981602,South Carolina,SC00104
Yeaman's Hall Club Golf Course,,,,,,,,,,,,Yeaman's Hall Club,,,,,Q104858885,,,,,,,,,,,,,,,859542.3521037155,32.92639555448833,-79.97674031934503,South Carolina,SC00264
Heritage Club,Pawleys Island,378,29585,,Heritage Drive,843-237-3424,https://www.legendsgolf.com/heritageclub.cfm,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,857545.1304356166,33.442677233837514,-79.16228350941124,South Carolina,SC00081
Prestwick Country Club,Surfside Beach,1001,29575,SC,Links Road,+1-843-293-4100,http://www.prestwickcountryclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,855066.8483722395,33.64165589531643,-78.95924723757092,South Carolina,SC00051
Bloody Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851483.2580294624,32.09136595489071,-80.87278064851371,South Carolina,SC00218
Palmetto Hall - Arthur Hills Golf Course,Hilton Head Island,,,SC,,,https://hiltonheadgolf.net/clubs/palmetto-hall,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,850165.1533708723,32.2326728737934,-80.70126882663065,South Carolina,SC00102
Olde Beaufort Golf Club,Beaufort,139,29907,SC,Rd S-7-578,,https://oldebeaufortgolfclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,847564.1747653168,32.466973558193935,-80.6369979749714,South Carolina,SC00175
Houndslake Country Club,Aiken,901,29803,SC,Houndslake Drive,+1-803-648-6805,https://houndslakecc.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,837998.137140569,33.52334110676687,-81.74230371207894,South Carolina,SC00053
Tara Golf Club,,,,,,,https://www.savannahlakes.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,825524.913800097,33.89188687334355,-82.39221642826871,South Carolina,SC00151
Thornblade,Greer,1275,29650,SC,Thornblade Boulevard,+1-864-234-5100,https://www.thornbladeclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,820595.5204178697,34.86912734053703,-82.26541933919798,South Carolina,SC00087
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,818373.1170272529,34.942251244035646,-82.89518707592335,South Carolina,SC00181
Mountain Park Golf,,,,,,,https://cliffsliving.com/mountain-park-golf,,,,,,,,,,,,,,,,,,,,,,,,,818191.9133579286,35.09215626757757,-82.46373074659043,South Carolina,SC00265
Swamp Fox Golf Club,Kingstree,193,29056,,Golf Road,+1 843 382 3436,http://www.swampfoxgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,817939.4751737763,33.66976658459517,-79.90133835058388,South Carolina,SC00270
Springfield Golf Club,Fort Mill,639,29715,,Hambly House Lane,803-548-3318,https://www.playspringfield.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,817389.3543813148,35.03958376377779,-80.90751211435699,South Carolina,SC00086
Palmetto Golf Club,Aiken,275,29801,,Berrie Road Southwest,803-649-2951,https://www.palmettogolfclub.net/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,817296.0034796352,33.540572059195746,-81.72707585812886,South Carolina,SC00128
Palmetto Golf Club,Aiken,275,29801,,Berrie Road Southwest,803-649-2951,https://www.palmettogolfclub.net/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,817296.0034796352,33.540572059195746,-81.72707585812886,South Carolina,SC00129
Secession Golf Club,Beaufort,100,29907,,Islands Crossway,843-522-4600,http://www.secessiongolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,814445.3958208811,32.394255388588846,-80.65443546142785,South Carolina,SC00047
Patriot Point Links on Charleston Harbor,Mount Pleasant,1,29464,,Patriots Point Road,+1-843-881-0042,https://www.patriotspointlinks.com/,,,,,,,,,,,,,,,,,,,,,,,,,812367.1570967172,32.791443048379726,-79.89655357757931,South Carolina,SC00193
Golf at Glassy,,,,,,,https://cliffsliving.com/golf-course/glassy-golf/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,812120.929454121,35.14523824410668,-82.33183561933086,South Carolina,SC00182
Pine Lakes Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812047.8025331473,33.733555456508306,-78.84477466511339,South Carolina,SC00191
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,808065.5327508918,32.196465689600984,-80.75007482788311,South Carolina,SC00138
Golden Bear Golf Club at Indigo Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,805234.1248815985,32.20411820266374,-80.73475895994531,South Carolina,SC00114
Three Pines Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804185.238462828,34.777672172754095,-82.01169410955066,South Carolina,SC00335
Quixote Club,Sumter,875,29154,SC,Pinewood Road,,,,,,,,,,,,,,,,,,,,,,,,,,,801516.6713477584,33.89851314770668,-80.37595881892855,South Carolina,SC00312
