addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,name,phone,website,note,wikidata,alt_name,access,natural,golf:course,golf:par,operator,golf,sport,source,designation,opening_hours,fixme,contact:phone,contact:website,email,old_name,building,landuse,type,area_m2,lat,lon,province,gcid
,,,,,18 hole Par 72,The Ranches Golf Club,+1 801-789-8100,https://www.theranchesgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,1044172.2543211437,40.37358756611027,-111.97284977467008,Utah,UT00112
,,,,,18 hole Par 72,Thanksgiving Point Golf Club,+1 801 768 7400,https://www.thanksgivingpoint.org/visit/golf,,,,,,,,Thanksgiving Point,,,,,,,,,,,,,,1011061.3587553711,40.42720710543535,-111.90336082417355,Utah,UT00073
,,,,,,Victory Ranch Golf Club,,,,,,,,,,,,,,,,,,,,,,,,974387.001199989,40.598546568730846,-111.30310466885184,Utah,UT00116
,,,,,18 hole Par 72,Entrada at Snow Canyon Country Club,+1 435-986-2207,http://www.golfentrada.com/,,,,private,,,,,,,,,,,,,,,,,multipolygon,915270.3339577655,37.15175096058266,-113.6367340721064,Utah,UT00017
West Valley City,5055,84118,UT,South Westridge Blvd. (5600 West),18 hole Par 72,The Ridge Golf Club,+1 801-966-4653,https://www.golftheridgegc.com/,,,West Ridge,,,,,,,,,,,,,,,West Ridge,,,multipolygon,905715.8089873497,40.66110754865457,-112.03349587515498,Utah,UT00031
St. George,4210,84730,UT,South Bluegrass Way,,Sun River Golf Club,+1 435 986 0001,www.SunRiverGolf.com,,,,,,,,,,,,,sunrise-sunset,,,,,,,golf,,894869.9635843282,37.031914683761755,-113.6216829707086,Utah,UT00143
Provo,1860,84606,UT,South 380 East,18 hole Par 72 Championship Course & 9 hole Par 31 Executive Course & 6 hole putting course,Timpanogos Golf Course,+1 801-852-7529,https://www.timpanogosgolf.com/,,,,,,,,,,,,,,,,,,,,,,865106.6990884626,40.2037670280183,-111.64737499932319,Utah,UT00079
,,,,,18 hole Par 72,Sunset View Golf Course,+1 435 864 2508,http://sunsetviewgc.com/,,,,,,,,,,,,,,,,,,,,,,842528.8741029077,39.373855526022815,-112.51846006935068,Utah,UT00108
,,,,,18 hole Par 72,Moab Golf Club,+1 435 259 6488,https://www.moabcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,836979.69010398,38.5344123869202,-109.4813007708873,Utah,UT00069
Cedar City,200,84721,UT,East 900 North,18 hole Par 73,Cedar Ridge Golf Course,+1 435-586-2970,https://www.cedarcity.org/65/Cedar-Ridge-Golf-Course,,,,,,,,,,,,,,,,,,,,,multipolygon,836576.8157569984,37.69368977437784,-113.05555468478717,Utah,UT00023
,,,,,18 hole Par 72,Gladstan Golf Course,+1 801-465-2549,http://www.paysonutah.org/gladstan.main.html,,,,,grass,,,,,,,,,,,,,,,,,834687.3880741887,40.01076035565368,-111.69096531898973,Utah,UT00082
,,,,,,Logan River Golf Course,+14357500123,https://www.loganutah.org/pr/lrgc/index.cfm,,,,,,18_hole,71,,,golf,,,,,,,,,,,,831859.3354961731,41.71106927237965,-111.84761011873265,Utah,UT00060
Monticello,549,84535,UT,South Main Street,18 hole Par 72,The Hideout Golf Club,+1 435 587 2200,https://www.hideoutgolf.com/,,Q7739575,,,,,,,,,,,,,,,,,,,,829147.4474906368,37.8607238427613,-109.34841057986577,Utah,UT00111
,,,,,18 hole Par 72,The Ledges Golf Course,+1 435-634-4600; +1 435-634-4640,https://www.ledges.com/,,,,,,,,,,,Bing,,,,,,,,,,multipolygon,810745.2859904552,37.196878140952165,-113.61927326448773,Utah,UT00022
,,,,,18 hole Par 72,Bloomington Country Club,+1 435 673 2029,https://www.bloomingtoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,802206.2101787647,37.05435459526399,-113.60827750910781,Utah,UT00067
Orem,730,84059,UT,South Sleepy Ridge Drive,18 hole Par 72,The Links at Sleepy Ridge,+1-801-434-4653,https://www.sleepyridgegolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,800504.4885061407,40.28289187665724,-111.74704604290409,Utah,UT00030
Layton,2501,84040,UT,East Gentile Street,18 hole Par 72,Valley View Golf Course,+1 801-546-1630,https://www.valleyviewutah.com/,,,,,,,,,,,,,,,,,,,,,,800364.9860608615,41.07248669275608,-111.92294828021,Utah,UT00055
,,,,,18 hole Par 72,Salt Lake Country Club,+1 801-466-8751,https://www.saltlakecountryclub.com/,,,,private,,,,,,,,,,,,,,,,,,789742.1384974187,40.71671548452616,-111.82530875664435,Utah,UT00042
,,,,,18 hole Par 72,Bonneville Golf Course,+1 801 583 9513,https://www.slc-golf.com/bonneville.html,,,,,,,,Salt Lake City,,,,,,,,,,,,,,786618.3811817055,40.7457269000285,-111.82156275859094,Utah,UT00054
,,,,,18 hole Par 70,River Oaks Golf Course,+1 801-568-4653; +1 801-568-4657,https://sandy.utah.gov/river-oaks-golf-course/home.html,,,,,,,,,,,,,,,,,,,,,,769184.2065035601,40.5809165135535,-111.91618323683029,Utah,UT00053
,,,,,18 hole Par 72,Meadow Brook Golf Course,+1 385-468-1500,http://www.slco.org/slcountygolf/cMeadowBrook/index.html,,,,,,,,Salt Lake County,,,,,,,,,,,,,,766127.1618682519,40.680420213473504,-111.92175264160116,Utah,UT00052
Syracuse,3176,84075,UT,W. 1700 South,18 hole Par 72,Glen Eagle Golf Club,+1 801-773-4653,https://www.golfgleneagle.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,763077.7468401879,41.093663243741105,-112.09197147749668,Utah,UT00016
,,,,,18 hole Par 72,TalonsCove Golf Course,+1 801-407-3030,https://talonscove.com/,,,,,,,,,,,,,,,,,,,,,,761110.4555944563,40.3234327697947,-111.89934847693304,Utah,UT00110
,,,,,18 hole Par 72,Coral Canyon Golf Course,+1 435 688 1700,https://www.coralcanyongolf.com/index.php,,,,,,,,,,,,,,,,,,,,,,754609.9938238814,37.15397228947138,-113.44949984740124,Utah,UT00071
,,,,,18 Hole Par 72,Stansbury Park Golf Course,+1 435 882 4162,http://www.stansburygolf.com/,,,,,,,,,,,,,,,,,,,,,,747037.3037792784,40.6389489735009,-112.29672386272811,Utah,UT00086
,,,,,18 hole Par 72,Riverbend Golf Course,+1 385-468-1460,http://www.slco.org/slcountygolf/cRiverbend/,,,,,,,,,,,,,,,,,,,,,,746509.7954128315,40.51661011822393,-111.92079699024066,Utah,UT00090
Park City,7600,84098,UT,Glenwild Drive,18 hole Par 71,Glenwild Golf Club & Spa,+1 435-615-9966,https://www.glenwild.com/,,,,private,,,,,,,,,,,,,,,,,,743540.5564043123,40.740154609502454,-111.52441962422566,Utah,UT00100
American Fork,1400,84003,UT,North 200 East,18 hole Par 72,Fox Hollow Golf Course,+1 801 756 3594,https://www.foxhollowutah.com/,,,,,,,,,,,,,,,,,,,,,,740940.0101759202,40.4033220971588,-111.7864181758861,Utah,UT00091
Washington,588,84780,UT,North Green Spring Dr,18 hole Par 72,Green Spring Golf Course,+1 435-673-7888,http://www.greenspringgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,720767.7299035413,37.14125428403463,-113.52621577086275,Utah,UT00019
,,,,,,Park Meadows Country Club,,,,,,,,,,,,,,,,,,,,,,,,720318.856786969,40.677262573630664,-111.49892057822308,Utah,UT00115
Cedar Hills,,,,Clubhouse Drive,18 hole Par 72,Cedar Hills Golf Club,+1 801-796-1705,https://cedarhillsgolfutah.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,713087.6320976246,40.42663438778828,-111.75839134129049,Utah,UT00020
,2701,,UT,North University Avenue,18 hole Par 72,Riverside Country Club,+1 801-374-1347,https://www.riversidecountryclub.org/,,,,private,,,,,,,,,,,,,,,,,,702340.4042342334,40.27117891313744,-111.66335865587811,Utah,UT00043
,,,,,18 hole Par 71,Sun Hills Golf Course,+1 801-771-4814,https://www.sunhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,697937.1602919529,41.11233457991576,-111.94401831934995,Utah,UT00077
Park City,8770,84098,UT,Jeremy Road,18 Hole Par 72,Jeremy Golf & Country Club,+1 435-649-2700,https://www.thejeremy.com/,,,,private,,,,,,,,,,,,,,,,,multipolygon,688277.2702231898,40.76134194262968,-111.5759883227053,Utah,UT00006
,,,,8660 South,18 hole Par 72,Mountain View Golf Course,+1 385-468-1414,http://www.slcountygolf.com/cMountainview/index.html,,,,,,,,Salt Lake County,,,,,,,,,,,,,,685020.262950565,40.593318095502816,-111.95353860153922,Utah,UT00047
St. George,2190,84770-1858,UT,South 1400 East,18 hole Par 73,St. George Golf Club,+1 435-627-4404,http://stgeorgecitygolf.com/stgeorge.php,,,,,,,,,,,Bing,,,,,,,,,,multipolygon,679731.0127576909,37.06944203940811,-113.55926485639282,Utah,UT00011
North Salt Lake,1110,84054,UT,East Eaglewood Drive,18 hole Par 71,Eaglewood Golf Course,+1 801-299-0088,https://www.eaglewoodgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,675139.8551445905,40.83556016885933,-111.88935336895541,Utah,UT00018
Salt Lake City,2100,84119,UT,South 1640 West,18 hole Par 72,Glendale Golf Course,+1 801-974-2403,https://www.slc-golf.com/glendale_golf_course/,,,,,,,,,,,,,,,,,,,,,multipolygon,669186.043766029,40.72929396019612,-111.93200431169222,Utah,UT00015
,,,,,18 hole Par 72,Alpine Country Club,+1 801 572 3817,https://www.alpinecountryclub.org/,,,,private,,,,,,,,,,,,,,,,,,663292.8204617719,40.4269860317333,-111.77912551034234,Utah,UT00050
Salt Lake City,1386,84116,UT,North Redwood Road,18 hole Par 72,Rose Park Golf Course,,,,,,,,,,Salt Lake City,,,,,,,+1 801-596-5030,https://www.slc-golf.com/rose-park.html,,,,,,661886.2279998382,40.80195859823468,-111.93410478898419,Utah,UT00102
,,,,,18 hole Par 70,Carbon Country Club,+1 435 637 2388,https://www.carboncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,661746.0915770099,39.642769216983254,-110.86335948918972,Utah,UT00074
,,,,,18 hole Par 72,Hubbard Golf Course (Hill Air Force Base),+1 801-777-1108,,"no website, see e.g. http://www.worldgolf.com/courses/usa/utah/hillafb/hubbard-golf-course-hill-afb-military.html",,,,,,,,,,,,,website,,,,,,,,659273.0091505497,41.11840533226394,-111.95507801675221,Utah,UT00061
,,,,,,Eagle Mountain Golf Course,+1 435-723-3212,https://www.eaglemountaingc.com/,,,,,,18_hole,71,,,,,,,,,,,,,,multipolygon,658056.2266793114,41.49137149215988,-112.00461711717294,Utah,UT00004
Hurricane,1030,84737,UT,North 2600 West,18 hole Par 72,Sky Mountain Golf Course,+1 435 635 7888,https://www.skymountaingolf.com/homepage/start_page.php,,,,,,,,,,,,,,,,,,,,,multipolygon,654703.15054104,37.18929859199563,-113.33723173265423,Utah,UT00036
Ferron,,84523,UT,W. Canyon Road,18 hole Par 71,Millsite Golf Course,,,,,,,,,,,,,,,,,,,,,,,multipolygon,654235.7538607711,39.09162121248701,-111.18582257568961,Utah,UT00024
Ferron,,84523,UT,W. Canyon Road,18 hole Par 71,Millsite Golf Course,,,,,,,,,,,,,,,,,,,,,,,multipolygon,654235.7538607711,39.09162121248701,-111.18582257568961,Utah,UT00025
,,,,,18 hole Par 71,Old Mill Golf Course,+1 385 468 1440,http://www.slco.org/slcountygolf/cOldMill/,,,,,,,,Salt Lake County,,,,,,,,,,,,,,646849.9800064041,40.6390625498029,-111.80286521342173,Utah,UT00078
Roosevelt,1155,84066,UT,West Clubhouse Drive,18 hole Par 72,Roosevelt Municipal Golf Course,+1 435-722-9644,https://www.golfrooseveltcity.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,639229.9815312814,40.30734534616158,-110.01311929480586,Utah,UT00026
,,,,,18 hole Par 72,Oak Ridge Golf Course,+1 801-451-2229,https://www.oakridgecc.com/,,,,private,,,,,,,,,,,,,,,,,,638904.1917144953,41.00172503254328,-111.9164001522449,Utah,UT00059
Fruit Heights,1074,84037,UT,East Nicholls Road,18 hole Par 71,Davis Park Golf Course,+1 801-544-0401,https://www.davisparkutah.com/,,,,,,,,,,,,,,,,,,,,,,637981.6484022936,41.02173783701429,-111.91598233658027,Utah,UT00048
Sandy,8505,84093,UT,Willow Creek Drive,18 hole Par 72,Willow Creek Country Club,+1-801-942-1954,https://willowcreekcc.com,,,,private,,,,,,,,,,,,,,,,,multipolygon,634401.5351145887,40.5977113789675,-111.8134433712742,Utah,UT00009
,,,,,18 hole Par 72,Murray City Golf Course,+1 801-262-4653,https://parkwaygolf.org/,,,,,,,,,,,,,,,,,,,,,,631865.7444479787,40.633673518048134,-111.9174616411719,Utah,UT00041
Eden,3900,84310,UT,North Wolf Creek Drive,18 hole Par 72,Wolf Creek Golf Course,+1-801-745-3365,http://www.wolfcreekgolfutah.com,,,,,,,,,,,Yahoo,,,,,,,,,,multipolygon,608343.5891559398,41.32726734576647,-111.82419486900962,Utah,UT00005
Vernal,675,84078,UT,South 2000 East,18 hole Par 72,Dinaland Golf Course,+1 435 781 1428,http://www.uintahrecreation.org/index.asp?Type=B_BASIC&SEC={E713FA9E-6D92-48A0-B558-AF242C77739A},Info @ http://www.visitdinosaurland.com/Dinaland-Golf-Course / http://www.worldgolf.com/courses/usa/utah/vernal/dinaland-golf-course-public.html#maps,,,,,,,,,,,,,,,,,,,,,604798.8055196332,40.44939906000022,-109.48627577680891,Utah,UT00094
,,,,,18 hole Par 72,Glenmoor Golf Course,+1 801-280-1742,https://www.facebook.com/GlenmoorGolfCourse,info at http://www.worldgolf.com/courses/usa/utah/southjordan/glenmoor-golf-course.html,,,,,,,,,,,,,,,,,,,,multipolygon,603427.0358924294,40.57302030883377,-111.99984211885497,Utah,UT00027
Clinton,,,,Cranefield Road,18 hole Par 72,Crane Field Golf Course,+1 801-731-7200,https://www.cranefieldgolf.com/,,,,,,,,,,,Bing;local_knowledge,,,,,,,,,,,598530.8129305992,41.15140101989375,-112.09762316486189,Utah,UT00080
Farr West,2600,84404,UT,West 3500 North,18 hole Par 72,Remuda Golf Course,+1 801-731-7200,https://www.remudagolf.com/,,,,,,,,,,,,,,,,,,,,,,598090.3083949842,41.3273115152981,-112.04401094823363,Utah,UT00081
,,,,,,Birch Creek Golf Course,+1 435-563-6825,http://www.birchcreekgolf.com/,,,,,,18_hole,72,,,,,,,,,,,,,,,593168.2465480383,41.83574487114749,-111.81312854008851,Utah,UT00058
West Point,300,84015,UT,N 3500 W,18 hole Par 72,Schneiters Bluff Golf Course,+1 801-773-0731,https://schneitersgolf.com/,,,,,,,,,,,,,,,,,,,,,,581481.9950187018,41.11255219692902,-112.09501873632198,Utah,UT00044
,,,,,18 hole Par 72,Oquirrh Hills Golf Course,+1 435 882 4220,https://thehillsgolf.com/,,,,,,,,,,,,Oquirrh Hills Golf Course,,,,,,,,,,574564.8978138187,40.535366934245005,-112.27403585730592,Utah,UT00084
Spanish Fork,2300,84660,UT,East Powerhouse Road,18 hole Par 72,Spanish Oaks Golf Course,+1 801-804-4653,http://www.golfspanishoaks.com/,,,,,,,,,,,,,,needs detailed golf course mapping,,,,,,,multipolygon,572222.0430125165,40.083153345568725,-111.60049486335738,Utah,UT00008
,,,,,18 hole Par 71,Bountiful Ridge Golf Course,+1 801-298-6040,https://www.bountifulutah.gov/golf/index.asp,,,,,,,,,,,,,,,,,,,,,,557470.1572274726,40.861075680104875,-111.85810617302677,Utah,UT00056
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,multipolygon,555466.5457867403,38.74050328038388,-112.10655406388841,Utah,UT00037
St. George,1975,84770-1858,UT,Tonaquint Drive,18 hole Par 73,Southgate Golf Course,+1 435-627-4440,http://stgeorgecitygolf.com/southgate.php,,,,,,,,,,,,,,,,,,,,,multipolygon,543250.3756674246,37.073704206287985,-113.59510651871724,Utah,UT00029
Park City,1541,84060,UT,Thaynes Canyon Drive,18 hole Par 72,Park City Golf Course,+1 435-615-5800,http://www.parkcity.org/index.aspx?page=171,,,,,,,,Park City,,,,,,,,,,,,,multipolygon,531030.6071794865,40.66171101124794,-111.51496455901291,Utah,UT00013
,,,,,9 hole Par 36 & 9 hole Par 27,Mick Riley Golf Course,+1 385-468-1400,http://www.slco.org/slcountygolf/cMickRiley/,,,,,,,,,,,,,,,,,,,,,,500686.9997673804,40.660245239451235,-111.8740428968965,Utah,UT00063
,,,,,9 hole Par 36 & 9 hole Par 27,Mick Riley Golf Course,+1 385-468-1400,http://www.slco.org/slcountygolf/cMickRiley/,,,,,,,,,,,,,,,,,,,,,,500686.9997673804,40.660245239451235,-111.8740428968965,Utah,UT00064
Midway,700,84049,UT,North Homestead Drive,18 hole Par 72,Homestead Golf Club,435-657-3848;1-888-327-7220;1-800-327-7220,https://www.homesteadresort.com/golf,,,,,,,,Homestead Resort,,,,,,,,,,,,,multipolygon,500041.7277816497,40.5255272596282,-111.48594282825553,Utah,UT00032
,94,,UT,Hobble Creek Canyon Rd.,18 hole Par 71,Hobble Creek Golf Course,+1 801-489-6297,https://www.springville.org/golf/,,,,,,,,,,,,,,,,,,,,,,494134.8127410682,40.160964980838166,-111.51125884333138,Utah,UT00101
West Bountiful,1201,84087,UT,North 1100 West,18 hole Par 71,Lakeside Golf Course,+1 801-295-1019,https://lakesidegolfcourse.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,492341.0277250764,40.901075654974,-111.91023197780706,Utah,UT00014
,,,,,,Logan Golf and Country Club,+1 435-753-6020,https://logancountryclub.com/,,,,private,,18_hole,71,,,,,,,,,,,,,,,463422.8942681234,41.74572309417663,-111.79201524636167,Utah,UT00057
,,,,,18 hole Par 71,Mount Ogden Golf Course,+1 801-629-0699,https://www.ogdencity.com/en/recreation/classic_rec/golf/mt_ogden_golf_course.aspx,,,,,,,,,,,,,,,,,,,,,,460841.6428190819,41.205005108744295,-111.93588496721996,Utah,UT00065
,,,,,,Canyons Golf Course,,,,,,,,,,,,,,,,,,,,,,,,460368.7762087417,40.68895582890167,-111.55299917944447,Utah,UT00114
Pleasant View,305,84414,UT,West Pleasant View Drive,18 hole Par 71,The Barn Golf Club,+1 801-782-7320,https://thebarngolfclub.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,458312.26557709405,41.31004899585361,-111.98431524045152,Utah,UT00003
,,,,,9 hole Par 36,Cherokee Springs Golf & RV Resort,+1 435 735 4377,http://cherokeespringsresort.com/,,,,,,,,,,,,,,,,,,,,,,457738.4197597694,37.581953907390876,-112.45220074248974,Utah,UT00098
Sterling,2200,84665,UT,Palisade Rd,18 hole Par 72,Palisade State Park Golf Course,+1 435 835 4653,https://stateparks.utah.gov/park/palisade-state-park,,,Palisades Golf Course,,,,,,,,,,,,,,,,,,,449278.16160976083,39.21303543752574,-111.66368595643013,Utah,UT00095
Riverdale,5460,84405,UT,South Weber Drive,18 hole Par 71,Schneiters Riverside Golf Course,+1 801-399-4636,https://schneitersgolf.com/,,,,,,,,,,,,,,,,,,,,,multipolygon,426361.60184382874,41.16425096114168,-112.00114340819987,Utah,UT00007
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,391246.2750658851,40.72568460609053,-111.45552398559421,Utah,UT00155
Garden City,222,84028,UT,Clubhouse Drive,,Bear Lake Golf Course,+1 435 946 8742,https://bearlake.com/golf/,,,,,,9_hole,36,,,,,,,,,,,,,,,373330.8310115361,41.89869827789497,-111.3949961829877,Utah,UT00096
Fillmore,905,84631,UT,North Main Street,9 hole Par 36,Paradise Golf Resort,+1 435 743 4439,http://www.golfparadiseatfillmore.com/,,,,,,,,,,,,,,,,,,,,,,354130.31037011655,38.985546747875254,-112.3273298650967,Utah,UT00103
,,,,,9 hole Par 36,Copper Golf Club,+1 801-250-6396,http://coppergolfclub.com/,,,,,,,,,,,,,,,,,,,,,,350541.48550274584,40.71611670564489,-112.10212017863735,Utah,UT00046
,,,,,,Ogden Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,342993.8138206675,41.185913993009436,-111.97659019187519,Utah,UT00134
South Salt Lake City,800,84119,UT,West Central Valley Road,9 holes Par 33 - Total,Central Valley Golf Course,+1 801-973-6271,http://www.centralvalleygolfcourse.net/,,,,,,,,,,,esri/USA_NAD_Addresses,,,,,,,,,,,338539.1043513257,40.70174966288355,-111.91215704822248,Utah,UT00051
St. George,645,84770-1858,UT,West 1250 North,18 hole Par 68,Dixie Red Hills Golf Club,+1 435 627 4444,http://stgeorgecitygolf.com/dixieredhills.php,,,,,,,,,,,,,,,,,,,,,,316602.80751471635,37.12727607294,-113.59645598308192,Utah,UT00092
Dugway,,84022,UT,,9 hole Par 36,Frank Skul Memorial Golf Course,+1-435-831-2305,,"no website, Info e.g. at http://www.worldgolf.com/courses/usa/utah/dugway/frank-skul-memorial-golf-course-military.html",,,private,,,,,,,,,,website,,,,,,,,294209.0084119955,40.21824294559256,-112.73942781123681,Utah,UT00099
Sandy,8968,84094,UT,South 1300 East,18 hole Par 68,Schneiter's Pebblebrook Golf Course,+1 801-566-2181,http://www.golfpebblebrook.com/,,,,,,,,,,,,,,,,,,,,,,277899.1026737272,40.589532271062204,-111.85814700677268,Utah,UT00085
,,,,,9 hole Par 35,El Monte Golf Course,+1 801-629-0694,https://www.ogdencity.com/en/recreation/classic_rec/golf/el_monte_golf_course.aspx,,,,,,,,,,,Yahoo,,,,,,,,,,,275318.1971370464,41.23520221714458,-111.93972019727526,Utah,UT00066
,,,,,9 hole Par 31 Executive Course & 9 hole Par 27 Course,Fore Lakes Golf Course,+1 801-266-8621,https://www.forelakesgc.com/,,,,,,,,,,,,,,,,,,,,,,266289.4205943895,40.66734264786728,-111.92881162282825,Utah,UT00062
Nephi,445,84648,UT,Golf Course Way,9 hole Par 36,Canyon Hills Golf Course,+1 435 623 9930,https://canyonhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,252563.23550523652,39.71503204711687,-111.81164403340952,Utah,UT00088
,,,,,9 hole Par 34,Skyway Golf Course,+1 435 257 5706,,"no website, info e.g. at http://www.worldgolf.com/courses/usa/utah/tremonton/skyway-golf-course-semi-private.html",,,,,,,,,,,,,no website available,,,,,,,,251890.58885765416,41.71841364264096,-112.1850368771942,Utah,UT00107
,,,,,9 hole Par 36,Forest Dale Golf Course,+1 801-483-5420,https://www.slc-golf.com/forest-dale.html,,,,,,,,Salt Lake City,,,,,,,,,,,,,,250321.17429489965,40.7166364478737,-111.86242332275962,Utah,UT00045
Roy,2885,84067,UT,West 5200 South,9 hole Par 31,Eagle Lake Golf Course,+1 801 825 3467,https://eaglelake-golf.com/,,,,,,,,,,,,,,,,,,,,,,243869.44054198422,41.16611146772941,-112.05135926835187,Utah,UT00039
,,,,,9 hole Par 35,Nibley Park Golf Course,+1 801 483 5418,https://www.slc-golf.com/nibley.html,,,,,,,,Salt Lake City,,,,,Mo-Su 08:00-18:00,,,,,,,,,226304.93088708038,40.71034368005324,-111.87413884058319,Utah,UT00087
