ele,gnis:feature_id,name,addr:city,phone,website,addr:housenumber,addr:postcode,addr:street,addr:state,wikidata,operator,alt_name,old_name,golf:course,sport,type,note,area_m2,lat,lon,province,gcid
,,Speidel Palmer Golf Course,,,,,,,,,,,,,,,,798825.1561029652,40.10547661645122,-80.64288596127444,West Virginia,WV00127
,2633455,Bel Meadow Country Club,Mount Clare,+1-304-623-3701,https://www.belmeadowgolfclub.com/,,26408,Bel Meadow Drive,WV,,,,,,,,,750488.8283010102,39.18407464690716,-80.27592853573563,West Virginia,WV00062
,,Grandview Country Club Golf Course,,,,,,,,,,,,,,,,745221.1954021686,37.76646694729806,-81.08615662334503,West Virginia,WV00033
,1557866,Moundsville Country Club,Moundsville,+1-304-845-2153,https://www.moundsvillecountryclub.com/,128,26041,Country Club Drive,WV,,,,,,,,,742649.8677807116,39.89797148969081,-80.79800376432242,West Virginia,WV00056
,2634110,Bridge Haven Golf Club,Fayetteville,+1-304-574-2120,http://extras.wvweb.net/bridgehaven/,295,,Browns Road,,,,,,,,multipolygon,,737287.1426131865,38.02305537228175,-81.05843487233476,West Virginia,WV00018
,2634234,Wheeling Country Club Golf Course,Wheeling,+1-304-232-2000,http://www.wheelingcountryclub.com/golfcourse.php,906,26003,Oglebay Drive,WV,,,,,,,,,734732.1658120009,40.09495147616073,-80.67517875822408,West Virginia,WV00059
,2634133,Locust Hill Golf Course,Charles Town,+1 304-728-7300,https://www.locusthillgolf.com/,278,25414,Saint Andrews Drive,,,,,,,,multipolygon,,734308.2246349656,39.28759027024713,-77.9047933940781,West Virginia,WV00006
,2633930,The Resort at Glade Springs Cobb Course,,+1-866-562-8054,https://www.gladesprings.com/cobb-golf-course.php,,,,,,The Resort at Glade Springs,,,,,multipolygon,,727139.7515359765,37.72369660051478,-81.0653239099895,West Virginia,WV00019
,2634240,Williams Country Club Golf Course,Weirton,+1-304-748-2340,,1000,26062,Williams Drive,WV,,,,,,,,,714453.4872251593,40.40998764565227,-80.5974767476191,West Virginia,WV00053
,,Cacapon Golf Course,,,,,,,,,,,,,,,,710506.1442658218,39.51277206991627,-78.29579771742111,West Virginia,WV00026
,2633451,Alpine Lake Resort Golf Course,,,https://www.alpinelake.com/golf,,,,,,,,,,,,,710047.449727102,39.46164085219059,-79.49972566590553,West Virginia,WV00037
,2634196,Sugarwood Golf Club,Lavalette,+1-304-523-6500,https://www.sugarwoodgolfclub.com/,152,25535,Sugarwood Drive,WV,,,,,,,,,706319.1276431014,38.307331031990074,-82.45290887257038,West Virginia,WV00100
,1557890,Sleepy Hollow Golf Club,Hurricane,+1-304-757-9416,https://sleepyhollowgolfclub.com/,3780,25526,Sleepy Hollow Drive,WV,,,,,,,,,704712.1973871927,38.45271637143879,-81.96695846292104,West Virginia,WV00109
,2634117,Green Hills Country Club Golf Course,,,,,,,,,,,,,,,,699169.0755045809,38.90803340109231,-81.70482787771401,West Virginia,WV00032
,2634138,Mingo Bottom Golf Club,Elizabeth,+1-304-275-3378,http://www.mingobottomgolfclub.com/,238,26143,Wells Lock Road,,,,,,,,,,679390.8788808042,39.07318762726764,-81.37662695021652,West Virginia,WV00075
,2634153,Pipestem Resort State Park Championship Course,,+1-304-466-1800,http://www.pipestemresort.com/golf.html,,,,,,,,,,,,,660290.3228457199,37.54602200104138,-80.97912174885721,West Virginia,WV00118
,2633457,Big Bend Golf Course,,+1-304-722-0400,https://www.kcprc.com/big_bend_golf_course.htm,,,,,,,,,,,,,658577.941231886,38.35098237597958,-81.84135978764654,West Virginia,WV00025
,2634270,Stonebridge Golf Club,Martinsburg,,,1959,25405,Golf Course Road,WV,,,,,,,multipolygon,Permanently Closed.,657420.5786700426,39.441692409336405,-77.92551940725933,West Virginia,WV00007
,2634141,Mountaineer Golf,Morgantown,+1-304-328-5520,http://www.mountaineergolf.com/,212,26501,Brand Road,,,,,,,,,,657040.5247040164,39.69819694544815,-80.0347462513404,West Virginia,WV00046
,2634126,Highlands Golf Club,,+1-304-358-2261,https://fishermountain.com/golf.cfm,,,,,,,,,,,,,647977.8168713975,38.6810408145147,-79.24294641281341,West Virginia,WV00040
,2634188,Scarlet Oaks Country Club,Poca,+1-304-755-8079,https://www.scarletoaksgolf.com/,2,25159,Dairy Road,,,,,,,,,,645697.7198886009,38.45918630698064,-81.80818796611618,West Virginia,WV00108
,2634191,Sleepy Hollow Golf and Country Club,Charles Town,+1-304-725-5210,http://www.golfsleepyhollow.com/,117,25414,Golf Course Drive,,,,,,,,,,638727.0090587572,39.31208919995288,-77.81457479284643,West Virginia,WV00035
,2634191,Sleepy Hollow Golf and Country Club,Charles Town,+1-304-725-5210,http://www.golfsleepyhollow.com/,117,25414,Golf Course Drive,,,,,,,,,,638727.0090587572,39.31208919995288,-77.81457479284643,West Virginia,WV00034
,2634071,Clear Fork Valley Golf Course,,,,,,,,,,,,,,,,628365.9443426689,37.649521898947086,-81.6757605836929,West Virginia,WV00112
,2634215,The Greenbrier - Meadows Course,,,https://www.greenbrier.com/Golf/The-Golf-Club/The-Meadows-Course.aspx,,,,,,The Greenbriar,,,,,,,622305.5906164091,37.77996253947748,-80.32168443725872,West Virginia,WV00093
,2634226,Tygart Lake Golf Course,Grafton,+1-304-265-3100,http://www.tygartlakegolfcourse.com/,,26354,,,,,,,,,,,620108.5941891198,39.30436624020338,-79.96878166354551,West Virginia,WV00065
,2634080,Fountain Springs Golf Course,,,,,,,,,,,,,,multipolygon,,617652.5032547861,37.41065308354246,-80.74632065541587,West Virginia,WV00013
,2634228,Valley View Golf Course,,,,,,,,,,,,,,,,617549.6106206384,39.0068476569886,-79.00631063531877,West Virginia,WV00044
,2634217,The Greenbrier - The Old White TPC,,,https://www.greenbrier.com/Golf/The-Golf-Club/The-Old-White-TPC.aspx,,,,,,The Greenbriar,,,,,,,615505.0504052015,37.789482468773215,-80.31723325136,West Virginia,WV00094
,2634077,Derrick's Creek Golf Course at Edgewood Country Club,Charleston,+1-304-343-5557,https://www.edgewoodcc.com/,12523,25302,County Route 32,WV,,,,,,,,,611352.8143171273,38.5145856698247,-81.67642508899775,West Virginia,WV00103
,2634074,Oglebay Resort Crispin Golf Course,,+1-304-243-4141,http://www.oglebay-resort.com/golf/crispin.html,,,,,,,,,,,,,607920.811503611,40.103424769844636,-80.65738691936676,West Virginia,WV00057
,2634243,Woodridge Golf Club,Mineral Wells,+1-304-489-1800,http://woodridgegc.com/,301,26150,Woodridge Drive,WV,,,,,,,,,603800.3422329363,39.17135463217226,-81.52484246281772,West Virginia,WV00084
,1556623,Worthington Golf Club,Parkersburg,+1-304-428-4297,http://worthingtongc.com/,3414,26104,Roseland Avenue,,,,,,,,,,601813.4444383467,39.281887130557436,-81.51538621721438,West Virginia,WV00085
,2633931,The Resort At Glade Springs Stonehaven Course,,+1-866-562-8054,https://www.gladesprings.com/stonehaven-golf-course.php,,,,,,The Resort at Glade Springs,,,,,,,596784.9611421371,37.72755187488969,-81.0791076815186,West Virginia,WV00121
,2633929,The Resort at Glade Springs Woodhaven Course,,+1 866-562-8054,https://www.gladesprings.com/golf-courses-west-virginia.php,,,,,,The Resort at Glade Springs,,,,,multipolygon,,594935.6915279424,37.72461148971217,-81.05106034657138,West Virginia,WV00015
,2634211,The Greenbrier - Greenbrier Course,,,https://www.greenbrier.com/Golf/The-Golf-Club/The-Greenbrier-Course.aspx,,,,,,The Greenbriar,,,,,,,587029.2847966299,37.77703773387347,-80.32044535342179,West Virginia,WV00092
,,Unknown Golf Course,,,,,,,,,,,,,,,,584527.1406392152,39.338996413334904,-81.54881922041719,West Virginia,WV00125
,2634111,Bridgeport Country Club,Bridgeport,+1-304-842-5056,https://www.bccwv.com/,,26330,,WV,,,,,,,,,572036.1119817218,39.31460081296222,-80.27967317937926,West Virginia,WV00031
,2634130,Lakeview Golf Resort and Spa Mountainview Course,Morgantown,+1 304-594-1111,https://www.lakeviewresort.com/golf/mountainview-course,,26508,,,,,,,,,multipolygon,,558674.0962839945,39.68836639148887,-79.86848339057524,West Virginia,WV00010
,2634218,The Pines Country Club,Morgantown,+1-304-296-3466,https://thepinescc.com/,3062,26505,Point Marion Road,,,,,,,,,,554856.3961091391,39.666195772245516,-79.90700420782953,West Virginia,WV00028
,2634129,Lakeview Golf Resort and Spa Lakeview Course,Morgantown,+1-304-594-1111,https://www.lakeviewresort.com/golf/lakeview-course,One,26508,Lakeview Drive,WV,,,,,,,,,547720.9581625208,39.669698235206006,-79.85436504188678,West Virginia,WV00045
,2634116,Green Hills Country Club,Fairmont,+1-304-287-7439,http://www.greenhillscountryclub.org/,126,26554,Green Hills Lane,WV,,,,,,,,,546693.7475066343,39.44547261813411,-80.23838698449276,West Virginia,WV00064
,2634125,Highland Springs Golf Course,Wellsburg,+1-304-737-2201,https://www.highlandspringsgolf.com/,1600,26070,Washington Pike,WV,,,,,,,,,544016.3798140769,40.2543678193664,-80.52019382739796,West Virginia,WV00050
,2634219,The Woods Resort Mountain View Course,Hedgesville,+1 800-248-2222,https://www.thewoods.com/golf_mtview.html,,25427,Mountain Lake Road,,,,,,,,multipolygon,,539173.1275366768,39.55656790750252,-78.10339845615425,West Virginia,WV00008
,2634223,Twin Falls Resort State Park Golf Course,Mullens,+1-304-294-4000,http://www.twinfallsresort.com/golf.html,,25882,Rural Route 97,,Q7858161,,,,,,,,534660.0344103458,37.63337915600407,-81.4395822999157,West Virginia,WV00116
,2634223,Twin Falls Resort State Park Golf Course,Mullens,+1-304-294-4000,http://www.twinfallsresort.com/golf.html,,25882,Rural Route 97,,Q7858161,,,,,,,,534660.0344103458,37.63337915600407,-81.4395822999157,West Virginia,WV00117
,,Creekside Golf Course,Lavalette,,https://www.creeksidegolfcourselavalette.com/,400,25535,Royal Brickdale Drive,,,,,Twin Silos at Lavalette Golf Course,,,,,533826.6568747493,38.330328849031424,-82.45724735682177,West Virginia,WV00099
,1558729,Mountaineer Woodview Golf Course,,+1-304-564-5765,https://www.moreatmountaineer.com/resort/golf/,,,,,,,,,,,,,518402.66112869827,40.48467943773577,-80.58476457237336,West Virginia,WV00051
,2634070,Clarksburg Country Club,Clarksburg,+1-304-624-6361,http://www.clarksburgcc.com/,199,26301,Club rive,,,,,,,,,,517913.03120514314,39.24164867721768,-80.36353816979248,West Virginia,WV00067
,2633456,Berry Hills Country Club,Charleston,+1-304-744-1393,https://www.berryhillscc.com/,1,25314,Berry Hills Road,,,,,,,,multipolygon,,497986.3041169583,38.31963562731712,-81.69050976707179,West Virginia,WV00022
,2634165,The Riverside Club of West Virginia,Mason,+1-304-773-5354,https://www.riversidegolfclubwv.com/,1661,25260,Adamsville Road,WV,,,,,,,,,497251.5551138658,39.0239300195533,-82.00591761107171,West Virginia,WV00078
,2634164,Riverbend Golf Club at EvUnBreth,Buckhannon,+1-304-472-6295,https://www.riverbendgolfwv.com/,591,26201,EvUnBreth Acres Road,,,,,,,,,,494657.29201132373,39.009066446437735,-80.22104811593698,West Virginia,WV00070
,1556593,South Hills Golf Club,,,,,,,,,,,,,,,,488786.6947977597,39.24120147694014,-81.56988935909585,West Virginia,WV00083
,1556593,South Hills Golf Club,,,,,,,,,,,,,,,,488786.6947977597,39.24120147694014,-81.56988935909585,West Virginia,WV00082
,1557896,Sunny Croft Country Club,Clarksburg,+1-304-624-4421,https://www.sunnycroft.org/,,26302,,WV,,,,,,,,,479540.8368644954,39.26209644612496,-80.38652662906178,West Virginia,WV00071
,2634090,Golf Club of West Virginia,Waverly,+1-304-464-4420,https://www.golfclubwv.com/,482,26184,Deerwalk Highway,,,,,,,,,,465157.26275237807,39.32405529371296,-81.4290842761072,West Virginia,WV00073
,2634073,Cress Creek Country Club Golf Course,Shepherdstown,+1 304-876-3375,https://www.cresscreek.com/,100,25443,Cress Creek Drive,,,,,,,,multipolygon,,455549.0942827033,39.44913255603068,-77.80395670773791,West Virginia,WV00005
,2634123,Hidden Valley Country Club,,,,,,,,,,,,,,,,446350.3073006223,38.90409220347857,-82.0416236532599,West Virginia,WV00074
,2634132,Little Creek Golf Course,South Charleston,+1-304-746-4653,http://www.littlecreekgolfcourse.com/,99,25309,Fairway Drive,,,,,,,,multipolygon,,441587.4286770738,38.348079915068254,-81.7168834902686,West Virginia,WV00023
,2634167,Riveria Country Club Golf Course,,,,,,,,,,,,,,,,417061.59613666206,38.470593128003586,-82.30609471116367,West Virginia,WV00107
,2634131,Lewisburg Elks Country Club,Lewisburg,+1-304-645-3660,https://www.lewisburgelkscc.com/,,24901,Brush Road,,,,,,,,,,400051.5008950662,37.81860252432034,-80.41908459282179,West Virginia,WV00091
,2634069,Cherry Hill Country Club,Richwood,+1-304-846-9876,https://www.golfcherryhill.com/,457,26261,Country Club Road,,,,,,,,,,388355.43046638963,38.269870484360816,-80.51460820947734,West Virginia,WV00086
,2634112,Brooke Hills Park Golf Course,,+1 304 737 1236,https://www.brookehillspark.com/golf.html,,,,,,,,,,,,,386961.81999227026,40.269696482911876,-80.5418223680435,West Virginia,WV00049
,2634166,Riverview Country Club,Madison,+1-304-369-9835,http://www.riverviewccwv.com/,,,,,,,,,,,,,375201.5938330204,38.01069790213931,-81.82333431817298,West Virginia,WV00030
,2634220,The Woods Resort Stony Lick Course,Hedgesville,+1 800-248-2222,https://www.thewoods.com/golf_stonylick.html,,25427,Mountain Lake Road,,,,,,,,multipolygon,,365236.72051310475,39.559158895718454,-78.08845802889131,West Virginia,WV00009
,2633452,Apple Valley Country Club Golf Course,,,,,,,,,,,,,,,,360646.43713779026,39.401110617752444,-80.17518709318492,West Virginia,WV00060
,2634075,Deerfield Country Club Golf Course,Weston,+1-304-269-1139,http://www.deerfieldcountryclubwv.com/,400,26452,Country Club Road,,,,,,,,,,339051.0746984979,39.082643861993986,-80.46133058406524,West Virginia,WV00068
,2634162,Princeton Elks Country Club Golf Course,Princeton,+1-304-425-3273,http://www.princetonelks1459.com/golf.htm,,24740,Maple Acres Road,,,,,,,,,,338947.29671514506,37.32899958590701,-81.14177352512222,West Virginia,WV00098
,2634124,Hide A Way Golf Course,,,,,,,,,,,,,,,,336069.9448358509,39.222828540187116,-80.3817089927812,West Virginia,WV00069
,2634113,Buckhannon Country Club Golf Course,Buckhannon,+1-304-472-2250,https://www.buckhannoncountryclub.com/,,26201,Tallmansville Road,,,,,,,,,,313077.1575326358,38.96787963374293,-80.22494342772242,West Virginia,WV00066
,2634146,Orchard Hills Golf Club,Barboursville,+1-304-736-8225,http://www.orchardhillsgolfclub.com/,1591,25702,Allen Avenue,,,,,,,,,,306051.7597761066,38.40034605025549,-82.27930831073422,West Virginia,WV00106
,2634078,Elks Golf Course,,,,,,,,,,,,,,,,304388.55327031476,38.866736670314694,-79.86394669256109,West Virginia,WV00039
,2634127,Holly Meadows Golf Course,,,,,,,,,,,,,,,,303165.9947150447,39.148420310169236,-79.66535667380866,West Virginia,WV00041
,2634168,Roane County Country Club,,,,,,,,,,,,,,,,299219.19408806507,38.83880980250362,-81.41925026067145,West Virginia,WV00079
,2634079,Fairmont Field Club,Fairmont,+1-304-366-2321,https://www.fairmontfieldclub.com/,1709,26554,Country Club Road,,,,,,9_hole,,,,286316.7136303902,39.47831402756596,-80.18884184745293,West Virginia,WV00063
,2634136,Meadowland Golf Course,,,,,,,,,,,,,,,,284630.195524538,38.54523768540495,-81.9623558187808,West Virginia,WV00105
,1557810,Black Knight Golf Course,,,,,,,,,,,,,,,,280809.4822308433,37.767037859674026,-81.16517080807803,West Virginia,WV00110
,2634143,North Bend Golf Course,,,,,,,,,,,,,,,,270632.62754431536,39.21256875624403,-81.06595634946301,West Virginia,WV00077
,2634242,Woodbrier Golf Course,Martinsburg,+1-304-274-9818,https://woodbriergolfcourse.com/,250,25403,Topflite Drive,,,,,,,,,,270172.60514511174,39.51105683377569,-77.93995782497583,West Virginia,WV00036
,2633453,Barbour Country Club Golf Course,,,,,,,,,,,,,,,,265783.7155090179,39.10399016334104,-80.08905847383936,West Virginia,WV00061
,2634010,Capon Springs and Farms Golf Course,,,https://www.caponsprings.net/,,,,,,,,,,,,,265259.10444033693,39.132196772261736,-78.48446920094813,West Virginia,WV00038
,2634227,Valley View Country Club,,,,,,,,,,,,,,,,257121.3109105498,37.82122775166365,-80.28530645584317,West Virginia,WV00095
,2634236,White Oak Country Club,Oak Hill,+1 304 465 5639,http://www.woccgolf.com/,1206,25901,Summerlee Road,,,,,,,,multipolygon,,251571.73957640512,37.99185089304916,-81.16281782525385,West Virginia,WV00017
,2634137,Mill Creek Country Club Golf Course,,,,,,,,,,,,,,,,248798.68908505354,39.33990728184497,-78.98225144063923,West Virginia,WV00042
,,Logan Country Club Golf Course,,,,,,,,,,,,,,,,242633.0590419335,37.97456148222795,-82.03790661757839,West Virginia,WV00029
,2634159,Pocahontas Country Club,,,,,,,,,,,,,,,,241474.72252589877,38.204076079446,-80.11245396354913,West Virginia,WV00090
,2634147,Paradise Lake Golf Course,,,,,,,,,,,,,,,,237261.81288017903,39.49752552951973,-79.90796462463166,West Virginia,WV00047
,2634151,Pipestem Resort State Park Short Course,,+1-304-466-1800,http://www.pipestemresort.com/golf.html,,,,,,,,,,,,,232644.30105738947,37.52910652897241,-80.99858822845472,West Virginia,WV00119
,2634121,Hawks Nest State Park Golf Course,,,,,,,,,,,,,,,,229930.53407044188,38.140383619813704,-81.16979131321096,West Virginia,WV00088
,2634155,Pleasant Hills Golf Course,,,,,,,,,,,,,,,,228191.3505614991,40.5513591389054,-80.57050249918353,West Virginia,WV00052
,2634169,Saint Marys Golf Club,,,,,,,,,,,,,,,,227323.2950209804,39.4275944562406,-81.17443008221828,West Virginia,WV00080
,2633928,Bloch Memorial Golf Course,Wheeling,+1-304-243-4085,http://www.wheeling-park.com/golf.htm,1801,26003,National Road,,,,Wheeling Municipal Park Golf Course,,,,,,225288.40590265003,40.05781641801879,-80.66560463433899,West Virginia,WV00054
,2634142,Nicholas Memorial Golf Course,,+1-304-872-3552,,,,,,,,,,,,,,223656.467842862,38.31919472409565,-80.83032643241575,West Virginia,WV00089
,2634160,Polish Pines Country Club Golf Course,,,,,,,,,,,,,,,,216514.44475348468,39.41823481489962,-79.00480235122924,West Virginia,WV00043
,2634190,Sistersville Country Club Golf Course,,,,,,,,,,,,,,,,215714.41589676208,39.55357262197506,-81.00989975356704,West Virginia,WV00081
,,Tug Valley Country Club,,,,,,,,,,,,,,,,213241.37808318262,37.630846920270905,-82.18673016938777,West Virginia,WV00114
,,Tug Valley Country Club,,,,,,,,,,,,,,,,213241.37808318262,37.630846920270905,-82.18673016938777,West Virginia,WV00115
,2634109,Bluefield Elks Club Golf Course,,,,,,,,,,,,,,,,208859.37000685162,37.245605182598695,-81.23578130342668,West Virginia,WV00097
,2634241,Willow Wood Country Club,,+1-304-466-3220,http://www.hintonelks.com/,,,,,,,,,,,,,207200.20773733288,37.64609377047534,-80.80586490324401,West Virginia,WV00120
,2634114,Grand Vue Park Golf Course,Moundsville,+1-304-845-9810,http://www.grandvuepark.com/park-features.php?id=45,,26041,,,,,,,,,,,188279.18730096414,39.94110875184671,-80.73503694505224,West Virginia,WV00055
,2634118,Greenbrier Hills Golf Club,,+1-304-438-9050,https://www.greenbrierhillsgolfclub.com/,,,,,,,,,,,,,175928.4398938207,37.96609216564428,-80.78561958942718,West Virginia,WV00087
,2634072,Coonskin Golf Course,Charleston,+1-304-341-8013,https://www.kcprc.com/coonskin_golf_course.htm,2000,25311,Coonskin Drive,,,,,,,,,,165593.33844554762,38.395403800870795,-81.58328189648161,West Virginia,WV00102
,2634089,Glenville Golf Club,,,,,,,,,,,,9_hole,,,,165037.8845856792,38.95474779818473,-80.82767043227011,West Virginia,WV00124
,2634221,Triadelphia Country Club Golf Course,,,,,,,,,,,,,,,,159323.96337049725,37.695952350792304,-81.86912114700368,West Virginia,WV00113
,2634068,Cato Park Golf Course,,,,,,,,,,,,,,,,113707.54313845413,38.374379889991566,-81.63997745331785,West Virginia,WV00101
,2634195,Oglebay Resort Speidel Golf Club Par 3 Course,,,http://www.oglebay-resort.com/golf/par_drivingrange.html,,,,,,,,,,,,,109478.08974176129,40.10897481640375,-80.65410052548606,West Virginia,WV00058
,2633459,Black Wolf Links Golf Course,,,,,,,,,,,,,,,,108664.0879693046,37.3328956839792,-81.48156295937731,West Virginia,WV00096
,,Unknown Golf Course,,,,,,,,,,,,,,,,104699.39464203612,37.94442255655643,-80.16417958443523,West Virginia,WV00126
,2634139,Minibel Golf Course,Vienna,+1-304-295-7711,https://www.minibelpar3.com/,,26105,,,,,,,,,,,64550.87099301758,39.323712061976025,-81.55508789022926,West Virginia,WV00076
,,Unknown Golf Course,,,,,,,,,,,,,,multipolygon,,21852.06096238352,38.319281664757824,-81.7058663815753,West Virginia,WV00021
