addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,opening_hours,operator,building,phone,website,source,check_date,start_date,note,email,sport,golf,landuse,old_name,alt_name,golf:course,official_name:en,wikidata,abandoned,type,addr:country,golf:par,area_m2,lat,lon,province,gcid
Maryville,25055,64468,,Liberty Road,Mozingo Lake Golf Course,,,,+1 660 562 3864,https://mozingolake.com/golf/,,,,,,,,,,,,,,,,,,1270075.535046892,40.35808558654207,-94.76614739304311,Missouri,MO00184
Loch Lloyd,16750,64012,,Country Club Drive,Country Club at Loch Lloyd,,,,+1 816 322 1022,https://lochlloyd.com/golf/,,,,,,,,,,,,,,,multipolygon,,,1265247.9040941675,38.83428172763733,-94.59532985726116,Missouri,MO00031
Loch Lloyd,16750,64012,,Country Club Drive,Country Club at Loch Lloyd,,,,+1 816 322 1022,https://lochlloyd.com/golf/,,,,,,,,,,,,,,,multipolygon,,,1265247.9040941675,38.83428172763733,-94.59532985726116,Missouri,MO00030
Osage Beach,400,65049,,Osage Hills Road,Osage National Golf Club,,,,+1 866 365 1950,https://www.osagenational.com/,,,,,,,,,,,,,,,multipolygon,,,1240541.8647154134,38.205175288096456,-92.59521055813462,Missouri,MO00042
Hollister,1250,65672,MO,Golf Club Dr,Ozarks National Golf Course,,,,,,,,,,,,,,,,,,,,,,,1215959.1306349698,36.558670500265265,-93.18000431570675,Missouri,MO00313
Blue Springs,1601,,MO,R D Mize Road,Adams Pointe Golf Course,,,,+1 816 220 3673,https://www.adamspointegolfclub.com/,,,,,,,,,,,,,,,,,,1202729.423937179,39.01931145671043,-94.23870994215974,Missouri,MO00172
,,,,,Creekmoor Golf Club,,,,,http://www.creekmoor.com/championship-golf,,,,,,,,,,,,,,,multipolygon,,,1196407.7690853314,38.832016602156706,-94.46906784818076,Missouri,MO00019
,,,,,Posse,,,,,,,,,,,,,,,,,,,,,,,1185042.6929567792,39.42221039141353,-94.54835309966555,Missouri,MO00317
Eureka,1,63025,,Putt Lane,Fox Run Golf Club,,,,+1 636 938 4653,https://www.foxrungolfclub.com/,,,,,,,,,,,,,,,multipolygon,,,1172166.7909275745,38.444684692566426,-90.60108188055196,Missouri,MO00051
Sunset Hills,13001,63127,MO,Gary Player Drive,Tapawingo National Golf Club,,,,+1 636 349 3100,https://www.tapawingogolf.com/,,,,,,,,,,,,,,,multipolygon,,,1161836.0987450678,38.531152480647386,-90.42960859592465,Missouri,MO00050
St. Charles,18,63304,,Research Park Circle,Missouri Bluffs Golf Club,,,,,https://mobluffs.com/,,,,,,,,,,,,,,,,,,1139560.9072052848,38.694451713333024,-90.6759351237362,Missouri,MO00283
St. Charles,18,63304,,Research Park Circle,Missouri Bluffs Golf Club,,,,,https://mobluffs.com/,,,,,,,,,,,,,,,,,,1139560.9072052848,38.694451713333024,-90.6759351237362,Missouri,MO00282
Kansas City,11100,64134,MO,View High Drive,Fred Arbanas Golf Course,,Jackson County Parks + Rec,,,,,,,,,,,,,,,,,,,,,1120762.6899607205,38.91896821838168,-94.45612989325248,Missouri,MO00303
Eureka,625,63025,,The Legends Parkway,The Legends Golf Club,,,,+1 636 938 6295,https://www.thelegendsgolf.com/,,,,,,,,,,,,,,,multipolygon,,,1119707.4183006764,38.49893867348565,-90.64569557535364,Missouri,MO00027
Florissant,2575,63136,,Redman Road,Eagle Springs Golf Course,,,,+1 314-355-7277,https://www.eaglesprings.com/,,,,,,,,,,,,,,,,,,1104112.7757030574,38.78674259787507,-90.25017240248376,Missouri,MO00099
Pleasant Hill,20800,64080,,East 215th Street,Country Creek Golf Club - Hoot's Hollow,,,,816-380-4920,https://www.countrycreekgolf.com/,,,,,,,,,,,,,,,,,,1096215.0434049517,38.732039583863546,-94.35589606923342,Missouri,MO00138
Labadie,4504,63055,MO,Highway 100,Wolf Hollow Golf Club,,,,,https://www.wolfhollowgolf.com/,,,,,,,,,,,,,,,,,,1043564.4628828695,38.50602807432412,-90.92343950657249,Missouri,MO00272
Cape Girardeau,4700,63701,,Cord's Way,Dalhousie Golf Club,,,,+1 573 332 0818,https://dalhousiegolfclub.com/,,,,,,,,,,,,,,,,,,1026962.5679947386,37.2680577390539,-89.60174634221957,Missouri,MO00261
,,,,,Frank E. Peters Municipal Golf Course,,,,+1 417 448 5111,http://nevadamo.org/frank-e-peters-golf-course/,,,,,,,,,,,,,,,,,,1021492.6291844932,37.80330621768035,-94.31939681614378,Missouri,MO00145
,,,,,Unknown Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,1003506.9973307222,37.91986011460832,-90.92325961489463,Missouri,MO00100
,,,,,Westwood Country Club,,,,,,,,,,,,,,,,,,,,,,,987523.267855061,38.64491574645721,-90.43202320324943,Missouri,MO00083
,,,,,Unknown Golf Course,,,,,,,,,,,golf,,,,,,,,,multipolygon,,,982879.9367087386,36.69075354422862,-93.23228699852737,Missouri,MO00018
,,,,,The Oaks,,Tan-Tar-A Resort,,,https://www.tan-tar-a.com/play/golf/courses/,,,,,,,,,,,,,,,multipolygon,,,981696.6105881974,38.13275035849798,-92.69912450796873,Missouri,MO00043
Independence,15400,64055,,East 34th Street,Drumm Farm Golf Club,,,,816-350-9900,http://www.drummfarmgolfclub.com/,,,,,,,,,,,,,,,,,,977343.8855727047,39.06204144865124,-94.39808328996324,Missouri,MO00141
Neosho,1850,64850,,Club House Road,Neosho Golf Club,,,,+1 417 451 1543,http://www.neoshomo.org/index.aspx?NID=141,,,,,,,,,,,,,,,,,,973359.4214619895,36.84738832721079,-94.39822603852929,Missouri,MO00122
Eureka,745,63025,,Lewis Road,Crescent Farms Golf Club,,,,+1 636 938 6202,https://www.crescentfarms.com/,,,,,,,,,,,,,,,,,,963416.1404102125,38.53146372335802,-90.61000292080139,Missouri,MO00165
,,,,,The Club at Old Hawthorne,,,,,,,,,,,,,,,,,,,,,,,957719.4520708411,38.93576084160449,-92.246867127821,Missouri,MO00206
,,,,,Staley Farms Golf Club,,,,,,,,,,,,,,,,,,,,multipolygon,,,957305.494225405,39.281628605305954,-94.548453821692,Missouri,MO00012
,,,,,Bellerive Country Club,,,,,,,,,,,,,,,,,,,,,,,942690.1116577892,38.662617582065316,-90.48508192633864,Missouri,MO00292
,,,,,Forest Hills Country Club,,,,,https://www.foresthillscc.net/,,,,,,,,,,,,,,,multipolygon,,,934700.8379587048,38.6179497083978,-90.594264328109,Missouri,MO00060
Augusta,1319,63332,,Schluersburg,Boone Valley Golf Club,,,,+1 636 928 5200,https://www.boonevalley.org/,,,,,,,,,,,,,,,,,,925327.9975035175,38.626620785133525,-90.8794780820579,Missouri,MO00237
O'Fallon,7777,63368,,Winghaven Boulevard,WingHaven Country Club,,,,636-561-9464,http://www.winghavencc.com/,,,,,,,,,,,,,,,,,,922246.2700751453,38.757164837753734,-90.74490480063494,Missouri,MO00097
Farmington,4215,63640,,Hunt Road,Crown Pointe Golf Club,,,,+1 573 756 6660,https://www.crownpointegolfclub.com/,,,,,,,,,,,,,,,,,,913796.4009165482,37.817284523827986,-90.44293259488933,Missouri,MO00243
,1,,,Dye Club Drive,Old Hickory Golf Club,,,,,,,,,,,,,,,,,,,,,,,912346.7141969809,38.755915629161066,-90.62867917403531,Missouri,MO00093
Blue Springs,22415,64015,,East 39th Street South,Stone Canyon Golf Club,,,,+1 816 228 3333,http://www.stonecanyongolfclub.com/,,,,,,,,,,,,,,,multipolygon,,,898762.2682173586,39.04283987426596,-94.31962273808072,Missouri,MO00029
,,,,,Unknown Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,896078.5342046138,39.4300203717569,-92.49970346745694,Missouri,MO00109
Holts Summit,12925,65043,,County Road 4037,Railwood Golf Club,,,,+1 573 896 4653,https://www.railwoodgolf.com/,,,,boundary is changing for 2016 #MapWithAI #MapWithAI #MapWithAI #MapWithAI #MapWithAI #MapWithAI #MapWithAI #MapWithAI,,,,,,,,,,,,,,893562.2618977895,38.5948369502708,-92.11389516797573,Missouri,MO00219
Saint Louis,400,63025,,Lewis Road,Pevely Farms Golf Course,,,,+1 636 938 7000,https://www.pevelyfarms.com/,,,,,,,,,,,,,,,multipolygon,,,891938.8412221061,38.52515450817872,-90.59901296683087,Missouri,MO00026
Oak Grove,1300,64075,MO,SE 30th Street,Bent Oak Park,,City of Oak Grove,,,,,,,,,,,,,,,,,,,,,879909.888725505,38.98894666685065,-94.11172972360713,Missouri,MO00273
Ballwin,200,63011,,Meadowbrook Country Club Estates,Meadowbrook Country Club,,Meadowbrook,,,,,,,,,,,,,,,,,,,,,877551.3941631037,38.616757831130656,-90.56186776832031,Missouri,MO00074
,,,,,Redfield Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,,869883.8997818294,38.38846306100648,-92.39689215183152,Missouri,MO00053
Jackson,2200,63755,,Bent Creek Drive,Bent Creek Golf Club,,,,+1 573 243 6060,https://www.bentcreekgc.com/,,,,,,,,,,,,,,,multipolygon,,,867825.5691807384,37.39453275893004,-89.63908365428112,Missouri,MO00033
Jackson,2200,63755,,Bent Creek Drive,Bent Creek Golf Club,,,,+1 573 243 6060,https://www.bentcreekgc.com/,,,,,,,,,,,,,,,multipolygon,,,867825.5691807384,37.39453275893004,-89.63908365428112,Missouri,MO00034
Hannibal,52651,63401,,Norwoods Place,Norwoods Golf Club,,,,+1 573 248 1998,https://www.norwoodsgolfclub.net/,,,,,,,,,,,,,,,,,,863929.5047284272,39.68207344944672,-91.47972689688443,Missouri,MO00198
,,,,,Piney Valley,,,,,,,,,,,,,,,,,,,,,,,861677.001771953,37.73522744600634,-92.06904462234147,Missouri,MO00300
,,,,,Shoal Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,860750.1589884065,39.25333378860962,-94.48073333479242,Missouri,MO00106
,,,,,The National Golf Club,,,,,,,,,,,,,,,,,,,,multipolygon,,,859796.7693891504,39.21940961624649,-94.71056897192831,Missouri,MO00015
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,856867.0281145519,38.722522848035666,-90.68713539895042,Missouri,MO00094
Saint Louis,6141,63112,MO,Lagoon Drive,Norman K. Probstein Golf Course,,,,+1 314-367-1337,https://www.forestparkgc.com,,,,,,,,,,,,,,,multipolygon,,,845815.3541321756,38.64355247066843,-90.29560863385836,Missouri,MO00063
Springfield,2850,65810,,West Farm Road 150,Rivercut Golf Course,,,,+1 417 891 1645,https://www.parkboard.org/935/Rivercut-Golf-Course,,,,,,,,,,,,,,,multipolygon,,,845362.2810864868,37.100298891472455,-93.34169333655355,Missouri,MO00047
Camdenton,678,65020,MO,Old Kinderhook Drive,"Old Kinderhook Resort, Golf, Club & Spa",,"Old Kinderhook Resort, Golf, Club & Spa",,,,,,,,,,,,,,,,,,,,,845254.1945029118,38.00253591499632,-92.80499892277157,Missouri,MO00235
,,,,,"Old Kinderhook Resort, Golf, Club & Spa",,,,,,,,,,,,,,,,18_hole,,,,multipolygon,,,845254.1945029118,38.00253591499632,-92.80499892277157,Missouri,MO00058
Osage Beach,,,,,Bear Creek Valley Golf Club,,,,+1 573 302 1000,https://www.bearcreekvalley.com/,Bing,,,,,,,,,,,,,,,,,840814.0705213472,38.15012741788203,-92.58703285891428,Missouri,MO00117
Hartsburg,5757,65039,,East Eagle Knoll Drive,Eagle Knoll Golf Club,,,,+1 573 761 4653,https://www.eagleknoll.com/,,,,,,,,,,,,,,,,,,840451.4699955179,38.69572674863038,-92.26307552657744,Missouri,MO00217
,,,,,Quail Creek Golf Course,,,,,https://www.quailcreekgolfclub.com/,,,,,,,,,,,,,,,,,,836448.3008585823,38.467994756050224,-90.38238795526293,Missouri,MO00071
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,834867.002033134,37.584126871787085,-93.34662284716799,Missouri,MO00251
,,,,,Eldon Golf Club,,,,,,Bing,,,,,,,,,,,,,,,,,834105.3990644166,38.329733377464,-92.59477124260297,Missouri,MO00111
,,,,,Springfield Golf & Country Club,,,,,,,,,,,,,,,,,,,,multipolygon,,,832304.474823778,37.255427536674624,-93.23125261988348,Missouri,MO00064
Springfield,3909,65809,,East Cherry Street,Hickory Hills Country Club,,,,+1 417 866 4384,https://www.hickoryhillscountryclub.com/,,,,,,,,,,,,,,,multipolygon,,,829723.1842094569,37.201881544189185,-93.21626165683507,Missouri,MO00048
,,,,,Hodge Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,825348.8260685387,39.253874351659846,-94.49460979372991,Missouri,MO00105
,,,,,Unknown Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,824983.4128282665,38.19265339875056,-92.68954081906563,Missouri,MO00153
,,,,,The Ridge,,,,,https://www.4seasonsresort.com/golf/ridge-en.html,Bing,,,,,,,,,,,,,,,,,821372.5030683685,38.1932082750488,-92.65799414663164,Missouri,MO00154
,,,,,Old Cardinal Hill Golf Course,,,,,,,,,,,,,,,,,,,yes,,,,813840.6651699827,39.262210298401406,-94.40730347226214,Missouri,MO00127
,,,,,Highland Springs Country Club,,,,,,,,,,,,,,,,,,,,,,,812716.1320913112,37.11417730160414,-93.21660576218963,Missouri,MO00275
,,,,,Shamrock Hills Golf Club,,,,,http://www.shamrockhills.com/,,,,,,,,,,,,,,,,,,794965.1125560306,38.863707412027665,-94.36636926847017,Missouri,MO00318
,,,,,The Club at Porto Cima,,,,,https://www.4seasonsresort.com/golf/club-porto-cima-en.html,,,,,,,,,,,,,,,multipolygon,,,790978.2510069426,38.17235995112797,-92.65364178159241,Missouri,MO00040
Sikeston,1,63801,,Country Club Drive,Fox Haven Country Club,,,,+1 573 481 2175,https://www.foxhavencc.com/,Bing,,,,,,,,,,,,,,,,,788621.0661685345,36.89342254107838,-89.55911203133957,Missouri,MO00116
Springfield,1020,65807,,East Republic Road,Twin Oaks Country Club,,,,+1 417 881 4744,https://www.twinoakscountryclub.com/,,,,,,,,,,,,,,,,,,780279.2332446134,37.13326137566235,-93.28355909506544,Missouri,MO00255
Maryland Heights,1,63043,,Crystal Springs Quarry Drive,The Quarry at Crystal Springs,Jun 01-Aug 31 We-Mo 07:00-20:00; Jun 01-Aug 31 Tu 10:30-20:00; Sep 01-Nov 30 07:00-(sunset+02:00); Sep 01-Nov 30 Tu 10:30-(sunset+02:00); Dec 01-May 31 We-Mo sunrise-sunset; Dec 01-May 31 Tu 10:30-sunset,Crystal Springs Quarry Golf Club,,,https://www.quarrygc.com/golfcenter/,,,,"Hours of Operation: The Golf Center is open daily from 7am to 8pm during the Summer. In the Fall, the Golf Center is open until an hour past dusk. In the Spring & Winter, the Golf Center is open from sunrise to sunset. TUESDAYS - Range is closed until app",,,,,,,,,,,,,,774691.3196060421,38.725585832634856,-90.4746144630085,Missouri,MO00092
Fulton,818,65251,,Golf Drive,Tanglewood Golf Course,,,,+1 573 642 7277,https://www.tanglewoodfulton.com/,,,,,,,,,,,,,,,,,,764475.8035778021,38.885545214015195,-91.96089501040258,Missouri,MO00207
,,,,,Eagle Creek Golf Club,,,,,,,,,,,,,,,,,,,,multipolygon,,,756821.5228935821,36.99323108612042,-94.59153087255955,Missouri,MO00032
Columbia,18,65211,,Stadium Boulevard,A. L. Gustin Golf Course,,University of Missouri,,+1 573 882 6016,https://www.gustingolfcourse.com/,,,,,,,,,,,,,,,,,,756769.925071191,38.93283191500114,-92.34679561685604,Missouri,MO00269
Columbia,18,65211,,Stadium Boulevard,A. L. Gustin Golf Course,,University of Missouri,,+1 573 882 6016,https://www.gustingolfcourse.com/,,,,,,,,,,,,,,,,,,756769.925071191,38.93283191500114,-92.34679561685604,Missouri,MO00270
Belton,4200,64012,,Bong Avenue,Eagles' Landing Golf Course,,,,816-318-0004,http://www.eagleslandinggolfcourse.com/,,,,,,,,,Belton Municipal Golf Course,,,,,,,,,752555.7669002152,38.83529240062438,-94.55177022840482,Missouri,MO00136
,,,,,Prarie Lakes,,,,,,,,,,,,,,,,,,,,,,,751556.1506068325,37.48734542507301,-94.20176301825384,Missouri,MO00325
O'Fallon,1170,63366,,Turtle Creek Drive,The Falls Golf Club,,,,636-240-4653,https://www.fallsgolf.com/,,,,,,,,,,,,,,,multipolygon,,,743855.1434847678,38.78983404288044,-90.72499396971884,Missouri,MO00017
,,,,,Hidden Valley Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,,740116.4293023077,39.43208715151285,-94.2179963870312,Missouri,MO00057
Bolivar,,65613,,Mount Gilead Road,Silo Ridge Country Club,,,,+1 417 326 7456,https://siloridgecc.com/,,,,,,,,,,,,,,,multipolygon,,,736698.4216335283,37.58389961547901,-93.34702096392154,Missouri,MO00046
Jefferson City,516,65109,,South Country Club Drive,Jefferson City Country Club,,,,+1 573 893 3306,https://www.jeffersoncitycountryclub.com/,,,,,,,,,,,,,,,,,,735909.6175018046,38.5805165670909,-92.26565864287375,Missouri,MO00228
Jackson,2175,63755,,East Jackson Boulevard,Kimbeland Country Club,,,,+1 573 243 3923,https://www.kimbelandcountryclub.com/,,,,,,,,,,,,,,,,,,734992.9227838952,37.363483851764926,-89.64407018115598,Missouri,MO00183
,,,,,West Plains Municipal Golf Course,,,,+1 417 256 9824,http://westplainsparks.weebly.com/municipal-golf-course.html,,,,,,,,,,,,,,,,,,732560.3496875772,36.756625249468534,-91.84518935611695,Missouri,MO00163
Kansas City,7501,64132,,Blue River Road,Heart of America Golf Course,,,,816-513-8940,https://www.hoagolfacademy.com/,GPS,,,,,,,,,,,,,,,,,732269.8030136231,38.99072669892625,-94.52581493178543,Missouri,MO00078
,,,,,Unknown Golf Course,,,,,,Bing,,,,,,,,,,,,,,,,,726435.0903468471,37.89346186821718,-90.61434705202166,Missouri,MO00114
,,,,,Unknown Golf Course,,,,,,Yahoo,,,,,,,,,,,,,,,,,719542.0348842003,38.944540870913734,-92.69506653933493,Missouri,MO00075
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,719421.5371328335,38.74312194535139,-90.71252977809091,Missouri,MO00096
Wentzville,158,63385,MO,Bear Creek Drive,Bear Creek Golf Club,,,,+1-636-332-5018,https://bearcreekgolf.com/,,,,,,,,,,,,,,,multipolygon,,,719297.1417126858,38.81773831819777,-90.89611542164126,Missouri,MO00036
Carl Junction,502,64834,,Briarbrook Drive,Briarbrook Golf Course,,,,+1 417 649 6777,https://www.briarbrookgolfcourse.com/,,,,,,,,,,,,,,,,,,718791.0043566516,37.160304385737284,-94.54084346713252,Missouri,MO00177
Carl Junction,502,64834,,Briarbrook Drive,Briarbrook Golf Course,,,,+1 417 649 6777,https://www.briarbrookgolfcourse.com/,,,,,,,,,,,,,,,,,,718791.0043566516,37.160304385737284,-94.54084346713252,Missouri,MO00178
,,,,,Hidden Pines Country Club,,,,,,,,,,,,,,,,,,,,,,,709312.0402481115,38.763901413244724,-93.76314840077633,Missouri,MO00150
Kansas City,777,65145,,West Burning Tree Drive,Blue Hills Country Club,,,,816-942-8642,https://www.bluehillscc.com/,,,,,,,,,,,,,,,,,,708948.8963195406,38.89784551322912,-94.59943670005353,Missouri,MO00135
,,,,,Shadow Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,704959.2266385475,37.86621280567738,-93.40258542815,Missouri,MO00250
Sappington,9555,,,Geyer,Sunset Country Club,,,,,,,,,,,,,,,,,,,,,,,704180.0522370726,38.53279640206393,-90.39519217754267,Missouri,MO00123
Kansas City,9800,65137,,Grandview Road,Oakwood Country Club,,,,816-761-5501,https://www.oakwoodcountryclub.org/,,,,,,,,,,,,,,,,,,702909.7265316804,38.944865730627164,-94.5529692129942,Missouri,MO00137
Osage Beach,1270,65065,,Nichols Road,Sycamore Creek Golf Club,,,,+1 573 348 9593,https://www.sycamorecreekgolfclub.com/,,,,,,,,,,,,,,,,,,699460.8358177276,38.131150845115414,-92.67692822106882,Missouri,MO00234
Cape Girardeau,250,63701,,Country Club Drive,Cape Girardeau Country Club,,,,+1 573 335 8251,https://cggolfclub.com/,,,,,,,,,,,,,,,,,,698494.5192632088,37.33285382153014,-89.50034476412692,Missouri,MO00259
Joplin,2019,64801,,South Country Club Drive,Twin Hills Golf & Country Club,,,,+1 417 623 4112,https://www.twinhillsgolf.net/,,,,,,,,,,,,,,,,,,697656.8546522983,37.06685613088841,-94.56314644628215,Missouri,MO00156
Troy,1,63379,MO,Country Club Drive,Woods Fort Golf Course,,,,+1 636 528 0040,https://woodsfortgolf.com/,,,,,,,,,,,,,,,multipolygon,,,694633.8757979368,38.99253557909566,-90.97751209329333,Missouri,MO00056
Chillicothe,500,64601,,West Mohawk Road,Green Hills Golf Course,,,,+1 660 646 6669,https://www.greenhillsgolfcourse.com/,Bing,,,,,,,,,,,,,,,,,694626.3160315224,39.81450450926962,-93.54652821683155,Missouri,MO00108
Clarksville,16500,63336,,Highway 79,Eagles Bluff Golf Course,,,,+1 573 242 3309,http://www.eagles-bluff.com/,,,,,,,,,,,,,,,,,,693727.3050906478,39.35117379209841,-90.89797776680756,Missouri,MO00201
Clarksville,16500,63336,,Highway 79,Eagles Bluff Golf Course,,,,+1 573 242 3309,http://www.eagles-bluff.com/,,,,,,,,,,,,,,,,,,693727.3050906478,39.35117379209841,-90.89797776680756,Missouri,MO00200
Saint Louis,400,63124,MO,Barnes Road,St. Louis Country Club,,,,,,,,,,,,,,,,,,,,,,,693020.0944723752,38.650347498513995,-90.37566001191058,Missouri,MO00081
Rolla,10700,65401,,County Road 3110,Oak Meadow Country Club,,,,573-341-2363,http://www.golfomcc.com/,,,,,,,,,,,,,,,,,,691601.941874343,37.961676733235166,-91.701708993308,Missouri,MO00151
Republic,169,65738,,Country Club Drive,Island Green Golf Club,,,,+1 417 732 7622,https://www.islandgreengolfclub.com/,,,,,,,,,,,,,,,,,,688762.052796363,37.07949354601603,-93.48632354255594,Missouri,MO00254
Elsberry,192,63343,MO,State Hwy W,Sun Valley Golf Course,,,,,,,,,,,,,,,,,,,,,,,687232.6490167669,39.13032290145801,-90.86308958963654,Missouri,MO00316
Eureka,4111,63025,,Crescent Road,Aberdeen Golf Club,,,,+1 636 938 5465,https://www.aberdeengolf.com/,,,,,,,,,,,,,,,,,,686596.3572483727,38.53368010485677,-90.61851218332588,Missouri,MO00164
Grandview,15101,64030,,Grand Summit Boulevard,Grand Summit Golf & Country Club,,,,816-331-3978,https://www.grandsummitgolfcc.com/,,,,,,,,,,,,,,,multipolygon,,,682371.5484652251,38.850294783448284,-94.51441923831588,Missouri,MO00020
Lee's Summit,651,64064,,Northeast Saint Andrews Circle,Lakewood Oaks Golf Club,,,,816-373-2505,http://www.logc.org/,,,,,,,,,,,,,,,multipolygon,,,681012.2612182162,39.007061416920784,-94.3622983638927,Missouri,MO00021
,,,,,Clinton Country Club,,,,,,,,,,,,,,,,,,,,,,,679051.3549864345,38.383920651106195,-93.7099311822476,Missouri,MO00286
,,,,,Keth Memorial Golf Course,,,,,,,,,,,,,,,,,,,,,,,678510.3081957415,38.74171500462437,-93.7506638104863,Missouri,MO00149
New Bloomfield,2600,65063,,Meadow Lake Road,Meadow Lake Acres Country Club,,,,+1 573 491 3356,https://www.mlacc.org/,,,,,,,,,,,,,,,,,,675536.9640135883,38.70583578873655,-92.09537774364429,Missouri,MO00218
Independence,17101,64058,,East Kentucky Road,Winterstone Golf Course,,,,816-257-5755,http://www.winterstonegolf.com/,,,,,,,,,,,,,,,,,,675272.8004798869,39.12500899985936,-94.3786564485919,Missouri,MO00142
Lebanon,16744,65536,,Highway 64,Great Life Golf & Fitness,,,,+1 417 532 2901,https://www.lebanonmissourigolf.com/,,,,,,,,,,,,,,,,,,674819.3913505974,37.688979995876764,-92.72741824809765,Missouri,MO00247
,,,,,Old Warson Country Club,,,,,,,,,,,,,,,,,,,,,,,672027.6330565133,38.61810279028801,-90.38365127462144,Missouri,MO00089
Saint Clair,321,63077,,Birdie Lane,Meramec Lakes Golf Course,,,,+1 636 629 0900,https://merameclakes.com/,,,,,,,,recreation_ground,,,,,,,,,,671289.4261278715,38.31714545762022,-90.91508552564136,Missouri,MO00168
Columbia,1800,65201,,Parkside Drive,L.A. Nickell Golf Course,,,,+1 573 499 4653,http://gogolflan.com/,,,,,,,,,,,,,,,,,,666967.5844797442,38.97649793935724,-92.36741950039938,Missouri,MO00203
Saint Louis,3401,63121,,Lucas & Hunt Road,Glen Echo Country Club,,,,+1 314-383-1500,https://www.gecc.org/,,,,,,,,,,,,,,,,,,665573.5189052066,38.698627283846626,-90.30026802514591,Missouri,MO00088
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,,665134.2976187958,36.78451354924794,-90.01778737337783,Missouri,MO00025
Aurora,15276,65605,,Highway K,Honey Creek Golf Club,,,,+1 417 678 3353,http://www.honeycreekgolfclub.com/,,,,,,,,,,,,,,,,,,660261.0082481941,37.05348334240525,-93.7126543427573,Missouri,MO00253
Lake Saint Louis,300,63367,,Yard Drive,Lake Forest Country Club,,,,636-561-6682,https://www.lakeforestgolf.org/,,,,,,,,,,,,,,,multipolygon,,,660032.797246575,38.78624628358375,-90.75466011759005,Missouri,MO00055
Farmington,4901,63640,,Hillsboro Road,Saint Francois Country Club,,,,+1 573 756 7574,http://sfccgolf.com/,,,,,,,,,,,,,,,multipolygon,,,659809.3958485861,37.825105145178505,-90.43785530876751,Missouri,MO00045
Poplar Bluff,3045,63901,,Cravens Road,Ozark Ridge Golf Course,,,,+1 573 686 8634,https://www.poplarbluff-mo.gov/index.asp?SEC=A88C9A56-513E-452B-BA14-2D86579A3381&Type=B_BASIC,,,,,,,,,,,,,,,,,,658844.606206377,36.72623445081511,-90.43736430771116,Missouri,MO00264
