addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,opening_hours,takeaway,gnis:feature_id,phone,website,wikidata,payment:cash,golf,natural,surface,source,landuse,old_name,operator,url,access,type,area_m2,lat,lon,province,gcid
,,,,,Montchanin Course,,,,+1 302-421-1753,https://www.dupontcountryclub.com/Golf,,,,,,Yahoo,,,DuPont Country Club,,,,734056.3925185519,39.78365708508951,-75.5659177141195,Delaware,DE00017
,,,,,Wild Quail Golf and Country Club,,,2378653,+1 302-697-4660,http://www.wildquail.net/,,,,,,,,,,,,multipolygon,712791.2014965677,39.11842552546957,-75.61786792565296,Delaware,DE00010
Smyrna,101,19977,,West Fairways Circle,Garrison Lake Golf Course,,,2378678,+1 302-659-1206,https://garrisonslakegolf.com/,,,,,,,,,,,,multipolygon,685984.1244828146,39.25407565454213,-75.59398400066752,Delaware,DE00006
Greenville,1000,19807,,Dean Road,Fieldstone Golf Club,,,,+1 302-658-2600,https://www.fieldstonegolf.com/,,,,,,,,,,,,,661502.058139169,39.798498507489,-75.63705389276541,Delaware,DE00027
,,,,,Maple Dale Country Club,,,,,,,,,,,,,,,,,,655382.4852147171,39.1735866159921,-75.56946603588042,Delaware,DE00044
,,,,,DuPont Championship Course,,,,+1 302-421-1753,https://www.dupontcountryclub.com/Golf,,,,,,Yahoo,,,DuPont Country Club,,,,649177.8060122973,39.79054597378112,-75.55961949727866,Delaware,DE00016
Rehoboth Beach,221,19971,DE,West Side Drive,Rehoboth Beach Country Club,,,,+1 302-227-3811,https://www.rehobothbeachcc.com/,,,,,,,,,,,,multipolygon,642037.2930801247,38.69429813729195,-75.1128751433473,Delaware,DE00004
,,,,,Rock Manor Golf Course,,,,,,,,,,,,,,,,,,624841.1287345296,39.77261053793364,-75.5375986178441,Delaware,DE00018
Rehoboth Beach,1,19971,DE,Kings Creek Circle,Kings Creek Country Club,,,,+1 302-227-7172,https://www.kingscreekcountryclub.com/,,,,,,,,,,,,multipolygon,611670.8267115271,38.7068680282807,-75.12140180920596,Delaware,DE00007
,,,,,Mulligans Pointe,,,,,,,,,,,,,,,,,,606929.6593505021,38.66261200896263,-75.35248538799416,Delaware,DE00038
Newark,507,19711,DE,Thompson Station Road,Deerfield,,,,,,,,,,,,,,,,,,589022.3326081582,39.71944051316804,-75.75083582058498,Delaware,DE00041
Milford,6152,19963,,South Rehoboth Boulevard,The Rookery North Course,,,,+1 302-422-7010,https://www.rookerygolf.com/,,,,,,,,,,,,,581670.1621099713,38.89811160442447,-75.4084905638813,Delaware,DE00031
,,,,,The Rookery Golf Course,,,2378976,,,,,,,,,,,,,,,569148.6962948751,38.80248528903708,-75.2636967571741,Delaware,DE00024
,,,,,The Rookery Golf Course,,,2378976,,,,,,,,,,,,,,,569148.6962948751,38.80248528903708,-75.2636967571741,Delaware,DE00023
,,,,,Newark Country Club,,,,,,,,,,,Yahoo,,,,,,,564542.2395291994,39.68968749199988,-75.76759688621526,Delaware,DE00013
Wilmington,800,19807,,North Dupont Road,Ed Oliver Golf Club,,,,+1 302-571-9041,https://www.edolivergolfclub.com/,,,,,,Yahoo,,,,,,,550668.0090277798,39.758645583112965,-75.58236888094858,Delaware,DE00014
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,542381.5287560438,39.7586444930217,-75.58239431116658,Delaware,DE00003
,,,,,Cripple Creek Golf & Country Club,,,,,,,,,,,,,,,,,,542180.7155900234,38.580490661942875,-75.13974376000175,Delaware,DE00037
Wilmington,777,19804,,Delaware Park Boulevard,White Clay Creek Country Club,,,,+1 302-994-6700,,,,,,,survey (business card),,,,http://www.whiteclaycreekcc.com,,,503573.9030547261,39.70707430788796,-75.65775921190911,Delaware,DE00019
,,,,,Eagle Creek Golf Course,,,,,,,,,,,,,,,,,,495086.48270290304,39.11572657392606,-75.47716982705843,Delaware,DE00030
Seaford,1019,19973,,West Locust Street,Hooper's Landing Golf Course,,,2378639,+1 302-629-2890,https://www.hooperslanding.com/,,,,,,,recreation_ground,Seaford Golf and Country Club,,,,,481038.0631453409,38.63795576015636,-75.62781625207842,Delaware,DE00028
,,,,,Brandywine Country Club,,,,,,,,,,,,,,,,,,474038.84252129437,39.81671789287849,-75.54156213528316,Delaware,DE00043
Seaford,1019,19973,DE,Locust St,Hooper's Landing Golf Course,Mo-Su 07:00-18:30,,,,,,,,,,,recreation_ground,,,,,,417337.90994736383,38.63171499592245,-75.63415474469468,Delaware,DE00036
,,,,,Montchanin Course,,,,+1 302-421-1753,https://www.dupontcountryclub.com/Golf,,,,,,Yahoo,,,DuPont Country Club,,,,365549.06576320174,39.793422245446216,-75.56798072353135,Delaware,DE00015
Bethany Beach,400,19930,,Bethany Loop,The Salt Pond Golf Club,,,2379039,+1 302-539-7525,https://www.saltpondgolf.com/,,,,,,,,,,,,multipolygon,338337.90737589716,38.55028408540186,-75.07883707488254,Delaware,DE00009
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,338075.2921768516,39.69865810297124,-75.67449368174294,Delaware,DE00020
Ocean View,,19970,,,Bethany Bay Golf Club,,,2379031,+1 302-539-3833,https://www.bethany-bay.com/pages/golf.html,,,,,,,,,,,,multipolygon,166219.9182512407,38.570777624902625,-75.10340133053657,Delaware,DE00005
,,,,,American Classic Golf Club,,,,,,,,,,,,,,,,,,133624.41405725115,38.735145084305344,-75.14502207386873,Delaware,DE00033
,,,,,Dover Par 3 & Driving Range,,,,,,,,,,,,,,,,,,122764.11376019329,39.15022084550274,-75.5858501076019,Delaware,DE00045
Milton,22222,19968,DE,Saw Mill Road,Stenger's Shamrock Farms Par 3,,,,+1-302-684-1808,https://www.shamrockpar3golf.com/,,yes,,,,,,,,,,,106127.19530476286,38.78122140696306,-75.36650760326543,Delaware,DE00035
Lewes,34578,19958,DE,Pinnacle Road,Midway Par 3,,,,+1 302-645-7955,,,,,,,,,,,,,,88140.46562942215,38.74551647575287,-75.14594627848989,Delaware,DE00032
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,42860.56423754513,39.69929487821567,-75.66640240364417,Delaware,DE00021
