gnis:feature_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,addr:state,linncounty:objectid,alt_name,old_name,source,name:etymology,sport,fixme,golf:course,operator,email,ele,opening_hours,facebook,note,wikidata,fee,description,wikipedia,access,holes,addr:housename,addr:country,building,building:levels,type,landuse,area_m2,lat,lon,province,gcid
1995287,Whispering Creek Golf Club,Sioux City,6500,51106,Whispering Creek Drive,+1 712-276-3678,https://whisperingcreekgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,grass,944135.9819665728,42.45876927991816,-96.3142304656416,Iowa,IA00008
1949625,Bent Tree Golf Club,Council Bluffs,23579,51503,Highway 6,+1 712-566-9441,https://www.benttreegolfcb.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,943245.865407983,41.277573083043116,-95.73582814122148,Iowa,IA00011
,Beaver Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,938411.6693288246,41.718524687753565,-93.77024625167562,Iowa,IA00047
1970006,The Legacy Golf Club,Norwalk,400,50211,Legacy Parkway,+1 515-287-7885,https://thelegacygolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,931635.8130451175,41.48844126460028,-93.68897731022147,Iowa,IA00254
2001309,Timberline Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892921.6472861994,42.385139098739906,-90.88170890316081,Iowa,IA00145
,Pheasant Ridge Golf Course,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,891619.3011172564,42.53107568625982,-92.48721424466787,Iowa,IA00111
,Pheasant Ridge Golf Course,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,891619.3011172564,42.53107568625982,-92.48721424466787,Iowa,IA00112
2000737,The Oaks Golf Course,Clinton,3330,52732,Harts Mill Road,+1 563-242-7032,http://www.clintoncc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,880812.3323192627,41.832398920099145,-90.27314644030348,Iowa,IA00300
,The Ridge,Sioux Center,2595,51250,Ridge Road,+1 712-722-4866,https://www.siouxcenterridge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,879757.545706832,43.05062945485526,-96.16590980365291,Iowa,IA00029
465664,Davenport Country Club,Pleasant Valley,25500,52767,Valley Drive,+1 563-332-4050,https://davenportcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,870269.3184570725,41.58203034312217,-90.40853441613243,Iowa,IA00288
2047615,Copper Creek Golf Course,Pleasant Hill,4825,50327,Copper Creek Drive,+1 515-263-1600,https://golfcoppercreek.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,863887.593476739,41.60739886994998,-93.51654604280355,Iowa,IA00013
,Gardner Golf Course,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,858394.9326523778,42.008364951071336,-91.55553423826767,Iowa,IA00073
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843798.2698107027,43.495571658286714,-96.50150206501755,Iowa,IA00383
,Otter Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,839985.021322554,41.76848380415744,-93.57548812453754,Iowa,IA00002
,Glen Oaks Country Club,West Des Moines,1401,50266,Glen Oaks Drive,+1 515-221-9000,https://www.glenoakscc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,834247.6947627703,41.55064066792324,-93.78165962329359,Iowa,IA00033
,Wildcat Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,826739.8499569799,42.087785674203865,-91.8786608575596,Iowa,IA00023
,Lake Panorama National Golf Course,Panora,5071,50216,Clover Ridge Road,800-879-1917,https://www.lakepanoramanational.com/lake-panorama-national-golf-course/,,,,,,,multi,,,,,,,,,,,,,,,,,,,multipolygon,,821859.3593370236,41.71465809835928,-94.38884803771008,Iowa,IA00012
2002462,Brown Deer Golf Club,Coralville,1900,52241,Country Club Drive,319-248-9300,https://www.coralville.org/index.aspx?NID=510,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,819126.5827289213,41.701377676155246,-91.56855516547553,Iowa,IA00104
1981601,Bos Landen Golf Club,Pella,2411,50219,Bos Landen Drive,800-539-1458,http://boslanden.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,812407.482583731,41.39312263311016,-92.9525254444775,Iowa,IA00019
1949654,Fox Run Golf Club,Council Bluffs,3001,51501,MacIneery Drive,+1 712-366-4653,http://foxrungc.com/,,,,,bing,,,,,,,,,,,,,,,,,,,,,multipolygon,,807805.8392579329,41.207795565467244,-95.89167768389517,Iowa,IA00044
1996362,River Valley Golf Course,Adel,22927,50003,Valley View Trail,+1 515-993-4029,http://www.rivervalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,801911.3322603691,41.64965723566472,-94.0287685189933,Iowa,IA00018
,Wapsipinicon Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797701.2994394863,42.094261713945016,-91.28193347757139,Iowa,IA00397
,Gates Park Golf Course,Waterloo,820,50703,East Donald Street,319-291-4485,https://www.golfgatespark.com/,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,791336.935220542,42.52360951690417,-92.32336247972788,Iowa,IA00119
,Sioux City Country Club,Sioux City,4001,51104,Jackson Street,+1 712-277-3821,https://www.sccountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,790684.8594350407,42.53943036360586,-96.40294472436976,Iowa,IA00126
,Cedar Rapids Country Club,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,786717.9597745525,42.002162441038166,-91.62399442730676,Iowa,IA00065
1995097;456637,Flint Hills Golf Course,Burlington,12842,52601,102nd Avenue,+1 319-752-2018,http://www.flinthillsgolf.com/,,,,,,,,,,,,200,,,,,,,,,,,,,,,,774122.3383763366,40.86475399746786,-91.12186430848968,Iowa,IA00275
2002135,South Hills Golf Course,,,,,319-291-4268,http://www.golfsouthhills.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,769248.6655017958,42.438954869906624,-92.3239016191165,Iowa,IA00230
1983359,Fox Ridge Golf Course,Dike,355,50624,Country Club Lane,+1 319-989-2213,https://www.golffoxridge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,768905.6272000129,42.46666648204093,-92.61203591193178,Iowa,IA00009
,Prairie Links Golf Course & Event Center,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,768735.7835955503,42.70371424321375,-92.464345876676,Iowa,IA00301
465313,Burlington Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768318.4928899442,40.83999249586542,-91.11940521912754,Iowa,IA00271
2047464,Pleasant Valley Golf Course,Iowa City,4390,52240,Southeast Sand Road,+1 319-337-2622,https://www.pleasantvalleyic.com/golf-course/,,,,,,,,,,,,,,,,,,,,,,,,,,,,768316.7834128871,41.61316656142257,-91.51486909604559,Iowa,IA00280
2047576,Toad Valley Golf Course,Pleasant Hill,237,50327,Northeast 80th Street,+1 515-967-9575,https://toadvalleygolfcourse.com/,,,,,,,,,,,,,sunrise-sunset,,,,,,,,,,,,,,,766645.0700860177,41.59021097108849,-93.43592258779917,Iowa,IA00261
,Fort Dodge Country Club,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,763973.540263858,42.50623668664993,-94.2108643307288,Iowa,IA00163
,Hyperion Field Club,Johnston,7390,50131,Northwest Beaver Drive,+15152784711,https://www.hyperionfc.com/,IA,,,,,,,,,,,,,,,,,,,private,,,US,,,multipolygon,,758652.4758498314,41.693763697369576,-93.70527968335972,Iowa,IA00024
2046501,Glynns Creek Golf Course,Long Grove,19251,52756,290th Street,+1 563-328-3284,https://www.scottcountyiowa.com/conservation/glynnscreek.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,754854.754552709,41.7227861681499,-90.51885340493942,Iowa,IA00293
,Veenker Memorial Golf Course,Ames,1925,50011,Stange Road,+1 515-294-6727,https://www.veenkergolf.com/,,,,,,,,,,,,,,,,Q7918093,,,,,,,,,,,,749983.1700903785,42.03853780074644,-93.65086839709004,Iowa,IA00052
2046357,Emeis Golf Course,Davenport,4500,52806,West Central Park Avenue,+1 563-326-7825,https://www.cityofdavenportiowa.com/department/division.php?structureid=374,,,,,,,,,,,,,,,,,,,,,,,,,,,,739807.2067518999,41.54851400917194,-90.64380954272757,Iowa,IA00291
2046357,Emeis Golf Course,Davenport,4500,52806,West Central Park Avenue,+1 563-326-7825,https://www.cityofdavenportiowa.com/department/division.php?structureid=374,,,,,,,,,,,,,,,,,,,,,,,,,,,,739807.2067518999,41.54851400917194,-90.64380954272757,Iowa,IA00292
,Ellis Golf Course,Cedar Rapids,1401,52405,Zika Avenue NW,,,IA,26,,,,,,,,,,,,,,,,,,,,,,,,,,734624.971750113,41.998291036866576,-91.6956021860795,Iowa,IA00071
1995557;457112,Green Valley Golf Club,,4300,,Donner Avenue,+1 712-252-2025,http://www.greenvalleyfloyd.org/,,,,,,,,,18_hole,,,333,,,,,,,,,,,,,,,,732370.6447195689,42.42562349251602,-96.35670243624831,Iowa,IA00183
2000513,Muscatine Municipal Golf Course,Muscatine,1820,52761,Highway 38,+1 563-263-4735,http://www.muscatineiowa.gov/index.aspx?NID=171,,,,,,,,,,,,,,,,,,,,,,,,,,,,729478.7587815847,41.47535217166045,-91.04447558384396,Iowa,IA00279
,Briarwood Club of Ankeny,,,,,,https://www.briarwoodclubofankeny.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,724652.0044132838,41.75754496360182,-93.5895256770031,Iowa,IA00001
,Sunnyside Country Club,Waterloo,1600,50701,Olympic Drive,319-234-1707,https://www.sunnysidecountryclub.com/,,,,,Bing,,golf,,,,,,,,,,,,,,,,,,,,,715650.3078986879,42.46087426330337,-92.38504894030956,Iowa,IA00113
,Briggs Woods Golf Course,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,713075.9845655222,42.42744459000605,-93.80177924729047,Iowa,IA00109
,Jester Park Golf Course,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,multipolygon,,708680.9209853256,41.781940187795726,-93.78493762935823,Iowa,IA00003
,Geneva Golf and Country Club,Muscatine,3100,52761,Bidwell Road,+1 563-263-8942,https://www.genevacc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,705686.1991833991,41.448899326141564,-91.05341108905473,Iowa,IA00032
,Honey Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705243.5769522398,42.020644541122316,-93.90495590381556,Iowa,IA00317
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693543.4646391304,41.12124717945884,-91.22631044320025,Iowa,IA00340
,Waveland Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693324.1781069688,41.596534478656984,-93.68871980038955,Iowa,IA00061
,Highland Park Golf Course,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,693001.1945566796,43.174131851754225,-93.18326317209656,Iowa,IA00162
,Saddleback Ridge Golf Course,Solon,4646,52333,180th Street Northeast,+1 319 624 1477,https://www.saddlebackridgegolf.com/,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,691369.8945200621,41.80582281131398,-91.4783529638826,Iowa,IA00172
1907741,Woodlyn Hills Golf Course,Milford,2366,51351,220th Street,+1 712-338-9898,http://www.woodlynhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,691153.4179620099,43.3345303820182,-95.12020089248527,Iowa,IA00217
2001310,Thunder Hills Country Club,Peosta,16682,52068,Thunder Hills Drive,+1 563-556-3363,https://thunderhillscc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,685001.1772482473,42.450976314367544,-90.81418469690873,Iowa,IA00010
,Beaver Hills Country Club,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,684147.8408878907,42.566171208489635,-92.52081303339325,Iowa,IA00367
,Buena Vista University Golf Course at Lake Creek,Storm Lake,1,50588,Clubhouse Drive,,,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,679293.573441962,42.66584468474507,-95.26436784617412,Iowa,IA00390
2047850,Terrace Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677155.750566056,41.64047463667345,-93.43072078931846,Iowa,IA00117
2046449,Crow Valley Golf Club,Davenport,4315,52807,East 60th Street,+1 563-359-1676,https://www.crowvalleygolfclub.com/,,,,,,,,,,,,,,,,Q15830682,,,,,,,,,,multipolygon,,677138.0977978796,41.584392610264636,-90.50326035014119,Iowa,IA00020
,Blank Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670799.5813359539,41.51711547677135,-93.61878058176298,Iowa,IA00086
,Talons of Tuscany Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665339.2878158751,41.75316526727554,-93.57561296292737,Iowa,IA00064
2045961,Red Carpet Golf Course,Waterloo,1409,50703,Newell Street,319-235-1242,https://redcarpetgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,659963.3917708265,42.51678182004927,-92.31739206144435,Iowa,IA00151
,Landsmeer Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656144.7935316372,43.00820357580646,-96.0431453256028,Iowa,IA00079
,Meadows Golf Club,,15766,,Clover Lane,,,,,,,,,,,,City of Asbury,,,,,,,,,,,,,,,,,,654927.8678485877,42.50965561907985,-90.80078341175214,Iowa,IA00376
,Coldwater Golf Links,Ames,1400,50010,South Grand Avenue,+15152334664,https://www.coldwatergolf.com/,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,654276.7631918996,42.01269021254009,-93.62148201971543,Iowa,IA00053
,Oskaloosa Golf,Oskaloosa,2214,52577,South 11th Street,+1 641-676-4653,https://www.oskaloosagolf.com/,IA,,Oskaloosa Golf Course,Elmhurst Country Club,Bing,,,,,,,,,,,,,,,,,,,,,,,651911.7887591413,41.27281096456523,-92.63327884038429,Iowa,IA00331
1981169,Sheaffer Memorial Golf Park,Fort Madison,1760,52567,308th Avenue,+1 319-528-6214,https://www.sheaffergolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,649559.6778872304,40.701658871967915,-91.31345664272737,Iowa,IA00282
,Cedar Pointe Golf Course,Boone,601,50036,South Cedar Street,+1 515 432 6002,https://www.cedarpointegolfcourse.com/,,,,Boone Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,multipolygon,,646638.4073839013,42.046693402807996,-93.87133674851917,Iowa,IA00022
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646199.4341932794,41.29147267373093,-95.92589959300525,Iowa,IA00372
1969960,Shady Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644561.2475971199,41.375476845382714,-93.45778637211532,Iowa,IA00260
1975533,Cedar Creek Golf Course,Ottumwa,13120,52501,Angle Road,+1-641-683-0646,http://www.cedarcreekgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,644136.1049366094,41.07984457812125,-92.4154750838766,Iowa,IA00268
,Lakeside Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644028.3747029747,42.58272658058186,-94.18700172298742,Iowa,IA00381
,Twin Pines Golf Course,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,641141.4106309531,42.02478264339729,-91.69688911500563,Iowa,IA00036
,Red Oak Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640376.3783556408,41.012598061296885,-95.18949514222356,Iowa,IA00322
,Jones Golf Course,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,638500.5933736678,41.94654331426569,-91.64880305900826,Iowa,IA00074
1945293,Cedar Bend Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634315.8670075224,43.04201878526478,-92.63941441145272,Iowa,IA00154
,Indianola Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,624821.9547914107,41.38076479143286,-93.57025868371677,Iowa,IA00035
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,617712.422674577,43.117566284825976,-95.14711253178835,Iowa,IA00006
1907736,Emerald Hills Golf Club,Arnold Parks,808,51331,US Highway 71,+1 712-332-7100,https://golfemeraldhills.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,617545.1286950118,43.35754243943786,-95.13621046478087,Iowa,IA00198
2046407,Duck Creek Golf Course,Davenport,3000,52803,East Locust Street,+1 563-326-7824,https://www.cityofdavenportiowa.com/department/division.php?structureid=375,,,,,,,,,,,,,,,,,,,,,,,,,,,,615363.048870175,41.5437144871915,-90.52598746997334,Iowa,IA00290
2046407,Duck Creek Golf Course,Davenport,3000,52803,East Locust Street,+1 563-326-7824,https://www.cityofdavenportiowa.com/department/division.php?structureid=375,,,,,,,,,,,,,,,,,,,,,,,,,,,,615363.048870175,41.5437144871915,-90.52598746997334,Iowa,IA00289
,Wakonda Club,Des Moines,3915,50321,Fleur Drive,+1 515-285-4962,https://www.wakondaclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,611780.090986096,41.551658982752386,-93.64005519385333,Iowa,IA00081
,American Legion Golf Course,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,610276.6115298497,42.032107140189126,-92.92717480347024,Iowa,IA00087
,Carroll Municipal Golf Course,Carroll,2266,51401,North Main Street,+1 712-792-9190,https://www.cityofcarroll.com/index.php/departments/parks-a-recreation/municipal-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,606613.7537228324,42.08745390461538,-94.86434170448192,Iowa,IA00176
,Lincoln Valley Golf Course / City of State Center,state center,1538,50247,235th st,,,IA,,,,,,golf,,,City of State Center,,,,,,,,,,,,,,,,,,598297.0598898598,42.01158817878941,-93.12170481832237,Iowa,IA00302
,Ames Golf & Country Club,Ames,5752,50010,George Washington Carver Avenue,+1 515-232-8334,https://www.amesgolfcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,595617.5898399303,42.07447117137482,-93.65401983625421,Iowa,IA00093
,Legend Trail Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594636.942172383,42.57300359523349,-92.76418968867347,Iowa,IA00318
2000379,Westwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,593496.780862122,41.69513841376395,-93.09634290287127,Iowa,IA00034
,Dubuque Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591737.1860598017,42.484839545373895,-90.68491742830653,Iowa,IA00056
,Dodge Riverside Golf Club,Council Bluffs,2,51501,Harrahs Boulevard,+1 712-328-4660,https://www.councilbluffs-ia.gov/index.aspx?NID=255,IA,,,Dodge Park Golf Course,bing,,,,,,,,,,,,,,,,,,,,,,,591159.8376231331,41.25569904541993,-95.91246339095865,Iowa,IA00058
,Bunker Hill Golf Course,,,,,,,,,,,,,,,,City of Dubuque,,,,,,,,,,,,,,,,,,587716.8090120971,42.511123427991365,-90.69808263478254,Iowa,IA00057
,Majestic Hills Golf Course,Denison,2505,51442,Boulders Drive,+1-712-263-5194,https://majestichillsgolf.com/,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,576574.3529199807,42.00240180526169,-95.34140338362158,Iowa,IA00333
2046465,Palmer Hills Golf Course,Bettendorf,2999,52722,Middle Road,+1 563-332-8296,https://palmerhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,575761.4221895761,41.54554707606385,-90.49263978759706,Iowa,IA00296
2046465,Palmer Hills Golf Course,Bettendorf,2999,52722,Middle Road,+1 563-332-8296,https://palmerhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,575761.4221895761,41.54554707606385,-90.49263978759706,Iowa,IA00295
,Big Rock Country Club,,,,,,,,,,,"Bing, http://www.bigrockcountryclub.com/",,,,,,,,,,,,,,,,,,,,,,,571984.4451371311,42.844641326548924,-91.78198296392475,Iowa,IA00141
,Irv Warren Memorial Golf Course,Waterloo,1000,50701,Fletcher Avenue,319-234-9271,http://www.golfirvwarren.com/,,,,,Bing,,,,18_hole,,,,,,,,,,,,,,,,,,,571843.5070455599,42.479928574003964,-92.37202131022002,Iowa,IA00116
,Bear Creek Golf Course,,,,,,,,,,,"Bing, http://www.bearcreekfc.com/",,,,,,,,,,,,,,,,,,,,,,,569500.3026192926,43.253262285953895,-93.62693767190507,Iowa,IA00134
1999909,Manchester Golf and Country Club,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,multipolygon,,563654.3237340612,42.46524387466806,-91.43429274420707,Iowa,IA00007
,Waverly Municipal Golf Course,Waverly,,50677,,+1 319 352 1530,https://www.waverlygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,563288.7325136977,42.715594864247265,-92.48047463316084,Iowa,IA00078
,Waverly Municipal Golf Course,Waverly,,50677,,+1 319 352 1530,https://www.waverlygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,563288.7325136977,42.715594864247265,-92.48047463316084,Iowa,IA00077
,Springbrook Country Club,,,,,,https://www.sbccgolf.club/,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,multipolygon,,562419.9491683613,41.8376376902087,-90.5531610783875,Iowa,IA00030
,Woodland Hills Golf Course,Des Moines,620,50313,Northeast 66th Avenue,+1 515-289-1326,https://www.golfwoodlandhills.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,561705.8079864586,41.681047768619784,-93.60901279672227,Iowa,IA00031
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558085.2746620389,43.31036658249038,-91.73649732290251,Iowa,IA00129
,Spencer Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554662.3456136918,43.15229726803355,-95.1762587574376,Iowa,IA00100
,Okoboji View Golf Course,Spirit Lake,1665,51360,Highway 86,+1 712-337-3372,https://www.okobojiview.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,542639.169858995,43.409443401666465,-95.18586381005082,Iowa,IA00101
,Elmwood Country Club,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,535398.0940073198,42.02355296120055,-92.93415172718174,Iowa,IA00089
,Atlantic Golf & Country Club,Atlantic,102,50022,West 29th Street,+1 712-243-3656,https://www.theagcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,534064.3372425865,41.38635345777136,-95.01877165331123,Iowa,IA00235
,Airport National Golf Course,Cedar Rapids,3001,52404,Wright Brothers Blvd East,+1-319-848-4500,https://www.airportnationalpublicgolf.com/,IA,28,,,,,,,,,,,,,,,,,,,,,,,,,,522664.787699128,41.887054661940816,-91.62324492986072,Iowa,IA00072
,American Legion Country Club,Shenandoah,1800,51601,South Elm Street,+1 712 246 3308,https://www.shenandoahiowagolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,518714.0648433367,40.74659037858031,-95.37530215043648,Iowa,IA00354
,American Legion Country Club,Shenandoah,1800,51601,South Elm Street,+1 712 246 3308,https://www.shenandoahiowagolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,518714.0648433367,40.74659037858031,-95.37530215043648,Iowa,IA00355
,Elmcrest Golf & Country Club,,,,,,,,23,,,Bing,,,,,,,,,,,,,,,,,,,,,,,516989.958325978,42.018101296329576,-91.64920573952452,Iowa,IA00068
,Council Bluffs Country Club,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,515137.66910416324,41.216364085879306,-95.84891916473109,Iowa,IA00106
,Carroll Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511645.5262887129,42.058864119013585,-94.82624634729045,Iowa,IA00144
