name,website,addr:city,addr:state,addr:housenumber,addr:postcode,addr:street,operator,opening_hours,access,phone,source,wikidata,sport,area,addr:country,contact:phone,wikipedia,description,start_date,landuse,ref,golf:course,golf:par,fixme,distance,par,golf,note,type,ele,gnis:feature_id,facebook,area_m2,lat,lon,province,gcid
McCabe Golf Course,https://www.nashville.gov/Parks-and-Recreation/Golf-Courses/McCabe-Golf-Course.aspx,Nashville,TN,100,37209,46th Avenue North,,,,615-862-8491,,,,,,,,,,,,,,,,,,,,,,,865973.8275875347,36.13877585653762,-86.8471280667796,Tennessee,TN00111
Oak Ridge Country Club,https://oakridgecountryclub.org/,Oak Ridge,TN,150,37830,Gum Hollow Road,,,,,,,,,US,+1 865-482-2436,,,,,,,,,,,,,,,,,860286.8292270467,35.97605043981118,-84.32942435152586,Tennessee,TN00112
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859846.4431591051,35.44308383101217,-86.7528492862081,Tennessee,TN00221
Willow Creek Golf Club,https://www.willowcreekgolf.com/,Farragut,TN,12300,37934,Kingston Pike,,,,+1-865-675-0100,,,,,,,,,,,,,,,,,,,,,,,854107.6041692032,35.86179391085206,-84.18948130684258,Tennessee,TN00140
Gaylord Springs Golf Links,https://www.gaylordsprings.com/,Nashville,,18,37214,Springhouse Lane,,,,+1 615 458 1730,,,,,,,,,,,,,,,,,,,,,,,853259.6045292155,36.2192836182322,-86.68020568071833,Tennessee,TN00171
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853148.9301340693,36.022392836725835,-86.90039006687742,Tennessee,TN00149
"Woodlake Lodge, Golf, and Country Club",https://www.woodlakegolf.com/,Tazewell,,330,37879,Woodlake Boulevard,,,,+1 877 423 4653,,,,,,,,,,,,,,,,,,,multipolygon,,,,852834.5889319684,36.400049028755895,-83.55970063303278,Tennessee,TN00022
Westhaven Golf Club,http://www.privategolfcoursefranklintn.com/,Franklin,,4000,37064,Golf Club Lane,,,,+1 615 224 2990,,,,,,,,,,,,,,,,,,,,,,,851068.6445123302,35.935780273388154,-86.94117115274746,Tennessee,TN00122
Brentwood Country Club,http://bcctn.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841987.4045404034,36.02006484601018,-86.8029043455452,Tennessee,TN00147
Cumberland Cove Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,839647.646205786,36.08277679531003,-85.22824647212796,Tennessee,TN00028
Bent Tree Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831185.6372093031,35.61843841867797,-88.7737636253756,Tennessee,TN00086
Centennial Golf Course,,,,,,,City of Oak Ridge,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,831070.1957529126,36.01195393180732,-84.17944677757878,Tennessee,TN00041
Three Ridges Golf Course,,knoxville,TN,6101,37918,Wise Springs Road,Three Ridges,11:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,823410.3214241057,36.086798058378974,-83.8447391865593,Tennessee,TN00157
Three Ridges Golf Course,,knoxville,TN,6101,37918,Wise Springs Road,Three Ridges,11:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,823410.3214241057,36.086798058378974,-83.8447391865593,Tennessee,TN00158
Egwani Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,818250.2073828485,35.832111150625416,-83.94842474154412,Tennessee,TN00045
Ridgefields Golf & Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,810522.9605148723,36.544369899717175,-82.60643733000444,Tennessee,TN00042
Council Fire Golf Club,https://councilfire.net/,Chattanooga,,100,37421,Council Fire Drive,,,,+1-423-499-6300,,,,,,,,,,,,,,,,,,,multipolygon,,,,802959.2729907248,34.986573677237054,-85.16616382798142,Tennessee,TN00014
Forest Crossing Golf Club,http://www.forrestcrossing.com/,Franklin,TN,750,37064,Riverview Drive,,,,+1 615 794 9400,,,,,,,,,,,,,,,,,,,,,,,799896.8161576724,35.89253376951205,-86.83974387473918,Tennessee,TN00121
Fall Creek Falls Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789069.9654004853,35.648711978922925,-85.35643712908148,Tennessee,TN00172
Bear Trace Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787887.312868257,35.205406484544895,-86.26064513728188,Tennessee,TN00189
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785982.3863352976,35.756742970043625,-84.3663706476286,Tennessee,TN00211
Covington Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781031.03114185,35.53533523718105,-89.63036769969358,Tennessee,TN00124
Fox Den Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,778690.6029629566,35.87607381571944,-84.19026804175023,Tennessee,TN00035
Dead Horse Lake Golf Course,https://deadhorselake.com/,Knoxville,TN,555,37923,Frank Gardner Lane,,,,+1-865-693- 5270,esri_USDOT_Tennessee,,,,,,,,,,,,,,,,,,multipolygon,,,,778657.0820623878,35.91978843586912,-84.10965934242812,Tennessee,TN00038
Southern Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771085.770088856,36.106125528501124,-85.60205024345846,Tennessee,TN00187
Tri Cities Golf Club,https://www.tricitiesgc.com/,Blountville,,2354,37617,Feathers Chapel Road,,,,423-323-4178,,,,,,,,,,,,,,,,,,,,,,,769785.6743295832,36.5172651305302,-82.30116683022536,Tennessee,TN00114
Richland Country Club,https://www.richlandcc.com/,Nashville,TN,1,37215,Club Drive,,,,+1-615-370-0030,,,,,,,,,,,,,,,,,,,,,,,762118.3493183057,36.04862164075656,-86.82173761997778,Tennessee,TN00083
Ted Rhodes Golf Course,https://www.nashville.gov/departments/parks/golf-courses/ted-rhodes-golf-course,Nashville,TN,1901,37208,Ed Temple Blvd,,,,+1-615-862-8463,Bing,Q49569450,,,,,,,,,,,,,,,,,multipolygon,123,1324782,,758206.2867732974,36.187870927095226,-86.8247329942875,Tennessee,TN00058
Holston Hills Country Club,,,,,,,,,,,,Q5884473,,,,,en:Holston Hills Country Club,,,,,,,,,,,,,,,,757434.814889644,35.9926058188649,-83.84151560974692,Tennessee,TN00210
The Links at Pine Hill Golf Course,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/LinksatPineHill.aspx,Memphis,,1005,,Alice Avenue,,,,+1-901-775-9434,,,,,,,,,,,,,,,,,,,,,,,753224.2173324702,35.09011122316037,-90.03051282576689,Tennessee,TN00068
Old Fort Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753008.4664581812,35.85244295134031,-86.41795933159666,Tennessee,TN00104
The Links at Fox Meadows,http://www.cityofmemphis.org/Government/ParksNeighborhoods/GolfCourses/LinksatFoxMeadows.aspx,Memphis,,3064,38115,Clarke Rd.,,,,,,,,,,,,,,,,,,,,,,Golf Course,,,,,748512.1812652451,35.0663855972779,-89.87222239787073,Tennessee,TN00099
Avalon Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,744006.3678224402,35.85808422253004,-84.25695815957347,Tennessee,TN00033
The Golf Club of Bristol,http://countryclubofbristol.com/,Bristol,,6045,37620,Old Jonesboro Road,,,,+1 423-652-1700,,,,,,,,,,,,,,,,,,,,,,,735964.0846557018,36.588793413222,-82.12081254703727,Tennessee,TN00115
The Links at Audubon,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/TheLinksatAudubon.aspx,Memphis,,4160,,Park Avenue,City of Memphis,07:00-19:00,,(901) 683 -6941,,,,,,,,,,,,,,,6345 yds,70,,,,,,,735388.9494873087,35.111991626192506,-89.91919663777948,Tennessee,TN00065
Cedar Crest Golf Club,https://www.cedarcrestgolfclub.com/,Murfreesboro,,7972,37129,Mona Road,,,,615-849-7837,,,,,,,,,,,,,,,,,,,,,,,735089.7414447339,36.00580045608262,-86.41527143080657,Tennessee,TN00103
Chatata Valley Golf Club,,Cleveland,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728811.2795144924,35.16772289388346,-84.78459284489985,Tennessee,TN00190
The Crossings Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728780.9281135668,36.36004447258449,-82.60001091867014,Tennessee,TN00233
Irene Golf & Country Club,https://www.irenegolfcc.com/,Memphis,,8141,38125,Irene Boulevard,,,,901-752-1521,,,,,,,,,,,,,,,,,,,multipolygon,,,,726146.0367742314,35.01616174231614,-89.78770037232981,Tennessee,TN00015
The Country Club,,Morristown,TN,1635,37814,Doyal Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,723764.024908978,36.21572005121642,-83.32593782313113,Tennessee,TN00180
Belle Meade,https://bellemeadecc.org/,Nashville,TN,815,37205,Belle Meade Boulevard,,,,+1-615-385-0150,,,,,,,,,,,,,,,,,,,,,,,723356.407731899,36.09561094875673,-86.86312911724214,Tennessee,TN00175
Moccasin Bend Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721444.1223089178,35.04502799016496,-85.33926659655074,Tennessee,TN00060
Grand Valley Lakes Golf Course,,,,,,,,,private,,Bing,,,,,,,,,,,,,,,,,,,,,,712529.4145092776,35.1553983679072,-88.99794282909487,Tennessee,TN00186
Redtail Mountain,https://www.redtailmountain.com/golf,Redtail Mountain,,300,37683,Clubhouse Lane,,,,+1 423 727 7600,,,,,,,,,,,,,,,,,,,multipolygon,,,,709471.557188419,36.42688360657969,-81.78739121862527,Tennessee,TN00021
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704202.99492742,35.1553840707613,-85.20700417511769,Tennessee,TN00087
Link Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703154.5358901988,36.09659763613519,-82.85992757968114,Tennessee,TN00200
Pickwick Landing State Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702401.2891241093,35.04754018554637,-88.2421105187618,Tennessee,TN00188
Elizabethton Municipal Golf Course,,Elizabethton,TN,185,37643,Buck Van Huss Road,City of Elizabethton,Mo-Su 08:30-19:00,,,,,,,,,,,,,,,,,,,,,,,,,699230.3669876258,36.32039751815061,-82.2665719482683,Tennessee,TN00205
Country HIlls,https://chillsgc.com/,Hendersonville,TN,1501,37075,Saundersville Rd,,,,+1-615-824-1100,,,,,,,,,,,,,,,,,,,,,,,694051.7510143752,36.3475867411107,-86.56407568628077,Tennessee,TN00213
Gettysvue Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,692414.0238230271,35.89110913969582,-84.08002252412642,Tennessee,TN00034
Champions Run Golf Course,https://www.championsrun.golf/,Rockvale,TN,14262,37153,Mt. Pleasant Road,,,,+1-615-274-2301,,,,,,,,,,,,,,,,,,,,,,,685889.6793680446,35.7242809277779,-86.58208288565251,Tennessee,TN00227
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,681188.0609240645,35.14166367654925,-85.0653323875973,Tennessee,TN00018
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,673670.2227197613,36.339055101549356,-86.50534781887521,Tennessee,TN00056
Hillwood Country Club,https://hillwoodcc.org/,Nashville,,6201,37205,Hickory Valley Road,,,,615-352-6591,,,,,,,,,,,,,,,,,,,,,,,672965.6384602676,36.122105142857016,-86.86706693141267,Tennessee,TN00110
Nashboro Golf Club,https://www.nashborogolf.com/,Nashville,TN,1101,37217,Nashboro Boulevard,,,,+1 615 367 2311,,,,,,,,,,,,,,,,,,,multipolygon,,,,672407.4084104737,36.08850870002432,-86.63654376300713,Tennessee,TN00026
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669116.868958109,35.509467593730236,-88.75876965827341,Tennessee,TN00092
Long Hollow Golf Course,https://www.gallatintn.gov/485/Golf,Gallatin,TN,1080,37066,Long HollowPike,City of gallatin,,,+1-615-451-3120,,,,,,,,,,,,,,,,,,,,,,,667287.949852713,36.389076153390256,-86.48455768290746,Tennessee,TN00229
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666052.0856459967,35.45814758935864,-86.41176564094324,Tennessee,TN00101
Clarksville Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648276.199206552,36.52924252755959,-87.28950272435661,Tennessee,TN00240
Oak Hills,https://www.oakhillsgolfcoursetn.com/,Greenbrier,TN,1928,37073,Hygeia Rd,,,,+1-615-643-4505,,,,,,,,,,,,,,,,,,,,,,,643805.1747666528,36.404099262959626,-86.80160749008111,Tennessee,TN00098
Ruggles Ferry Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641269.3793137232,36.03730561160342,-83.74893912391435,Tennessee,TN00202
Dandridge Golf & Country Club,,Dandridge,TN,1247,37725,Stonewall Jackson Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,634299.6340402522,36.04143977556775,-83.40759856920091,Tennessee,TN00181
Bent Creek Golf Course,https://www.bentcreekgolf.com/,Gatlinburg,TN,3919,37738,E. Parkway,,,,+1-865-436-3947,,,,,,,,,,,,,,,,,,,multipolygon,,,,633883.3534481544,35.7613083516796,-83.3465574528526,Tennessee,TN00050
Gatlinburg Golf Course,,,,,,,City of Gatlinburg,,,,,,,,,,,,,,,,,,,,,,,,,,624972.3856932822,35.78454312938506,-83.54137578509933,Tennessee,TN00152
Lakeland Golf Course of Baneberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,620940.3360841635,36.04177546827782,-83.2673394678062,Tennessee,TN00043
Quail Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620547.3895688759,35.23728198383597,-89.85301477973807,Tennessee,TN00077
Old Hickory Country Club,https://www.iamoldhickory.com/,Old Hickory,,1904,37138,Hadley Avenue,,,,+1 615 847 3966,,,,,,,,,,,,,,,,,,,,,,,613109.7533193106,36.24835223966417,-86.647499574135,Tennessee,TN00170
Clinchview Golf and Country Club,,Bean Station,TN,970,37708,Highway 11W,Private,,,,local knowledge;streetlevel imagery;gps,,,,,,,"18-hole golf course in Bean Station, Tennessee, U.S.",1969,,,,,,,,,,,,,,611638.3029154799,36.336793223224475,-83.27339324059389,Tennessee,TN00214
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611598.6916695153,35.5440313687462,-86.00325677649217,Tennessee,TN00107
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605196.840433955,35.67485173605431,-88.83892395183743,Tennessee,TN00084
Andrew Johnson Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599498.656223497,36.13218115602738,-82.86525750669522,Tennessee,TN00235
Ironwood Golf Course,https://ironwoodgolfcourse.net/,Cookeville,,3801,38501,Ironwood Road,,,,+1 931 528 2331,,,,,,,,,,,,,,,,,,,,,,,593583.1272531782,36.224090306609675,-85.53043760991088,Tennessee,TN00166
Southwest Point Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,593104.5941565494,35.85732311963411,-84.54122956493642,Tennessee,TN00053
Hunters Point Golf Club,http://hunterspointgolf.com/,Lebanon,,1500,37087,Hunters Point Pike,,,,+1 615 444 7521,,,,,,,,,,,,,,,,,,,,,,,591945.8490542931,36.23353644468387,-86.29622214108323,Tennessee,TN00167
Sweetens Cove Golf Club,,South Pittsburg,TN,2040,37380,Sweetens Cove Road,,,,,,,,,,,,,,,,,,,,,,,,,,,590743.802355588,35.053058476786546,-85.722701848246,Tennessee,TN00212
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,590394.1954678954,35.14116300197544,-85.15325904452163,Tennessee,TN00057
Knoxville Municipal Golf Course,https://www.golfknox.com/,Knoxville,,3925,37921,Schaad Road,City of Knoxville,,,865-691-7143,,,,,,,,,,,,,,,,,,,multipolygon,,,,589527.8227924127,35.995902560785616,-84.04350324657362,Tennessee,TN00037
Pine Oaks Golf Club,htttps://pineoaksgolf.com,Johnson City,TN,1709,37604,Buffalo Road,City of Johnson City,Mo-Su 08:00-20:00,,+14234346250,,,,,,,,,,,,,,,,,,,,,,,582433.9934637166,36.29970191776608,-82.3483487609161,Tennessee,TN00246
Lawrenceburg Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578476.8621650657,35.24107810010416,-87.36480790428259,Tennessee,TN00108
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575574.8744723749,35.14772590803932,-85.21229681982419,Tennessee,TN00228
Riverside Golf Course,http://www.farmlakes.com/,Old Hickory,,640,37138,Old Hickory Boulevard,,,,+1 615 847 5074,,,,,,,,,,,,,,,,,,,,,,,571023.4383520517,36.26910206750852,-86.67416588405213,Tennessee,TN00168
Stones River Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570808.3927242422,35.876006282953696,-86.41681083430817,Tennessee,TN00105
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563419.0357007881,36.231800404198445,-88.7963620921459,Tennessee,TN00224
Brainerd Golf Course,https://chattanooga.gov/general-services/public-golf-courses/brainerd,Chattanooga,,5203,37411,Old Mission Road,,,,423-855-2692,,,,,,,,,,,,,,,,,,,,,,,563002.0722224201,35.018285709855654,-85.21865725851563,Tennessee,TN00078
Golden Eagle Golf Club,https://www.ttugoldeneaglegolfclub.com/,Cookeville,,1500,38501,Country Club Road,Tennessee Technological University,,,+1 931 372 4653,,,,,,,,,,,,,,,,,,,multipolygon,,,,559758.3414324678,36.18418627117015,-85.47045110258068,Tennessee,TN00023
Golden Eagle Golf Club,https://www.ttugoldeneaglegolfclub.com/,Cookeville,,1500,38501,Country Club Road,Tennessee Technological University,,,+1 931 372 4653,,,,,,,,,,,,,,,,,,,multipolygon,,,,559758.3414324678,36.18418627117015,-85.47045110258068,Tennessee,TN00024
