addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,old_name,phone,website,landuse,operator,operator:wikidata,contact:phone,contact:website,sport,url,access,opening_hours,contact:facebook,golf,surface,type,golf:course:holes,golf:course:par,golf:course,golf:par,area_m2,lat,lon,province,gcid
,,,,,Grand Bear Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,784777.8787775683,30.509664493167946,-89.05943669161812,Mississippi,MS00003
Corinth,3303,38834,,Shiloh Ridge Road,Shiloh Ridge Athletic Club,,+1 662 286 8000,https://www.clubatshilohridge.com/,,,,,,,,,,,,,multipolygon,,,,,783367.6186650113,34.96490792202532,-88.48936445843574,Mississippi,MS00023
Hattiesburg,61,39402,MS,Classic Drive,Hattiesburg Country Club,,+1-601-264-5076,https://www.hattiesburgcountryclub.com/,,,,,,,,,,,,,,,,,,780702.0203634073,31.352490782153804,-89.38241786784414,Mississippi,MS00102
Oxford,300,38655,,Fazio Drive,The Country Club of Oxford,,662-234-2866,http://www.thecountryclubofoxford.com/,,,,,,,,,,,,,multipolygon,,,,,771127.5039935764,34.34147606126482,-89.50317636035359,Mississippi,MS00017
Jackson,3200,39213,,Woodrow Wilson Drive,Sonny Guy Golf Course,,601-960-1905,http://www.city.jackson.ms.us/Facilities/Facility/Details/Sonny-Guy-Golf-Course-2,,,,,,,,,,,,,,,,,,763900.3221070281,32.3246623256133,-90.21355263667121,Mississippi,MS00040
Picayune,600,39466,,Country Club Road,Millbrook Golf & Country Club,,+1 601 798 8711,https://millbrookcountryclub.com/,,,,,,golf,,,,,,,multipolygon,,,18_hole,72,749755.3992060809,30.55948412988833,-89.65676696708395,Mississippi,MS00020
,,,,,Unknown Golf Course,,,,,,,,,golf,http://www.quitmancountryclub.com/,,,,,,,,,,,724732.6792404741,32.032856494707076,-88.69801321929317,Mississippi,MS00048
Keesler Air Force Base,500,39534,MS,Ploesti Drive,Bay Breeze Golf Course,,+1 228 377 3832,https://keesler81fss.us/Golf2.html,,Keesler Air Force Base,Q1045919,,,,,,,,,,,,,,,720836.7780793662,30.407828770368173,-88.92983244455485,Mississippi,MS00055
,,,,,Greenville Golf Course,,,,,,,,,,,,,,,,,,,,,720484.3344661029,33.49501810623128,-90.99200772278506,Mississippi,MS00096
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,706296.1980803338,30.38617335807385,-89.35737846302207,Mississippi,MS00005
Columbus,2331,39705,,Military Road,Lion Hills,Columbus Country Club,662-328-4837,https://www.eastms.edu/community/lion-hills/Pages/default.aspx,,,,,,,,,,,,,,,,,,704063.3179023298,33.52431731438719,-88.4054523518267,Mississippi,MS00033
Gautier,3499,39553,MS,Shell Landing Boulevard,Shell Landing,,+1-228-497-5683,https://www.shelllandinggolf.com/,,,,,,,,,,,,,multipolygon,,,,,682682.7197422457,30.387150904407402,-88.67756586151133,Mississippi,MS00010
Starkville,14279,39759,MS,Old Highway 82 East,Mississippi State University Golf Course,,+1 662 325 3028,https://www.golf.msstate.edu/,,Mississippi State University,,,,,,,"Mo,We-Su 8:00-sunset; Tu 11:00-sunset",,,,,,,,,673790.3908225626,33.48257353847009,-88.73596238013613,Mississippi,MS00058
Flowood,2100,39232,,Refuge Boulevard,The Refuge,,+1 601 664 1414,http://www.watermarkgolf.com/refuge/index.htm,,,,,,,,,,,,,,,,,,666694.6067771061,32.31549794936161,-90.09991250676812,Mississippi,MS00053
Madison,118,39110,MS,Caroline Club Circle,Lake Caroline Golf Club,,,,,,,,,,,,,,,,,,,,,665419.5507440477,32.542047642972406,-90.1476939426443,Mississippi,MS00087
Madison,118,39110,MS,Caroline Club Circle,Lake Caroline Golf Club,,,,,,,,,,,,,,,,,,,,,665419.5507440477,32.542047642972406,-90.1476939426443,Mississippi,MS00088
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,663226.9672810131,30.37971474718015,-89.13853891562974,Mississippi,MS00034
Meridian,4300,39307,,Country Club Drive,Northwood Country Club,,+1 601 485 4491,https://www.northwoodcountryclub.org/,,,,,,,,,,,,,multipolygon,,,,,624496.6727280824,32.40395235437126,-88.69224674213307,Mississippi,MS00018
,,,,,Clarksdale Country Club,,+1 662 624 4170,http://clarksdalecountryclub.net/,,,,,,,,,,,,,,,,,,619887.740314506,34.22902842746392,-90.57610820742875,Mississippi,MS00049
Richton,91053,39476,MS,MS 42,Southern Gate Golf Course,,+1 (601) 788-6999,http://www.southerngategolfcourse.com/,,,,+1 (601) 788-6999,http://www.southerngategolfcourse.com/,,,,,,,,,,,,,618018.4950119309,31.355594334446135,-88.97721559713202,Mississippi,MS00077
Madison,414,39110,,Annandale Parkway,Whisper Lake Country Club,,601-853-0202,http://www.randywatkinsgolf.com/golf/proto/randywatkinsgolf2/wl_course/wl_course.htm,,,,,,,,,,,,,multipolygon,,,,,616486.224837044,32.49774401351727,-90.1860288781023,Mississippi,MS00015
Senatobia,,38668,,Country Club Drive,Back Acres Country Club,,+1 662 562 9838,http://backacc.com/,,,,,,,,,,,,,,,,,,615258.4732576368,34.575746982578565,-89.93828029937403,Mississippi,MS00063
Starkville,1800,39760,,South Montgomery Street,Starkville Country Club,,+1 662 323 1733,https://starkvillecc.org/,,,,,,,,,,,,,,,,,,614192.6184806731,33.41410305822525,-88.80523595406703,Mississippi,MS00057
,,,,,Brookhaven Country Club,,,,,,,,,,,,,,,,,,,,,613991.228642923,31.612096245801716,-90.44007521120105,Mississippi,MS00111
,,,,,Green Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,609485.6972228341,33.57902448801855,-88.42315009124599,Mississippi,MS00072
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,609483.7634882221,32.75933711461481,-89.08610474692301,Mississippi,MS00056
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,594900.1136220229,32.02200710708761,-89.21617278516557,Mississippi,MS00098
,,,,,Windance Country Club,,,,,,,,,,,,,,,,multipolygon,,,,,593415.3875106914,30.46163715603754,-89.15914885949374,Mississippi,MS00016
Biloxi,17476,39532,,Dogwood Hills Drive,Dogwood Hills Golf Club,,228-392-9805,https://dogwoodhillsgolfclub.com/,,,,,,,,,,,,,,,,,,584199.4706965266,30.545095860153424,-89.00766036249766,Mississippi,MS00038
Cleveland,601,38732,,Fayette Davis Avenue,Cleveland Country Club,,662-843-2777,http://www.clevelandcc.org/,,,,,,,,,,,,,,,,,,582935.6972993204,33.757335348811004,-90.73852973771672,Mississippi,MS00042
Cleveland,601,38732,,Fayette Davis Avenue,Cleveland Country Club,,662-843-2777,http://www.clevelandcc.org/,,,,,,,,,,,,,,,,,,582935.6972993204,33.757335348811004,-90.73852973771672,Mississippi,MS00041
,,,,,Great Southern Golf Club,,,http://greatsoutherngolf.com/,,,,,,,,,,,,,multipolygon,,,,,579034.4717830494,30.391574898935918,-89.00970505591603,Mississippi,MS00011
,,,,,Greenwood Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,577496.9048843918,33.5072000533072,-90.1544670901987,Mississippi,MS00036
,,,,,Diamondhead Golf Club,,,,,,,,,,,,,,,,multipolygon,,,,,577459.4805029444,30.393817918538645,-89.36545395187322,Mississippi,MS00006
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,552674.5051323283,30.39124807522981,-89.25231225371853,Mississippi,MS00008
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,549029.1572875398,30.436700888921468,-88.97652525343474,Mississippi,MS00032
Pearl,1001,39208,MS,Center City Drive,Pearl Municipal Golf Course,,,,,City of Pearl,,,,,,,,,,,,,,,,542982.310289968,32.27234510907402,-90.10628370438238,Mississippi,MS00067
Grenada,2213,38901,,Country Club Road,Perry Creek Golf & Racquet Club,,+1 662 226 8839,,,,,,,,,,,,,,,,,,,528152.7577294473,33.75615428929266,-89.79790280817348,Mississippi,MS00064
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,multipolygon,,,,,523366.847752369,30.32274076492496,-89.27719314642788,Mississippi,MS00007
Greenville,2476,38701,MS,MS-1,Greenville Golf & Country Club,,,,,,,,,,,,,,,,,,,,,510968.7054061883,33.35080542071068,-91.0357477537482,Mississippi,MS00099
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,510078.0782429624,34.301834511795235,-89.93502619437336,Mississippi,MS00061
,,,,,Saint Andrews Golf Club,,,,,,,,,,,,,,,,multipolygon,18,72,,,502793.6625937903,30.350992200083912,-88.71340837922342,Mississippi,MS00009
,,,,,Gulf Hills,,,,,,,,,,,,,,,,,,,,,496696.7171219967,30.431567953632108,-88.83644403532841,Mississippi,MS00027
,,,,,Ackia Golf Course,,,,grass,,,,,,,,,,,,,,,,,482644.4070978956,33.97387179757543,-88.50725347000892,Mississippi,MS00069
Magee,184,39111,MS,Golf Course Road,Simpson County Golf Course,,,,,,,,,,,,,,,,,,,,,479712.9860931393,31.902190795748485,-89.79530900375624,Mississippi,MS00108
Magee,184,39111,MS,Golf Course Road,Simpson County Golf Course,,,,,,,,,,,,,,,,,,,,,479712.9860931393,31.902190795748485,-89.79530900375624,Mississippi,MS00107
,,,,,Leflore County County Club,,,,,,,,,,,,,,,,,,,,,459980.1857352109,33.530267798793936,-90.27447047564567,Mississippi,MS00037
,,,,,Amory Golf Course,,,,grass,,,,,,,,,,,,,,,,,436483.4850078007,34.00149495530215,-88.47165219937715,Mississippi,MS00071
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,414800.4568906127,33.40548603288633,-90.92237907634849,Mississippi,MS00046
,,,,,Aberdeen Country Club,,,,,,,,,,,,,,,,,,,,,414348.40180256707,33.830391099195325,-88.5713842007143,Mississippi,MS00109
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,405405.25296019024,32.41856471568626,-89.08766302564277,Mississippi,MS00091
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,360340.4095759707,34.73021841376423,-88.91533612798908,Mississippi,MS00045
,,,,,Bel-Air Golf Course Tupelo,,,,,,,,,,,,,,,,,,,,,334675.55244951334,34.2843158042424,-88.7261528305202,Mississippi,MS00095
,,,,,Eagle Ridge Driving Range,,,,,,,,,,,,,,,,,,,,,328107.0768828751,32.24420343178393,-90.41183822425701,Mississippi,MS00113
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,327555.6665234444,30.4206373573143,-89.06159588792683,Mississippi,MS00029
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,327555.6665234444,30.4206373573143,-89.06159588792683,Mississippi,MS00030
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,326006.7521885068,33.88844809848673,-88.9858436821672,Mississippi,MS00060
,,,,,Eagle Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,319036.31809120695,32.24944417818891,-90.40806686810257,Mississippi,MS00114
Prentiss,5429,39474,MS,US-84 W,Prentiss Country Club,,,,,,,,,,,,,,,,,,,,,318462.4321807204,31.62271814884652,-89.84482434316052,Mississippi,MS00100
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,297744.0045646934,33.612263161584245,-88.66523979190302,Mississippi,MS00059
,,,,,Pascagoula Country Club,,,,,,,,,,,,,,,,,,,,,294626.94778666936,30.351814473974336,-88.53454755585585,Mississippi,MS00028
,,,,,Indianola Country Club,,,,,,,,,,,,,,,,,,,,,287936.6566870746,33.4487085420319,-90.67070680813656,Mississippi,MS00047
,,,,,Derrall Foreman Golf Course,,662-846-4585,https://www.deltastate.edu/student-affairs/derrall-foreman-golf-course/,,,,,,,,,,,,,,,,,,284685.8908258798,33.75220090831303,-90.73236617290902,Mississippi,MS00043
,,,,,Country Club of Columbia,,,,,,,,,,,,,https://www.facebook.com/Country-Club-of-Columbia-101496241712566/,,,,,,,,283416.0525723842,31.26609966297504,-89.83083564526079,Mississippi,MS00092
,,,,,Ackia Golf Course,,,,grass,,,,,,,,,,,,,,,,,272224.1949899596,33.9724013806065,-88.50024338689691,Mississippi,MS00068
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,269463.8619927596,33.066367508784296,-89.60857853289062,Mississippi,MS00065
,,,,,Link's Golf Course,,,,,,,,,,,,,,,,,,,,,254427.61462218637,33.44436049336981,-88.8648992588389,Mississippi,MS00050
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,250044.9330880427,34.98930848896876,-89.97585678560041,Mississippi,MS00079
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,233596.38521123526,33.113024161281366,-88.58181953972213,Mississippi,MS00101
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,208319.50224854672,34.356154940213024,-89.58687394386509,Mississippi,MS00076
,,,,,Wise Center Disc Golf Course,,,,,,,,,,,,,,,,,,,,,125070.35059231278,33.446824124598564,-88.79834511360554,Mississippi,MS00105
,,,,,Lake Caroline Golf Club,,,,,,,,,,,,,,,,,,,,,117578.10588807838,32.54700981162957,-90.1494111316578,Mississippi,MS00089
,,,,,Chadwick Lake Disc Golf Course,,,,,,,,,,,,,,,,,,,,,87363.6717985692,33.4639063522855,-88.79047752123206,Mississippi,MS00106
Florence,110,39073,MS,Spell Lane,The Meadows Golf and Driving Range,,+1-601-940-1960,,,,,,,,,,,https://www.facebook.com/florencedrivingrange,driving_range,,,,,,,82422.58275533316,32.134538416872125,-90.09302797821113,Mississippi,MS00112
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,77772.63264719884,30.42018048595759,-89.05698282989583,Mississippi,MS00052
,,,,,Lakeside Disc Golf Course,,,,,,,,,,,,,,,,,,,,,66287.43609022287,33.44141689525325,-88.85913432062252,Mississippi,MS00051
,,,,,Ackia Golf Course,,,,grass,,,,,,,,,,,,,,,,,53434.21982694583,33.97661281431179,-88.50097489872387,Mississippi,MS00070
,,,,,Unknown Golf Course,,,,,,,,,,,private,,,,,,,,,,42934.22040500947,32.13829444336882,-88.72322890442666,Mississippi,MS00078
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,artificial_turf,,,,,,20382.983878796837,32.44820135332294,-90.13902719318625,Mississippi,MS00110
