name,operator,access,golf:course,website,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,contact:facebook,website2,addr:state,phone,gnis:feature_id,sport,fixme,source,email,tourism,golf,landuse,ref,resort,description,old_name,wikidata,wikipedia,wheelchair,addr:county,opening_hours,building,name:zh,name:zh-Hans,ref:fcpa,fax,addr:country,type,cr:blue,cr:red,cr:white,sr:blue,sr:red,sr:white,building:levels,leisure_1,alt_name,contact:email,area_m2,lat,lon,province,gcid
The Country Club of Virginia - Tuckahoe Creek,,,,https://www.theccv.org/,,,,,,,,,,+1 804-287-1330,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,1011907.6616789292,37.57325301932069,-77.62559428537686,Virginia,VA00090
Goodyear Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007798.7455104294,36.552028713321526,-79.37925280816987,Virginia,VA00232
The Olde Farm,,,,https://www.theoldefarm.com/,Bristol,16639,24202,Old Jonesboro Road,,,,,,276-669-8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993498.1384609496,36.63965834116672,-82.07036222103663,Virginia,VA00214
Heron Ridge Golf Club,,,18_hole,https://www.heronridge.com,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,991582.653848748,36.73278793702094,-76.03499174910564,Virginia,VA00077
Heritage Hunt Golf & Country Club,,,,http://www.heritagehunt.net/,Gainesville,6901,20155,Arthur Hills Drive,,,,,VA,+1 703-743-2000,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,991538.5214034191,38.815746047487636,-77.59902588604658,Virginia,VA00041
Battlefield Golf Club,,,,https://www.playthebattlefield.com/,Chesapeake,1001,23456,Centerville Turnpike South,,,,,VA,+1 757-482-4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987770.3704379163,36.6900719156529,-76.17799720396766,Virginia,VA00205
Heritage Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,971043.0947313075,38.44616866359123,-78.90047645365634,Virginia,VA00107
Heritage Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,971043.0947313075,38.44616866359123,-78.90047645365634,Virginia,VA00108
Greenbrier Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,969405.9799251747,36.76808318003752,-76.21610917292432,Virginia,VA00059
1757 Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968990.293404168,39.01318786345729,-77.44683935751091,Virginia,VA00128
Queenfield Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967715.2337480824,37.70598284133703,-77.19330932235779,Virginia,VA00266
Riverfront Golf Club,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,960356.8333369056,36.88140775658348,-76.44652640614491,Virginia,VA00074
Riverfront Golf Club,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,960356.8333369056,36.88140775658348,-76.44652640614491,Virginia,VA00075
Pohick Bay Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960158.5356236557,38.68114252595275,-77.19885573587499,Virginia,VA00139
Chantilly National Golf and Country Club,,,,https://www.cngcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,959373.1558308175,38.86260692110621,-77.46768746376858,Virginia,VA00019
Two Rivers Golf Course,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,958154.1402982306,37.24743099735539,-76.85414613147417,Virginia,VA00057
The Federal Club,,,,https://www.thefederalclub.com/,Glen Allen,13030,23059,Palmers Way,,,,,VA,+1 804-798-4996,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,954945.4690399326,37.76223048937907,-77.59912890807992,Virginia,VA00034
The Federal Club,,,,https://www.thefederalclub.com/,Glen Allen,13030,23059,Palmers Way,,,,,VA,+1 804-798-4996,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,954945.4690399326,37.76223048937907,-77.59912890807992,Virginia,VA00033
Dominion Valley Country Club,,,,https://www.dominionvalleycountryclub.com/,Haymarket,15200,20169,Arnold Palmer Drive,,,,,VA,+1 571-222-6900,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,948785.0926890791,38.835476046810136,-77.64310432383266,Virginia,VA00065
Brambleton Golf Club,NOVA Parks,,18_hole,,Ashburn,42180,20148,Ryan Road,,,,,VA,+1 703-327-3403,,,,,brambleton@nvrpa.org,,,,,,,,,,,,sunrise-sunset,,,,,,,,,,,,,,,,,,948628.3004416313,38.99232749597083,-77.53997771201541,Virginia,VA00161
Independence Golf Club,,,,https://www.independencegolfclub.com/,Midlothian,,23113,Founders Bridge Boulevard,,,,,,+1 804-601-8600,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,948218.7872640542,37.54455524400041,-77.68640985905608,Virginia,VA00038
Army Navy Country Club,,,,http://www.ancc.org/,Fairfax,3315,22030,Old Lee Highway,,,,,,703-359-5825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935600.1760916219,38.85613965450602,-77.27773545427372,Virginia,VA00133
Pete Dye River Course of Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,932321.1367306195,37.14924981625297,-80.5330307893736,Virginia,VA00008
Hobbs Hole Golf Course,,,,https://www.hobbshole.com/,Tappahannock,1267,22560,Hobbs Hole Drive,,,,,,+1-804-443-4500,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,929516.134530632,37.899984901330235,-76.85773248554456,Virginia,VA00045
Piankatank River Golf Club,,,,https://www.prgcgolf.com/,Hartfield,6198,23071,Stormont Road,,,,,,+1 804 776 6516,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,928210.2313403783,37.55178264080229,-76.48142322123289,Virginia,VA00051
The Hollows Golf Club,,,,https://www.thehollows.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927516.0716554073,37.78887657748413,-77.5959062619887,Virginia,VA00242
Ivy Hill Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,922778.4629059358,37.39770187442321,-79.3210985047517,Virginia,VA00093
Belmont Country Club Golf Course,,,,https://www.belmontcountryclub.com/,Ashburn,19661,20147,Belmont Manor Lane,,,,,VA,+1 703-723-5330,2039440,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,921729.521598917,39.066374569432504,-77.49436967859467,Virginia,VA00040
Kiln Creek Country Club,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,920015.0133828018,37.12090436162346,-76.47843696238024,Virginia,VA00064
Stoney Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,910372.3104326943,37.89854342306612,-78.87823664406743,Virginia,VA00113
Roanoke Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902654.9040214662,37.29732848673603,-79.99053285821495,Virginia,VA00131
Roanoke Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902654.9040214662,37.29732848673603,-79.99053285821495,Virginia,VA00132
Brickshire Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,899482.6148566317,37.47104711061048,-76.99508789654945,Virginia,VA00347
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,899125.3840349443,36.74044707732127,-75.97663828617797,Virginia,VA00062
The Country Club of Virginia - James River,,,,https://www.theccv.org/,,,,,,,,,,+1 804-287-1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897230.7693153489,37.57031205901983,-77.61160277124176,Virginia,VA00210
The Golf Club at Lansdowne,,,18_hole,https://golfatlansdowne.com/,Lansdowne,44050,20176,Woodridge Parkway,,,,,VA,+1 703-729-4071,1985654,golf,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,896780.1354074569,39.08125062073473,-77.47491286280783,Virginia,VA00023
Williamsburg National Golf Club - The Yorktown Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,893484.8235557945,37.26366873996922,-76.80460388698313,Virginia,VA00104
Williamsburg National Golf Club - The Yorktown Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,893484.8235557945,37.26366873996922,-76.80460388698313,Virginia,VA00105
Augustine Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892607.5974516053,38.44248863142466,-77.47558126373727,Virginia,VA00138
Waterfront Country Club,,,,https://www.thewaterfrontcc.com/,Moneta,275,24121,Anchor Drive,,,,,VA,,,,,esri/USA_NAD_Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887203.6432739357,37.10071960959003,-79.6640998913015,Virginia,VA00291
Birkdale Golf Club,,,,https://www.acumengolf.com/birkdale/,,,,,,,BirkdaleGolfClub,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,885774.6758177582,37.386457807946165,-77.6672128506761,Virginia,VA00098
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882760.0114482216,37.71042542007509,-77.62113113929641,Virginia,VA00304
Piedmont Club - Haymarket,,,,https://www.clubcorp.com/Clubs/Piedmont-Club-Haymarket,Haymarket,14675,20169,Piedmont Vista Drive,,,,,VA,+1 703-753-5922,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,881361.5349653382,38.82364288512963,-77.62090548320037,Virginia,VA00024
