name,golf:course,golf:par,phone,website,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,golf:par:ladies,gnis:feature_id,addr:unit,note,operator,source,sport,contact:facebook,access,description,golf:links,fixme,disc_golf:course,disc_golf:par,golf,wikidata,phone_number,old_name,type,disused,area_m2,lat,lon,province,gcid
Martindale Country Club,18_hole,71,+1-207-782-1107,https://www.martindalecc.com/,Auburn,527,04210,ME,Beech Hill Road,,581585,,,,,,,,,,,,,,,,,,,690217.4796685567,44.05789268980894,-70.26727325686927,Maine,ME00054
Dunegrass Golf Club,18_hole,72,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,679584.8856586246,43.52582227551092,-70.3974993763356,Maine,ME00005
Fogg Brook Resort Golf Course,18_hole,72,+1 207 355 5515,https://foggbrookresort.com/,Palmyra,147,04965,,Lang Hill Road,,1908646,,,,,,,,,,,,,,,,,,,675768.6684514944,44.85426104225732,-69.34716325797449,Maine,ME00045
Val Halla Golf and Recreation Center,,,+1-207-829-2225,http://valhallagolf.com/,Cumberland,60,04021,,Val Halla Road,,,,,,,,,,,,,,,,,,,,,674827.2436618693,43.797748477867174,-70.2391155887626,Maine,ME00064
Purpoodock Golf Club,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,673758.8267922761,43.60773408033306,-70.24421077653473,Maine,ME00029
Dutch Elm Golf Club,,,+1 207 282-9850,https://dutchelmgolf.com/,Arundel,5,04046,ME,Brimstone Road,,,,,,,,,,,,,,,,,,,,,669022.572221476,43.45971184958087,-70.5487124561843,Maine,ME00097
Portland Country Club,,,+1-207-781-2340,https://www.portlandcountryclub.org/,Falmouth,11,04105,ME,Foreside Road,,,,,Portland Country Club,,,,,,,,,,,,,,multipolygon,,668741.6942650658,43.7081795969611,-70.22908418897538,Maine,ME00008
Tarratine Club of Dark Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655443.4143859274,44.2824430120723,-68.91481753322294,Maine,ME00095
Spring Meadows Golf Club,18_hole,71,+1-207-657-2586,https://www.springmeadowsgolf.com/,Gray,59,04039,,Lewiston Road,,,,,,,,,,,,,,,,,,,,,655323.7892924588,43.90101439587167,-70.3341832347464,Maine,ME00071
Sanford Country Club,18_hole,72,+1-207-324-5462,https://sanfordcountryclub.com/,Sanford,588,04073,,Country Club Road,74,,,,,,,,,,,,,,,,,,,,653842.904859691,43.37765912991343,-70.73213344678578,Maine,ME00022
Fairlawn Golf Course,18_hole,72,+1-207-998-4277,https://www.fairlawngolf.com/,Poland,434,04274,ME,Empire Road,,,,,,,,,,,,,,,,,,,,,650673.4206077321,44.052316620098956,-70.33460053049372,Maine,ME00072
Presque Isle Country Club,18_hole,72,+1 207 764 0430,http://picountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,620381.1028095142,46.71758684435545,-67.942180717147,Maine,ME00104
Lake Kezar Country Club,18_hole,72,+1 207 925 2462,https://www.lakekezargolf.com/,Lovell,578,04051,ME,Main Street,,,,,,,,,,,,,,,,,,,,,618896.121994649,44.146823863765974,-70.88888742252838,Maine,ME00096
Samoset Golf Course,,,+1-207-594-1431,http://www.samosetresort.com/golf/,Rockport,220,04856,,Warrenton Street,,581598,,,,,,,,,,,,,,,,,,,604898.9016861939,44.12203571739877,-69.08324170845565,Maine,ME00055
Toddy Brook Golf Course,18_hole,71,+1-207-829-5100,https://www.toddybrookgolf.com/,North Yarmouth,925,04097,ME,Sligo Road,,,,,,,,,,,,,,,,,,,multipolygon,,594642.992671587,43.84668509661647,-70.22989987073622,Maine,ME00013
Biddeford Saco Country Club,18_hole,71,,https://biddefordsacocc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,593929.7111212375,43.501079931193416,-70.40981893151397,Maine,ME00082
Lakewood Golf Course,18_hole,72,+1-207-474-5955,https://www.lakewoodgolfmaine.com/,Madison,,04950,,Route 201,,1908585,,,,,,,,,,,,,,,,,,,578024.9103177546,44.82653705118096,-69.7846386657047,Maine,ME00112
Waterville Country Club,18_hole,70,+1 207 465 9861,https://watervillecountryclub.com/,Oakland,39,04963,ME,Country Club Road,,,,,,,,,,,,,,,,,,,,,576679.3160516603,44.54012688533943,-69.70026395706365,Maine,ME00069
Outlook Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561610.2651519846,43.242697800750676,-70.79972433927796,Maine,ME00070
Mingo Springs Golf Course,18_hole,72,+1-207-864-5021,https://www.mingosprings.com/,Rangeley,43,04970,ME,Country Club Road,,1908365,,,,,,,,,,,,,,,,,,,560041.5966294428,44.963805112481026,-70.69510249996398,Maine,ME00044
Cape Neddick Golf Club,18_hole,70,+1-207-361-2011,https://www.capeneddickgolf.com/,Cape Neddick,650,03902,ME,Shore Road,,,,,,,,,,,,,,,,,,,,,555818.9906894356,43.22381272182711,-70.59086884997564,Maine,ME00033
Jato Highlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551995.3205585185,45.397776289197175,-68.47675103614353,Maine,ME00092
Jato Highlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551995.3205585185,45.397776289197175,-68.47675103614353,Maine,ME00093
Hermon Meadow Golf Club,18_hole,72,+1-207-848-3741,https://www.hermonmeadowgolfclub.com/,Hermon,281,04401,ME,Billings Road,,1913589,,,,,,,,,,,,,,,,,,,548557.72343198,44.81979436307191,-68.88670590170354,Maine,ME00039
Mere Creek Golf Club,,,+1-207-721-9995,http://www.harrisgolfonline.com/merecreekgolfcourse_index.php,Brunswick,,04011,,,,,,,Harris Golf,,,,,,,,,,,,,,,,542456.9524717148,43.873004677559855,-69.93860368218103,Maine,ME00027
Augusta Country Club,,,+1-207-623-3021,https://www.augustacountryclub.org/,Manchester,,04351,,,,581560,,,,,,,,,,,,,,,,,,,527755.1657996024,44.323709591081396,-69.8759508888086,Maine,ME00051
Prouts Neck Country Club,18_hole,70,,,,,,,,,581594,,,,,,,,,,,,,,,,,,,519643.2863952727,43.5420410992905,-70.31931040529356,Maine,ME00059
The Bath Golf Club,,,,,Bath,387,04530,ME,Whiskeag Road,,,,,,,,,,,,,,,,,,,,,511953.7944335198,43.94172510739493,-69.85097489370348,Maine,ME00110
Va-Jo-Wa Golf Club,no,72,+1-207-463-2128,,Island Falls,142,04747,ME,Walker Settlement Road,,1910679,,,,,,,,,,,,,,,,,,,511288.64257123787,46.03020258713124,-68.20937645125358,Maine,ME00049
Clinton Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503691.5432532794,44.67192537512238,-69.5253717695522,Maine,ME00075
Willowdale Golf Club,18_hole,70,+1-207-883-9351,https://willowdalegolf.com/,Scarborough,52,04074,,Willowdale Road,,581613,,,,,,,,,,,,,,,,,,,502927.3499696442,43.579386152315486,-70.35035555846642,Maine,ME00065
Wawenock Golf Club,,,,,Walpole,685,04573,ME,State Route 129,,,,,,,,,,,,,,,,,,,multipolygon,,498543.7139970911,43.95113451099079,-69.5526951922781,Maine,ME00011
Northeast Harbor Golf Club,18_hole,70,+1 207 276 5335,https://nehgc.com/,,,,,,,1911818,,,,,,,,,,,,,,,,,,,481498.0873751115,44.30479417998753,-68.2968410439596,Maine,ME00023
Caribou Country Club,9_hole,36,+1 207 493 3933,https://caribougolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,472272.51606951095,46.8939684994915,-68.0438651251342,Maine,ME00103
Caribou Country Club,9_hole,36,+1 207 493 3933,https://caribougolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,472272.51606951095,46.8939684994915,-68.0438651251342,Maine,ME00102
Penobscot Valley Country Club,,,,,,,,,,,,,,,Bing,,,,,,,,,,Q7164523,,,,,462729.7313265204,44.8603619939194,-68.68432429617057,Maine,ME00021
Rockland Golf Club,18_hole,70,+1-207-594-9322,https://www.rocklandgolf.com/,Rockland,606,04841,ME,Old County Road,,581596,,,,,,,,,,,,,,,,,multipolygon,,456247.7272147343,44.12553658895265,-69.11378753335774,Maine,ME00015
Kebo Valley Golf Club,,,+1-207-288-3000,https://www.kebovalleyclub.com/,Bar Harbor,136,04609,,Eagle Lake Road,,1911720,,,,,,,,,,,,,,,,,,,454878.3250131317,44.376302214915874,-68.21422183790865,Maine,ME00041
The Meadows Golf Club,18_hole,68,+1-207-268-3000,https://www.themeadowsgolfclub.com/,Litchfield,495,04350,ME,Huntington Hill Road,,,,,,,,,,,,,,,,,,,,,435799.15936594666,44.15663611404413,-69.9801916984438,Maine,ME00080
Diadema Golf Club,9_hole,36,+1 207 635 3060,https://diademagolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,430874.016066132,44.87271267692819,-69.93793416832233,Maine,ME00030
Western View Golf Club,,,,,Augusta,130,04330,ME,Bolton Hill Road,,,,,,,,,,,,,,,,,,,,,427976.61780178366,44.32688715000286,-69.69359484071154,Maine,ME00111
Webhannet Golf Club,,,+1-207-967-2061,https://www.webhannetgolfclub.com/,Kennebunk,26,04043,,Golf Club Drive,,581610,,,,,,,,,,,,,,,,,,,424284.73756326194,43.35039690006269,-70.49915774599673,Maine,ME00031
Fort Kent Golf Club,9_hole,36,+1 207 834 3149,https://www.fortkentgolfclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,420334.14962978556,47.22968393814731,-68.65830474192398,Maine,ME00024
Cape Arundel Golf Club,,,+1-207-967-3494,https://www.capearundelgolfclub.com/,Kennebunkport,19,04046,,River Road,,581565,,,,,,,,,,,,,,,,,,,408247.63117549196,43.37269389140615,-70.47966465930371,Maine,ME00032
Norway Country Club,9_hole,35,+1-207-743-9840,https://www.norwaycountryclub.com/,Norway,310,04268,ME,Waterford Road,,,,,,,,,,,,,,,,,,,,,376067.20360269735,44.216509021153314,-70.59700373596175,Maine,ME00116
Country View Golf Club,9_hole,36,+1 207 722 3161,https://www.brookscountryviewgolfclub.com/,Brooks,240,04921,ME,Moosehead Trail Highway,,,,,,,,,,,,,,,,,,,,,373872.30026404205,44.570593552258096,-69.13542587111726,Maine,ME00091
Bucksport Golf Club,9_hole,37,+1-207-469-7612,http://bucksportgolfclub.com/,Bucksport,397,04416,ME,State Route 46,,1911448,,,,,,,,,,,,,,,,,,,361099.4630404588,44.58985068801589,-68.74068540026832,Maine,ME00035
Johnson W Parks Golf Course,,,+1-207-487-5545,https://jwparksgolf.com/,Pittsfield,382,04967,ME,Hartland Avenue,,1908576,,,,,,,,,,,,,,,,,,,353507.54335556075,44.79432011751937,-69.3943555313445,Maine,ME00073
Houlton Community Golf Club,9_hole,36,+1-207-532-2662,https://www.houltongolf.com/,Houlton,,04730,,,,1910410,,,,,,,,,,,,,,,,,,,348936.80250631826,46.100639284714745,-67.94558045402053,Maine,ME00040
Deep Brook Golf Course,9_hole,36,+1-207-283-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,347610.2440411668,43.513740817237434,-70.47893028340017,Maine,ME00100
Lime Rock Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335124.00613972615,46.94672153795515,-67.9211948488788,Maine,ME00122
Castine Golf Club,,,,,Castine,200,04421,ME,Battle Avenue,,1911465,,,,,,,,,,,,,,,,,multipolygon,,332069.44401089835,44.39362022202788,-68.8015115589409,Maine,ME00007
Summit Golf Course,,,,,,,,,,,1909013,,,,,,,,,,,,,,,,,,,316397.1088887305,44.04535572909565,-70.40630866089661,Maine,ME00056
Frye Island Golf Club,9,36,+1-207-655-3551,http://www.fryeisland.com/figc.htm,Frye Island,,,,,,1912470,,An 18-hole course (72 par) can be played by using the silver tees on the 'back' 9 holes.,,,,,,,,,,,,,,,,,312167.51688051433,43.83302692893042,-70.52115641192272,Maine,ME00057
Sawmill Woods Golf Course,9_hole,36,+1 207 735 8772,,Clifton,800,04428,ME,Airline Road,,,,,,,,,,,,,,,,,,,,,302193.8244909273,44.822215685495074,-68.50951586993321,Maine,ME00107
Maine Golf Center Freeport,9_hole,36,+1 207 994 1156,https://mainegolfcenter.org,Freeport,2,04032,ME,Old County Rd,,,,,,,,,,,,,,,,,,,,,289253.90003844985,43.835606824070446,-70.13318740215529,Maine,ME00076
Highland Green Golf Club,9_hole,35,+1 207 725 8066,https://highlandgreengolf.com,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,288822.28411443846,43.94610039685439,-69.95228634242548,Maine,ME00012
Salmon Falls Country Club,,,+1-207-929-5233,http://www.salmonfalls-resort.com/,,,,,Salmon Falls Road,,1911150,,,,,,,,,,,,,,,,,,,285172.3916659786,43.60570545993845,-70.55733395284813,Maine,ME00061
Pine Hill Golf Club,9_hole,36,+1 207 989 3824,,,,,,,,1913823,,,,,,,,,,,,,,,,,,,282643.35582683864,44.760048100112165,-68.76933631117828,Maine,ME00046
Long Lake Country Club,9_hole,35,+1-207-895-6957,https://www.mainegolf.org/course/long-lake-cc,Saint David,744,04773,,Lake Shore Road,,1910255,,,,,,,,,,,,,,,,Birch Point Golf Course,,,273414.1029842922,47.216031774106845,-68.22586943038401,Maine,ME00042
Sheepscot Links Golf Course,9_hole,35,+1 207 549 7060,https://www.sheepscotlinks.com/,Whitefield,821,04353,ME,Townhouse Road,,,,,,,,,,,,,,,,,,,,,273288.3669718414,44.17790831902023,-69.63112590672951,Maine,ME00026
Mount Kineo Golf Course,9_hole,36,+1 207 534 9012,http://www.mooseheadlakegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,271608.61108877265,45.69390871978857,-69.73124104786156,Maine,ME00105
Barren View Golf Course,9_hole,35,+1 207 434 6531,http://www.barrenviewgolfcourse.com/,Jonesboro,1354,04648,ME,Route 1,,,,,,,,,,,,,,,,,,,,,268585.5240516761,44.63733905041092,-67.62199369491186,Maine,ME00106
Dexter Municipal Golf Course,9_hole,35,+1-207-924-6477,https://dextermaine.org/dexter-municipal-golf-course/,Dexter,35,04930,ME,Sunrise Avenue,,1913452,,,,,,,,,,,,,,,,,,,261246.7216554117,45.01739547495367,-69.30108199094136,Maine,ME00036
Foxcroft Golf Club,9_hole,36,+1-207-564-8887,https://foxcroftgolfclub.com/,Dover-Foxcroft,84,04426,ME,Foxcroft Center Road,,1910061,,,,,,,,,,,,,,,,,,,261153.68203813504,45.20198076447862,-69.2132177619577,Maine,ME00037
Northport Golf Club,9_hole,36,+1 207 338 2270,https://www.northportgolfclubmaine.com/,Northport,581,04849,ME,Bluff Road,,,,,,,,,,,,,,,,,,,,,260811.28780952297,44.37700984606509,-68.97419999376136,Maine,ME00083
Lucerne Golf Course,9_hole,36,+1-207-843-6282,http://lucernegolf.com/,Dedham,,04429,,Route 1A,,1911745,,,,,,,,,,,,,,,,,,,258162.0270784007,44.70438333464659,-68.5992560686592,Maine,ME00043
North Haven Golf Club,9_hole,35,+1 207 867 2054,https://www.northhavengolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,252046.19184437048,44.135016201404575,-68.86694371395791,Maine,ME00074
Megunticook Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,226460.88270323435,44.18393456681725,-69.0635522305793,Maine,ME00016
Traditions Golf Course and Learning Center,9_hole,35,+1 207 989 9909,https://www.traditionsgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,211359.4340600637,44.76354417773625,-68.71481691957642,Maine,ME00109
Hillcrest Golf Club,,,+1-207-723-8410,http://www.hillcrestgolfme.com,Millinocket,1,04462,ME,Golf Course Rd,,,,,,,,,,,,,,,,,,,,,202195.04117788468,45.66270657837977,-68.70081125298049,Maine,ME00025
Saint Croix Country Club,,,+1-207-454-8875,http://www.stcroixcc.com/,Calais,,04619,,Route 1,,581597,,,,,,,,,,,,,,,,,,,202049.44248716373,45.177474066277405,-67.25244419264912,Maine,ME00047
Grindstone Neck Golf Course,9_hole,36,+1-207-963-7760,https://www.grindstonegolf.com/,Winter Harbor,106,04693,,Grindstone Avenue,,1911655,,,,,,,,,,,,,,,,,,,195714.71263879532,44.38835768721503,-68.09772862719274,Maine,ME00038
Evergreen Golf Club,9_hole,35,,https://www.evergreengolfrangeley.net/,Rangeley,522,04970,ME,Dallas Hill Road,,,,,,,,,,,,,,,,,,,,,192004.3902262991,44.9714424126447,-70.59608753419694,Maine,ME00084
Apple Valley Golf Course,9_hole,35,+1-207-784-9773,https://www.applevalleyme.com/,Lewiston,316,04240,ME,Pinewoods Road,,1908760,,,,,,,,,,,,,,,,,,,185028.7164689514,44.035425498305436,-70.1436820571629,Maine,ME00050
Pleasant Hill Disc Golf,,,,https://philldiscgolf.com/,,,,,,,,,,,,disc_golf,,,,,"If/when proposed disc_golf tags are approved/rendered, update features to that namespace",18_hole,70,disc_golf,,,,,,176448.1900265282,43.590208694927405,-70.30476915581752,Maine,ME00081
Abenakee Golf Club,9,36,,,,,,,,,581559,,,,,,,private,,,,,,,,,,multipolygon,,173007.55070375645,43.44721412939427,-70.34351285954651,Maine,ME00018
Island Country Club,,,,https://islandcountryclub.net/,,,,,,,,,,,,,,,,,,,,,,207-348-2379,,,,167787.67434110146,44.19714342238945,-68.70228524288906,Maine,ME00121
Piscataquis Country Club,,,,https://piscataquisgolfcoursecountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,156239.4176836677,45.175298146983145,-69.36014405090692,Maine,ME00120
The Causeway Club,9_hole,33,+1-207-244-7220,https://www.thecausewayclub.org/,Southwest Harbor,10,04679,ME,Fernald Point Road,,1911473,,,,,,,,,,,,,,,,,,,153534.1404264841,44.290364563862,-68.32476605567331,Maine,ME00048
Paris Hill Country Club,9_hole,35,+1 207 743 2371,https://parishillcc.com/,South Paris,455,04281,ME,Paris Hill Road,,,,,,,,,,,,,,,,,,,,,126818.09026114586,44.25763458131767,-70.49723997734958,Maine,ME00089
Great Chebeague Golf Club,9_hole,33,+1-207-846-9478,https://chebeagueislandgolf.com/,Chebeague Island,16,04017,ME,Stone Wharf Road,,1912506,,,,,,,,,,,,,,,,,,,126019.19685997443,43.75067687848717,-70.10528708816574,Maine,ME00052
Great Chebeague Golf Club,9_hole,33,+1-207-846-9478,https://chebeagueislandgolf.com/,Chebeague Island,16,04017,ME,Stone Wharf Road,,1912506,,,,,,,,,,,,,,,,,,,126019.19685997443,43.75067687848717,-70.10528708816574,Maine,ME00053
South Portland Municipal Golf Course,9_hole,33,+1-207-767-7652,https://www.southportland.org/departments/parks-recreation-aquaticspool/golf-course/,South Portland,155,04106,ME,Wescott Road,,1913077,,,,,,,,,,,,,,,,,,,125513.32830491615,43.6285886462081,-70.30784422398857,Maine,ME00062
Pine Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109627.81355304907,44.531574203970585,-69.66335207843505,Maine,ME00066
White Birches Golf Course,9_hole,,,,,,,,,,,,,,,,,,,,"Uncertain status. Added the easily discernable features. Imagery seems to show usage, but doesn't seem ready for public.",,,,,,,,,108812.62386878562,44.53086971445215,-68.37913400214762,Maine,ME00108
Blue Hill Country Club,9_hole,30,+1-207-374-2271,https://www.bhccmaine.com/,Blue Hill,213,04614,ME,Parker Point Road,,,,,,,,,,,,,,,,,,,,,104061.61542991312,44.40213777984283,-68.57708715126147,Maine,ME00088
Merriland Farm,,,,https://www.merrilandfarm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,96484.21731573953,43.351939757322576,-70.5812349020517,Maine,ME00099
Moose Meadows Golf Course,9_hole,27,,,Stratton,485,,ME,Stratton Road,,,,,,,,,,,,,,,,,,,,,93018.85665329795,45.11899851242523,-70.4752443759276,Maine,ME00086
Moose Meadows Golf Course,9_hole,27,,,Stratton,485,,ME,Stratton Road,,,,,,,,,,,,,,,,,,,,,93018.85665329795,45.11899851242523,-70.4752443759276,Maine,ME00085
Taber's on the Lake,,,+1 207 784 2521,https://tabersgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,88432.94225804906,44.159259325933604,-70.25369277197436,Maine,ME00067
Taber's on the Lake,,,+1 207 784 2521,https://tabersgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,88432.94225804906,44.159259325933604,-70.25369277197436,Maine,ME00068
Cape Arundel Golf Club Practice Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63308.60732516268,43.37634645709407,-70.48756342169284,Maine,ME00098
Natanis Driving Range,,,,,Vassalboro,845,04989,ME,Webber Pond Road,,,,,,,,,,,,,,,,,,,,,57409.02681868452,44.42451113828191,-69.66648142481691,Maine,ME00117
Hopkins Golf Center,,,+1-207-406-4349,http://hopkinsgolfcenter.com/wp/,Brunswick,305,04011,ME,Bath Road,,,,,,,,,,,,,,,,,,,,,53798.21948737056,43.91260322585533,-69.89815748803174,Maine,ME00077
Loon's Cove Driving Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43543.18576545422,44.731536096571254,-69.65088495387832,Maine,ME00113
Unknown Golf Course,,,,,Waterville,591,04901,ME,Benton Avenue,,,,,,,,,,,,Needs name,,,,,,,,,33406.22907802123,44.56287778473722,-69.60684912154716,Maine,ME00115
Pine Hollow Little Par Three Golf Course,18_hole,54,+1-207-324-5271,https://www.pinehollowlittlepar3.com/,Sanford,1486,04073,,Main Street,,,B,,,,,,,,,,,,,,,,,,17958.321583027042,43.40946697513399,-70.73744326017783,Maine,ME00058
Bustins Island Golf Course,6_hole,,,,,,,,,,,,,,,,,private,"Community owned. No apparent facilities, minimal maintenance.",,,,,,,,,,,16254.336987370107,43.8034735745915,-70.06840522665249,Maine,ME00118
