name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,phone,website,fixme,note,access,operator,email,opening_hours,source,golf:course,golf:par,addr:country,source:address,sport,payment:cash,payment:credit_cards,payment:debit_cards,fax,start_date,contact:facebook,ele,type,golf,area_m2,lat,lon,province,gcid
Marty Sanchez Links de Santa Fe,Santa Fe,205,87507,NM,Caja del Rio Road,18 hole Par 72 & 9 hole Par 28,+1-888-735-4657;+1-505-955-4400,https://www.linksdesantafe.com/,,,,,,,,,,,,,,,,,,,,,,1269754.9445643914,35.67634578936743,-106.07475016049574,New Mexico,NM00050
Santa Ana Golf Course,Santa Ana Pueblo,288,87004,NM,Prairie Star Road,3 x 9 hole Par 36 Tamaya & Cheena & Star Course,(505) 867-9464,http://mynewmexicogolf.com/santaana_home/,,,,,,,,,,,,,,,,,,,,,,1243841.2311167296,35.336494300143876,-106.56097182727635,New Mexico,NM00071
University of New Mexico Championship Golf Course,Albuquerque,3601,87106,NM,University Boulevard Southeast,18 hole Par 72,+1 505 2774546,http://unmgolf.com/,,,,,,,,,,,,,,,,,,,,,,1193389.8032154548,35.036048395400194,-106.63363762873148,New Mexico,NM00034
University of New Mexico Championship Golf Course,Albuquerque,3601,87106,NM,University Boulevard Southeast,18 hole Par 72,+1 505 2774546,http://unmgolf.com/,,,,,,,,,,,,,,,,,,,,,,1193389.8032154548,35.036048395400194,-106.63363762873148,New Mexico,NM00033
Cochiti Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179667.481155803,35.66890391209734,-106.35105700591738,New Mexico,NM00092
Rockwind Community Links,Hobbs,5001,88240,NM,Jack Gomez Boulevard,,+1-575-397-9297,https://www.rockwindgolfcourse.com/,,,,City of Hobbs,Rockwind@hobbsnm.org,,,,,,,,,,,,,,3600,,,1168039.349732881,32.76941058866049,-103.20057715422628,New Mexico,NM00044
The Outlaw at Alto Lakes,,,,,,18 hole Par 72,575-336-3150,https://www.altolakesgolf.com/Club-Amenities/Golf/Outlaw-at-Alto-Lakes.aspx,mapping is a rough outline only,,private,,,,,,,,,,,,,,,,,,,1167267.8975939981,33.40932403815644,-105.61319863653138,New Mexico,NM00052
Arroyo Del Oso Golf Course,Albuquerque,001,87109,NM,Osuna Road Northeast,18 hole Par 72 Championship Course & 9 hole Par 36 Dam Course,+1 505 8847505,https://www.cabq.gov/parksandrecreation/recreation/golf/arroyo-del-oso-golf-course,,,,,,,,27_hole,72 + 36,,,,,,,,,,,,,1154666.26137893,35.14191600345181,-106.56772202533105,New Mexico,NM00035
Paa-Ko Ridge Golf Club,Sandia Park,1,87047,NM,Clubhouse Drive,3 x 9 hole Par 36,+1-866-898-5987; (505) 281-6000,http://www.paakoridge.com/,,,,,paakoinfo@paakoridge.com,,,27_hole,36 + 36 + 36,,,,,,,,,,,multipolygon,,1151393.9775662126,35.20719843604441,-106.32592813165249,New Mexico,NM00009
Sandia Golf Club,Albuquerque,30,87113,NM,Rainbow Road,18 hole Par 72,505-796-7500,https://www.sandiagolf.com/,,,,,,,,,,,,,,,,,,,,,,1115984.3932838943,35.20824610207224,-106.56316485284212,New Mexico,NM00070
Ladera Golf Course,Albuquerque,3401,87120,NM,Ladera Drive Northwest,18 hole Par 72 + 9 hole Par 27,+1 505 8364449,https://www.cabq.gov/golf/ladera-golf-course,,,,,,,,,,,,,,,,,,,,,,1103981.45339122,35.119757218732396,-106.71302117039484,New Mexico,NM00036
The Golf Club at Rainmakers,,,,,,18 hole Par 72,+1 575 336 4653;  (575) 336-7500,https://rainmakersusa.com/golf-new-mexico/,,,,,,,,,,,,,,,,,,,,multipolygon,,1022360.6634221,33.430020696689745,-105.58987180819464,New Mexico,NM00010
The Golf Club at Rainmakers,,,,,,18 hole Par 72,+1 575 336 4653;  (575) 336-7500,https://rainmakersusa.com/golf-new-mexico/,,,,,,,,,,,,,,,,,,,,multipolygon,,1022360.6634221,33.430020696689745,-105.58987180819464,New Mexico,NM00011
Taos Country Club,Ranchos de Taos,54,87557,NM,Golf Course Drive,18 hole Par 72,+1 575 7587300,https://www.taoscountryclub.com/,,,,,,,,,,,,,,,,,,,,,,1015440.1857736039,36.35916605774155,-105.654426382359,New Mexico,NM00075
Inn of the Mountain Gods Golf Course,,,,,,18 hole Par 72,(800) 545-9011,https://innofthemountaingods.com/activities/championship-golf/,,,,,,,Bing,,,,,,,,,,,,,,,982593.890901219,33.29537219087759,-105.69898783613888,New Mexico,NM00026
Tanoan Country Club,,,,,,3 x 9 hole Par 36 Acoma & Sandia & Zia Courses,(505) 822-0422.,https://www.tanoancountryclub.com/,,,private,,,,,27_hole,36 + 36 + 36,,,,,,,,,,,multipolygon,,968835.7602544609,35.15670472866194,-106.51836418854325,New Mexico,NM00003
Hobbs Country Club,Hobbs,5001,88240,NM,West Carlsbad Highway,,(575) 393-5212,http://www.hobbscountryclub.com/,,,private,,,,,,,,,,,,,,,https://www.facebook.com/HobbsCountryClub/,,,,878460.0986393609,32.69266061241048,-103.20133198153732,New Mexico,NM00043
Tijeras Arroyo Golf Course,Kirtland Air Force Base,,87117-0001,NM,Pennsylvania Street Southeast,18 Hole Par 72,+1-505-846-1169,https://kirtlandforcesupport.com/tijeras-arroyo-golf-course/,,,,Kirtland AFB,,Mo-Su 07:00-sunset,,,,,,,yes,yes,yes,,,,,,,878110.2607879182,35.020705815159005,-106.52786310439534,New Mexico,NM00038
Piñon Hills Golf Course,Farmington,2101,87401,NM,Sunrise Parkway,18 hole Par 72,+1 505 3266066,https://www.pinonhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,832331.7698833848,36.76586760218544,-108.1743151206642,New Mexico,NM00086
Cree Meadows Country Club,,,,,,18 hole Par 71,(575) 257-2733,http://www.playcreemeadows.com/,,,,,,,,,,,,,,,,,,,,,,832271.0056319045,33.33840148719551,-105.67000658380077,New Mexico,NM00022
Los Altos Golf Course,Albuquerque,9717,87123,NM,Copper Avenue Northeast,18 hole Par 71,+1 505 2981897,https://www.cabq.gov/los-altos-golf-course,,,,,,,,,,,,,,,,,,,,,,826755.3740796623,35.08314576013123,-106.54122264618475,New Mexico,NM00019
Pendaries Golf Course,Rociada,,87742,NM,,18 hole Par 72,+1 800 7335267;+1 505 4259890,http://www.pendaries.net/,,,,,golf@pendaries.net,,,,,,,,,,,,,,,,,816828.9751254305,35.817157428698266,-105.41137116099182,New Mexico,NM00064
Alto Lakes Golf & Country Club,,,,,,18 hole Par 71,575-336-4232,https://www.altolakesgolf.com/Club-Amenities/Golf/Alto-Lakes.aspx,mapping is an outline only,,private,,,,,,,,,,,,,,,,,,,813977.1111484561,33.40094319590957,-105.66516645699275,New Mexico,NM00051
New Mexico State University Golf Course,,3000,88003,NM,Herb Wimberly Drive,18 hole Par 72,(575) 646-3219,https://www.nmsugolf.com/,,,,,,,Bing,,,,,,,,,,,,,,,793208.6426302575,32.28629490177238,-106.7316622443751,New Mexico,NM00020
Desert Greens Golf Course,Albuquerque,10035,87114,NM,Country Club Lane Northwest,18 hole Par 72,+1 505 8987001,http://www.desertgreensgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,781882.240741684,35.19656887185612,-106.68783235867801,New Mexico,NM00028
Artesia Country Club,,,,,,,575-746-6732,http://www.artesiacountryclub.com/,,,,,,,,,,,,,,,,,,,,,,763581.2103362507,32.853470443041715,-104.43428888099331,New Mexico,NM00054
Santa Fe Country Club,Santa Fe,4360-A,87507,NM,Country Club Road,,+1-505-471-0601,https://santafecountryclub.com,,,,,,,,18_hole,72,,,,,,,+1-505-471-2626,1946,,,,,758337.8831350358,35.63034638691995,-106.05583335318525,New Mexico,NM00047
Gene Torres Golf Course,Las Vegas,,87701,NM,Country Club Drive,9 hole Par 36,+1 505 4257711,https://genetorresgolf.com/,,,,,,,,,,,,golf,,,,,,,,,,750855.0962542058,35.610639497363614,-105.2164159163151,New Mexico,NM00030
The Links at Sierra Blanca,Ruidoso,105,,NM,Sierra Blanca Drive,18 hole Par 72,575-258-5330,https://www.thelinksatsierrablanca.com/,,,,,,,,,,,,,,,,,,,,,,735568.2554443198,33.356923151852286,-105.6625261149289,New Mexico,NM00021
Four Hills Golf Course,,,,,,18 hole Par 72,+1 505 296 1122,http://www.fourhillscc.com/,,,private,The Canyon Club,,,,,,,,,,,,,,,,multipolygon,,706116.9691294521,35.05074981828374,-106.49718208028196,New Mexico,NM00004
Lake Carlsbad Municipal Golf Course,Carlsbad,901,88220,NM,N. Muscatel Avenue,,(575) 885-5444,https://www.cityofcarlsbadnm.com/lake-carlsbad-golf-course,,,,,,,,,,,,,,,,,,,,,,702371.2418981568,32.43120554986421,-104.21105295987797,New Mexico,NM00039
Chaparral Country Club,,,,,,18 hole Par 72,(575) 762-4775,,website,"no website available, info e.g . at http://www.worldgolf.com/courses/usa/newmexico/clovis/chaparral-country-club.html",,,,,,,,,,,,,,,,,,multipolygon,,701336.413090108,34.441285263921884,-103.18799633941417,New Mexico,NM00006
White Sands Missile Range Golf Course,White Sands,1330,88002,NM,Martin Luther King Jr Avenue,,+1-575-678-1759,https://wsmrmwr.com/white_sands_golf_course.php,,,customers,WSMR,,,NAIP,11_hole,72,,,,,,,,,,,,,691445.6126617092,32.37243723224544,-106.49339037591487,New Mexico,NM00024
Rio Mimbres Country Club,,,,,,18 hole Par 72,(575) 546-0323,http://www.riomimbres.com/,,,,,,,,,,,,,,,,,,,,,,675258.6175645696,32.26249559237423,-107.73134717998688,New Mexico,NM00069
New Mexico Military Institute Golf Course,Roswell,201,88201,NM,West 19th Street,,(505) 622-6033,https://www.nmmi.edu/,,,,,,,,,,,,,,,,,,,,,,671175.901832926,33.41941276699127,-104.53020990316227,New Mexico,NM00042
Desert Lakes Golf Course,Alamogordo,2351,88310,NM,Hamilton Road,18 hole Par 72,+1 575-437-0290,https://www.desertlakesgolf.com/,,,,,contact@desertlakesgolf.com,,,,,,,,,,,,,,,multipolygon,,667817.6780296875,32.8573388658848,-105.96312625289691,New Mexico,NM00007
New Mexico Tech Golf Course,Socorro,,87801,NM,,18 hole Par 72,+1 505 8355335,http://www.nmt.edu/nmt-golf-course/,,,,New Mexico Tech,,,,18_hole,,,,,,,,,,,,,,652669.0464268319,34.06841514341207,-106.91180671760102,New Mexico,NM00084
Fox Run Golf Course (Gallup),Gallup,1109,87301,NM,Susan Avenue,18 hole Par 71,(505) 863-9224,https://www.golffoxrun.com/,,,,,,,,,,US,,,,,,,,,,multipolygon,,631582.0521879044,35.51238602122385,-108.71529922693378,New Mexico,NM00005
Tierra Del Sol Golf Club,Belen,1000,87002,NM,Golf Course Road,18 hole Par 72,+1 505 8641000,https://www.golftierradelsol.com/,,,,,,,,,,,,,,,,,,,,,,627882.6213080853,34.63429822338977,-106.72835143013641,New Mexico,NM00076
Los Alamos County Golf Course,,,,,,18 hole Par 72,(505) 662-8139,https://www.losalamosnm.us/rec/gol,,,,,,,,,,,,,,,,,,,,multipolygon,,619460.0752042744,35.89958862577482,-106.30811557538078,New Mexico,NM00016
Dos Lagos Golf Course,Anthony,1150,88021,NM,Duffer Lane,18 hole Par 72,+1 575 8822830,http://www.doslagos.com/,,,,,,,,,,,,,,,,,,,,,,618914.8585890739,32.01809971859055,-106.5986432608083,New Mexico,NM00059
Lovington Country Club,Lovington,1227,88260,NM,South Country Club Drive,,+1 575-396-6619,https://lovingtoncountryclub.com/,,,private,,,,,,,,,,,,,,,,,,,605524.5751259394,32.935194514330654,-103.31525267361417,New Mexico,NM00063
San Juan Country Club Golf Course,,,,,,18 hole Par 72,(505) 327-4451,https://www.sanjuancountryclub.org/,,,private,,,,,,,,,,,,,,,,,,,605168.4765796771,36.783311216944895,-108.13094026571069,New Mexico,NM00085
12 Shores,,,,,,9 hole Par 36,(575) 403-7177; (877) 224-5071,http://www.twelveshores.com/,,,,,,,,,,,,,,,,,,,,,,601209.9556657331,35.34122995472659,-103.51801002908816,New Mexico,NM00079
Spring River Golf Course,Roswell,1612,88201,NM,West 8th Street,,+1 505 6229506,http://springrivergolf.com/,,,,,,,,,,,,,,,,,,,,,,598408.2563705434,33.39822772594714,-104.54927973570834,New Mexico,NM00074
Silver City Golf Course,Silver City,9,88061,NM,Golf Course Road,18 hole Par 72,+1 575 5385041,http://www.silvercitygolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,588429.7536309027,32.73798482530939,-108.2616747814367,New Mexico,NM00073
Roswell Country Club,Roswell,2601,88201,NM,North Urton Road,,575-622-3410,http://www.roswellcountryclub.com/,,,,,roswellcountryclub@dfn.com,,,,,,,,,,,575-622-3431,,,,multipolygon,,575772.915590161,33.425015688979805,-104.48653863082492,New Mexico,NM00015
Picacho Hills Country Club,,6861,88007,NM,Via Campestre,18 hole Par 72,(575) 523-8641,https://picachohillscc.com/,,,private,,,,Bing,,,,,,,,,,,,,,,550359.922130287,32.31382896671906,-106.86405404345933,New Mexico,NM00037
Whispering Winds Golf Course (Cannon AFB),Cannon AFB,105,88103,NM,Olds Drive,18 hole Par 70,+1-575-784-2800,https://www.cannonforce.com/whispering-winds-golf-course.html,,,,,,,,,,,,,,,,,,,,,,543730.9008015833,34.40155600921843,-103.32495273668036,New Mexico,NM00048
Riverside Country Club,Carlsbad,1700,88220,NM,West Orchard Lane,,+1 575 8853926;+1 575 8854253,https://riversidenm.com/,,,private,,,,,,,US,,,,,,,,,,,,535259.1665336941,32.44757379635759,-104.25212495763202,New Mexico,NM00041
Portales Country Club,,,,,,9 hole Par 36,+1-575-356-8943,https://www.facebook.com/pages/Portales-Country-Club/155916451120432?rf=126658820719970,,http://www.worldgolf.com/courses/usa/newmexico/portales/portales-country-club-semi-private.html,,,,,,,,,,,,,,,,,,,,520974.4408052888,34.18177758047081,-103.38428676540013,New Mexico,NM00065
Timberon Golf Course,,,,,,9 hole Par 36,(505) 987-2260,https://www.timberon.org/community/timberon-golf-course/,website,http://www.worldgolf.com/courses/usa/newmexico/timberon/timberon-golf-country-club-public.html,,,,,,,,,,,,,,,,,,multipolygon,,499916.6822416663,32.633416031482255,-105.70080509296011,New Mexico,NM00013
Eunice Golf Course,Eunice,9434,,NM,State Hwy 8,,+1-575-394-2881,https://www.cityofeunice.org/golfcourse.html,,,,,,,,,,,,,,,,,,,,,,485887.1742646859,32.46366857099698,-103.23566016263246,New Mexico,NM00045
Albuquerque Country Club,,,,,,18 hole Par 70,+1-505-243-7156; +1-505-247-4111,https://www.albuquerquecountryclub.org/,,,private,,,,,,,,,,,,,,,,,,,480892.10126310104,35.09059293433832,-106.6738505883351,New Mexico,NM00018
Conchas Lake State Park Course,,75,,NM,Lodge Road,9 hole,(505) 868-2988,,details & website,"No website available, info at http://conchaslake.blogspot.co.at/p/conchas-golf-course.html http://www.igolf.com/gps_course/Conchas_Dam_Park_Golf_Course/4072/ http://www.emnrd.state.nm.us/SPD/conchaslakestatepark.html",,,,,,,,,,,,,,,,,,,,390676.3886885399,35.37136361014556,-104.19332905757132,New Mexico,NM00061
Hidden Valley Golf Club,Aztec,,,,,18 hole Par 70,+1 505-334-3248,,website,"no website, info e.g. at http://www.worldgolf.com/courses/usa/newmexico/aztec/hidden-valley-golf-club.html",,,,,,,,,,,,,,,,,,,,389331.32396009366,36.800253991624345,-108.02409679645473,New Mexico,NM00040
Valle Del Sol Golf Course,Carrizozo,6634,88301,NM,US 380,9 hole Par 27,+1 505-648-2770,http://nmvalledelsol.com/,,,,,,,Bing,,,,,,,,,,,,,,,363239.21244784235,33.63937508134997,-105.85398494140121,New Mexico,NM00025
Colonial Park Golf Course,Clovis,1300,88101,NM,Colonial Parkway,9 hole Par 35 & 9 hole Pitch & Putt,+1 575 7624775,http://www.cityofclovis.org/?page_id=600,,,,City of Clovis,,,,,,,,,,,,,,,,,,358979.0512345837,34.40691565128495,-103.18244783813466,New Mexico,NM00057
Ponderosa Pines Golf Course,Cloudcroft,878,88317-9311,NM,Cox Canyon Highway,9 hole Par 36,575-682-2995,http://richardk.globat.com/,,,,,,,,,,,,,,,,,,,,,,354383.5144658019,32.882402530466855,-105.65327888657501,New Mexico,NM00081
Zuni Mountain Golf Course,,,,,,9 hole Par 36,+1 505 287 9239,,website,"No website available, info e.g. at http://www.worldgolf.com/courses/usa/newmexico/milan/zuni-mountain-golf-course.html",,,,,,,,,,,,,,,,,,,,349232.3939938972,35.18513583707026,-107.90964232135347,New Mexico,NM00080
Tucumcari Municipal Golf Course,Tucumcari,4465-C,88401,NM,Route 66,9 hole Par 36,+1 575 4611849,https://www.cityoftucumcari.com/golf/,,,,,,,,,,,,,,,,,,,,,,346755.6967473161,35.15800855669667,-103.79792075841799,New Mexico,NM00078
Puerto Del Sol Golf Course,Albuquerque,1800,87106,NM,Girard SE,9 hole Par 35,+1 505 2655636,https://www.cabq.gov/puerto-del-sol-golf-course,,,,,,,,,,,,,,,,,,,,,,338259.613838663,35.0620447986657,-106.61100461466988,New Mexico,NM00031
Jal Country Club,Jal,1001,88252,NM,North 3rd Street,,+1-575-395-2330,https://jalcountryclub.com/,,,,City of Jal New Mexico,,,,,,,,,,,,,,,,,,321524.67822528,32.12774579142183,-103.19622339401795,New Mexico,NM00046
Santa Rosa Golf Course,,,,,,9 hole,+1 575-472-4653,,,"No course website available, info e.g. at http://www.worldgolf.com/courses/usa/newmexico/santarosa/santa-rosa-golf-course.html",,,,,,,,,,,,,,,,,,,,311754.4602139839,34.95146320114325,-104.64564108166977,New Mexico,NM00049
University of New Mexico North Golf Course,,,,,,9 hole Par 36,(505) 277-4146,http://unmgolf.com/north.html,,,,,,,Bing,,,,,,,,,,,,,,,311354.63926288043,35.09718020193601,-106.6207397368002,New Mexico,NM00032
Clayton Golf Club,Clayton,,,NM,,9 hole Par 36,+1-575-447-0090,https://www.claytonnewmexico.net/golf.html,,,,,,,,,,,,,,,,,,,,,,303015.05811533687,36.446534753812124,-103.16071725242583,New Mexico,NM00056
Truth or Consequences Municipal Golf Course,Truth or Consequences,685,87901,NM,Marie Street,9 hole Par 36,+1 575-894-2603,https://www.torcnm.org/departments/golf_course.html,,,,,wowens@torcnm.org,Mo-Su 07:00-19:30,image,,,,,,,,,,,,,,,298950.6610770091,33.14411368604497,-107.25482188272882,New Mexico,NM00029
Raton Golf & Country Club,Raton,510,87740,NM,Country Club Road,9 hole Par 35,(505) 445-8113,https://www.ratongolf.com/,,"http://www.ratongolf.com might be down, info e.g. at  http://www.worldgolf.com/courses/usa/newmexico/raton/raton-country-club-municipal-golf-course-semi-private.html",,,,,,,,,,,,,,,,,,,,276812.264798681,36.88912217330917,-104.46850365964036,New Mexico,NM00067
Kokopelli Country Club,,,,,,18 hole Par 64,+15753361818,http://www.kokopellicountryclub.com/,,,private,,,,,,,,,,,,,,,,,,,265757.42698237195,33.39766630847181,-105.65013505014397,New Mexico,NM00062
Valle Escondido Golf Course,,,,,,9 Hole Par 36,575-758-3475,https://www.taosgolf.org/,,,,,,,,,,,,,,,,,,,,multipolygon,,219460.8960320428,36.363571821617136,-105.37838926208923,New Mexico,NM00014
Anthony Country Club,Anthony,2100,88021,NM,West Ohara Road,9 hole Par 35,+1 575 8822723,https://www.facebook.com/pages/Anthony-Country-Club/231141212529,,,,,,,,,,,,,,,,,,,,,,212592.94548575708,32.02134023770144,-106.64982935409473,New Mexico,NM00053
Innsbrook Village Country Club,,,,,,9 hole Par 27,1-800-284-0294; (575) 258-5441,https://www.innsbrookcondos.com/,,,,,,,,,,,,,,,,,,,,,,177950.93409448012,33.34983984468457,-105.67247357753497,New Mexico,NM00023
Quail Run Santa Fe,,,,,,9 hole Par 72,"(800) 548-6990, (505) 986-2255",http:// www.quailrunsantafe.com,,,private,,,,,,,,,,,,,,,,,,,177770.54071108944,35.64235057099725,-105.92733343266033,New Mexico,NM00066
The Lodge Resort,,,,,,9 hole Par 34,800-395-6343;575-682-2098,https://www.thelodgeresort.com/golf.cfm,,,,,,,,,,,,,,,,,,,,multipolygon,,176904.46535394757,32.9482912290088,-105.74393605217251,New Mexico,NM00012
Civitan Golf Course,,,,,,9 hole Par 27,505-599-1194,http://www.fmtn.org/index.aspx?NID=274,,,,,,,,,,,,,,,,,,,,,,92117.97347849188,36.750723600715666,-108.19998736661671,New Mexico,NM00087
Enchanted Lands Disc Golf Course,Roswell,300,88201,NM,North Estrellita Drive,,,http://www.roswelldiscgolf.com/,,,,,,,Bing,,,,,,,,,,,,,,,63439.65356940903,33.3963005921565,-104.56621391766782,New Mexico,NM00083
Country Club Driving Range & Practice Area,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,30224.531009629736,33.42263814516333,-104.49211807849514,New Mexico,NM00082
Unknown Golf Course,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,25522.897023081274,35.754064842445665,-106.04269523999196,New Mexico,NM00089
Jal Lake Practice Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23187.582547381706,32.10014062361555,-103.19255727123954,New Mexico,NM00090
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,multipolygon,driving_range,20291.254586158873,35.89908131923417,-106.30651893793403,New Mexico,NM00017
