name,addr:city,addr:housenumber,addr:postcode,addr:street,gnis:feature_id,phone,website,addr:state,operator,contact:website,holes,wikidata,opening_hours,start_date,description,alt_name,old_name,sport,golf,lit,email,check_date,contact:facebook,golf:course,short_name,wikipedia,area,building,dog,fee,source,type,contact:instagram,contact:twitter,fax,ele,name:etymology:wikidata,official_name,par,wheelchair,landuse,area_m2,lat,lon,province,gcid
Cambrian Ridge,Greenville,101,36037,Sunbelt Parkway,,+1-334-382-9787,https://www.rtjgolf.com/cambrianridge/,AL,Robert Trent Jones Golf Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820615.108462439,31.897150227799827,-86.68553441669523,Alabama,AL00164
Cider Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763262.427917884,33.59446734172337,-85.74895974340694,Alabama,AL00062
Highland Oaks Golf Course,Dothan,904,36305,Royal Parkway,2579934,+1 334-712-2820,https://www.rtjgolf.com/highlandoaks/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,park,1759566.455701399,31.227085852761668,-85.49436559555143,Alabama,AL00014
Canebrake Club,Athens,23015,35613,Founders Circle,,+1-256-232-2412,https://www.canebrakeclub.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1708849.5923004604,34.75892873334619,-86.91275030540776,Alabama,AL00015
Southern Gayles Golf Club and Grill,Athens,22230,35613,Mooresville Road,,+1 256-232-9888,,AL,,,,,sunrise-sunset,,,,,,,,gkomara@southerngayles.com,,,,,,,,,,,,,,,,,,,,,1591744.1771403677,34.87833650857476,-86.87211268526987,Alabama,AL00195
RTJ Ross Bridge Golf,Hoover,4000,35226,Grand Avenue,,,,AL,,,,,,,,Robert Trent Jones Golf Trail Ross Bridge,,,,,,,,,Ross Bridge Golf,,,,,,,,,,,,,,,,,1454773.910908974,33.38985773313819,-86.8778780945171,Alabama,AL00054
Hidden Meadows Golf Course,Northport,13000,35473,Old Cove Road,,+1-205-339-3673,https://www.hiddenmeadowsgc.com/,AL,,,,,Mo-Su 08:00-dusk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454288.8702324352,33.296663294323544,-87.6396548698535,Alabama,AL00158
Judge,,,,,,+1 334 285 1114,https://www.rtjgolf.com/capitolhill/,,Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381216.6722956158,32.44166741377649,-86.38395237737332,Alabama,AL00137
Kilgore's Roundabout Plantation Golf Course,,,,,2579932,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1300570.3828693558,31.228675657058883,-85.30583963303715,Alabama,AL00020
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247068.603167,33.325181555949,-86.97259615814836,Alabama,AL00186
Country Club of Birmingham,,3325,,Country Club Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196648.7192988466,33.49531938672501,-86.76605289564209,Alabama,AL00071
Turtle Point Yacht and Country Club,,1000,,Club Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190889.617684321,34.84945603454419,-87.54717589504604,Alabama,AL00144
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175196.6825711948,32.87474178162912,-85.21537208859162,Alabama,AL00069
Auburn University Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1155308.4895558185,32.63126905579781,-85.5087299906581,Alabama,AL00027
NorthRiver Yacht Club,Tuscaloosa,3100,35406,Yacht Club Way NE,,,,AL,,,,Q7053605,Mo-Su 08:00-17:00,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153803.944044754,33.295571340751394,-87.49740995033319,Alabama,AL00159
Horse Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141056.0389670937,33.74224808917927,-87.06191953274629,Alabama,AL00192
Timber Creek Golf Club,Daphne,9650,36527,Timbercreek Boulevard,2579727,+1 251 621 9900;+1 877 621 9900,https://www.golftimbercreek.com/,AL,,,,,,,,,,,,,,,http://www.facebook.com/pages/TimberCreek-Golf-Club/310866118854,,,,,,,,,multipolygon,golftimbercreek,golftimbercreek,+1 251 621 9359,,,,,,,1128084.5693389548,30.66974923239454,-87.8615248909536,Alabama,AL00007
The Ledges,Huntsville,35,35802,Castle Down Drive,,+1 256-883-0860,https://www.theledges.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1117679.448887843,34.67180682420193,-86.5168104681402,Alabama,AL00017
Silver Wings Golf Course,Fort Rucker,,,Combat Road,2579636,+1 334-598-2449,https://www.ftruckermwr.com/recreation/silver-wings-golf-course/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114783.7848345817,31.355202152916323,-85.69744235774259,Alabama,AL00119
Peninsula Golf and Racquet Club,,,,,2579906,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,1087618.220313952,30.254216944637836,-87.77012047541542,Alabama,AL00008
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083681.4577862048,34.80941647181463,-87.32216507161694,Alabama,AL00151
Point Mallard Golf Course,,,,,125081,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,170,,,,,,1076222.7413957312,34.580996090373276,-86.93205810378815,Alabama,AL00037
Point Mallard Golf Course,,,,,125081,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,170,,,,,,1076222.7413957312,34.580996090373276,-86.93205810378815,Alabama,AL00038
Indian Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061263.9757784563,33.72750081559212,-85.86879121991495,Alabama,AL00063
Limestone Springs Golf Club,Oneonta,3000,,Colonial Drive,,+1 205-274-4653,https://www.limestonesprings.com/,AL,,,,,,,,,,,,,info@limestonesprings.com,,https://www.facebook.com/LimestoneSprings,,,,,,,,,multipolygon,,,,,,,,,,1053290.8789621005,33.89101095212497,-86.57035829586563,Alabama,AL00041
Shoal Creek,Shoal Creek,100,35242,New Williamsburg Drive,146573,,http://www.shoalcreekclub.com/,,,,,,,,,,,,,,,,,,,en:Shoal Creek Golf and Country Club,,,,,,,,,,,,,,,,1044127.6309277209,33.436248477861184,-86.61180092948173,Alabama,AL00111
Lakepoint State Park Resort Golf Course,Eufaula,104,36027,Lakepoint Drive,,+1 334 687 6677,https://alabama.travel/places-to-go/lakepoint-state-park-resort-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033571.2024045862,31.992164810244997,-85.1088030759323,Alabama,AL00129
Wynlakes Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033319.3853779307,32.348156200752584,-86.15042563340359,Alabama,AL00187
Willow Point Golf & Country Club,Alexander City,2544,35010,Willow Point Road,,+1 256-212-1407,https://www.willowpoint.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002258.4718185546,32.785747936864325,-85.97576470590167,Alabama,AL00115
Legislator,,,,,,+1 334 285 1114,https://www.rtjgolf.com/capitolhill/,,Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992721.3231593384,32.44443576056078,-86.39502440406399,Alabama,AL00138
Soldiers Creek Golf Club,,,,,2579974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981316.971463469,30.3992654433617,-87.53641718276367,Alabama,AL00083
Cottonwood Golf Club,Montgomery,7160,36116,Byron Nelson Boulevard,142826,+1 334-281-3344,https://www.cottonwoodgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,944927.8995143048,32.24741926439135,-86.17584086159239,Alabama,AL00019
Lake Forest Golf Course,Daphne,1,36526,Golf Terrace,134611,,http://www.lakeforestpoa.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,940187.3482370455,30.647090983953124,-87.8866511294959,Alabama,AL00023
Cane Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928493.3814285549,33.72363990386884,-85.79974040725136,Alabama,AL00061
The Country Club of Mobile,Mobile,4101,36608,Wimbledon Drive,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,927581.5192700543,30.683150516178006,-88.15495337430119,Alabama,AL00050
Auburn Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899398.4658957493,32.54644835628963,-85.50760929253929,Alabama,AL00124
Goosepond Plantation Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886935.9407508444,34.63946390387389,-86.12763065922788,Alabama,AL00096
Tartan Pines Golf Club,Enterprise,423,36330,Tarton Way,,+1 334 393 8000,https://www.tartanpinesgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,885379.9621073694,31.314562070028284,-85.88120595874771,Alabama,AL00033
Senator,,,,,,+1 334 285 1114,https://www.rtjgolf.com/capitolhill/,,Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879726.1281637148,32.448942077280556,-86.39545123561963,Alabama,AL00139
Dothan National Golf Club,Dothan,7410,36301,US 231 South,2580109,+1 334-677-3321,http://www.dothannationalgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868296.3506144056,31.1174523460629,-85.41149199621995,Alabama,AL00099
Vestavia Country Club,Birmingham,400,35216,Beaumont Drive,,,https://www.vestaviacc.com/18-hole-golf-course,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859888.8793889558,33.45140750789063,-86.77774145626707,Alabama,AL00204
Azalea City Golf Course,Mobile,1000,36608,Gaillard Drive,2579600,+1 251-208-5150,https://www.cityofmobile.org/azaleagolf/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859705.1406563827,30.70151465861911,-88.16933459411356,Alabama,AL00070
Musgrove Country Club,Jasper,916,35503,Country Club Road,,+1 205 221 7900,https://www.musgrovecc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853240.195798106,33.90881234786086,-87.28430370772831,Alabama,AL00162
Gulf State Park Golf Course,,,,,2579722,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,851417.2865742076,30.27440129603941,-87.6568814586584,Alabama,AL00045
Arrowhead Country Club,Montgomery,50,36117,Ocala Drive,,+1 334 272 7180,https://www.arrowheadcountryclub.net/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,850936.2705711281,32.37831040073772,-86.14030494714908,Alabama,AL00030
Greystone Golf & Country Club,Birmingham,4100,35242,Greystone Drive,,,https://www.greystonecc.com,AL,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,848158.6634827461,33.429629804698976,-86.65099906190702,Alabama,AL00005
The Golf Club of the Wharf,Gulf Shores,520,36542,Clubhouse Drive,2580058,+1 251-968-7366,,,,,,,,,,,Gulf Shores Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,845205.1828317747,30.26971931639019,-87.70456398364541,Alabama,AL00082
Emerald Mountain Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,843330.0009981788,32.44794796913004,-86.10371542154668,Alabama,AL00028
Heron Lakes Country Club,Mobile,3851,36693,Government Boulevard,,+1 251 666 7040,https://heronlakescountryclub.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842428.6635340517,30.642720903276587,-88.12888287104609,Alabama,AL00092
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,836617.507174465,34.586846247196554,-86.0781221134513,Alabama,AL00013
Cypress Lakes Golf & Country Club,,,,,,,,,City of Muscle Shoals,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,832900.7327451115,34.73348320984083,-87.65555231819057,Alabama,AL00011
The Meadows Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824253.5577349389,33.327408722891384,-86.3929955318236,Alabama,AL00201
Moore's Mill Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820512.0032590659,32.58216121583235,-85.44872381132554,Alabama,AL00126
Pine Tree Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820194.5846261873,33.524913655966685,-86.65072154071811,Alabama,AL00179
Eagle's Nest Golf Course,,,,,,,https://www.alapark.com/lake-guntersville-state-park-eagles-nest-golf-course-18-holes,,,,,,Apr-Nov 07:00-17:00; Nov-Apr 08:00-16:00,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,820077.2753872755,34.3936286019603,-86.19416763565421,Alabama,AL00094
Cypress Tree Golf Club,Maxwell Air Force Base,1461,36112,March Street,,+1 334 953 2209,http://www.cypresstreegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,819008.8257190567,32.39023316874096,-86.35750743519596,Alabama,AL00039
Lagoon Park Golf Course,Montgomery,2855,36109,Lagoon Park Drive,,+1 334 240 4050,https://www.playmontgomerygolf.com/-about-lagoon-park-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810353.0799609609,32.40720074993708,-86.22194971886995,Alabama,AL00133
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800596.0050666643,34.817451200064646,-85.65655859238531,Alabama,AL00202
Quail Walk Golf Course,,,,,137293,+1 334-567-5014,http://www.quailwalkgolfcourse.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795298.9390380007,32.565346916933144,-86.22141540001425,Alabama,AL00114
Greystone G&CC Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793839.2255145629,33.458133632337564,-86.62213884970117,Alabama,AL00078
Castle Pines Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792528.7046261022,33.66353463868118,-86.78020719705815,Alabama,AL00157
Kiva Dunes Golf Course,,,,,2579734,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,786400.9509755039,30.235627958959515,-87.89463173509169,Alabama,AL00049
Enterprise Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781295.1002143255,31.359419958874675,-85.82401514203978,Alabama,AL00143
Rock Creek Golf Club,Fairhope,140,36532,Clubhouse Drive,,+1 251-928-4223,https://www.rockcreekgolf.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,767622.1503558103,30.57260788483894,-87.88888373992232,Alabama,AL00025
Redmont Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750337.762013372,34.465417375297726,-88.14530487491939,Alabama,AL00102
Twin Pines Golf Course,,,,,164434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745651.6873966603,34.570304350861356,-87.67359158080491,Alabama,AL00106
Twin Pines Golf Course,,,,,164434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745651.6873966603,34.570304350861356,-87.67359158080491,Alabama,AL00105
Mountain Brook Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745066.6158170048,33.4953363496761,-86.73969834261523,Alabama,AL00093
Pines Crossing Golf Course,Auburn,900,36830,Country Club Drive,,,,AL,Indian Pines Recreational Authority,,,,,,,,,,,,,,,,,en:Indian Pines Golf Course,,,,,,,,,,,,,,,,744248.9180493616,32.62201987876363,-85.44105416579012,Alabama,AL00123
Deer Run Golf Course,Moulton,1175,35650,County Road 100,161818,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737676.9421444987,34.4276839019354,-87.31849550960484,Alabama,AL00100
The Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733145.7166118013,33.15850831121526,-87.56373055891403,Alabama,AL00161
Blackberry Trail Golf Course,,,,,,,,,"City of Florence, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731323.9526415991,34.855862720033365,-87.62668241336075,Alabama,AL00085
Steelwood Country Club,Loxley,31925,36551,Steelwood Ridge Drive,,+1 251-964-7165,https://www.steelwoodcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,724543.5602184953,30.703697834024553,-87.72900066922175,Alabama,AL00006
Mill Creek Golf Course,Citronelle,17850,36522,Municipal Park Drive,2579610,+1 251-866-7881,http://www.cityofcitronelle.com/tour.asp,AL,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,720734.3724571133,31.071065285284707,-88.30823144248438,Alabama,AL00022
Colonial Golf Club,Meridianville,400,35759,Colonial Drive,,+1-256-828-0431,,AL,,,,,sunrise-sunset,,,,,,,,sbalch@colonial.golf,,,,,,,,,,,multipolygon,,,,,,,,,,688982.8318814255,34.86947049673266,-86.59460015506498,Alabama,AL00044
Terrapin Hills Country Club,Fort Payne,5501,35967,Club Drive Northwest,150548,+1 256-845-4624,http://www.terrapinhillscountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,686642.5195266434,34.51068295044194,-85.68455194357804,Alabama,AL00016
Quail Creek Golf Course,Fairhope,19841,36532,Quail Creek Drive,2579629,+1 251-990-0240,http://www.cofairhope.com/services/quail-creek-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,685869.3681648588,30.507504757543874,-87.84156618263387,Alabama,AL00024
Coosa Pines Golf Club,Childersburg,16615,35044,Plant Road,164310,+1 256-378-5529,http://www.coosapinesgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681966.0016008698,33.33466245784901,-86.36268225402166,Alabama,AL00110
River Run,Montgomery,1501,36117,Dozier Road,,+1 334 260 4900,http://www.tallapoosalakes.com/,,Tallapoosa Lakes Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680355.0765122133,32.418909323336884,-86.14035262735626,Alabama,AL00136
Grayson Valley Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670089.8151844427,33.64368493162871,-86.64147841789848,Alabama,AL00087
Sunset Landing Golf Course,,,,,147018,+1 256-464-5050,https://www.flyhuntsville.com/hsv/sunset-landing-golf-course/,,,,,,,,,,Jetport Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,663736.898350789,34.65643547467076,-86.77778669187252,Alabama,AL00104
Spring Hill Golf Course,Mobile,4000,36608,Dauphin Street,143822,+1-251-380-4655,https://www.springhillgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653689.9235965104,30.68907632212618,-88.13813875813499,Alabama,AL00097
Lakewood Golf Course,,,,,133273,+1 334-291-4726,http://www.phenixcityal.us/default.asp?ID=170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643301.1704077293,32.50630727201198,-85.03075649210624,Alabama,AL00113
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636835.9856911631,32.52102400705836,-86.38202989336104,Alabama,AL00132
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632233.4657830979,32.50159537860672,-87.86421152018035,Alabama,AL00141
Indian Hills Golf Course,Tuscaloosa,1650,35406,McFarland Boulevard North,,+1 205 349 1500,https://www.indianhillscountryclub.net/,AL,,,,,Tu-Su 06:00-19:00,,"Golf, Tennis, Swimming, Dining,",,,,,,,,,,,,,,,,,,,,,,,,,,,629095.0992306832,33.230594351105694,-87.54428451526425,Alabama,AL00160
Pine Hill Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626563.228258017,33.667061512867384,-85.7036829257387,Alabama,AL00060
Kolomi,Montgomery,1501,36117,Dozier Road,,+1 334 260 4900,http://www.tallapoosalakes.com/,,Tallapoosa Lakes Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624059.735788698,32.41905613058917,-86.13259602219821,Alabama,AL00135
Vanity Fair Golf and Tennis Club,,,,,1700666,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,618096.7484588996,31.51623748462858,-87.34122300196327,Alabama,AL00034
Eufaula Country Club,Eufaula,2650,36027,Country Club Road,,+1 334 687 2007,http://www.eufaulacountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615703.6457058869,31.88420576516615,-85.17150959032054,Alabama,AL00128
Frank House Municipal Golf Course,Bessemer,801,35022,Golf Course Road,143999,+1-205 424-9540,https://www.bessemeral.org/frank-house/,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612637.3093652572,33.3660069339991,-86.99129418607586,Alabama,AL00074
Gadsden Country Club,Gadsden,1884,35904,Rainbow Drive,,+1 256-546-0451,https://www.thegadsdencountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608526.8227004422,33.973550250111046,-86.01238655814608,Alabama,AL00059
Boaz Golf and Country Club,,,,,164292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606767.7762911675,34.17297296052679,-86.15052225164632,Alabama,AL00107
Spring Creek Golf Course,,800,,Woodmont Drive,,,,,City of Tuscumbia Parks and Recreation Department,http://cityoftuscumbia.org/?page_id=91,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603211.4243402132,34.72169395162329,-87.70192950484213,Alabama,AL00066
Dothan Country Club,Dothan,200,36301,South Cherokee Avenue,,+1 334 792 6650,https://www.dothancountryclub.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594159.4051877839,31.22274245031408,-85.41721988218174,Alabama,AL00089
Dothan Country Club,Dothan,200,36301,South Cherokee Avenue,,+1 334 792 6650,https://www.dothancountryclub.com/,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594159.4051877839,31.22274245031408,-85.41721988218174,Alabama,AL00088
Cullman Golf Course,Hanceville,2321,35077,County Road 490,,+1 256 739 2386,http://www.cullmangolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591911.5206290241,34.104594766828676,-86.82841179028634,Alabama,AL00130
Attalla Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589636.4071795461,34.008999697379394,-86.09723460326603,Alabama,AL00098
TP Country Club,Cullman,700,35057,Pine Hill Drive,,+1 256 739 0738,https://www.tpcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588177.9454036248,34.22640791839876,-86.89167403290858,Alabama,AL00131
Huntsville Country Club,Huntsville,2601,35810,Oakwood Avenue,,+1-256-859-3000,https://www.huntsvillecountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,584923.0058969767,34.746367006816904,-86.61537006894049,Alabama,AL00047
Albertville Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582701.1979953317,34.29715021388483,-86.1992393062127,Alabama,AL00095
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582339.816111417,32.972743120507744,-87.13558883962797,Alabama,AL00193
Hoover Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578082.1279779271,33.4004715179838,-86.8191106404159,Alabama,AL00055
Andalusia Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,576789.4785396296,31.31688906455319,-86.51446580572993,Alabama,AL00051
Lakeview Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576184.2031604256,32.695814106702436,-87.63115393122592,Alabama,AL00167
