addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,operator,opening_hours,phone,website,wikidata,gnis:feature_id,wikipedia,sport,heritage,heritage:operator,historic,ref:nrhp,fee,area,source,ele,golf:course,description,type,area_m2,lat,lon,province,gcid
Brusly,5351,70719,,Country Club Road,West Side Golf Course,,,+1 225-749-8832,https://westsidegolfclub.com/,,542807,,,,,,,,,,,,,,559294.5934397161,30.38731795583765,-91.28188016754389,Louisiana,LA00067
,,,,,Bayou Bend Golf Course,,,,,,558737,,,,,,,,,,,,,,556201.901064781,30.195800774368177,-92.37806003766715,Louisiana,LA00058
,,,,,Webb Park Golf Course,,,,,,,,,,,,,,,,,,,,500672.3471004576,30.43576271097096,-91.13648635067352,Louisiana,LA00091
,,,,,Webb Park Golf Course,,,,,,,,,,,,,,,,,,,,500672.3471004576,30.43576271097096,-91.13648635067352,Louisiana,LA00090
,,,,,Lake D'Arbonne Country Club,,,,,,,,,,,,,,,,,,,,495777.4690152671,32.726143093809775,-92.34180132046305,Louisiana,LA00104
Baton Rouge,2301,70807,LA,Thomas Road,J.S. Clark Golf Course,BREC,,,https://golf.brec.org/courses/jsclark/,,,,,,,,,,,,,,,,481326.29854975175,30.560964598888827,-91.16937730020845,Louisiana,LA00120
,,,,,Vermilion Oaks Country Club,,,,,,,,,,,,,,,,,,,,476451.97956539545,29.989138234846823,-92.1562693971252,Louisiana,LA00074
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,476096.7133156896,32.960174170660395,-93.45886632911477,Louisiana,LA00118
,,,,,Colonial Golf Course,,,,,,557456,,,,,,,,,,,,,,447392.3977765417,29.932146906228624,-90.20919664590635,Louisiana,LA00039
Lafayette,1121,70501,,Mudd Avenue,Hebert Municipal Golf Course,,,+1 337-291-5557,https://www.hebertpark.com/,,2601362,,,,,,,,,,,,,,442384.59009753447,30.23662040336051,-92.00418357692361,Louisiana,LA00059
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,367522.24793734314,32.173331400756084,-91.67730973650886,Louisiana,LA00099
,,,,,Ville Platte Golf and Country Club,,,,,,2601379,,,,,,,,,,,,,,362493.1183550552,30.770505878756072,-92.27941305744532,Louisiana,LA00054
,,,,,Audubon Park Golf Course,,,,,,,,,,,,,,,,,,,,360852.2122531226,29.930132790501574,-90.12717794952864,Louisiana,LA00032
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,354415.35325723107,32.53394096016721,-92.94997949345955,Louisiana,LA00108
Jena,270,71342,,Country Club Road,LaSalle Golf & Country Club,,,+1 318 992 4283,https://lasallegolf.com/,,,,,,,,,,,,,,,,351951.75195582764,31.690842570985094,-92.1852256453555,Louisiana,LA00077
,,,,,Red Oaks Golf Club,,,,,,2601371,,,,,,,,,,,,,,345462.9184141987,30.578988934073575,-92.03738043093209,Louisiana,LA00052
,,,,,Fenwood Hills Golf Course,,,,,,,,,,,,,,,,,,,,343110.7678723947,30.666246660939787,-91.18603053894581,Louisiana,LA00100
Minden,,71055,LA,Pine Hills Drive,Pine Hills Gold Course,,unknown,,,,,,,,,,,,,,,,Private golf club.,,332969.971250943,32.62594543873459,-93.26260501412277,Louisiana,LA00092
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,330460.7239797616,30.1716270245197,-93.28041755758663,Louisiana,LA00081
,,,,,Bayou Country Club,,,,,,,,,,,,,,,,,,,,330161.95294609485,29.777252907661055,-90.79429187418694,Louisiana,LA00035
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,329544.866358219,32.35482251810864,-91.20448444000606,Louisiana,LA00112
,,,,,Coushatta Country Club,,,,,,,,,,,,,,,,,,,,320132.38617716084,32.02606512886986,-93.33203652248064,Louisiana,LA00073
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,318192.3852168707,32.530107810483436,-92.95401101389993,Louisiana,LA00107
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,306746.1146107837,29.573450807759116,-90.72289912939345,Louisiana,LA00036
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,297017.94697223057,32.46982065068244,-91.8056912715799,Louisiana,LA00109
Shreveport,1111,71115,,Academy Drive,David Toms 265,,,+1 318-798-5437,http://www.davidtoms265.com/,,,,,,,,,,,,,,,,286118.2881760509,32.414417182868256,-93.71766290764359,Louisiana,LA00047
,,,,,Woody Dumas Memorial Golf Course,BREC,Mo-Su 07:00-sunset,,https://golf.brec.org/courses/dumas-memorial-2/,,,,,,,,,yes,,,,,,,283939.7361236756,30.568442756105334,-91.16979572141037,Louisiana,LA00119
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,269045.4768431365,30.785544620482682,-89.84826177159229,Louisiana,LA00086
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,261566.74188622495,32.77914970716735,-93.06171703668034,Louisiana,LA00096
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,261566.74188622495,32.77914970716735,-93.06171703668034,Louisiana,LA00095
,,,,,Fashion Golf Course,,,,,,1629092,,,,,,,,,,,,,,250958.6067130451,29.95976468638505,-90.41260891395181,Louisiana,LA00068
,,,,,The Pines at North Park,,,,,,,,,,,,,,,,,,,,249470.1334837965,30.499339791731096,-90.92672537442427,Louisiana,LA00111
Monroe,2401,71201,LA,Sycamore Street,Forsythe Park Golf Course,,05:00-23:55,+1-318-329-2458,https://monroela.us/visitors/parks-recreation/forsythe-golf-course,,,,,,,,,,,,22,,,,245764.38412535196,32.52509405244861,-92.12813216830746,Louisiana,LA00083
,,,,,Spring Bayou Golf Course,,,,,,545580,,,,,,,,,,,,,,239102.28153115936,31.135361126382975,-92.03689872809845,Louisiana,LA00053
,,,,,Bayou Side Golf Course,,,,,,2601340,,,,,,,,,,,,,,232211.05877471966,29.9609295722589,-91.03285579787764,Louisiana,LA00063
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,224604.91729229267,30.173595040015112,-93.27083265953928,Louisiana,LA00080
Baton Rouge,1515,70808,LA,Dalrymple Drive,City Park Golf Course,BREC,,,,Q5123352,,en:City Park Golf Course,,2,nrhp,heritage,02001546,,,,,,,,218519.72133447853,30.431499449591648,-91.16724162823958,Louisiana,LA00093
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,210717.98325535413,32.957981517354455,-93.12720969180656,Louisiana,LA00072
,,,,,Colonial Acres Golf Course,,,,,,2601348,,,,,,,,,,,,,,203628.17573655135,29.625997181279274,-90.7393247166416,Louisiana,LA00064
,,,,,Jerry Brooks Golf Course,,,,,,,,,,,,,,,,,,,,194672.9170107062,32.50554966877212,-93.77782794060076,Louisiana,LA00098
Hammond,15592,70403,,Club Deluxe Road,Hammond Golf Center,,,+1 985-542-7908,http://www.hammondgolfcenter.com/,,2601359,,,,,,,,,,,,,,146619.46085923398,30.47365533072193,-90.46352482407,Louisiana,LA00066
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,45765.31194526868,31.289090258443213,-92.456450017512,Louisiana,LA00094
,,,,,Hole In One Driving Range,,,,,,,,,,,,,,,,,driving_range,,,44086.66995964039,32.532002858530916,-92.67161388172474,Louisiana,LA00124
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,29057.6429884385,30.54007238134076,-89.9456252606009,Louisiana,LA00082
