addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,golf:course,golf:links,golf:par,name,operator,phone,access,source,website,gnis:feature_id,old_name,alt_name,magic:DESC_,sport,wikidata,wikipedia,magic:CATEGORY,note,email,start_date,opening_hours,owner,ownership,bar,carts,cost,driving_range,food,holes,membership,smoking,abandoned,fax,type,golf:course:tee_names,golf:length:blue,golf:length:gold,golf:length:green,golf:length:white,golf:length_unit,golf:stroke_index,url,operator:type,operator:wikidata,operator:wikipedia,area_m2,lat,lon,province,gcid
Orange,246,06477,CT,Derby Avenue,,,,,Race Brook Country Club,,203-389-9521,,,https://www.racebrook.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,926815.803547208,41.295647000155526,-73.01504565407652,Connecticut,CT00003
Ridgefield,439,06877,CT,Silver Spring Road,,18,,71,Silver Spring Country Club,,203-438-2671,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.silverspringcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919002.9072484474,41.25341568739214,-73.50608084311965,Connecticut,CT00060
Bloomfield,376,06002,CT,Simsbury Road,country club,,,,Tumble Brook Country Club,Troon,860-242-4600,private,,http://tumblebrookcc.clubsoftlinks.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912512.1114607595,41.81453386285433,-72.75545837171889,Connecticut,CT00098
Agawam,281,01001,CT,Shoemaker Lane,,18,,72,Crestview Country Club,,+1 413-786-2593,,MassGIS OpenSpace (http://www.mass.gov/mgis/osp.htm),https://www.crestviewcc.org/,,,,,,,,,,,,,Crestview Country Club,private,,,,,,,,,,,,,,,,,,,,,,,911005.1338010695,42.035481558573444,-72.64928606596376,Connecticut,CT00034
Ellington,54,06029,CT,Abbott Road,,,,,Ellington Ridge Country Club,Ellington Purchasing Corp.,860-872-9133,,,https://www.ellingtonridge.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901086.4243531232,41.88347923138725,-72.50471257014071,Connecticut,CT00106
Cromwell,1,06416,CT,Golf Club Road,,,,,TPC River Highlands,,860-635-5000,private,,https://tpc.com/riverhighlands,1924044,,,,,Q2476740,en:TPC River Highlands,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,849827.0556569358,41.62991572372169,-72.64022994665851,Connecticut,CT00015
New Haven,200,06515,CT,Conrad Drive,,,,,Yale Golf Course,Yale University,203-392-2380,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://yalegolf.yale.edu/,1933193,,The Course at Yale,,,Q8047441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846199.7678831365,41.3180388208708,-72.98613643760619,Connecticut,CT00084
,,,,,,18,,71,Connecticut National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838841.2781502181,41.89940039531499,-71.83835352211159,Connecticut,CT00133
Simsbury,85,06070,CT,Firetown Road,,,,,Hopmeadow Country Club,,860-658-7623,,,http://www.hopmeadowcc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826626.7214855041,41.876582422366674,-72.82089425066525,Connecticut,CT00075
Hebron,91,06248,CT,North Street,,,,,Tallwood Country Club,"Tallwood Country Club, LLC.",860-646-1151,yes,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.tallwoodcountryclub.com/,,,,,,,,,,,,,,,yes,yes,$$,yes,yes,18,yes,outside,,,,,,,,,,,,,,,812697.5556115151,41.70098382359494,-72.44457363496792,Connecticut,CT00124
Greenwich,1241,06831,CT,King Street,,18,,72,Fairview Country Club,,203-531-6200,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.fairviewcountryclub.org/,,,,"Private, members or owners only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805228.2920654346,41.069184152370504,-73.69114490567594,Connecticut,CT00056
,,,,,,,,,Rolling Meadows Country Club,Rolling Meadows LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794820.0008798189,41.91135357545624,-72.49434880660912,Connecticut,CT00180
New Britain,245,06053,CT,Hartford Road,"Three 9-hole courses; can be played White/Red, Red/Blue, Blue/White for an 18--hole round",9;9;9,White Nine; Red Nine; Blue Nine,36;35;35,Stanley Golf Course,,860-827-8570,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.stanleygolf.com/,1944086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794192.2490570233,41.7043663559065,-72.7652142359184,Connecticut,CT00074
Darien,410,06820,CT,Hollow Tree Ridge Road,,,,,Wee Burn Country Club,,203-655-1477,,,https://www.weeburn.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793854.344422144,41.09250106878928,-73.49475339830836,Connecticut,CT00048
Darien,540,06840,CT,Hoyt Street,,18,,71,Woodway Country Club,,203-322-1661,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.woodway.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,765907.7731361284,41.10831628152576,-73.50652910083757,Connecticut,CT00001
Ridgefield,545,06877,CT,Ridgebury Road,,18,,73,Ridgefield Golf Club,,203-748-7008,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ridgefieldgc.com/,1942739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763808.4930030834,41.359288051004896,-73.53665069625207,Connecticut,CT00065
Hartford,1130,06114,CT,Maple Avenue,"Two separate courses, one 18-hole and one 9-hole.",18;9,South Course;North Course,70;35,Goodwin Park Golf Course,,+1 860 543 8518,,,https://www.goodwinparkgolfcourse.com/,1950301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755153.7570480744,41.72613832051509,-72.68638368199011,Connecticut,CT00158
Sprague,7,06330,CT,Dows Lane,,18,,72,Mohegan Sun Country Club at Pautipaug Hill,Mohegan Tribe,+1 860 822 6868,,,http://ww2.mohegansun.com/golf/,1931376,Pautipaug Golf Course and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750370.5467897415,41.638292186137576,-72.11385495887052,Connecticut,CT00076
Woodbridge,1027,06525,CT,Racebrook Road,,,,,The Tradition Golf Club at Oak Lane,,203-397-5103,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://traditionatoaklane.com/,,Oak Lane Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747676.6336084439,41.31946245482222,-73.0125117544319,Connecticut,CT00083
Harwinton,300,06791,CT,Hill Road,,18,,72,Fairview Farm Golf Course,AJT LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737859.6751360036,41.74950277665301,-73.07520322632394,Connecticut,CT00176
Danbury,100,06811,CT,Aunt Hack Road,,18,,71,Richter Park Golf Course,,203-792-2550,,,https://richterpark.com/,1942999,Stanley Lasker Richter Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736320.1859824602,41.41327034809456,-73.51981170892053,Connecticut,CT00066
,,,,,,18,,72,The Stanwich Club,,,,,https://www.stanwich.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732792.6840383438,41.12604042817711,-73.62750869779289,Connecticut,CT00175
Kensington,51,06037,CT,Randeckers Lane,,18,,71,Shuttle Meadow Country Club,,+1 860 229 6000,,,https://www.shuttlemeadowcc.com,212986,,,,,,,,,smccoffice@shuttlemeadowcc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,726786.5042978562,41.64333344536293,-72.79900115952204,Connecticut,CT00091
Waterbury,,,,Park Road,,,,,Western Hills Golf Course,,203-755-6828,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://www.waterburyct.org/content/5063/5065/default.aspx,1933127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719410.7969202022,41.55825195046316,-73.08606855170042,Connecticut,CT00116
,,,,,,18,,72,Morefar Back O' Beyond,,,private,,,,,,,,Q14707004,en:Morefar Back O'Beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715331.0186874891,41.412422311314074,-73.54179951061269,Connecticut,CT00160
Fairfield,118,06824,CT,Cross Highway,,18,,71,The Patterson Club,,203-259-5244,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://www.thepattersonclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705444.9614237408,41.1891126644208,-73.31486296431788,Connecticut,CT00059
Manchester,305,06045,CT,South Main Street,"Municipal, Open To Public With Fee",18,,72,Manchester Country Club,Town of Manchester,+1 860 646 0103,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.mancc.com,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,701784.3315291632,41.74549870792522,-72.5167602610529,Connecticut,CT00005
West Simsbury,100,06092,CT,Old Farms Road,,,,,Simsbury Farms Golf Course,Town of Simsbury,860-658-6246,,,https://www.simsburyfarms.com/,1950734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694486.6445200621,41.880081139741804,-72.84187114602517,Connecticut,CT00157
Norwalk,165,06850,CT,Fillow Street,,,,,Oak Hills Park Golf Course,,203-838-0303,,,https://www.oakhillsgc.com/,1942625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689818.573761709,41.11410412387427,-73.44359985383008,Connecticut,CT00054
Greenwich,1300,06831,CT,King Street,,,,,Griffith E. Harris Golf Course,Town of Greenwich,203-531-7200,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),,1941788,,Bruce Memorial Golf Club,"Municipal, open to public with fee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685304.4344084342,41.07884560434892,-73.69933647446052,Connecticut,CT00052
Greenwich,33,06831,CT,Round Hill Club Road,,,,,Round Hill Club,,203-869-2350,,,https://www.rhclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685002.5608704201,41.0584750945142,-73.66156846968514,Connecticut,CT00161
Wallingford,180,06492,CT,Cheshire Road,,,,,Farms Country Club,,203-265-0941,,,https://www.farmscc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684945.5860163725,41.47009053990473,-72.86085299087186,Connecticut,CT00087
Hamden,310,06514,CT,West Shepard Avenue,,18,,72,The VUE,,+1-203-287-2656,,,https://laurelviewcc.com/,,The Laurel View Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683952.4192649821,41.39489135431832,-72.93523940040122,Connecticut,CT00080
Bloomfield,1360,06002,CT,Hall Boulevard,,,,,Gillette Ridge Golf Club,,860-726-1430,,,https://www.gilletteridgegolf.com/,,,,,,Q16891654,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,681652.8293136954,41.814463532103694,-72.74119678468949,Connecticut,CT00013
Bloomfield,1360,06002,CT,Hall Boulevard,,,,,Gillette Ridge Golf Club,,860-726-1430,,,https://www.gilletteridgegolf.com/,,,,,,Q16891654,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,681652.8293136954,41.814463532103694,-72.74119678468949,Connecticut,CT00014
Easton,915,06612,CT,Black Rock Turnpike,,,,,Connecticut Golf Club,,203-261-2544,,,https://www.ctgolfclub.com/,1941925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678002.6212299851,41.263434675445666,-73.33265005136404,Connecticut,CT00139
Fairfield,936,06824,CT,Sasco Hill Road,,,,,Country Club Of Fairfield,,,private,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ccfairfield.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674164.223122392,41.12921397157181,-73.27885842399165,Connecticut,CT00041
New Canaan,95,06840,CT,Country Club Road,,,,,Country Club of New Canaan,,203-966-3513,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ccofnewcanaan.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669138.9357053819,41.17327238228561,-73.50190652513076,Connecticut,CT00057
Bloomfield,206,06002,CT,Terry Plains Road,,18_hole,,,Wintonbury Hills Golf Course,,+1 860 242 1401,,,https://www.wintonburyhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668260.9078010804,41.86071857690207,-72.75418518377191,Connecticut,CT00143
Wethersfield,76,06109,CT,Country Club Road,,,,,Wethersfield Country Club,Wethersfield Country Club,860-529-3326,,,https://www.wethersfieldcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,666379.2326985514,41.68424636117722,-72.67971992838847,Connecticut,CT00028
Norwich,685,06360,CT,New London Turnpike,,,,,Norwich Golf Course,City of Norwich,860-889-6973,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.norwichgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,government,Q631402,"en:Norwich, Connecticut",666184.8691361845,41.50192167486549,-72.10586027433503,Connecticut,CT00030
Watertown,246,06795,CT,Guernseytown Road,,18_hole,,,Watertown Golf Club,,+1-860-274-5486,private,,https://www.watertowngolfclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666150.8556559988,41.61667598240157,-73.1341296186444,Connecticut,CT00121
Watertown,834,06795,CT,Northfield Road,,,,,The Golf Course at Crestbrook Park,,860-945-5249,,,https://www.crestbrookpark.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660014.5278404935,41.633168410463796,-73.11090951757727,Connecticut,CT00148
Southbury,418C,06488,CT,Country Lane,,18,,72,Heritage Village Country Club,,203-264-8081,,,https://www.heritagevillagecc.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,649471.5642998049,41.484245701603285,-73.22804678323341,Connecticut,CT00004
Jewett City,259,06351,CT,Preston Road,,,,,River Ridge Golf Course,,860-376-3268,,,https://www.riverridgegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649090.5779102572,41.57648065857503,-71.98282537741855,Connecticut,CT00131
West Hartford,60,06117,CT,Wampanoag Drive,,,,,Wampanoag Country Club,,860-236-1691,,,https://www.wampanoagcc.com/,,,,,,Q7966941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644575.9476998593,41.80183344970872,-72.75881504674777,Connecticut,CT00033
West Hartford,289,06107,CT,South Main Street,,,,,Rockledge Golf Club,,860-521-6284,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.golfrockledge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643299.2906156231,41.74132552014027,-72.7501483308153,Connecticut,CT00123
West Hartford,289,06107,CT,South Main Street,,,,,Rockledge Golf Club,,860-521-6284,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.golfrockledge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643299.2906156231,41.74132552014027,-72.7501483308153,Connecticut,CT00122
Monroe,175,06468,CT,Shelton Road,,18_hole,,"4,4,5,3,4,5,3,4,3,4,5,3,4,4,3,5,4,4",Whitney Farms Golf Course,,203-268-0707,,,https://www.whitneyfarmsgc.com/,1943192,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,blue;white;green;gold,"423,405,526,174,347,562,225,315,200,365,552,150,368,366,183,568,363,442","365,364,434,138,308,410,190,275,141,325,419,113,299,301,77,459,308,350","375,374,491,146,318,510,196,287,150,333,487,120,312,317,147,465,320,356","391,385,508,156,328,534,211,300,163,341,523,131,332,333,164,554,334,397",yards,"7,5,3,17,11,1,13,9,15,8,4,18,10,14,16,6,12,2",,,,,640625.1116175395,41.33727197350317,-73.19529961945723,Connecticut,CT00002
Berlin,330,06037,CT,Southington Road,,,,,Timberlin Golf Course,,+1 860 828 3228,,,https://www.timberlingolf.com,1950821,,,,,,,,,timberlinhp@gmail.com,1970,,,,,,,,,,,,,,,,,,,,,,,,,,638993.1441163616,41.604257822053555,-72.80855726299087,Connecticut,CT00159
,,,,,,,,,Tashua Knolls Golf Course,Tashua Knolls,203-452-5186,,,https://www.tashuaknolls.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638085.6913907455,41.28583564205666,-73.2525933352132,Connecticut,CT00155
Stonington,396,06378,CT,Taugwonk Road,,,,,Stonington Country Club,,860-535-4653,,,https://stoningtoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632876.7316805298,41.397784327772506,-71.89026328484678,Connecticut,CT00144
Old Lyme,49,06371,CT,Buttonball Road,,18,,71,Black Hall Club,,860-434-2038,,,https://www.blackhallclub.com/,1930637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625879.5900883821,41.29235745226517,-72.29831886315759,Connecticut,CT00095
New Milford,401,06776,CT,Danbury Road,"Private, Open To Public With Fee",,,,Candlewood Valley Country Club,,860-354-9359,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://candlewoodvalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620793.2404044808,41.530429836861416,-73.41964201363848,Connecticut,CT00073
,,,,,,,,,Topstone Golf Course,Five S Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620047.6844336867,41.867327419668634,-72.55585674526426,Connecticut,CT00177
Greenwich,120,06830,CT,Perkins Road,,18,,72,Burning Tree Country Club,,203-869-9004,private,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.burningtreecc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618281.6452796987,41.08675038069158,-73.6127292400195,Connecticut,CT00053
Stamford,2949,06903,CT,Long Ridge Road,,,,,Rockrimmon Country Club,,+1 203-322-3408,,,https://www.rockrimmoncc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615454.7165742749,41.16449041330443,-73.59241855585765,Connecticut,CT00129
Wallingford,195,06492,CT,Long Hill Road,,,,,Wallingford Country Club,,203-269-9320,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://wallingfordcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612957.703691116,41.44319422901698,-72.80212848519093,Connecticut,CT00088
Darien,300,06820,CT,Mansfield Avenue,,18,,71,Country Club Of Darien,,203-655-9726,private,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ccdarien.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610295.6769253811,41.09968568538516,-73.47577297334445,Connecticut,CT00049
Greenwich,55,06831,CT,Locust Road,,,,,Tamarack Country Club,,203-531-7300,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.tamarackcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610144.6084938935,41.095677024012744,-73.71068230509155,Connecticut,CT00055
Fairfield,500,06825,CT,Algonquin rd,,,,,Brooklawn Country Club,,+1-203-3345116,,,,,,,,,Q24183677,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,http://www.brooklawncc.com/,,,,608411.2099732023,41.18892916436391,-73.22750901325377,Connecticut,CT00027
Wilton,333,06897,CT,Hurlbutt Street,,,,,Rolling Hills Country Club,,203-762-4600,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://www.rhcconline.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597102.2287166838,41.21031489020599,-73.41879175787001,Connecticut,CT00063
Thompson,241,06277,CT,County Home Road,,,,,Quinnatisset Country Club,,860-928-7516,,,https://www.quinnatisset.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,596185.8442922017,41.93870313246536,-71.8615062471203,Connecticut,CT00007
Greenwich,19,06830,CT,Doubling Road,,,,,Greenwich Country Club,,203-869-1000,private,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.greenwichcountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594859.2824864041,41.05530469613606,-73.61036731804703,Connecticut,CT00043
,,,,,,18,,72,H Smith Richardson Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592348.1785782006,41.215354092643196,-73.27122370126135,Connecticut,CT00039
Groton,93,06340,CT,Plant Street,,,,,Shennecossett Golf Course,,860-448-1867,,,http://www.groton-ct.gov/depts/parksrec/shenny/shenny_about.asp,,,,,,Q7494307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588068.6010011607,41.327246809654575,-72.0678134190158,Connecticut,CT00165
Milford,130,06461,CT,Coram Lane,,,,,Great River Golf Club,,203-876-8051,,,https://greatrivergolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585193.9477093462,41.27421158201061,-73.08283385236687,Connecticut,CT00132
,,,,,"Municipal, Open To Public With Fee",,,,Hunter Memorial Golf Course,,,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),,1933925,,,,,,,Existing Preserved Open Space,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,580673.4547175413,41.55662665536952,-72.76871403891433,Connecticut,CT00025
Moodus,10,06469,CT,Banner Road,,18,,72,Banner Country Club,,860-873-9075,,,https://bannercountryclub.com/,1923657,Black Birch Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578100.5468028379,41.51277707915597,-72.46156689539292,Connecticut,CT00136
Glastonbury,239,06073,CT,Country Club Road,,,,,Glastonbury Hills Country Club,,+1 860 633 5253,,,https://www.glastonburyhills.com,,,,,,,,,,glastonburyhills@gmail.com,,,,,,,,,,,,,,+1 860 657 2320,,,,,,,,,,,,,576762.1718040499,41.65966615638726,-72.54629670810489,Connecticut,CT00167
New Haven,35,06513,CT,Eastern Street,,18_hole,,,Alling Memorial Golf Course,,203-946-8014,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.allingmemorialgolfclub.com/,1933232,,,,,,,,owned by New Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,575948.947436512,41.30844509941418,-72.8672537208154,Connecticut,CT00077
