addr:housenumber,addr:street,name,website,fee,addr:city,addr:postcode,addr:state,opening_hours,operator,phone,gnis:feature_id,fixme,golf:course,golf:par,sport,source,wikidata,alt_name,ele,email,contact:website,old_name,designation,building,facebook,barrier,mobile,abandoned:leisure,type,area_m2,lat,lon,province,gcid
,,Quail Chase Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279279.195928479,38.104231325491206,-85.62803701710628,Kentucky,KY00048
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212784.1533013738,36.66206742264931,-85.29124648241282,Kentucky,KY00183
350,Silver Lake Drive,Old Silo Golf Course,http://www.oldsilo.com/,,Mount Sterling,40353,,,,+1 859 498 4697,,,,,,,,,,,,,,,,,,,multipolygon,1210264.4626403584,38.07813804203899,-83.96825959342362,Kentucky,KY00023
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183911.1130128566,36.94561141302843,-84.59528015197847,Kentucky,KY00070
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181920.426891518,37.26523330514932,-88.2604968019561,Kentucky,KY00121
,,Lafayette Golf Course,,,Falls of Rough,,KY,,,,,,,,,,,,,,,,,,,,,,,1176563.7315465445,37.58294067014952,-86.55621388157367,Kentucky,KY00181
,,Longview Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166345.8817902566,38.21358498128135,-84.66002546293386,Kentucky,KY00180
,,Mineral Mound State Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163760.2068668115,37.06336803669308,-88.08894433850048,Kentucky,KY00164
401,Champions Way,University of Louisville Golf Club,https://www.ulgc.net/,,Simpsonville,40067,KY,,,+1-502-852-8542,,Approximative boundaries,,,,,,,,,,,,,,,,,,1136423.548779952,38.21460908408619,-85.36138992402739,Kentucky,KY00124
2000,Gibson Bay Drive,Gibson Bay Golf Course,https://www.gibsonbay.com/,,Richmond,40475,,,,859-623-0225,2557566,,,,,,,,,,,,,,,,,,,1024808.5632390836,37.731012839340366,-84.25536305783771,Kentucky,KY00095
1149,State Park Road,Barren River Lake State Park Golf Course,https://www.parks.ky.gov/golf/18_hole/barren-river/,,Lucas,42156,KY,,,+1-800-295-1876,2567978,,,,,,,,,,,,,,,,,,,994237.4403090436,36.86411307733587,-86.06148990282784,Kentucky,KY00092
,,Thoroughbred Golf Club,https://thoroughbred.golf/,,,,,,,,,,,,,,,,,,,,,,,,,,,989727.7024264543,37.885259620407396,-84.4867567557575,Kentucky,KY00152
,,Silos Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,978376.9391415231,37.01467034907325,-88.82737280007466,Kentucky,KY00210
20,Avenue of Champions,Champions Trace,https://www.keenetracegolf.com/,,Nicholasville,40356,,,,859-223-7272,,,,,,,,,,,,,,,,,,,multipolygon,964258.6617204556,37.97235233645395,-84.6350065766109,Kentucky,KY00015
,,Hurstbourne Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,963287.1313363548,38.23962701549081,-85.59179397672212,Kentucky,KY00069
,,Wasioto Winds Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,937127.9745937963,36.73916130765768,-83.70209728539837,Kentucky,KY00184
555,Houston Oaks Drive,Houston Oaks Golf Course,,,Paris,40361,KY,7:30-15:00,,,,,,,,,,,,,,,,,,,859-987-5600,,,931615.8816370397,38.17650284856564,-84.29510704099414,Kentucky,KY00229
,,Seneca Golf Course,https://www.metroparksgolf.net/seneca/,,,,,sunrise-sunset,Louisville Parks and Recreation,,,,18_hole,72,,,,,,,,,,,,,,,,926353.1440067549,38.23505187660886,-85.67387105316794,Kentucky,KY00043
3403,Kearney Road,Kearney Hill Golf Links,,,Lexington,40511,,,,,,,,,,,,,,,,,,,,,,,,910554.5013450063,38.123938774176715,-84.53632813886679,Kentucky,KY00087
6000,Harrodsburg Road,Golf Club of the Bluegrass,http://www.golfclubofthebluegrass.com/,,Nicholasville,40356,,,,859-223-4516,,,,,,,,,,,,,,,,,,,multipolygon,892884.591639109,37.95019105981938,-84.60455352019163,Kentucky,KY00020
3123,Nevel Meade Drive,Nevel Meade Golf Course,https://nevelmeade.com/,,Prospect,40059,KY,,,+1-502-228-9522,,,,,,,,,,,,,,,,,,,,863353.2002162193,38.37986785013742,-85.56036262802003,Kentucky,KY00106
2240,Mount Eden Road,Weissinger Hills Golf Course,http://www.weissingerhills.com/,,Shelbyville,40065,KY,,,502-633-7332,,,,,,,,,,,,,,,,,,,,860111.6482448734,38.18033867211633,-85.22042755084485,Kentucky,KY00111
2240,Mount Eden Road,Weissinger Hills Golf Course,http://www.weissingerhills.com/,,Shelbyville,40065,KY,,,502-633-7332,,,,,,,,,,,,,,,,,,,,860111.6482448734,38.18033867211633,-85.22042755084485,Kentucky,KY00112
,,Boone Links Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,855280.5514538235,39.00935734744656,-84.67928164697562,Kentucky,KY00012
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,850940.8063505843,37.79660959234879,-87.19007181075463,Kentucky,KY00213
4024,Bullion Boulevard,Lindsey Golf Course,https://knox.armymwr.com/programs/lindsey-golf-course,,Fort Knox,40121,KY,,,1+502-624-2717,517163,,,,,,,,,,,,,,,,,,,850397.6080583874,37.8901023066139,-85.9646494930604,Kentucky,KY00099
150,Clubhouse Drive,Cherry Blossom Golf Club,https://www.cherryblossomgolf.com/,,Georgetown,40324,,,,502-570-9849,,,,,,,,,,,,,,,,,,,multipolygon,848952.0552199001,38.23668169870262,-84.52391769172257,Kentucky,KY00016
781,Crooked Creek Drive,Crooked Creek Golf Club,http://www.crookedcreekgolfky.com/,,London,40744,,,,606-877-1993,,,,,,,,,,,,,,,,,,,multipolygon,834777.2360148948,37.08744491790892,-84.03026874277916,Kentucky,KY00017
5600,Harrodsburg Road,Keene Run Golf Course,https://www.keenetracegolf.com/,,Nicholasville,40356,,,,,,,,,,,,,,,,,,,,,,,multipolygon,833521.3395125947,37.960520603038816,-84.60178885461212,Kentucky,KY00021
,,Rolling Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,828431.9809320308,37.0336057276698,-88.64589919268867,Kentucky,KY00216
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,822417.1548847632,37.02251605146636,-88.32400434387772,Kentucky,KY00162
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,812896.3643610999,37.01669870043074,-88.96096982987271,Kentucky,KY00202
808,US 62,Laurel Oaks Golf Course,http://www.cityofmaysville.com/contact/laurel-oaks-golf-course/,,Maysville,41056,,,,+1 606 759 5011,,,,,,,,,,,,,,,,,,,,812563.4474617329,38.6074593277108,-83.81818884147684,Kentucky,KY00137
9000,Limehouse Court,Oxmoor Country Club,https://oxmoorcountryclub.com/,,Louisville,40220,KY,,,+1-502-491-7877,,,,,,,,,,,,,,,,,,,,810481.9041663568,38.22754928921487,-85.60445568683551,Kentucky,KY00038
,,Benton Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,808833.3751569143,36.843144855180654,-88.3599591858908,Kentucky,KY00167
,,Rolling Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,802053.0784804336,36.819013131232666,-86.87447222963185,Kentucky,KY00122
,,Rolling Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,802053.0784804336,36.819013131232666,-86.87447222963185,Kentucky,KY00123
10207,Mary Dell Lane,Charlie Vettner Golf Course,https://www.metroparksgolf.net/charlievettiner/,,Louisville,40299,KY,,,+1-502-267-9958,,,,,,,,,,,,,,,,,,,,787319.0815506988,38.174027481169446,-85.56291408893522,Kentucky,KY00045
,,Madisonville Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,782345.598834847,37.290371462631974,-87.50124330547663,Kentucky,KY00036
,,Duckers Lake Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,779928.947578239,38.17738390256298,-84.78576292474746,Kentucky,KY00025
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,775505.3144943814,36.973840615409884,-84.60331558238136,Kentucky,KY00068
2820,South Highway 53,Eagle Creek Golf Course,https://www.eaglecreekgolfky.com/,,LaGrange,40031,KY,,,+1-502-222-7927,,,,,,,,,,,,,,,,,,,,774548.2340674807,38.38090480396947,-85.37218249784702,Kentucky,KY00139
,,Idle Hour Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,762559.5890747589,38.02768025340098,-84.46628725552856,Kentucky,KY00032
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,762001.9331731674,38.036356663387735,-83.92236005109024,Kentucky,KY00107
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,761163.3960102743,37.80164916261282,-85.45868452398062,Kentucky,KY00130
1275,Eagle Drive,Eagle Trace Golf Course,https://www.moreheadstate.edu/eagletrace/,,Morehead,40351,,,,606-783-9073,2127221,,,,,,,,,,,,,,,,,,multipolygon,758003.0416839484,38.187518666464385,-83.57763145788053,Kentucky,KY00018
1275,Eagle Drive,Eagle Trace Golf Course,https://www.moreheadstate.edu/eagletrace/,,Morehead,40351,,,,606-783-9073,2127221,,,,,,,,,,,,,,,,,,multipolygon,758003.0416839484,38.187518666464385,-83.57763145788053,Kentucky,KY00019
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,747638.2542824075,38.02290029485032,-84.38357344745224,Kentucky,KY00169
,,Bellefonte Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,742681.9640524787,38.49061331694403,-82.69721271440622,Kentucky,KY00067
3725,Richmond Road,Lakeside Golf Course,https://www.lexingtonky.gov/index.aspx?page=264,,Lexington,40509,KY,,,+1-859-263-5315,,,,,,Yahoo,,,,,,,,,,,,,,739817.2833874671,37.9945311162285,-84.42727440292255,Kentucky,KY00098
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,738156.7965506258,37.09500970083809,-84.11136635853258,Kentucky,KY00171
,,Lassing Pointe Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,734650.4057630412,38.93195299285779,-84.68842613214287,Kentucky,KY00055
520,Fairway Drive,Rosewood Golf & Country Club,https://www.rosewoodgolfcourse.com/html/contact.html,,Lebanon,40033,,,,+1-270-692-0506,,,,,,,,,,,,,,,,,,,,731509.2849190786,37.598562654648305,-85.26134023866754,Kentucky,KY00088
8208,Standard Club Drive,Standard Country Club,http://www.standardclub.net/,,Louisville,40241,KY,,,+1-502-425-2857,,,,,,,,,,,,,,,,,,,,729440.6815175144,38.29058689742553,-85.59531945835896,Kentucky,KY00054
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,728927.6392076137,38.61579580473802,-84.9853010066433,Kentucky,KY00189
1030,Country Club Drive,Henderson Country Club,https://www.hendersoncountryclub.org/,,Henderson,42420,,,,270-826-2176,,,,,,,,,,,,,,,,,,,multipolygon,727706.6464948526,37.86473211901507,-87.4821226532333,Kentucky,KY00013
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,727194.8541473735,37.23991518826526,-86.10147361564535,Kentucky,KY00231
175,Gleneagles Blvd.,Boone's Trace National Golf Club,,,Richmond,40475,KY,,,,,,,,,,,,,,,,,,,,,,,723693.8029389053,37.88824390310765,-84.37032177844354,Kentucky,KY00170
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,720726.4154496314,37.75619817749498,-85.88037172715352,Kentucky,KY00030
,,Woodhaven Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,719232.224544932,38.17005310064941,-85.62908185563535,Kentucky,KY00041
,,Pendleton Hills,https://pendletonhills.com/,,,,,,,,,,,,,,,,,,,Pendleton Country Club,,,,,,,,715606.8030463518,38.757429512642695,-84.36032393932561,Kentucky,KY00194
17001,Polo Fields Lane,Polo Fields Golf and Country Club,https://polofieldscc.com/,,Louisville,40245,KY,,,+1-502-244-6688,,,,,,,,,,,,,,,,,,,,711446.6039463861,38.25952337378273,-85.44163195329983,Kentucky,KY00224
,,Big Spring Country Club,,,,,,,,,,,,,,,Q4906423,,,,,,,,,,,,,705988.3453174973,38.23140033149942,-85.65029671501428,Kentucky,KY00035
25,25 Mockingbird Valley Trail,Louisville Country Club,https://www.loucc.net/,,Louisville,40207,KY,,,+1-502-896-1721,,,,,,,,,,,,,,,,,,,,704181.0855940073,38.27680760606075,-85.67547218865532,Kentucky,KY00141
25,25 Mockingbird Valley Trail,Louisville Country Club,https://www.loucc.net/,,Louisville,40207,KY,,,+1-502-896-1721,,,,,,,,,,,,,,,,,,,,704181.0855940073,38.27680760606075,-85.67547218865532,Kentucky,KY00140
47,Smithfield Road,Shelbyville Country Club,https://www.shelbyvillecc.com/,,Shelbyville,40065,,,,502-633-0542,,,,,,,,,,,,,,,,,,,multipolygon,702918.5371505602,38.22268678908236,-85.23010788818152,Kentucky,KY00022
,,The Links Resort Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,700071.1355976543,36.969893715294965,-85.04926483938414,Kentucky,KY00149
,,Long Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,700048.6588289886,38.269812687594815,-85.42457350844873,Kentucky,KY00053
,,Long Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,700048.6588289886,38.269812687594815,-85.42457350844873,Kentucky,KY00052
,,Lakeshore Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,699332.6911598055,37.36459396189716,-87.52422180811189,Kentucky,KY00037
2327,Lexington Road,Connemara Golf Course,https://www.connemaragolfcourse.com/,,Nicholasville,40356,,,,859-885-4331,2558029,,,,,,,,,,,,,,,,,,,698892.4111612705,37.92677809222215,-84.55620273025585,Kentucky,KY00093
,,Kenny Perry's Country Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,697199.8478261791,36.68925008559172,-86.54200021494111,Kentucky,KY00199
460,Northwestern Parkway,Shawnee Golf Course,http://www.shawneegolfcourse.com/,,Louisville,40212,KY,,,+1-502-776-9389,,,,,,,,,,,,,,,,,,,,694727.190958888,38.27337158798496,-85.81997049902358,Kentucky,KY00102
460,Northwestern Parkway,Shawnee Golf Course,http://www.shawneegolfcourse.com/,,Louisville,40212,KY,,,+1-502-776-9389,,,,,,,,,,,,,,,,,,,,694727.190958888,38.27337158798496,-85.81997049902358,Kentucky,KY00101
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,694709.1860206387,38.76105448866664,-84.62631379448139,Kentucky,KY00113
3495,McCowans Ferry Road,The Woodford Club,https://www.thewoodfordclub.com/,,Versailles,40383,,,,+18594952582,,,,,,,,,,,,,,,,,,,,694055.0484920673,38.01310853993041,-84.77056062390513,Kentucky,KY00104
,,Hopkinsville Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,688730.6722102845,36.836898187746215,-87.49433544926129,Kentucky,KY00085
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,686815.5019979429,37.873404100440055,-87.53840069344338,Kentucky,KY00089
6500,Turnberry Drive,Country Club of Paducah,https://www.ccofpaducah.com/,,Paducah,42001,KY,,,+1-270-554-7914,,,,,,,,,,,,,,,,,,,,682806.7238384419,37.04928379582714,-88.70487567054025,Kentucky,KY00220
2260,Lexington Road,The Brook Golf Club,http://thebrookgc.com/,,Versailles,40383,,,,859-873-8404,2558154,,,,,,,,,,,,,,,,,,,679623.2009947578,38.05224424805063,-84.6877049888619,Kentucky,KY00103
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,675250.397371353,38.02582445501282,-85.31412510280407,Kentucky,KY00226
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,674099.9524460256,37.01672758019334,-86.43618109263538,Kentucky,KY00230
,,Lexington Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,671631.5468470089,38.07992240117966,-84.43497068707921,Kentucky,KY00128
,,Breckinridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,666822.1378162812,37.69081017885466,-87.87673023977999,Kentucky,KY00144
15360,Shelbyville Road,Midland Trail Golf Club,https://midlandtrailgc.com/,,Louisville,40245,KY,Tues. - Sun: 7:30 - 6:30,,+1-502-245-0223,,,,,,,,,,,,,,,,,,,,654567.2247488191,38.22940820666796,-85.47528870196413,Kentucky,KY00049
,,Unknown Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,,multipolygon,651743.1515890004,37.07954406412426,-87.66726964715909,Kentucky,KY00026
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,650377.2482288065,38.778968462977346,-84.87541323945847,Kentucky,KY00078
,,Glenmary Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,645825.7901314831,38.125504319962644,-85.56896571464627,Kentucky,KY00046
5000,Bardstown Road,Wildwood Country Club,https://wildwoodcc.com/,,Louisville,40291,KY,,,+1-502-499-1261,,,,,,,,,,,,,,,,,,,,641976.6221042194,38.1725913148923,-85.6174698426307,Kentucky,KY00039
200,Indian Hills Drive,Indian Hills Country Club,https://www.indianhills-bgky.com/,,Bowling Green,42103,KY,,,+1-270-842-0041,,,,,,,,,,,,,,,,,,,,640987.6622861535,36.993723749601536,-86.40051317647998,Kentucky,KY00133
1870,Country Club Lane,Oldham County Country Club,https://oldhamcountycc.com/,,La Grange,40031,KY,,,+1-502-222-9133,,,,,,,,,,,,,,,,,,,,628388.3929005928,38.39337371886596,-85.44692658248731,Kentucky,KY00072
,,Twin Oaks Golf and Plantation Club,,,,,,,,,2557865,,,,,,,Twin Oaks Golf Course,150,,,,,,,,,,,623757.3246739056,39.042645350230856,-84.49032580064299,Kentucky,KY00065
205,Letts Road,The Crossings Golf Course,https://www.facebook.com/playthecrossings,,Brooks,,KY,,,+1-502-994-0812,,,,,,,,,,,,,,,,,,,,621625.5443431187,38.07841206933225,-85.72106717539494,Kentucky,KY00221
,,Spring Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,619316.927189453,38.084111358530336,-84.52555879376833,Kentucky,KY00080
,,Unknown Golf Course,,,,,,,,,,,,,,EsriWorldImageryClarity,,,,,,,,,,,,,,618583.5459345599,38.53520492738044,-85.00495124940485,Kentucky,KY00176
6505,Bethany Lane,Sun Valley Golf Course,https://www.metroparksgolf.net/sunvalley/,,Louisville,40272,KY,,,+1-502-574-6454,,,,,,,,,,,,,,,,,,,,617798.6122632178,38.10335287550903,-85.88475273354383,Kentucky,KY00077
3265,Robin Road,Audubon Country Club,https://www.auduboncc.org/home,,Louisville,40213,KY,,,+1-502-636-1331,,,,,,,,,,,,,,,,,,,,616117.2953837727,38.20016419701238,-85.72318765193457,Kentucky,KY00034
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,609361.9461779982,37.803977549481836,-85.99787069256159,Kentucky,KY00209
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,604688.0564579929,38.09075099762102,-84.48285296458366,Kentucky,KY00228
3450,Todds Road,Andover Golf & Country Club,https://www.golfandover.com/,,Lexington,40509,,,,859-263-3710,,,,,,,,,,,,,,,,,,,multipolygon,599318.118171127,38.00272202221738,-84.41445407129987,Kentucky,KY00014
,,LaRue County Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,597805.4867329206,37.5194245730769,-85.71558391215197,Kentucky,KY00211
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,595382.9221599476,37.083404481527445,-87.89356480701328,Kentucky,KY00166
3064,Hodgenville Road,Campbellsville Country Club,https://www.campbellsvillecc.com/,,Campbellsville,42718,KY,,,+1-270-465-3620,,,,,,bing,,,,,,,,,,,,,,593929.2645162325,37.366805555144595,-85.37827144607652,Kentucky,KY00129
11541,Alexandria Pike,A. J. Jolly Golf Course,https://www.ajjolly.com,,Alexandria,41001,KY,,,+1-859-535-2106,,,18_hole,,,,,,,blambdin@campbellcountyky.org,,,,,,,,,,593831.6329058503,38.88448604705317,-84.37887884028153,Kentucky,KY00081
,,Paxton Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,585746.3779351691,37.06119036613181,-88.6290355539915,Kentucky,KY00158
400,East Byers Avenue,Owensboro Country Club,,,Owensboro,42303,KY,,,,,,,,,,,,,,,,,,,,,,,583548.439596942,37.734732514350696,-87.10446186004344,Kentucky,KY00142
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,581476.1662631246,37.55397327909014,-84.6311912680445,Kentucky,KY00156
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,569789.3576950799,38.20366657385222,-84.80833138196043,Kentucky,KY00024
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,569385.7080906273,37.65436615943071,-84.74140040241943,Kentucky,KY00145
,,Hickory Sticks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,566934.6933002892,38.95748596279767,-84.3049802577223,Kentucky,KY00086
1501,Rundill Road,Iroquois Golf Course,https://www.metroparksgolf.net/,,Louisville,40214,KY,,,+1-502-574-6454,,,,,,,,,,,,,,,,,,,,565142.862795691,38.169762089485246,-85.79079753403012,Kentucky,KY00033
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,564575.8535808333,36.74898746807421,-88.65747158760638,Kentucky,KY00168
9307,State Line Road,Fulton Country Club,http://www.fultoncountryclub.com/,,South Fulton,38257,,,,+1 731 479 3016,,,,,,,,,,,,,,,,,,,,552992.1766464289,36.498706535635634,-88.85018487486099,Kentucky,KY00136
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,549578.048371053,37.75505398542032,-85.21582944065285,Kentucky,KY00187
,,Devou Golf & Event Center,https://www.devouparkgolf.com/,,,,,,,,,,,,,,,Devou Park Golf Course,,,,,,,,,,,multipolygon,547516.9473070278,39.07893920784756,-84.53835083053694,Kentucky,KY00031
1400,Gainesway Dr,Tates Creek Golf Course,https://www.lexingtonky.gov/tates-creek-golf-course,,Lexington,40517,KY,,,+1-859-272-3428,,,,,,,,,,,,,,,,,,,,535287.7505968144,37.9846421372622,-84.47022723002733,Kentucky,KY00146
,,Summit Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,531382.3839986296,39.0156943751973,-84.57082353917168,Kentucky,KY00058
,,Hidden Hills Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,530377.4214671722,36.685014369582724,-85.69379723571059,Kentucky,KY00200
,,The Pines at Lindsey WIlson,,,,,,,,,,,,,,,,,,,,,,,,,,,,528505.4572376898,37.080576053831486,-85.34909329842388,Kentucky,KY00083
,,Maysville Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,514952.565866923,38.64402265435308,-83.78673142929975,Kentucky,KY00150
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,504341.0728549207,36.857097792688805,-87.80847345377394,Kentucky,KY00193
755,Park Avenue,City Park Golf Course,http://www.madisonvillegov.com/Madisonville_Kentucky/index.asp?Page=Golf%20Course,,Madisonville,42431,,,,270-824-2156,,,,,,,,,,,,,,,,,,,,499974.89427793043,37.311856297377645,-87.48223884292828,Kentucky,KY00040
,,Glasgow Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,487311.32800868625,37.04253787684466,-85.91051313004145,Kentucky,KY00160
,,Kincaid Lake Golf Course,,,,,,,,,,,,,,,,,,,https://kincaidlakegolfcourse.com/,,,,,,,,,479497.6019659433,38.71887282344199,-84.29519405069112,Kentucky,KY00178
410,Boone Avenue,Winchester Country Club,https://www.winchester-cc.com/,,Winchester,40391,,,,859-744-4884,,,,,,,,,,,,,,,,,,,,476452.0511446325,37.977946335007964,-84.18895222487295,Kentucky,KY00084
,,Coal Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,471514.89856111835,38.23032030414069,-84.47251707133651,Kentucky,KY00174
,,Fox Hollow Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,470944.5750386462,36.96092790612831,-85.89724021493747,Kentucky,KY00028
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,467232.2799100098,36.860181349520644,-87.8141772746227,Kentucky,KY00192
,,Highland Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,460314.83034536144,39.05964292990511,-84.46149164246698,Kentucky,KY00051
,,Olde Stone Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,459713.4590310016,36.908498609075615,-86.38107285770666,Kentucky,KY00134
469,Parkway Drive,Gay Brewer Jr Golf Course,,,Lexington,40504,,,,,,,,,,,,,,,,,Picadome Golf Course,,,,,,,453589.4642418793,38.03857865809134,-84.52973288233869,Kentucky,KY00059
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,450965.2158713373,38.29030929371807,-85.4352623782556,Kentucky,KY00115
