name,covered,designation,sport,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,golf,operator,phone,website,opening_hours,landuse,source,addr:country,fixme,golf:course,building,fax,pitch,abandoned:leisure,highway,surface,width,addr:housename,created_by,access,type,wikidata,area_m2,lat,lon,province,gcid
Battle Creek Golf Club,,,,Broken Arrow,3200,74012,OK,North Battle Creek Drive,,Greenway Golf,918-355-4850,https://www.battlecreekgolf.net/,,,,,,,,,,,,,,,,,multipolygon,,869766.2896787493,36.08761267322541,-95.80750954370573,Oklahoma,OK00016
Forest Ridge Golf Club,,,,Broken Arrow,7501,74014,,East Kenosha Street,,,918-357-2282,http://forestridgegolf.com/,,,,,,,,,,,,,,,,,multipolygon,,864244.0925728629,36.05571764386037,-95.69289014299007,Oklahoma,OK00013
Coffee Creek Golf Course,,,,,,,,,,,,,closed,,,,,,,,,,,,,,,,multipolygon,,843629.9505082959,35.69293820328549,-97.48861087088054,Oklahoma,OK00018
Roman Nose State Park Golf Course,,,golf,Watonga,,73772,OK,Highway 8A,,,+1-580-623-7989,https://www.chronogolf.com/club/roman-nose-golf-course,,,,,,,,,,,,,,,,,,,837702.2199593754,35.93115752478216,-98.42664567118196,Oklahoma,OK00054
River Bend South Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822950.265212737,35.06041072483594,-97.91155524698092,Oklahoma,OK00132
Bailey Ranch Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,817322.1763552373,36.280833077657334,-95.86156024638986,Oklahoma,OK00022
Oak Tree National,,,,Edmond,1515,73025,,West Oak Tree Drive,,,405-348-2004,https://www.oaktreenational.com/,,,,,,,,,,,,,,,,,multipolygon,Q7073741,811452.643580788,35.720574445000565,-97.5045696933943,Oklahoma,OK00012
Stillwater Golf And Country Club,,,,Stillwater,5215,74074,OK,West Country Club Drive,,,405-372-1100,https://thestillwatercountryclub.com/,,,,US,,,,,,,,,,,,,,,811318.9656101963,36.10583003910924,-97.12807600572732,Oklahoma,OK00048
Prairie West Golf Course,,,,,,,,,,City of Weatherford,,,,,,,,,,,,,,,,,,,,,808986.875016051,35.55991327647521,-98.67093301661127,Oklahoma,OK00047
The Oaks Country Club,,,,Tulsa,6500,74133,,South 49th West Avenue,,,918-446-6161,http://www.oakscountryclub.com/,,,,,,,,,,,,,,,,,,,806468.1679739255,36.0646916402971,-96.04322603015164,Oklahoma,OK00040
Lakeview Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804340.4107274733,34.21807963698627,-97.14837389659765,Oklahoma,OK00169
Tinker Golf Course,,,,Oklahoma City,6441,73145,OK,Arnold Street,,Tinker Air Force Base,,,,,,,,,,,,,,,,,,,,,799502.1962314711,35.432148950585365,-97.41395222229269,Oklahoma,OK00105
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,780912.4928459255,36.31653998692266,-95.6521687031814,Oklahoma,OK00021
Cimarron Trails,,,,Perkins,1400,74059,OK,Lovers Lane,,,+1-405-547-5701,https://www.cimarrontrails.com/,,,,,,,,,,,,,,,,,,,779529.6656371268,35.99106634875143,-97.02644543330048,Oklahoma,OK00063
Silverhorn Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778220.8897167768,35.58527842269772,-97.50056981610796,Oklahoma,OK00131
Meadowbrook Country Club,,,,Broken Arrow,9300,74014,OK,East 81st Street South,,,+1-918-252-4121,https://www.meadowbrookcc.net/,,,,US,,,,,,,,,,,,,,,761809.4946976523,36.04280384307403,-95.87351633384482,Oklahoma,OK00060
Cherokee Hills Golf Club,,,,Catoosa,770,74015,OK,West Cherokee Street,,,,,,,,,,,,,,,,,,,,,,,758463.8868630562,36.16794186874292,-95.76902460653562,Oklahoma,OK00147
Owasso Golf and Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751279.9087275643,36.27172968714966,-95.81977944875926,Oklahoma,OK00109
Oakwood Country Club Golf Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,744876.8552585065,36.41587785966325,-97.92164507876358,Oklahoma,OK00034
Lawton Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739305.6477322845,34.569044052416515,-98.40916205207489,Oklahoma,OK00107
Ponca City Country Club,,,,Ponca City,1101,74604,OK,North Pecan Road,,,,,,,,,,,,,,,,,,,,,,,738550.0440958093,36.71616016364859,-97.04491276230648,Oklahoma,OK00134
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736279.3284009448,35.37267095754186,-96.96971526979463,Oklahoma,OK00125
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736279.3284009448,35.37267095754186,-96.96971526979463,Oklahoma,OK00126
Unknown Golf Course,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,734453.8876472085,35.15755265321449,-95.61834747296133,Oklahoma,OK00036
Idabel Country Club,,,,Idabel,2301,74745,,East Lincoln Road,,,+1 580 286 7545,https://www.idabelcountryclub.org/,,,,,,,,,,,,,,,,,,,724496.9320694767,33.88470100529914,-94.79601067701279,Oklahoma,OK00116
John Conrad Regional Golf Course,,,,,,,,,,,405-732-2209,https://midwestcityok.org/golf-john-conrad,,,,,,,,,,,,,,,,,,,724428.0104807097,35.45626569010685,-97.37501798100826,Oklahoma,OK00058
Tulsa Country Club,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,723527.0562079084,36.16611251424908,-96.00730954126767,Oklahoma,OK00080
Unknown Golf Course,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,717683.3645152345,35.38564146200169,-95.59711047600014,Oklahoma,OK00035
Lakeside Memorial Golf Course,,,,Stillwater,5201,74075,OK,North Washington Street,,City of Sillwater,+1-405-372-3399,,,,,,,,,,,,,,,,,,,,714653.893836056,36.17762088082883,-97.06526300309264,Oklahoma,OK00049
The Links At Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706019.9711180491,35.17150925322249,-97.40150589952304,Oklahoma,OK00148
Cimarron National Golf Club Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,703466.3872781974,35.87423586035329,-97.48374909314167,Oklahoma,OK00053
Kickingbird Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700773.7564768716,35.66345562599682,-97.45583724521025,Oklahoma,OK00052
Dornick Hills Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699078.7350865217,34.22035612163819,-97.13777206391676,Oklahoma,OK00168
Turkey Creek Golf Club,,,,Hennessey,400,73742,OK,Jack Choate Highway,,,+1-405-853-7170,https://www.turkeycrkgolf.com/,,,,,,,,,,,,,,,,,,,688701.6029604567,36.11468918045965,-97.9878845069513,Oklahoma,OK00129
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677677.9055978336,35.73703684480685,-95.41595324666407,Oklahoma,OK00066
Cedar Valley International Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,673634.5720279058,35.86117799303196,-97.55866563542097,Oklahoma,OK00029
The Trails,,,,Norman,3200,73072,OK,South Berry Road,,The Trails Golf Club,,https://www.trailsgolf.com/index.htm,,,,,,,,,,,,,,,,,,,671724.1881834563,35.18485507252876,-97.46706974573871,Oklahoma,OK00090
Oklahoma City Golf & Country Club,,,,Nichols Hills,7000,73116,,Northwest Grand Boulevard,,,+1 405 848 5611,https://www.okcgcc.com/,,,Bing,,,,,,,,,,,,,,,,663173.4200660994,35.540649975897,-97.55317512268968,Oklahoma,OK00057
Boiling Springs Golf Club,,,,Woodward,5283,73801,OK,State Highway 34C,,,+1-580-256-1206,https://www.boilingspringsgolfclub.com/,,,,,,,,,,,,,,,,,,,660592.5747728955,36.450244591566715,-99.3141460236544,Oklahoma,OK00159
Sapulpa City Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659909.5709692347,35.99110211351797,-96.13308739536876,Oklahoma,OK00073
Twin Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656707.4774134022,34.57257036561199,-97.97303440126854,Oklahoma,OK00084
Cedar Valley Augusta Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,646583.6480730271,35.866234159031634,-97.56399898821032,Oklahoma,OK00030
The Greens Country Club,,,,Oklahoma City,13100,73120,,Green Valley Drive,,,+1 405 751 6266,https://www.thegreenscc.com/,,,,,,,,,,,,,,,,,,,644801.5516455624,35.60052055489141,-97.5961714310539,Oklahoma,OK00097
The Greens Country Club,,,,Oklahoma City,13100,73120,,Green Valley Drive,,,+1 405 751 6266,https://www.thegreenscc.com/,,,,,,,,,,,,,,,,,,,644801.5516455624,35.60052055489141,-97.5961714310539,Oklahoma,OK00098
River Oaks Golf Club,,,,Edmond,10909,73013,OK,Clubhouse Rd,,,+1-405-771-5800,https://riveroaksgolfok.com/,,,,,,,,,,,,,,,,,,,634774.9984368872,35.58364485349931,-97.41587560808864,Oklahoma,OK00156
Twin Hills Golf & Country Club,,,,Oklahoma City,3401,73121,OK,Northeast 36th Street,,,405-427-2431,https://twin-hills.com/,,,Bing,,,,,,,,,,,,,,,,633461.9898881072,35.51139218477729,-97.45511106982532,Oklahoma,OK00061
Lawton Country Club,,,,Lawton,4601,73505,,West Gore Boulevard,,,+1 580 353 2076,https://www.lawtoncc.com/,,,,,,,,,,,,,,,,,,,633187.3245536394,34.612786426694285,-98.4523042862331,Oklahoma,OK00093
Muskogee Golf Club,,,,Muskogee,2400,74403,OK,North Country Club Road,,,,,,,,,,,,,,,,,,,,,,,631340.0846634619,35.77981676450873,-95.31924921050187,Oklahoma,OK00065
Adams Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,618975.803322196,36.753319600246726,-95.90629421648975,Oklahoma,OK00017
Oak Hills Golf & Country Club,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,616903.9109358529,34.77379556457992,-96.65520976617182,Oklahoma,OK00046
Broken Arrow Golf & Athletic Club,,,,Broken Arrow,1651,74012,,East Omaha Street,,,918-355-0602,https://www.brokenarrowgolfac.com/,,,,,,,,,,,,,,,,,,,615640.1657113911,36.085888760042764,-95.76962985648004,Oklahoma,OK00037
Meadow Lake Golf Course,,,golf,Enid,2013,73703,OK,W Rupe Ave,,,+1-580-234-3080,https://www.meadowlakecourse.com/,,,,,,,,,,,,,,,,,multipolygon,,613094.8254104183,36.37147736553689,-97.90034157032471,Oklahoma,OK00010
GC of Edmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610299.4304363978,35.68567058665286,-97.43325424769779,Oklahoma,OK00172
Wentz Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580710.1519308862,36.733546360515696,-97.02470964355983,Oklahoma,OK00122
Wentz Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580710.1519308862,36.733546360515696,-97.02470964355983,Oklahoma,OK00121
McAlester Country Club,,,golf,McAlester,1500,74501,OK,Country Club Road,,,,https://mcalestercountryclub.com/,,recreation_ground,Bing,,,,,,,,,,,,,,,,573890.3614603685,34.90643148808206,-95.75063966483643,Oklahoma,OK00056
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,566676.4025747017,35.28755971483902,-99.03921608508949,Oklahoma,OK00141
South Lakes Golf Course,,,,Jenks,9253,74037,,South Elwood Avenue,,,918-746-3760,https://www.southlakesgolf.com/,,,,,,,,,,,,,,,,,,,562856.5012907465,36.028376460714746,-95.98968883528863,Oklahoma,OK00072
Pauls Valley Municipal Golf Course,,,,Pauls Valley,1910,73075,,N3240 Road,,,+1 405 238 7462,https://www.paulsvalley.com/golf-course,,,,,,,,,,,,,,,,,,,561025.5393801933,34.70710297843832,-97.22761912477044,Oklahoma,OK00095
Westwood Golf Course,,,,Norman,2400,73069,,Westport Drive,,City of Norman,,https://www.normanok.gov/parks/westwood-golf-course,,,,,,,,,,,,,,,,,,,556872.8759775944,35.230044175115296,-97.47234015933707,Oklahoma,OK00075
Hidden Trails Golf & Country Club,,,,Oklahoma City,6501,73159,OK,South Country Club Drive,,,+1 405 685 7751,https://hiddentrailsokc.com/,,,Bing,,,,,+1 405 685 3773,,,,,,,,,,,554457.390481564,35.39838934276563,-97.55469612966988,Oklahoma,OK00064
Cimarron National Golf Club - Aqua Canyon Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,547722.2067041582,35.874292841767186,-97.49200255653535,Oklahoma,OK00170
Brent Bruehl Memorial Golf Course,,,,,,,,,,City of Purcell,,,,,,,,,,,,,,,,,,,,,536659.6539884298,34.98331687535303,-97.37898733039167,Oklahoma,OK00149
Unknown Golf Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,535830.9922270785,35.238795634541184,-96.66358161812464,Oklahoma,OK00138
Duncan Golf and Tennis Club,,,,Duncan,1800,73533,,Country Club Road,,,+1 580 255 7706,https://www.duncangolfandtennisclub.com/,,,,,,,,,,,,,,,,,,,534401.4619836442,34.52787064183867,-97.96086697736979,Oklahoma,OK00085
Choctaw Creek,,,,Choctaw,22000,73020,OK,N Hiwassee,,,,,,,,,,,,,,,,,,,,,,,533501.4641680418,35.48933561375703,-97.2957524129207,Oklahoma,OK00133
Elk City Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530928.9377760772,35.36317191335278,-99.40459300363665,Oklahoma,OK00092
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501108.96965930273,35.856119756359256,-97.92039472357239,Oklahoma,OK00118
Moore Golf Course,,,,Moore,920,73160,OK,Southwest 19th Street,,,,,,,,,,,,,,,,,,,,,,,494067.43754408805,35.3154414437191,-97.50734098046178,Oklahoma,OK00100
Oak Tree Country Club West Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,489002.86596933124,35.714123144779805,-97.5081592175037,Oklahoma,OK00026
Riverside Golf Course,,,,Clinton,,73601,,,,,+1 580 323 5958,http://www.riversidegolf.co/,,,,,,,,,,,,,,,,,,,477971.7885167705,35.521658980287214,-98.95542720721596,Oklahoma,OK00115
Cherokee Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460684.00102135533,35.88228136277865,-94.97064268492302,Oklahoma,OK00110
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459892.2121867572,34.51778743615823,-96.97746426967313,Oklahoma,OK00157
Frederick Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450775.9137322077,34.40223012277657,-99.03063957543664,Oklahoma,OK00150
Perry Golf & Country Club,,,,Perry,2001,73077,OK,North 9th Street,,,,,,,,,,,,,,,,,,,,,,,448996.4587861794,36.307554401861786,-97.29490489221584,Oklahoma,OK00086
River Bend North Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428076.63530830754,35.07035077803422,-97.90522390834042,Oklahoma,OK00140
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405728.62095928343,34.20938291648176,-97.46818604702706,Oklahoma,OK00153
The Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403566.8457255938,36.170314504722235,-97.06413735918747,Oklahoma,OK00050
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397329.2281342472,35.74662671190935,-96.90947709669095,Oklahoma,OK00171
Woodward Municipal Golf Course,,,,Woodward,2500,73801,OK,Whittaker Way,,,,,,,,,,,,,,,,,,,,,,,391141.82885953935,36.42123451194985,-99.37664656186905,Oklahoma,OK00123
Generations Golf Course,,,,Marlow,164779,73055,OK,South Broadway,,,,,,,,,,,,,,,,,,,,,,,386914.48094156856,34.62893672674901,-97.97148868906136,Oklahoma,OK00083
Choctaw Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378592.77522851253,35.02506537382633,-94.64257930632228,Oklahoma,OK00166
Cherokee Trails Golf Course,,,,Tahlequah,22706,74464,OK,South 504 Road,,Cherokee Nation,+1-918-458-4294,https://cherokeegolf.com/trails/,Sa-Su 07:00-19:00,,,,,,,,,,,,,,,,,,377839.13824044744,35.84398200788978,-94.99933012144056,Oklahoma,OK00165
Mangum Municipal Golf Course,,,,Mangum,,73554,,,,,+1 580 782 3676,https://www.cityofmangum.com/GolfCourse.html,,,,,,,,,,,,,,,,,,,377153.38798655645,34.90394704741714,-99.50695410841915,Oklahoma,OK00119
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356994.83494197845,35.83230211795737,-96.4117539313846,Oklahoma,OK00081
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355516.3237987999,36.73905881246271,-102.48618467191794,Oklahoma,OK00130
Unknown Golf Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,351190.1222096835,36.8667838089545,-101.2187177929313,Oklahoma,OK00091
James E. Stewart Golf Course,,,,,,,,,,,,http://okcgolf.com/stewart/,,,Bing,,,,,,,,,,,,,,,,343090.97939410823,35.474367633348734,-97.4705221349971,Oklahoma,OK00055
Chickasha Golf & Country Club,,,,Chickasha,2900,73018,OK,South 16th Street,,,,,,,,,,,,,,,,,,,,,,,341664.8181629373,35.01854172302624,-97.95482072691055,Oklahoma,OK00082
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323727.7097443174,34.401193059550245,-96.15708654365982,Oklahoma,OK00094
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313125.8386283926,35.26781353808307,-95.13917887511977,Oklahoma,OK00096
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310768.39127356384,35.988703030744425,-96.62982321967169,Oklahoma,OK00120
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305008.68788364355,36.86438557044511,-97.02616514465822,Oklahoma,OK00154
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305008.68788364355,36.86438557044511,-97.02616514465822,Oklahoma,OK00155
Legacy Golf Course,,,,Longdale,,,OK,,,,,,,,,,,,,,,,,,,,,,,,301378.52067583083,36.15567017471798,-98.5993424851693,Oklahoma,OK00158
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298626.7422256465,34.64025409608033,-99.28945708808122,Oklahoma,OK00151
Northern Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293418.93768529734,36.39251774851553,-97.84365809247451,Oklahoma,OK00042
Kah-Wah-C Country Club,,,,,,,,,,,,,,,,,"Not 100% sure - the address most sites have for Kah-Wah-C Country Club is 1398 Kah-Wah-C Road, but there doesn't appear to be that road in OSM",,,,,,,,,,,,,,283333.6659503975,36.58430175260252,-96.66445010185795,Oklahoma,OK00044
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238365.01994035015,35.86068893602489,-98.42269524908275,Oklahoma,OK00045
Guthrie Golf & Country Club,,,,Guthrie,3401,73044,OK,East Highway 105,,,+1-405-282-1315,,,,,US,,,,,,,,,,Guthrie Golf & Country Club,,,,,235075.6993703137,35.875573493691256,-97.38702435889951,Oklahoma,OK00043
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228938.84805645613,35.816239198973484,-95.25349556507705,Oklahoma,OK00124
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225752.20009361525,35.49024128020649,-96.67895823768812,Oklahoma,OK00117
Cherokee Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224059.47606096294,35.88005387833605,-94.9638955114338,Oklahoma,OK00111
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222181.08607581077,36.110739800441024,-98.31167032189833,Oklahoma,OK00099
Cherokee Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220194.96845842083,35.88228674687253,-94.96037864673858,Oklahoma,OK00112
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,210684.14153558674,36.794274809917454,-97.74491074291325,Oklahoma,OK00020
Unknown Golf Course,,,,,,,,,,,,,,,,,,9_hole,,,,,,,,,,,,,201286.40868054342,35.321840196497405,-97.59379489142438,Oklahoma,OK00127
O'Brien Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196935.53050742284,36.24709768964291,-95.95655538697278,Oklahoma,OK00068
Unknown Golf Course,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,192926.0077895169,35.997312601385694,-95.89329349772686,Oklahoma,OK00152
The Links at Oklahoma City,,,,,,,,,,,,,,,Yahoo,,,,,,,,,,,,,,,,187335.34210002073,35.59128184084659,-97.50175388737763,Oklahoma,OK00033
Lil' Links Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180595.91031522834,35.99017485627604,-95.83087608654084,Oklahoma,OK00137
Nowata Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177990.2067521994,36.70087753349589,-95.64541688375476,Oklahoma,OK00163
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176843.30830149903,36.14896434929184,-94.76970662986352,Oklahoma,OK00077
White Barn Par 3 Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160140.88536594142,36.148081657863955,-97.03587822158912,Oklahoma,OK00051
Cobblestone Creek Golf Course,,,,Norman,1350,73072,,Cobblestone Creek Drive,,,,https://www.cobblestonecreekgolfclub.com/index.html,,,,,,,,,,,,,,,,,,,144038.55742190924,35.163714246419374,-97.42123794437886,Oklahoma,OK00088
