description,name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,gnis:feature_id,old_name,phone,website,alt_name,note,opening_hours,operator,golf:course,sport,short_name,type,facebook,wikidata,wikipedia,area_m2,lat,lon,province,gcid
,Hot Springs Country Club,Hot Springs,101,71901,AR,Country Club Drive,,,+1 501 623 4981,https://www.hotspringscc.com/,,,,,,,,,,,,1204578.441128488,34.479090941049215,-93.03447792033197,Arkansas,AR00046
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1160525.127427715,34.74895778322055,-92.1200336015298,Arkansas,AR00140
,Pleasant Valley Country Club,Little Rock,1,72212,AR,Pleasant Valley Drive,,,,,,,,,,,,multipolygon,,,,1157681.5453671792,34.77954014738899,-92.41169952069096,Arkansas,AR00032
,Pleasant Valley Country Club,Little Rock,1,72212,AR,Pleasant Valley Drive,,,,,,,,,,,,multipolygon,,,,1157681.5453671792,34.77954014738899,-92.41169952069096,Arkansas,AR00031
,Thunder Bayou Golf Links,Blytheville,1229,72315,AR,Perimeter Rd.,,,,,,,,,,,,,,,,1153856.2621091956,35.95693126318566,-89.92352726350671,Arkansas,AR00045
,Burns Park Golf Course,,,,,,,,+1 501-758-5800,,,,,,,,,,,,,1142107.017385958,34.79189919628532,-92.3058979303637,Arkansas,AR00066
,Degray State Park Golf Course,Bismarck,2027,71929,AR,State Park Maintenance Road,,,,,,,,,,,,,,,,1119128.0598895843,34.25484368083723,-93.14755521009958,Arkansas,AR00097
,Big Sugar Golf Club,Pea Ridge,1101,72751,AR,Sugar Creek Road,,,+1 479 451 9550,https://www.bigsugargolf.com/,,,07:30-dusk,,,,,multipolygon,,,,1115429.9776436558,36.422309020124494,-94.10382595588983,Arkansas,AR00030
,The Course at Eagle Mountain,Batesville,800,72501,,Gap Road,,,+1 870-612-8000,http://www.thecourseateaglemountain.com/,,,,,,,,,,,,1073673.3291296405,35.74510182068631,-91.58412829336977,Arkansas,AR00061
,Harbor Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,1062012.5850146785,34.250606234749604,-91.98938165895316,Arkansas,AR00103
,Mystic Creek Golf Club,El Dorado,191,71730,,Club House Drive,,,+1 870-312-0723,https://mysticcreekgolf.com/,,,,,,,,,,,,1058253.4352474906,33.22513847847547,-92.74065124972199,Arkansas,AR00073
,Kingswood Berksdale Golf Course,Bella Vista,4,72714,,Kingsdale Lane,,,+1-479-855-8123,https://bellavistapoa.com/golf/berksdale.asp,,,,,,,,,,,,1057368.0913302368,36.45999479620438,-94.24496801897824,Arkansas,AR00047
,Blessings Golf Club,,,,,,,,,,,,,,,,,multipolygon,,Q7718583,en:Blessings Golf Club,1038258.2925818284,36.13288305403562,-94.19289240079186,Arkansas,AR00025
,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,981610.7734968296,36.06633196382005,-91.84405378678098,Arkansas,AR00034
,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,981610.7734968296,36.06633196382005,-91.84405378678098,Arkansas,AR00033
,Rebsamen Golf Course,Little Rock,3400,72202,AR,Rebsamen Park Road,,,+15016667965,https://www.rebsamengolf.com/,Rebsamen Park,The Arkansas River Trail is listed as being usable daily until 21:00.  That might make for some confusion being just outside the golf course.,07:00-19:00,Little Rock Parks & Recreation,,,,,,,,975717.5347806783,34.78161080694798,-92.31739845090975,Arkansas,AR00040
,Bella Vista Country Club Golf Course,Bella Vista,98,72714,,Clubhouse Drive,,,+1 479-855-8130,https://bellavistapoa.com/golf/countryclub.asp,,,,,,,,multipolygon,,,,958257.5521222956,36.48183366602444,-94.25737874261655,Arkansas,AR00007
,Granada Golf Course,Hot Springs Village,250,71909,AR,Maderas Drive,,,+1 501-922-3095,http://hsvpoa.org/golf/courses/granada-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,917340.856346638,34.649285327604595,-92.85854592573854,Arkansas,AR00017
,Turkey Mountain Golf Course,Horseshoe Bend,3,72512,AR,Club Road,,,,https://www.arkansas.com/horseshoe-bend/sports-recreation/turkey-mountain-golf-course,,,,,,,,multipolygon,https://www.facebook.com/turkeymtngc/about/,,,881664.131963379,36.22792421993198,-91.756255390859,Arkansas,AR00035
,Sage Meadows Country Club,Jonesboro,4406,72401,,Clubhouse Drive,,,+1 870-932-4420,https://www.sagemeadows.com/,,,,,,,,multipolygon,,,,880543.2747833836,35.887761691544384,-90.63886842832247,Arkansas,AR00023
,Millwood Country Club,,,,,,,,,,,,,,,,,,,,,876781.4819568676,33.718161282322576,-94.01145319830982,Arkansas,AR00131
,Texarkana Country Club,Texarkana,1,71854,AR,Country Club Lane,,,+1 870-772-8221,http://www.texarkanacc.com/,,,,,,,,,,,,871100.5171610803,33.403646501109705,-94.01835332505908,Arkansas,AR00058
,Texarkana Country Club,Texarkana,1,71854,AR,Country Club Lane,,,+1 870-772-8221,http://www.texarkanacc.com/,,,,,,,,,,,,871100.5171610803,33.403646501109705,-94.01835332505908,Arkansas,AR00059
,DeSoto Golf Course,Hot Springs Village,102,71909,AR,Clubhouse Drive,64303,,+1 501-922-0001,http://hsvpoa.org/golf/courses/desoto-golf-course/,,,,Hot Springs Village,,,,,,,,824307.6345384471,34.66635913432084,-93.04498881936328,Arkansas,AR00052
,Rolling Hills Country Club,,,,,,,,,,,,,,,,,,,,,806141.9654349324,34.93278634955464,-91.98332993543764,Arkansas,AR00096
,Highlands Golf Course,Bella Vista,1,72715,,Pamona Drive,,,+1 479-855-8150,https://bellavistapoa.com/golf/highlands.asp,,,,,,,,multipolygon,,,,799165.891082248,36.476738668795555,-94.36713477455534,Arkansas,AR00018
,Cortez Golf Course,Hot Springs Village,299,71909,AR,Cortez Way,64299,,+1 501-922-1590,http://hsvpoa.org/golf/courses/cortez-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,754384.7246033845,34.69505828585338,-92.98280661484466,Arkansas,AR00016
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,742900.9005039386,34.14976644396753,-93.08966812700619,Arkansas,AR00095
,Magellan Golf Course,Hot Springs Village,451,71909,AR,Ponce de Leon Drive,,,+1 501-922-4497,http://hsvpoa.org/golf/courses/magellan-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,740404.02915606,34.622771704910924,-92.89037017469403,Arkansas,AR00020
,Diamond Hills Country Club,Diamond City,20701,72630,,Highway 7 North,,,+1 870 422 7613,http://www.diamondhillscountryclub.com/,,,,,,,,,,,,729099.9147621363,36.44017068114865,-92.91838237290901,Arkansas,AR00082
,Scotsdale Golf Course,Bella Vista,10,72715,,Scotsdale Lane,,,+1 479-855-8140,https://bellavistapoa.com/golf/scotsdale.asp,,,,,,,,multipolygon,,,,716772.4631062375,36.48292358233786,-94.30500211471035,Arkansas,AR00008
,New Haven Golf Club,Texarkana,2321,71854,,Line Ferry Road,82558,South Haven Golf Course,+1 870-774-5771,http://www.newhavengc.com/,,,,,,,,,,,,715156.4125658283,33.396210539486,-94.03314855719728,Arkansas,AR00055
,Ponce de Leon Golf Course,Hot Springs Village,300,71909,AR,Ponce de Leon Drive,,,+1 501-922-4250,http://hsvpoa.org/golf/courses/ponce-de-leon-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,706921.5155452017,34.65115011397982,-92.895012049734,Arkansas,AR00021
,Balboa Golf Course,Hot Springs Village,111,71909,AR,Balboa Way,64288,,+1 501-922-1504,http://hsvpoa.org/golf/courses/balboa-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,703590.0232725573,34.633638225617254,-92.9351788793748,Arkansas,AR00010
,Hardscrabble Country Club,,,,,,,,,,,,,,,,,,,,,693198.055138551,35.35338567811688,-94.38008281442352,Arkansas,AR00042
,Magnolia Country Club,Magnolia,1711,71753,AR,US-79,,,,,,,,,,,,,,,,684561.1339723939,33.194119387436324,-93.20743851927683,Arkansas,AR00133
,The First Tee of Central Arkansas,Little Rock,1,72204,AR,First Tee Way,68497,Rock Creek Golf Course,+1-501-379-8727,https://www.firstteegolfcourselr.com/,,,,,,,,,,,,682867.754239189,34.710920448953246,-92.35300276129014,Arkansas,AR00062
,Lost Springs Golf & Athletic Club,Rogers,3024,72756,AR,N 22nd St,,,,,,,,,,,,,,,,674408.4860681117,36.36201952115764,-94.14942296944864,Arkansas,AR00130
,The Creeks,,,,,,,,,,,,,,,,,,,,,661362.6417496302,36.24611435386833,-94.24255678176479,Arkansas,AR00116
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,659449.8109128382,33.24096720338635,-92.64422515367917,Arkansas,AR00071
,The Country Club of Little Rock,Little Rock,4200,72207,,Country Club Boulevard,,,+1 501-664-1531,https://www.cclr1902.org/,,,,,,,,,,,,656659.7257831915,34.7748399200025,-92.32191809963123,Arkansas,AR00067
,The Country Club of Little Rock,Little Rock,4200,72207,,Country Club Boulevard,,,+1 501-664-1531,https://www.cclr1902.org/,,,,,,,,,,,,656659.7257831915,34.7748399200025,-92.32191809963123,Arkansas,AR00068
,Paragould Country Club,Paragould,3300,72450,,Pruetts Chapel Road,,,+1 870 239 8486,http://www.paragouldcc.com,,,,,,,,,,,,653887.9907352995,36.03431002475525,-90.53495091448558,Arkansas,AR00087
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,647979.6982716116,35.59899770025947,-91.25877818482648,Arkansas,AR00088
,Stuttgart Country Club,Stuttgart,2103,72160,,East 22nd Street,,,+1 870 673 8421,https://stuttgartcountryclub.com/,,,,,,,,,,,,643883.2648074279,34.48264804476194,-91.52781892150706,Arkansas,AR00084
,Searcy Country Club,Searcy,2729,72143,,West Country Club Road,,,+1 501-268-8577,https://searcycountryclub.com/,,,,,,,,,,,,640508.2977295854,35.2325609436768,-91.78018217496735,Arkansas,AR00102
,Dogwood Golf Course,Bella Vista,1,72714,AR,Euston Road,,,+1 479 855 8160,https://bellavistapoa.com/thingstodo/golf/#dogwood,,,,Bella Vista Property Owners Association,,,,multipolygon,,,,636162.4669952452,36.45627353995479,-94.18008370512204,Arkansas,AR00029
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,634742.2777503681,35.604973079920654,-91.21821175456515,Arkansas,AR00089
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,626631.1520802377,34.67599835884526,-92.42691447073372,Arkansas,AR00078
,Morrilton Country Club,Morrilton,1000,72110,AR,Country Club Road,,,+1-501-354-0324,http://morriltoncountryclub.com/,,,,,,,,,,,,626077.5788659675,35.16313853318448,-92.77136683983171,Arkansas,AR00079
,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,607219.4300134191,36.282085806419474,-91.59329698489253,Arkansas,AR00011
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,604555.6407950472,35.95116540296976,-89.91506512468703,Arkansas,AR00149
,Camden Country Club,Camden,1915,,,West Washington,,,,,,,,,,,,,,,,601209.6934295328,33.58243920111035,-92.87327614471228,Arkansas,AR00080
,Meadowbrook Country Club,,,,,,,,,,,,,,,,,,,,,594634.8251816962,35.14214307429205,-90.2112603598712,Arkansas,AR00141
,RidgePointe Country Club,Jonesboro,2510,72404,,Ridgepointe Drive,,,+1 870-931-5000,https://ridgepointecountryclub.com/,,,,,,,,multipolygon,,,,592190.3414884243,35.810799305231825,-90.77184590840037,Arkansas,AR00022
,The Course at River Oaks,Searcy,1,72143,,Golf Course Drive,,,+1 501-279-4653,http://www.thecourseatriveroaks.com/,,,,,,,,,,,,583906.9025899222,35.26178926430779,-91.69746211071954,Arkansas,AR00069
,The Greens at North Hills,Sherwood,7400,72120,,Highway 107,,,+1 501 833 3790,https://www.thegreensatnorthhills.net/,,,,,18_hole,,,,,,,557418.9744547043,34.82172178208996,-92.22817385135922,Arkansas,AR00085
,Forrest City Country Club,,,,,,,,,,,,,,,,,,,,,554084.3713188919,35.00458134256333,-90.77537843775278,Arkansas,AR00091
,Forrest City Country Club,,,,,,,,,,,,,,,,,,,,,554084.3713188919,35.00458134256333,-90.77537843775278,Arkansas,AR00092
,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,547893.2219205884,34.52797483349049,-92.65682482891526,Arkansas,AR00026
,Paradise Valley Golf and Athletic Club,Fayetteville,3728,72703,,North Old Missouri Road,75280,,+1-479-521-5841,http://www.paradisegolfac.com/,,,,,,,Paradise Valley,,,,,546139.3249790655,36.116851783674974,-94.12578933276761,Arkansas,AR00056
,Fayetteville Country Club,,,,,,,,,,,,,,,,,,,,,535458.5379188294,36.02596329425434,-94.1591705890035,Arkansas,AR00041
,Pine Valley Golf Course,,,,,,67642,,,,,,,,,,,,,,,532924.1173588414,34.910754485960375,-92.20892423872878,Arkansas,AR00065
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,530899.5081786026,34.603751102005724,-92.51935683839034,Arkansas,AR00109
,Conway Country Club,Conway,555,72034,AR,Country Club Road,,,+1 501-513-3444,http://www.conwaycountryclub.com/,,,,,,,,,,,,518311.34781825525,35.08805776997251,-92.48534869633485,Arkansas,AR00038
,Helena Country Club,,,,,,,,,,,,,,,,,,,,,514648.359293444,34.53379820803624,-90.63293547722012,Arkansas,AR00050
,Unknown Golf Course,,,,,,,,,,,,,,,,,multipolygon,,,,498529.95276734524,34.549644453178125,-93.01056232742457,Arkansas,AR00006
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,487125.5486728798,34.63311469624003,-92.37385832878049,Arkansas,AR00142
,El Dorado Golf & Country Club,El Dorado,101,71730,,Shady Side Street,,,+1 870-862-5516,https://eldocountryclub.com/,,,,,,,,,,,,481367.82693755906,33.24117096146365,-92.66056389028095,Arkansas,AR00072
,Jonesboro Country Club,Jonesboro,1408,72401,,East Nettleton Avenue,,,+1 870-932-2371,https://www.jcclub.com/,,,,,,,,,,,,457894.47317389946,35.832041083137895,-90.6864370485428,Arkansas,AR00074
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,452403.94016640965,34.89401568729989,-92.08033415858452,Arkansas,AR00148
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,442494.8546139571,35.68858084608532,-90.01408109038474,Arkansas,AR00043
,The Links at Jonesboro Golf & Athletic Club,Jonesboro,1424,72404,,Links Drive,,,+1 870-932-2578,http://www.lindseymanagement.com/cgi-bin/detail.cgi?type=golf&city=Jonesboro&state=AR&id=16,,,,,,,,,,,,431989.26356973173,35.79431232223818,-90.6838119724003,Arkansas,AR00063
,Holiday Island Country Club,Holiday Island,1,72631,,Country Club Drive,,,+1 479 253 9511,https://holidayisland.us/golf/,,,,,,,,multipolygon,,,,426040.2066616143,36.46202778693115,-93.7264631536964,Arkansas,AR00024
,England Country Club,,,,,,,,,,,,,,,,,,,,,416766.79687591054,34.539720636630875,-92.01526665359471,Arkansas,AR00037
,Lake Village Country Club,,,,,,,,,,,,,,,,,,,,,415214.4287941663,33.360493840594714,-91.27148580119824,Arkansas,AR00081
,Brownstone Country Club & Resort,,,,,,,,,,,,,,,golf,,,,,,400087.202066569,35.19383122569827,-90.20499699185046,Arkansas,AR00039
,Coronado Golf Course,Hot Springs Village,199,71909,AR,Surtidor Lane,65979,,+1 501-922-2355,http://hsvpoa.org/golf/courses/coronado-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,387740.94833746785,34.643099490590295,-92.94559350448434,Arkansas,AR00014
,Coronado Golf Course,Hot Springs Village,199,71909,AR,Surtidor Lane,65979,,+1 501-922-2355,http://hsvpoa.org/golf/courses/coronado-golf-course/,,,,Hot Springs Village,,,,multipolygon,,,,387740.94833746785,34.643099490590295,-92.94559350448434,Arkansas,AR00015
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,356902.1975109199,34.82996331502025,-92.28938441455809,Arkansas,AR00146
,Jaycee Golf Course,,,,,,,,,,,,,,,,,,,,,351345.76548785315,34.24152808045107,-92.041304654564,Arkansas,AR00106
,Prescott Country Club,,,,,,,,,,,,,,,,,,,,,349352.4081340258,33.82131083873552,-93.3783975119869,Arkansas,AR00100
,Crowley's Ridge Country Club,,,,,,,,,,,,,,,,,,,,,346624.3501025637,35.239273757880035,-90.72821360472109,Arkansas,AR00115
,Delta Country Club and Golf Course,,,,,,,,,,,,,,,golf,,,,,,336542.13186651457,33.60375401576556,-91.35062922485493,Arkansas,AR00077
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,335201.4551596664,35.05852377237285,-90.76413630940202,Arkansas,AR00121
,Hickory Creek,Jacksonville,8933,72076,AR,Arrington Road,,,,,,,Mo-Su 07:00-20:00,,18_hole,,,,,,,330550.68777768686,34.948774350246644,-92.17170456844843,Arkansas,AR00118
,Big Lake Country Club,,,,,,,,,,,,,,,golf,,,,,,323518.0714202033,35.89498398051273,-90.17059243874058,Arkansas,AR00051
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,302433.6267287382,34.79119725400022,-90.77124267284329,Arkansas,AR00090
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,301735.2108867078,33.61562441982484,-92.73866664268871,Arkansas,AR00105
,Bald Knob Country Club,,,,,,,,,,,,,,,,,,,,,296004.29507851886,35.31573916688811,-91.58965795198291,Arkansas,AR00070
,West Helena Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,278924.75036883645,34.5788151560118,-90.66692837331789,Arkansas,AR00049
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,276806.8515285026,36.39532154977061,-90.1978742832579,Arkansas,AR00076
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,274424.6469630791,36.408412992126074,-90.57072563915335,Arkansas,AR00086
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,269656.51024631213,36.34568119243012,-92.35401123404199,Arkansas,AR00145
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,246339.7002578354,35.20130201294637,-94.22809660272902,Arkansas,AR00132
,Gurdon Golf Course,,,,,,82439,,,,,,,,,,,,,,,245714.64045276935,33.87350832247667,-93.14587781048833,Arkansas,AR00053
,Batesville Municipal Golf Course,Batesville,1850,,,Chaney Drive,56854,Southerland Park Golf Course,,https://www.cityofbatesville.com/departmentsparks_recreation.php,,,,,,,,,,,,240107.6855768197,35.75626302655467,-91.63096534345674,Arkansas,AR00060
,Cedars Country Club,,,,,,,,,,,,,,,,,,,,,231070.16263290582,35.453093772909575,-94.34542003418011,Arkansas,AR00093
,Harrison Country Club,,,,,,,,,,,,,,,,,,,,,226759.512589655,36.27021636249289,-93.1227558638095,Arkansas,AR00099
,Ben Geren Golf Course,,,,,,,,,,,,,,,,,,,,,209465.87321366603,35.312244500949824,-94.37386940367335,Arkansas,AR00107
,Siloam Springs Country Club,Siloam Springs,801,72761,,North Country Club Road,82554,,,,,,,,,,,,,,,208825.68021684024,36.193240773604444,-94.51992757314201,Arkansas,AR00057
,Thunderbird Golf Course,,,,,,82568,,,,,,,,,,,,,,,204669.45435466318,35.525720378086724,-92.03799856007905,Arkansas,AR00064
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,202028.89924117178,36.35094315755586,-92.35137941139419,Arkansas,AR00144
,Brush Creek Golf Course,,,,,,,,,,,,,,,,,,,,,199087.08222554703,36.1885708488448,-94.20026368619388,Arkansas,AR00147
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,194073.8923781881,35.61706254107374,-92.24631597699462,Arkansas,AR00134
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,188597.9744159894,35.1046472446982,-92.50119184018695,Arkansas,AR00122
,Brittany,Bella Vista,1,72714,AR,Euston Road,,,+1 479 855 8160,https://bellavistapoa.com/thingstodo/golf/#brittany,,,,Bella Vista Property Owners Association,,,,multipolygon,,,,183494.5226227514,36.45674993495368,-94.19603663493636,Arkansas,AR00028
,The Greens on Blossom Way,,,,,,,,,,,,,,,,,,,,,178855.76262671655,36.292438388397976,-94.16818181709499,Arkansas,AR00048
,Harrison Country Club,,,,,,,,,,,,,,,,,,,,,178775.97499890337,36.2645184695217,-93.12879370658428,Arkansas,AR00098
,Lions Club Golf Course,,,,,,64121,,,,,,,,,,,,,,,178487.00782610092,34.5675564066569,-94.2518242014006,Arkansas,AR00054
,Brownstone Country Club & Resort,,,,,,,,,,,,,,,,,,,,,163365.9950671182,35.20025378182897,-90.20423173881215,Arkansas,AR00111
,Holiday Island Executive Course,,,,,,,,+1 479 253 9511,,,,,,,,,,,,,156855.5182316735,36.49064324934313,-93.77045147695725,Arkansas,AR00075
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,153111.3498877067,35.877980831447346,-92.09859369068826,Arkansas,AR00083
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,144785.95917565515,35.58697148243735,-92.44615261194075,Arkansas,AR00094
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,143845.56069968702,36.25184148325326,-94.1210021217643,Arkansas,AR00104
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,143246.6444062221,35.1029029751623,-92.50895893466905,Arkansas,AR00124
,The Links at Rainbow Curve Golf and Country Club,,,,,,,,,,,,,,,,,,,,,135622.36000936473,36.34047222987132,-94.2330437003045,Arkansas,AR00044
,Branchwood Disc Golf Course,,,,,,,,+1 479-855-8181,https://bellavistapoa.com/golf/branchwood.asp,,,,,,,,multipolygon,,,,124579.66702368887,36.48995287490094,-94.34918806045461,Arkansas,AR00012
,Golf Course at the Links,,,,,,,,,,,,,,,,,multipolygon,,,,101389.95897502048,33.475002583085995,-94.03911727684057,Arkansas,AR00005
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,99589.24749679974,35.62292736248946,-92.25120149596945,Arkansas,AR00138
,The Links at Fort Smith Golf & Athetic Club,,,,,,,,,,,,,,,,,,,,,88430.48854218249,35.322169843504916,-94.37692487189504,Arkansas,AR00108
,The Links at Bentonville,,,,,,,,,,,,,,,,,multipolygon,,,,80507.7178969067,36.34951035414928,-94.18597041227098,Arkansas,AR00009
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,78749.30195411277,35.103713388798326,-92.51621559786086,Arkansas,AR00126
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,61072.6493240429,35.10584164595626,-92.50846679135617,Arkansas,AR00123
,Lakeside Village Golf Course,,,,,,,,,,,,,,,,,,,,,51914.222730702866,36.100966699497285,-94.1594915356393,Arkansas,AR00117
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,51160.29284891825,35.10305148071509,-92.52250120985597,Arkansas,AR00128
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,45748.44555506045,35.626474399276695,-92.24557815660299,Arkansas,AR00139
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,43858.12224171443,35.10090087458882,-92.5173481996412,Arkansas,AR00125
,Centennial Valley,,,,,,,,,,,,,,,,,,,,,34352.275437184064,35.10609347673822,-92.51609704225835,Arkansas,AR00127
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,29967.851752485196,35.62170833688106,-92.24912406944368,Arkansas,AR00136
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,29196.165407360266,35.62407810141482,-92.24604764640102,Arkansas,AR00137
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,22038.876682599934,35.62104085993667,-92.24693061295964,Arkansas,AR00135
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,18240.073773298638,34.60351487026325,-92.52833584047922,Arkansas,AR00110
