name,operator,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,addr:state,opening_hours,wikidata,source,gnis:feature_id,disused:amenity,email,disused,note,contact:facebook,fax,golf:course,golf:par,sport,access,residential,golf:course:holes,golf:course:par,golf:course:tee_names,golf,landuse,fixme,name:es,contact:phone,building,description,type,par,surface,wheelchair,check_date,area_m2,lat,lon,province,gcid
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153026.144743949,39.64599598775293,-85.17194823344447,Indiana,IN00398
Pfau Indiana University Golf Course,Indiana University,Bloomington,1492,47408,North State Road 45 46 Bypass,,https://thepfaucourse.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140464.5600550876,39.18521198877786,-86.50634481944269,Indiana,IN00133
Blackthorn Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126055.2923273956,41.71951645755903,-86.33015966203257,Indiana,IN00097
Old Oakland Golf Club,,Indianapolis,11611,46236,East 75th Street,+1-317-823-4791,https://www.oldoaklandgolfclub.com/,,,,,2109475,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1115303.831056151,39.8851008836015,-85.96389590749078,Indiana,IN00045
The Fort Golf Course,,Indianapolis,6002,46216,North Post Road,+1-317-543-9597,https://www.thefortgolfcourse.com/,,,,,2108902,,,,,,,,,,,,18,72,"gold, blue, white, green, red",,,,,,,,,,,,,1086871.5208935984,39.868470364708905,-86.01112828585947,Indiana,IN00220
Winding Ridge Gold Cub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1082804.6634916773,39.84954235522827,-85.96268865039244,Indiana,IN00061
Ironwood Golf Club,,Fishers,10955,46038,Fall Road,317-842-0551,https://www.ironwoodgc.com/,,,,,2106817,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1081079.987760798,39.945856424950264,-85.9786188524613,Indiana,IN00013
Timbergate Golf Course,,Edinburgh,151,46124,Saint Andrews Avenue,+1 812 526 3523,http://www.timbergategolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1069382.0695036622,39.35203498106909,-85.94849453040513,Indiana,IN00028
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039681.838213226,38.48514467856653,-87.2618258028585,Indiana,IN00290
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024566.2683584187,40.12038336646927,-86.05033759950958,Indiana,IN00396
Lost Marsh Golf Course,Hammond Port Authority,Hammond,1001,46320,129th Street,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017395.4501861716,41.66475578179677,-87.50122585573747,Indiana,IN00135
Belterra Golf Course,Pinnacle Entertainment,,,,,,https://www.belterracasino.com/amenities/golf-course-and-clubhouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,1004866.5601762028,38.78258267740179,-84.9461102923293,Indiana,IN00034
Chariot Run,,Laconia,8191,47135,Chariot Run Dr SE,+1-812-578-3355,https://golfchariotrun.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999669.7510911375,38.076993556930724,-86.00816426564585,Indiana,IN00342
Holliday Farms,,Zionsville,3950,46077,Club Ridge Estates,+1-317-973-5045,https://www.hollidayfarmszionsville.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,996984.1180014549,39.983511966620895,-86.26762183081807,Indiana,IN00072
Warren Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987546.4894521266,41.71213996020035,-86.22473896231082,Indiana,IN00098
Hulman Links Golf Course,Terre Haute Office of Parks & Recreation,Terre Haute,990,47803,Chamberlain St.,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980570.3371694278,39.48144780907459,-87.30231654937354,Indiana,IN00392
Wyaloosing Creek,,Greensburg,6869,47240,S State Road 3,+1-812-591-4100,https://wyaloosingcreek.weebly.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972132.6297417512,39.238474920505,-85.58189515371664,Indiana,IN00262
Twin Bridges Golf Club,,Danville,1001,46122,Cartersburg Road,+1-317-745-9098,https://www.twinbridgesgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960749.0332123934,39.749014340949685,-86.51104712700267,Indiana,IN00204
Purgatory Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949348.8748692878,40.10620204118641,-85.95121110879668,Indiana,IN00280
Hidden Creek Golf Club,,Sellersburg,4975,47172,Utica Sellersburg Road,+1-812-246-2556,https://hiddencreekgolfclub.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936056.1690662135,38.36475684107567,-85.7272102736202,Indiana,IN00302
Gray Eagle Golf Club and Academy,,Fishers,12500,46038,Brooks School Road,317-845-2900,https://grayeaglegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,932315.3873944972,39.96735020391421,-85.93382794433946,Indiana,IN00012
Cascades Golf Course,,Bloomington,3550,47404,North Kinser Pike,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927257.7977522473,39.2028316624157,-86.54120916816481,Indiana,IN00114
Sycamore Hills Golf Club,,Fort Wayne,11836,46814,Covington Road,260-625-4324,https://www.sycamorehillsgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,911179.8426459755,41.06628111455512,-85.29051042230131,Indiana,IN00019
Sycamore Hills Golf Club,,Fort Wayne,11836,46814,Covington Road,260-625-4324,https://www.sycamorehillsgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,911179.8426459755,41.06628111455512,-85.29051042230131,Indiana,IN00018
Wolf Run Golf Club,,Zionsville,601,46077,South 900 East,+1-317-769-5260,https://wolfrungc.com/,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,901561.2749284003,40.03468704798775,-86.28943152311699,Indiana,IN00214
Stonehenge Golf Club,,Winona Lake,2850,46590,East Pierceton Road,+1 574 269 6122,http://www.stonehengegolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,901278.6142052867,41.208505697848366,-85.78668547806735,Indiana,IN00026
Cobblestone Golf Course,,,,,,,http://cobblestonegc.com/cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898907.4558533882,41.44281016077831,-85.3190507497045,Indiana,IN00415
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896447.3864956683,40.01421156618925,-86.10033318077453,Indiana,IN00413
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,894175.8885600817,41.44257506009237,-87.11475274688085,Indiana,IN00059
Elcona Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893481.742521317,41.67076979176862,-85.85770864250303,Indiana,IN00308
Fox Prairie Golf Course,,Noblesville,8465,46060,East 196th Street,+1-317-776-6357,http://www.foxprairie.com/,,,,,2101364,,,,,,,,,,,,,,,,,,,,,,,,,,,892674.6823816665,40.06645681949768,-86.02606628854274,Indiana,IN00216
Harrison Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881691.1954343666,40.280963401162886,-87.24271959359793,Indiana,IN00267
Heartland Crossing Golf Links,,Camby,6701,46113,South Heartland Boulevard,+1-317-630-1785,http://www.heartlandcrossinggolf.com/,,,,,2109621,,,,,,,,,,,,,,,,,,,,,,,,,,,873556.1800609239,39.625290553346765,-86.30024943657963,Indiana,IN00197
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872958.347927644,39.30211442857853,-84.82974766980064,Indiana,IN00156
Southern Dunes Golf Course,,,8220,,Tibbs Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866408.7891622925,39.65228902216314,-86.21398607400634,Indiana,IN00106
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865551.2662376986,40.12636986019483,-87.39282608634959,Indiana,IN00323
Sand Creek Country Club,,Chesterton,1001,46304,Sand Creek Drive South,+1 219 395 5200,https://www.sandcreek.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,865177.7660608382,41.599570922795344,-87.02721184815421,Indiana,IN00047
Covered Bridge Golf Club,,Sellersburg,12510,47172,Covered Bridge Road,+1-812-246-8880,https://www.cbcpgolf.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859525.3701179317,38.44051125180236,-85.79526903691375,Indiana,IN00409
Crooked Stick Golf Club,,Carmel,1964,46032,Burning Tree Lane,+1-317-844-9938,https://www.crookedstick.org/,,,Q5187858,,2101384,,,,,,,,,,,,,,,,,,,,,,,,,,,854997.8606274113,39.947860825350524,-86.19278651021756,Indiana,IN00208
Plum Creek Golf Course,,Carmel,12401,46033,Lynnwood Boulevard,+1-317-573-9900,https://www.plumcreekgolfclub.com/,,Mo 10:00-17:00; Tu-Su 06:00-21:00,,,2101412,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,2022-09-11,853761.4180749786,39.971247548652855,-86.05991347722403,Indiana,IN00039
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,849517.8570355843,39.55346584228516,-86.1920630858261,Indiana,IN00041
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,849517.8570355843,39.55346584228516,-86.1920630858261,Indiana,IN00042
Kampen Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848502.5275543338,40.445318419502414,-86.92792974342817,Indiana,IN00144
Kampen Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848502.5275543338,40.445318419502414,-86.92792974342817,Indiana,IN00143
Oak Ridge Golf Course,Metz,Brazil,9784,47834,North County Road 300 East,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847615.2378576006,39.53109628110105,-87.0439032919332,Indiana,IN00390
Palmira Golf Club,,Saint John,12111,46373,West 109th Street,219-365-4331,https://www.palmiragolf.com/,,,,,2040006,,,,,,,,,,,,,,,,,,,,,,,,,,,844111.5162892733,41.41430076427892,-87.48489537915023,Indiana,IN00180
Brookwood Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841737.0564622425,40.99409016793914,-85.17398167078576,Indiana,IN00341
Chestnut Hills Golf Club,,Fort Wayne,11502,46814,Illinois Road,260-625-4146,https://www.chestnuthillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,836906.9334682246,41.07851454831389,-85.29215070455817,Indiana,IN00017
Chestnut Hills Golf Club,,Fort Wayne,11502,46814,Illinois Road,260-625-4146,https://www.chestnuthillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,836906.9334682246,41.07851454831389,-85.29215070455817,Indiana,IN00016
Coyote Crossing Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833314.2329974903,40.49873563791432,-86.90097780808888,Indiana,IN00289
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830593.5240029518,40.155091102976286,-84.98438288071117,Indiana,IN00242
Sandy Pines Golf Course,,DeMotte,10527,46310,Bunker Drive,+1-219-987-3611,https://www.sandypinesgc.com/,,,,,450024,,,,,,,,,,,,,,,,,,,,,,,,,,,829333.2657774601,41.166957099848084,-87.157379580998,Indiana,IN00182
Idle Creek Golf Course,,,,,,812-299-5353,https://www.idlecreek.com/golf-course/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,826377.7823759315,39.40046404296645,-87.35510559610438,Indiana,IN00009
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824582.6321214847,41.18078219589525,-86.38306156787286,Indiana,IN00350
Sugar Ridge Golf Club,Sugar Ridge Golf Club,Lawrenceburg,21010,47025,State Line Road,,https://www.sugarridgegc.com/index.htm,IN,,,Bing 2012,,,dennym52@gmail.com,,,,,,,,,,,,,,,,,,,"""... features luscious bent grass tees, greens and new Zoysia grass fairways...Rated by Golf Digest as “Best Places To Play” and recognized in 1999 by Audubon International for its environmental planning..."" ",,,,,,821784.4455917897,39.17598197225984,-84.82462169509807,Indiana,IN00155
Wood Wind Golf Club,,Westfield,2302,46074,W 161st Street,+1-317-669-8550,https://woodwindgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821370.5721331049,40.01812321361073,-86.19862982200995,Indiana,IN00348
Innsbrook Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818772.0218608987,41.49567359928897,-87.35960121524955,Indiana,IN00265
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807325.3100950622,38.84688354121572,-84.91638926433701,Indiana,IN00352
Prairie View Golf Club,,Carmel,7000,46033,Longest Drive,+1-317-816-3100,https://www.prairieviewgc.com/,,,,,,,info@prairieviewgc.com,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,803783.5283412389,39.976721793705664,-86.04057222810418,Indiana,IN00040
Elbel Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,801360.6792460075,41.74704128656629,-86.38138141190865,Indiana,IN00065
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,800972.3357590338,40.014159520008846,-86.10035600094224,Indiana,IN00078
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791815.8369024772,38.67922270522531,-87.4935029200038,Indiana,IN00359
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,782581.667712258,38.15007363104472,-87.5379482625446,Indiana,IN00076
Rolling Meadows Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774833.5224338308,39.29018902547473,-86.69120281699047,Indiana,IN00087
The Brassie Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773148.1007198544,41.594507702812145,-87.09528063354325,Indiana,IN00095
Brickyard Crossing Golf Course,,Indianapolis,4400,46222,West 16th Street,+1-317-492-6417,https://www.brickyardcrossing.com/,,,,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,771709.0469359052,39.79514677235207,-86.22895311884258,Indiana,IN00006
Beechwood Golf Course,,La Porte,2222,46350,Woodlawn Drive,+1 219 362 2651,https://www.thebeechwoodgolfcourse.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769855.3689305609,41.596245154437355,-86.69928444110539,Indiana,IN00127
Golf Club of Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768119.9023397829,39.93749941517137,-86.36856848547335,Indiana,IN00388
Prestwick Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,759996.2504755775,39.75132064315514,-86.43349484278772,Indiana,IN00010
Prestwick Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,759996.2504755775,39.75132064315514,-86.43349484278772,Indiana,IN00011
Country Oaks Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754043.7870973411,38.65978717306117,-87.07173014565505,Indiana,IN00277
Horseshoe Bend Golf Course,,,,,,,,,,,Bing Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,750626.9358607766,39.783623225638095,-85.4378582990588,Indiana,IN00238
Michigan City Municipal Golf Course,Michigan City Golf Course,Michigan City,4000,46360,East Michigan Boulevard,+1-219-873-1516,https://www.michigancitygolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,745992.1214086685,41.70740509290199,-86.84210159968609,Indiana,IN00064
Chesapeake Run Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743995.3578003326,41.20661898252076,-86.73646847424634,Indiana,IN00334
Oak Meadow Country Club,,Evansville,,47725,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,741349.2698117731,38.08470503506264,-87.5253437256456,Indiana,IN00074
Winding River Golf Course,,Indianapolis,8015,46221,Mann Road,+1-317-856-7257,https://www.windingrivergc.com/,,,,,2109119,,,,,,,,,,,,,,,,,,,,,,,,,,,739306.7953144177,39.646724215602674,-86.2448795983491,Indiana,IN00119
Hillcrest Golf & Country Club,,Batesville,850,47006,North Walnut Street,+1-812-934-3401,https://hillcrest-gcc.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736955.8972238422,39.305292249500766,-85.22241931082459,Indiana,IN00224
Bluff Creek Golf Course,,Greenwood,2710,46143,South Old State Route 37,+1-317-422-4736,https://www.bluffcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734188.8269028377,39.58000152036103,-86.24556255835734,Indiana,IN00194
Buffalo Trace Golf Course,,Jasper,1728,47546,Jackson Street,+1 812 482 4600,https://www.jasperindiana.gov/egov/apps/locations/facilities.egov?view=detail&id=15,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,730013.1593455321,38.40573096183484,-86.92783116526006,Indiana,IN00139
Elwood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,727116.4952693228,40.257669825959546,-85.84894162479942,Indiana,IN00032
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726007.808792523,39.69223256372286,-87.42859469934358,Indiana,IN00318
William S. Sahm Park Golf Course,Indy Parks & Recreation,,,,,+1-317-842-3848,https://www.sahmgolf.com/,,,,,2109435,,,,,,,,,,,,,,,,,,,,,,,,,,,725291.6324752229,39.91613645191937,-86.05119501350015,Indiana,IN00122
Honeywell Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724531.4407277551,40.82741493348125,-85.85538627504876,Indiana,IN00363
Honeywell Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724531.4407277551,40.82741493348125,-85.85538627504876,Indiana,IN00364
Autumn Ridge Golf,,Fort Wayne,11420,46845,Auburn Road,260-637-8727,https://www.autumnridgegc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,722504.4912461485,41.19260420441931,-85.10964147471444,Indiana,IN00014
North Branch Golf Course,,Greensburg,8492,47240,East Base Road,+1-812-663-6062,https://www.northbranchgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722266.3135062499,39.330660196136094,-85.33241926269253,Indiana,IN00123
North Branch Golf Course,,Greensburg,8492,47240,East Base Road,+1-812-663-6062,https://www.northbranchgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722266.3135062499,39.330660196136094,-85.33241926269253,Indiana,IN00124
Scherwood Golf,,Schererville,600,46375,East Joliet Street,+1-219-865-2554,https://www.scherwood.com/,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,720531.0786127165,41.49784691677906,-87.4438161707784,Indiana,IN00131
The Links at Rising Star Casino Resort,Rising Star Casino Resort,,,,,,https://www.risingstarcasino.com/golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717490.5932528061,38.95991873330616,-84.84432775875177,Indiana,IN00145
Hoosier Links Golf Club,,Milan,488,47031,Country Club Drive,+1-812-654-2440,https://hoosierlinksgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715667.7197318608,39.1229612592448,-85.11640936604627,Indiana,IN00225
Foxcliff Golf Club,,Martinsville,1970,46151,Maple Turn Road,+1 765 342 0409,http://www.foxcliffgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711945.6064784531,39.47453716344092,-86.39298675733114,Indiana,IN00286
Broadmoor Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710639.0998704771,39.8509380472803,-86.20479532885356,Indiana,IN00166
Meadow Valley Golf Club,,Middlebury,57600,46540,State Road 13,+1-574-825-3422,https://www.meadowvalleygc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707685.1761138098,41.6582928186153,-85.69968391512484,Indiana,IN00174
Arbor Trace Golf Club,,Marion,2500,46952,East 550 North,+1-765-662-8236,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705927.6018861753,40.62943007860931,-85.62818062302591,Indiana,IN00324
Links Golf Club,,New Palestine,11425,46163,N PR Links Lane,+1-317-861-4466,https://www.linksindy.com/,,,,,2096298,,,,,,,,,,,,,,,,,,,,,,,,,,,705707.9260570634,39.694236119461294,-85.9198735476245,Indiana,IN00217
Woodland Country Club,,,,,,,,,Mo 08:45-19:00; Tu-Su 07:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704406.2310065052,39.95121275432891,-86.11978298642443,Indiana,IN00227
Rea Park Golf Course,,Terre Haute,3500,,South 7th Street,+1-812-232-0709,https://www.terrehaute.in.gov/departments/parks/parks-information/rea-park-golf-course.html,,,,,452899,,,,,,,,,,,,,,,,,,,,,,,,,,,702439.274262311,39.42320278057114,-87.40200016173044,Indiana,IN00148
Legacy Hills Golf Club,,LaPorte,299,46350,W. Johnson Road,+1-219-324-4777,https://www.legacyhillsgolfclub.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,699306.6723886484,41.642989665066516,-86.75644990708,Indiana,IN00052
Highland Lake Golf Course,,Richmond,1972,47374,Highland Road,+1-765-983-7287,https://www.richmondindiana.gov/Our_Government/Departments/Parks_and_Recreation/Sports/Highland_Lake_Golf_Course.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696903.778776741,39.87780296440147,-84.87454696330455,Indiana,IN00151
Old Capital Golf Club,,Corydon,1605,47112,Hwy 62 NE,+1-812-738-2277,https://oldcapitalgolf.com/,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693549.9789530516,38.20385272887973,-86.10451498472308,Indiana,IN00307
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691964.1557750461,40.15335500641664,-85.64673478416807,Indiana,IN00092
