name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,source,website,sport,phone,operator,wikidata,gnis:feature_id,old_name,operator:type,operator:wikidata,operator:wikipedia,contact:facebook,opening_hours,access,type,surface,area_m2,lat,lon,province,gcid
Twin Lakes Village Golf Course,Rathdrum,5416,83858,ID,West Village Boulevard,,,,,Twin Lakes Village Golf Club,,,,,,,,Mo-Su 05:30-20:00,,multipolygon,,397835.5231423235,47.86671771873008,-116.85512545187207,Idaho,ID00025
Unknown Golf Course,,,,,,,,golf,,,,,,,,,,,,,,334959.70525888854,42.3314090683462,-111.29007701299209,Idaho,ID00050
Bigwood Golf Course,,,,,,,,,,,,,,,,,,,,,,334252.48914021486,43.69600545515834,-114.36733874140369,Idaho,ID00051
Bear Lake West Golf Course,,,,,,,,,+1-208-945-2744,,,,,,,,,,,,,308103.60975776927,42.005235268838966,-111.41474407201407,Idaho,ID00060
Rolling Hills Golf Course,,,,,,,,golf,,,,,,,,,,,,,,294535.14518694027,44.26198845667327,-116.9686296664165,Idaho,ID00056
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,,268021.1514877535,43.3994687081355,-112.15969785103982,Idaho,ID00013
Moscow Elks Lodge Golf Club,,,,,,,,,,,,,,,,,,,,,,259030.6639019034,46.7246676560836,-116.94359644107254,Idaho,ID00099
Unknown Golf Course,,,,,,,https://bonnersferry.id.gov/mirror-lake-golf-course/,,+1 208-267-5314,,,,,,,,,,,multipolygon,,256817.84626139252,48.655686089817216,-116.34535580788248,Idaho,ID00022
Pinehurst Golf Course,Pinehurst,11,83850,ID,Country Club Lane,,http://www.golfpinehurstidaho.com/,,+1-208-682-2013,,,400280,Kellogg Golf Club,,,,,,,,,251699.33713566526,47.53548206945331,-116.23080322317126,Idaho,ID00062
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,240933.83982038143,42.65908994427119,-111.64080413527513,Idaho,ID00097
Indian Lakes Golf Club,Boise,4700,83709,ID,South Umatilla Avenue,,,,,,,,,,,,,,,,,235313.0161229783,43.5575987613959,-116.26661336142632,Idaho,ID00090
Island Park Golf Course,,,,,,,https://www.islandparkvillageresort.com/golf,,+1 208-558-7550,,,400278,,,,,,,,,,234661.7188582391,44.521271918619284,-111.31883933850267,Idaho,ID00069
Gem County Golf Course,,,,,,,,golf,,,,,,,,,,,,,,232491.54369638782,43.852184639635624,-116.53756357492915,Idaho,ID00037
Shoshone Country Club,,,,,,,,,,,,,,,,,,,,,,227516.55178940977,47.52662712354148,-116.06435884589312,Idaho,ID00061
Grangeville Golf and Country Club,,,,,,,,,,,,400273,,,,,,,,,,226864.65285632544,45.911972097188645,-116.15891593818274,Idaho,ID00065
Dempsey Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,222296.54071859882,42.60090035890486,-112.02354185398211,Idaho,ID00082
Challis Golf Course,,,,,,,,,,,,,,,,,,,,,,221185.59627350513,44.50024768858762,-114.24323614629195,Idaho,ID00080
Rexburg Golf Club,,,,,,,,,,,,,,,,,,,,,,209542.89179065172,43.8302274478956,-111.8044181812674,Idaho,ID00064
Orofino Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,204761.33318610644,46.44672628094848,-116.21946044061636,Idaho,ID00084
Salmon Valley Golf Course,,,,,,,,,,,,,,,,,,,,,,191863.82532837882,45.162020699495564,-113.869163550396,Idaho,ID00077
Cascade Golf Course,Cascade,117,83611,ID,Lakeshore Drive,,https://www.golfcascade.net/,,+1 208 382 4653,,,,,,,,,,,,,184798.75861846266,44.51248339867876,-116.05715628861896,Idaho,ID00096
Aspen Acres Golf Course,Ashton,4179,83420,ID,East 1100 North,,http://www.aspenacresrvpark.com/,,,,,400254,,,,,,,,,,175763.9985613463,44.04466154126349,-111.32165297566125,Idaho,ID00066
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,172617.48645149477,43.65800785289334,-116.69274512308542,Idaho,ID00089
Kaylers Bend Golf Course,,,,,,,,,,,,,,,,,,,,,,172524.82541951505,46.49614877875543,-116.44467828823785,Idaho,ID00094
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,171270.8636236308,42.95039604242799,-112.83360653420443,Idaho,ID00106
Elks Golf Course,,,,,,,,golf,,,,,,,,,,,,,,167790.68769070564,48.2941938588636,-116.54386051444747,Idaho,ID00093
Legacy Golf Course,,,,,,,,,,,,,,,,,,,,,,132544.80898476669,43.704239030459554,-116.42180871539982,Idaho,ID00100
American Falls Golf Club,,,,,,,,,,,,,,,,,,,,,,131792.61047058433,42.78151010662446,-112.85994614631743,Idaho,ID00081
Pierce Park Greens,Boise,5812,83714,ID,North Pierce Park Lane,,,,,,,,,,,,,,,,,120075.86364128998,43.67215291376936,-116.2647592821586,Idaho,ID00101
St. Maries Public Golf Course,,,,,,,,,,,,,,,,,,,,,,115208.92606241112,47.31362045458748,-116.53997647323793,Idaho,ID00091
Ranch Club Golf Course,,,,,,,,,,,,,,,,,,,,,,108906.44039737352,48.18273140537819,-116.94480898163363,Idaho,ID00071
River Park Golf Course,,,,,,,,,,,,,,,,,,,,,,99577.86459745157,43.9088441467548,-113.62063826037067,Idaho,ID00078
Journey's End Golf Course,,,,,,,,,,,,,,,,,,,,,,93505.07952487496,43.40014962262079,-112.16042939992782,Idaho,ID00098
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,66848.17497072145,43.53951310243865,-112.03711335848656,Idaho,ID00046
Ponderosa Springs Par 3,Coeur d'Alene,1291,83814,ID,North Galena Drive,,,,,,,,,,,,,,,,,53073.49448045331,47.68337243630668,-116.75023536350795,Idaho,ID00092
