name,source,addr:city,addr:postcode,addr:street,phone,url,addr:housenumber,addr:state,website,operator,contact:phone,access,landuse,abandoned,note,email,golf:course,golf:par,sport,type,area_m2,lat,lon,province,gcid
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,365045.94794472784,47.09394182184537,-101.25173338199951,North Dakota,ND00074
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,358090.786569455,47.93630456848518,-97.39420696293226,North Dakota,ND00097
Lincoln Golf Course,,Grand Forks,58201,Elks Drive,+1 701-746-2788,,250,,http://www.lincolngolf.org/,,,,,,,,,,,,354729.8881734036,47.90173387988108,-97.02557684214734,North Dakota,ND00042
Lincoln Golf Course,,Grand Forks,58201,Elks Drive,+1 701-746-2788,,250,,http://www.lincolngolf.org/,,,,,,,,,,,,354729.8881734036,47.90173387988108,-97.02557684214734,North Dakota,ND00043
Lakota Rock Creek Golf Course,,,,,,,,,,,,,,,,,,,,,349599.4403045729,48.030739713372974,-98.33150118018104,North Dakota,ND00087
Westhope Country Club,,,,,,,,,,,,,,,,,,,,,334354.1503678105,48.911742634673715,-100.9748130807884,North Dakota,ND00080
Medicine Hole Golf Course,,Killdeer,,,,,,ND,,,,,,,,,,,,,326996.4170938226,47.384339083324754,-102.74160967417025,North Dakota,ND00091
Old Oxbow Country Club,,,,,,,,,,,,,,yes,Abandoned due to repeated flooding.,,,,,,324213.6186713526,46.67100246797274,-96.79738339609179,North Dakota,ND00124
Unknown Golf Course,Bing,,,,,,,,,,,,,,,,,,,multipolygon,321113.92363175994,47.935997210175344,-97.58965229862442,North Dakota,ND00006
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,316313.69799240347,47.771822971746886,-98.1761474961587,North Dakota,ND00039
Hettinger Country Club,,,,,,,,,,,,,,,,,,,,,315333.7674014001,45.95573446586508,-102.60349080502428,North Dakota,ND00081
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,313803.8106414374,48.78697091049425,-98.35623413186461,North Dakota,ND00055
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,313483.00222195924,48.89639848341081,-99.68251048845029,North Dakota,ND00102
Lisbon Bissell Golf Course,,Lisbon,58054,Highway 32 North,+1 701-683-4510,http://www.lisbonbissellgc.com/,,,,,,,,,,,,,,,310074.9609867284,46.45035820116457,-97.6863058521224,North Dakota,ND00056
Edgewater Country Club,,,,,,,,,,,,,,,,,9_hole,,,multipolygon,308598.79917091667,47.98338639787257,-102.50414876304681,North Dakota,ND00008
New Rockford Golf Course,,,,,,,,,,,,,,,,,,,,,307700.59032677155,47.70580163834666,-99.13256734602946,North Dakota,ND00090
Mayville Golf Club,,,,,,,,,,,,,,,,,,,,,305900.77673252206,47.50479553056922,-97.34788996480586,North Dakota,ND00038
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,305799.83415646217,48.808955740683885,-101.49129525261114,North Dakota,ND00063
Goose River Golf Club,,,,,,,,,,,,,,,,,,,,,303459.34248850535,47.412631468246836,-97.0675855498221,North Dakota,ND00037
Fair Oaks,,,,,,,,,,,,,,,,,,,,,293261.08776726766,48.42038357740287,-97.38906543539967,North Dakota,ND00052
Forman Golf Course,,,,,,,,,,,,,,,,,9_hole,,,multipolygon,293149.56717305194,46.099036780375044,-97.64130805826127,North Dakota,ND00004
Valley City Golf & Country Club,Bing,,,,,,,,,,,,,,,,,,,,284618.09968994424,46.93101500495913,-97.98623437486462,North Dakota,ND00031
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,284248.89325985365,46.1457549865508,-103.39395469107069,North Dakota,ND00066
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,281112.01947180217,48.0527981800102,-97.18604252759043,North Dakota,ND00117
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,281064.05377325596,48.070890520182445,-100.9329980327641,North Dakota,ND00111
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,281050.3292234979,47.25075098699575,-101.78137487328091,North Dakota,ND00016
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,279380.3340206699,47.791138993411515,-99.89139028380445,North Dakota,ND00123
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,278806.5780013359,45.94800643276897,-98.52525319864559,North Dakota,ND00103
University of North Dakota Golf Course,,,,,,,,,,,,,,,,,,,,,275570.5893178947,47.916471069906684,-97.08291750402213,North Dakota,ND00104
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,272787.1836403506,47.65735383143012,-99.62118190191312,North Dakota,ND00015
Rugby Country Club,,,,,,,,,,,,,,,,,,,,,267860.93836716795,48.35737267701885,-99.96896567133211,North Dakota,ND00047
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,266083.2770331339,46.26410528073392,-100.24871982828165,North Dakota,ND00064
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,264975.4607845332,46.520010173718575,-99.76222582516343,North Dakota,ND00079
Cooperstown Country Club,,,,,,,,,,,,,,,,,,,,,262563.07271938043,47.45013176493849,-98.13134726618594,North Dakota,ND00059
Williston Municipal Golf Course,,Williston,,,+1 701-577-1321,,,,https://www.willistonparks.com/williston-municipal-golf-course,,,,,,,,,,,,262355.82608044305,48.18552915233985,-103.66190337322374,North Dakota,ND00018
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,261840.56825867682,47.94418721119394,-102.13343300486214,North Dakota,ND00096
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,261342.36255248316,48.35154788219145,-100.40198456569449,North Dakota,ND00060
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,259535.65833737722,48.77264132420082,-97.75556041215873,North Dakota,ND00061
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,259429.561083068,46.65409114553886,-97.2581717226421,North Dakota,ND00045
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,258829.7087899092,46.37505603296847,-102.30281886158262,North Dakota,ND00095
Oakes Golf Club,,,,,,,,,,,,,,,,,,,,,257650.8628574001,46.1699314509556,-98.09664761770777,North Dakota,ND00128
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,249412.81088701315,48.982253624636925,-101.63354026301688,North Dakota,ND00082
Unknown Golf Course,Bing,,,,,,,,,,,,,,,,,,,,243939.07256534975,46.85064731877226,-96.82796630715359,North Dakota,ND00030
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,243359.51447266387,46.45861354090745,-98.3759727842741,North Dakota,ND00054
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,240399.14271883605,48.985376740303956,-100.37607055288177,North Dakota,ND00071
Cottonwood Golf Club,,,,,,,,,,,,,,,,,,,,,240325.50744219046,46.85268031920026,-99.98851500009317,North Dakota,ND00089
Cando Golf Club,,,,,+1 701 968 3813,,,,https://www.candond.com/golf.html,,,,,,,,,,,,236176.82320544394,48.49823080045743,-99.19707900863902,North Dakota,ND00083
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,234135.46523394244,46.60734274512146,-97.62029683549198,North Dakota,ND00065
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,232698.58124871086,46.850044737014976,-101.42349302623035,North Dakota,ND00118
Hazen Golf Course,,,,,,,,,,,,,,,,,,,,,228949.3344455964,47.29652255525436,-101.59355834085164,North Dakota,ND00075
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,220948.46707481483,48.86212738303357,-100.41697196425123,North Dakota,ND00072
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,218376.14750796754,47.43900942420975,-99.1149663405359,North Dakota,ND00014
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,217617.31743515562,48.918187304667065,-98.03384159467043,North Dakota,ND00076
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,212636.4107976307,48.55771366501238,-102.62964456932988,North Dakota,ND00115
New England Golf Course,https://foretee.com/courses/North%20Dakota/South%20Heart/usa/Pheasant%20Country%20Golf%20Course/18894,,,,,,,,,,,,,,,,9_hole,34,golf,,211011.57520846676,46.54896349229719,-102.902575492439,North Dakota,ND00068
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,209812.89877228157,47.322799585895275,-97.78891898555746,North Dakota,ND00070
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,206577.44462427718,48.33765489669951,-103.16608989635277,North Dakota,ND00121
Louse Creek Country Club,,,,,,,,,,,,,,,,,,,,,202195.1445293347,46.44803374832492,-101.23473193888157,North Dakota,ND00094
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,200695.13868582476,47.5142014287602,-101.35928597443359,North Dakota,ND00101
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,198671.23096075642,46.87059449705141,-102.82358914561723,North Dakota,ND00029
Mandan Municipal Golf Course,,,,,,,,,https://mandanparks.com/golfmandan/mandan-municipal/,Mandan Parks & Recreation,,,,,,,,,,,196630.52239800646,46.81847870107067,-100.90628927038875,North Dakota,ND00010
Kulm Country Club,,Kulm,58456,79th Street Southeast,+1 701-647-2244,,6680,ND,https://kulmcc.com/,,,,,,,info@kulmcountryclub.com,,,,,192017.46936636415,46.26993093255642,-98.98678828483796,North Dakota,ND00085
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,189011.7432300375,47.72753878048793,-97.62111020673008,North Dakota,ND00069
Lakeview Golf Course,,Milnor,58060,1st Street,+1 701 427 5280,http://www.milnornd.com/golf_course_27.html,735,ND,,,,,,,,,,,,,187851.32681687642,46.25963639750801,-97.4679056153838,North Dakota,ND00057
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,186911.0542364729,46.404080666409094,-101.83125444302726,North Dakota,ND00084
Cottonwood Golf Club,Bing,,,,,,,,,,,,,,,,,,,,183520.9620634561,46.895409355814635,-97.21634141089616,North Dakota,ND00027
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,181824.43711027724,46.15203073293979,-103.14775301582648,North Dakota,ND00067
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,176766.9176203929,48.83777179229174,-100.04626036041553,North Dakota,ND00073
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,173907.47025075956,48.28690462642614,-99.45447665090585,North Dakota,ND00122
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,168046.56622644787,46.25599028972897,-99.58452155838695,North Dakota,ND00053
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,163687.58667109755,48.692583570644636,-102.09508602414154,North Dakota,ND00062
Splickan Golf Course,,,,,,,,,,,,,,,,,,,,,158578.12345927267,46.37459795635863,-98.71493272111998,North Dakota,ND00077
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,144019.2156027579,48.9601514192398,-97.24494720753648,North Dakota,ND00116
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,143787.26179920725,48.640631599975734,-99.80031185706683,North Dakota,ND00100
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,134440.17676179204,48.90344433376868,-102.77251645002124,North Dakota,ND00050
Lidgerwood Golf Course,,Lidgerwood,,1st Street Southeast,+ 701 538 4312,,,ND,,,,,,,,,,,,,134125.26785367835,46.074038034978365,-97.1384060889773,North Dakota,ND00058
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,121508.42567406842,48.403766934992305,-97.74736557780281,North Dakota,ND00048
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,121508.42567406842,48.403766934992305,-97.74736557780281,North Dakota,ND00049
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,110243.84488962182,48.436056303477514,-103.74548172805879,North Dakota,ND00114
Michigan Public Golf Course,,,,,,,,,,,,,,,,,,,,,107649.39943556694,48.02646437538691,-98.12950317859828,North Dakota,ND00088
El Zagal Golf Course,Bing,Fargo,58102,Elm Street N,,,1400,ND,,Fargo Park District,+1 701-232-8156,,,,,,,,,,99727.95836634366,46.89672951630102,-96.77932628019623,North Dakota,ND00023
Unknown Golf Course,,,,,,,,,,,,private,farmyard,,,,,,,,36483.7153307332,46.75904882997642,-96.81817418520805,North Dakota,ND00036
