name,created_by,sport,addr:unit,opening_hours,phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:province,operator,source,layer,name:en,golf,surface,contact:website,addr:borough,alt_name,email,contact:city,contact:housenumber,contact:postcode,contact:province,contact:street,golf:course,name:fr,wikidata,access,contact:phone,attribution,building,canvec:CODE,canvec:UUID,abandoned,addr:suburb,internet_access,phone:mnemonic,wikipedia,landuse,note,opening_hours:signed,type,wheelchair,addr:source,disused,contact:facebook,addr:country,area_m2,lat,lon,province,gcid
Club De Golf Des Bois-Francs,,,,,,,Rue du Lac Nord,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619242.5773412341,46.21946596003275,-71.93515031303193,Quebec,QC00348
Club de Golf Tecumseh,,,,,,,,Gatineau,,J8P 8B6,QC,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618885.1242298487,45.47915569283723,-75.66986582106072,Quebec,QC00265
Club de Golf Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618436.548811004,48.78369971799838,-79.21805195743875,Quebec,QC00372
Club De Golf Louiseville,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618223.5569674681,46.27039394565199,-72.96684270671633,Quebec,QC00190
Club De Golf Louiseville,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618223.5569674681,46.27039394565199,-72.96684270671633,Quebec,QC00191
Club de Golf St-Pamphile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616084.8365612732,47.021947651612614,-69.79002955642818,Quebec,QC00366
Club de Golf St-Pamphile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616084.8365612732,47.021947651612614,-69.79002955642818,Quebec,QC00367
Club De Golf De Buckingham,,golf,,,,,,,,,,,NRCan-CanVec-10.0;Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,610691.7085012173,45.599845317723336,-75.41211673373158,Quebec,QC00080
Club de golf de Chicoutimi,,golf,,,+1-418-549-6608,,,,,,,,CanVec 6.0 - NRCan;https://www.golfchicoutimi.com/,,,,,,,,,Chicoutimi,2743,G7H 5B1,Québec,Boulevard Talbot,,,,,,,,,,,,,,,,,,,,,,,,607209.9483719912,48.374782027505255,-71.07908186104223,Quebec,QC00142
Club de Golf Bellechasse,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605426.2559415312,46.62159875230627,-70.69942994790307,Quebec,QC00219
Victoriaville,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,604170.118582412,46.041965872919306,-71.94371160569254,Quebec,QC00033
Club de Golf de Joliette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603798.7482987467,46.050825102201394,-73.44691034243603,Quebec,QC00090
Club de Golf de l'Épiphanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603332.0184336139,45.86944274358027,-73.50750753178176,Quebec,QC00239
Club de golf des Légendes,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,603161.981573684,45.36731836040433,-73.2968454401429,Quebec,QC00031
Club de Golf Laurier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601402.3188222176,46.107234051385014,-71.89757955122812,Quebec,QC00382
Club de Golf le Portage,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599809.8764895053,45.83440819894517,-73.43686946965435,Quebec,QC00236
Golf le Rocher de Roxton-Pond,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595611.2203998405,45.50943677061991,-72.62962765136247,Quebec,QC00199
Golf le Sélect,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595170.9917746992,45.67075765290758,-74.2318740559138,Quebec,QC00291
Club de golf Le Grand Duc,,golf,,,,,Rue le Grand Duc,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591640.7367687293,45.83647919521603,-73.89311321148153,Quebec,QC00302
Club de golf Owl's Head,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,590707.1376761657,45.066327258045476,-72.31684145641289,Quebec,QC00021
Edelweiss Golf and Country Club,,,,,+1-819-459-2331,http://golfedelweiss.wix.com/golfedelweiss,Chemin Edelweiss,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585415.4311811815,45.654608959054876,-75.86264380815503,Quebec,QC00330
Cristal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584924.0594023962,46.18066903179951,-71.98874824444675,Quebec,QC00347
Club de golf Saint-Jean-de-Matha,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584034.4576996546,46.28806312688677,-73.56342581620208,Quebec,QC00163
Club de golf Saint-Jean-de-Matha,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584034.4576996546,46.28806312688677,-73.56342581620208,Quebec,QC00162
Club de Golf Meadowbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,579026.4550405043,45.45453282370751,-73.67130495718622,Quebec,QC00028
Club de golf Le Marthelinois,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578178.5775651826,46.387807678831265,-72.50100284406295,Quebec,QC00313
Club de Golf de Bic,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,573571.7519838427,48.37810693228804,-68.71335189071428,Quebec,QC00069
Club de Golf de Napierville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572211.3818477212,45.185297757725955,-73.42638919972701,Quebec,QC00092
Club de Golf de Grand-Mère,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572034.1577907545,46.62521504740426,-72.69274524420617,Quebec,QC00207
Saint-Jean-Port-Joli,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567148.1418151343,47.1644340942973,-70.29461015831082,Quebec,QC00227
Trois-Rivières,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566256.7984165682,46.392987645620664,-72.60742412176211,Quebec,QC00194
Club de golf de Baie St-Paul,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564975.9055100518,47.44869911546091,-70.53272905397877,Quebec,QC00230
Golf Le Castor,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563850.2599280368,46.913230177050615,-71.46407325830013,Quebec,QC00221
Club de golf de la Vallée du Témiscouata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563393.0201349556,47.67446627610234,-68.95181555132513,Quebec,QC00385
Club de Golf Rivermead,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,Rivermead Golf Club,,,,,,,,,,,,,,Q7338264,,,,,,,,,,,,,,,,yes,,,,,563272.3147531992,45.39742677116765,-75.79103563224953,Quebec,QC00165
Golf Les Boisés de Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562763.126910037,46.47827820683432,-71.6605985507601,Quebec,QC00355
Club de golf La seigneurie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552639.6180234413,45.590218709506736,-73.17669455331608,Quebec,QC00262
Mont Adstock,,golf,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550310.1786543614,46.02825742414815,-71.18542960122412,Quebec,QC00186
Club de Golf St-Donat,,golf,,,+1-819-424-2658,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,St-Donat,92,J0T 2C0,Québec,Route 329,,,,,,,,,,,,,,,,,,,,,,,,549717.6946433163,46.29946518074118,-74.21052371115172,Quebec,QC00290
Club de golf Valleyfield,,,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548200.614200263,45.29000942148125,-74.10489116276057,Quebec,QC00169
Lorraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547387.6668847936,45.65834487612763,-73.77965332105462,Quebec,QC00117
Club de Golf Lévis,,golf,,,,,,,,,,,,,Levis Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545109.3310348943,46.800001726859904,-71.16439670161533,Quebec,QC00121
Club de Golf Lévis,,golf,,,,,,,,,,,,,Levis Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545109.3310348943,46.800001726859904,-71.16439670161533,Quebec,QC00122
Club de Golf Lac Mégantic,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543919.8799453271,45.50418863986801,-70.86330750276682,Quebec,QC00159
Club de golf du Manoir des Sables,,golf,,,,,,,,,,,Bing,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540909.8492771433,45.31874156727977,-72.16124814820337,Quebec,QC00140
Golf Candiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,539069.4973872368,45.38615114936396,-73.49877448786663,Quebec,QC00043
Golf de Sainte-Flore,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538673.4504016538,46.6169153375112,-72.74604593210375,Quebec,QC00205
Club De Golf Rive Sud,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535735.8503508389,45.50519037291281,-73.30414217110408,Quebec,QC00151
Club de Golf Arundel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532861.6615869,45.97956484273026,-74.62017338790824,Quebec,QC00097
Club de Golf East Angus,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,528914.9853722098,45.493683625078816,-71.66532564484773,Quebec,QC00062
Le Gaspésien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527372.8264223812,49.11503348804131,-66.51875679505608,Quebec,QC00308
Golf des Saules,,,,,,,Des Saules,Rimouski,,,Québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527247.8954148437,48.4172524648658,-68.57996447149758,Quebec,QC00314
Club de Golf Metaberoutin,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,525834.8703959577,46.36238920097325,-72.53716608275622,Quebec,QC00035
Club de Golf Drummondville,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,520817.3498163023,45.90092000654858,-72.49959413795817,Quebec,QC00045
Club de Golf de Crabtree,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515514.1744146256,45.97348046111644,-73.51770195761196,Quebec,QC00283
Club de Golf Baie Comeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,515341.52666340943,49.209243607801824,-68.25945979463995,Quebec,QC00066
Club de Golf Port-Alfred,,golf,,,,https://golfportalfred.com/,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,514984.0720555112,48.32006555643777,-70.8946709689465,Quebec,QC00068
Club de Golf Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512265.1619814697,46.8636570816812,-70.87411008572082,Quebec,QC00391
Club de Golf Sainte-Marie,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511838.83209052734,46.46160176284239,-71.07106624644702,Quebec,QC00196
Golf Mont-Ste-Anne,,,,,,https://www.golfmsa.com,Boulevard les Neiges,Saint-Ferréol-les-Neiges,1700,G0A 3R0,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511116.40014897095,47.073588643545975,-70.89153287011256,Quebec,QC00394
Club de Golf Bel-air,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506238.7539914489,45.618037157555634,-74.0633870396224,Quebec,QC00329
Club de Golf Fauvel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505771.9727226965,48.012904409766065,-65.43050394428839,Quebec,QC00384
Club de Golf du Lac Carling,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503973.62467361195,45.74736010469933,-74.52234917214459,Quebec,QC00297
Balmoral Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500380.92674098455,45.89356701543252,-74.22700597928734,Quebec,QC00320
Club de golf Revermont,,golf,,,,,chemin du Golf,Amqui,146,G5J 2A7,Quebec,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,Q99409807,,,,,,,,,,,,,,,,,,,,,497895.92191951536,48.44422694508883,-67.3915479885345,Quebec,QC00258
Club de golf le Chantecler,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497694.3006478518,45.96011437374146,-74.16346553575657,Quebec,QC00286
Club de Golf de la Vallée Des Forts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497425.870208443,45.247162989286494,-73.30192792551433,Quebec,QC00397
Golf Oasis,,golf,,,,,,,,,,,NRCan-CanVec-10.0;NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496051.2587733228,45.680368689506324,-74.37749982115754,Quebec,QC00284
Club de Golf de Beloeil,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496051.098824045,45.56318722719233,-73.21605180257386,Quebec,QC00128
Club de Golf Alpin,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494924.11789582355,46.99305795164801,-71.20534300931557,Quebec,QC00218
Club de Murray Bay,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494323.81776587834,47.64669618619238,-70.15844907497645,Quebec,QC00228
Le Saint-Rémi,,golf,,,,,,,,,,,,,,,,https://www.golfstremi.com/,,Club de golf Le Saint-Rémi,,,,,,,,,,,+1 418 289-2644,,,,,,,,,,,,,,,,,,,487712.5443027296,46.85334412692777,-72.45111345330028,Quebec,QC00226
Golf Saint-Prime Sur Le Lac,,,,,+1 418 251-2831,https://www.golfstprime.qc.ca/,Rue Principale,Saint-Prime,776,G8J1T9,QC,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,486313.4522590005,48.60492015855393,-72.33807543479325,Quebec,QC00343
Club de golf Saint-Jean,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484048.2531229859,45.280992574202074,-73.26438654131236,Quebec,QC00264
Golf le Cardinal,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482492.4533868073,45.536382070286265,-73.84924999476078,Quebec,QC00134
Club de Golf Val-Morin,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482086.51016135217,46.00037857788423,-74.17045647064677,Quebec,QC00288
Club de Golf Métropolitain Anjou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479934.939964931,45.627338138309575,-73.56598868933985,Quebec,QC00304
Club de Golf Estérel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478519.6841735934,46.03998102389375,-74.02160259476844,Quebec,QC00333
Club de Golf de Coaticook,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478393.69815805956,45.112656417141615,-71.8133834287003,Quebec,QC00208
Club de golf Vallée de la Lièvre,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478134.68461457174,46.56591679363013,-75.4084881279993,Quebec,QC00204
Club de golf Banlieue Ouest,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473839.27643839095,45.2437202023,-74.25827715695245,Quebec,QC00294
Club De Golf Les Cedres,,golf,,,,,Rue Coupland,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,472315.54379170865,45.364065041631065,-72.67144431472227,Quebec,QC00039
Club & Hotel Du Golf Nominique,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470980.6358007358,46.39213146550452,-75.01824417695373,Quebec,QC00215
Club de Golf Chaudière,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,469662.80346763594,45.40632490705747,-75.77535843814508,Quebec,QC00026
Club de Golf St-Pacôme,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468320.6837821101,47.4109836998466,-69.95745352042742,Quebec,QC00180
Club de Golf Saint-Michel-Des-Saints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466931.9940931477,46.678956542877366,-73.90659818015818,Quebec,QC00346
Club de golf Le Marthelinois,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465878.0638399559,46.384146456789914,-72.50579411532071,Quebec,QC00312
Country Club de Montréal,,,,,,,,,,,,,,,Country Club of Montreal,,,,,,,,,,,,,Country Club de Montréal,,,,,,,,,,,,,,,,,,,,,,462392.9951847118,45.48498251469573,-73.49568055567953,Quebec,QC00103
Club de Golf de Chandler,,,,,,,Rue Commerciale Ouest,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461525.44429581985,48.34443410652459,-64.6920925487485,Quebec,QC00375
Club de golf du Mont-Orford,,golf,,,,,,,,,,SEPAQ,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,459085.4125349747,45.319603281138534,-72.18544639472603,Quebec,QC00054
Club De Golf Ormstown,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452159.5403776972,45.05624579035741,-73.98260806321093,Quebec,QC00399
Club de Golf Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,451348.37167308485,45.411692899355565,-71.92468697642063,Quebec,QC00044
Golf de Chambly (FERMÉ),,,,,,,Rue Martel,Carignan,2466,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,449797.49896930344,45.46436819129148,-73.29909604699077,Quebec,QC00351
Club de Golf le Grand Héron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,445422.5656879968,46.27268523340692,-70.59464349830124,Quebec,QC00038
Warwick,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439609.058894098,45.93338097803421,-72.0064733150598,Quebec,QC00181
Golf Sainte-Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437974.27757985954,45.59396499625743,-73.82030988580382,Quebec,QC00316
Club De Golf de Knowlton,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,436348.44153615175,45.229999063994896,-72.48216741850307,Quebec,QC00082
Club de golf Douville,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434429.57394743164,45.61535439858352,-72.97747090494718,Quebec,QC00198
Golf Dallaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,432727.31954256725,48.224088596964855,-79.03427595184654,Quebec,QC00053
Club de Golf Rivière-Rouge,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421994.5615883018,45.313628182025575,-74.20097880710927,Quebec,QC00171
Club de Golf Algonquin,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,419622.59824605024,46.271277722964946,-76.00796651359768,Quebec,QC00067
Rawdon Golf Resort,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,419418.0099716229,46.05872261136589,-73.69983300929921,Quebec,QC00042
Boule rock golf club,,golf,,,+1-866-936-3407,https://golfboulerock.com/,Route 132,Métis-sur-Mer,164,G0J 1S0,,company,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,418468.3781650252,48.67479977573027,-67.97298255567925,Quebec,QC00060
Le golf les Vieilles Forges,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417209.4530870067,46.38606110996815,-72.65261678948343,Quebec,QC00189
Club de Golf Saint-Jérôme,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416509.3109831527,45.82915163420562,-74.06823004002308,Quebec,QC00158
Golf Le Géant,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,416249.2067544653,46.200104115493104,-74.58937439702795,Quebec,QC00070
Club de Golf du Lac Lyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412292.34736633324,45.012103224555354,-71.90138863399073,Quebec,QC00331
Golf La Vallée de Sainte-Adèle,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410550.11215809453,45.947891850245355,-74.11734487743868,Quebec,QC00322
Golf Le Maître De Mont Tremblant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410454.85334174475,46.14718131813325,-74.59453660495538,Quebec,QC00338
Club de Golf Boucherville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407183.69046486163,45.58150398602844,-73.43808463908675,Quebec,QC00120
Club de Golf Metropolitain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405811.13947406126,46.82444853968051,-71.3749143204321,Quebec,QC00105
Club de Golf de Matane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401522.806648387,48.81681533363018,-67.52862597958689,Quebec,QC00389
Club de Golf Des Pins,,golf,,,,,Route Philomène-Thibodeau,Saint-Alban,1140,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401269.7893849981,46.74843477265625,-72.04052697105537,Quebec,QC00209
Québec City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396395.58859393577,46.787938252042245,-71.36470391889353,Quebec,QC00263
Club De Golf Baie Missisquoi,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394807.09029875736,45.080746511351684,-73.16004167727078,Quebec,QC00246
Club de Golf Godefroy,,golf,,,,,Boulevard Bécancour,Bécancour,17500,G9H 1A4,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394649.7989300322,46.305576664362626,-72.53971620599684,Quebec,QC00192
Lafleur Golf Course,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392846.89202146203,45.3752146241299,-73.66529354827804,Quebec,QC00274
Club de golf Beaconsfield,,,,,+1-514-695-2661,https://www.beaconsfieldgolfclub.ca/,Avenue du Golf,,49,H9S 4N6,,,,,Beaconsfield Golf Course,,,,,,,,,,,,,Club de golf Beaconsfield,,,,,,,,,Pointe Claire,wlan,,,,,,,,,,,,388937.2810524988,45.4348829888128,-73.82843541272948,Quebec,QC00088
Chute-aux-Outardes,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387097.57346127887,49.1372014327237,-68.40182997812167,Quebec,QC00155
Unknown Golf Course,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,386171.24966772436,45.68881250069519,-72.81654916117958,Quebec,QC00037
Club De Golf Sainte-Béatrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379335.07830112765,46.20262334995428,-73.61374408280871,Quebec,QC00352
Ancien Club de golf Mascouche (FERMÉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372055.1487304844,45.74297006494799,-73.64001075323188,Quebec,QC00111
Club de golf Les Rochers Bleus,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,370670.3912884379,45.12898196630436,-72.62709238585354,Quebec,QC00072
Club de Golf Vaudreuil,,golf,,,,,Rang Saint-Antoine,Vaudreuil-Dorion,1126,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366515.9119574232,45.3516699652592,-74.01966554061262,Quebec,QC00170
