addr:housenumber,addr:street,name,phone,addr:city,addr:province,addr:postcode,email,sport,website,addr:country,opening_hours,operator,attribution,canvec:CODE,source,access,addr:unit,golf:course,source:addr,created_by,alt_name,golf:par,start_date,wikidata,branch,brand,fee,building,golf,note,landuse,contact:city,contact:country,contact:email,contact:housenumber,contact:phone,contact:postcode,contact:province,contact:street,contact:website,contact:facebook,description,facebook,instagram,old_name,tourism,fax,type,wikipedia,source:url,area_m2,lat,lon,province,gcid
,,Gorge Vale Golf Course,,,,,,golf,https://www.gorgevalegolf.com/,,,,,,ParcelMap BC Parcel Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,587568.8279384325,48.44248195478604,-123.41081322283698,British Columbia,BA00041
,,Gallagher's Canyon Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,583850.6782615441,49.83970153978967,-119.38206178587991,British Columbia,BA00035
,,Peace Arch Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577506.7780528134,49.01054221145893,-122.75408443636802,British Columbia,BA00088
,,Point Grey Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577478.713789933,49.22374883752251,-123.18501000226361,British Columbia,BA00098
,,Seymour Golf and Country Club,,,,,,,https://www.seymourgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555457.2604218625,49.31203823366786,-122.96352855290144,British Columbia,BA00279
1800,Mallory Road,Creston Golf Club,+1- 250-428-5515,Creston,BC,V0B 1G2,,golf,https://www.crestongolf.com/,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,554062.9513994931,49.049468425707744,-116.49602243148036,British Columbia,BA00039
,,Fairmont Chateau Whistler Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550963.8348461295,50.12988400283729,-122.93415020542854,British Columbia,BA00069
,,Shuswap National Golf Course,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549610.4672747491,50.65629993247095,-119.21385058115608,British Columbia,BA00317
,,Arbutus Ridge Golf and Country Club,,,,,,golf,,,,,Natural Resources Canada,1000082,CanVec_Import_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,547432.673598284,48.687830950842915,-123.54716027104975,British Columbia,BA00015
602,Queens Bay Road,Balfour Golf Course,,Balfour,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542647.2766550834,49.630990545880415,-116.9583409418498,British Columbia,BA00296
,,Rossland-Trail Country Club - Birchbank Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539456.5894952733,49.16264891082235,-117.72879263179632,British Columbia,BA00214
,,Riverside Golf Course,,,,,,,https://www.fairmonthotsprings.com/golf/riverside-course,,,Fairmont Hot Springs Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539103.0233802669,50.329819721008334,-115.8676563232578,British Columbia,BA00250
2458,Mamquam Road,Squamish Valley Golf Club,+1-604-898-9521,Squamish,,V8B 8H8,,,https://squamishvalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,537699.3898950893,49.73270547391457,-123.12483276559797,British Columbia,BA00051
2700,2nd St S,Cranbrook Golf Club,,Cranbrook,BC,V1C 4H8,,golf,https://www.golfcranbrook.com/,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535817.4520079846,49.512259442473045,-115.74329228883506,British Columbia,BA00174
,,Golden Eagle Golf Course (South Course),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534020.2820827803,49.286163838400604,-122.62272154310892,British Columbia,BA00201
9100,Steveston Highway,Richmond Country Club,,Richmond,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532940.772698205,49.12772750877802,-123.1248531593744,British Columbia,BA00071
,,Fairmont Mountainside Golf Course,,,,,,,https://www.fairmonthotsprings.com/golf/mountainside-course,,,Fairmont Hot Springs Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,531777.5134391802,50.32687538671505,-115.85476646947681,British Columbia,BA00053
,,Smithers Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530412.4712821142,54.793307598766006,-127.18986258418981,British Columbia,BA00194
3206,Sunshine Coast Highway,Sunshine Coast Golf & Country Club,,Roberts Creek,,,,,https://sunshinecoastgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529231.4894223072,49.43119351836327,-123.63611028222974,British Columbia,BA00282
,,Rivershore Estates & Golf Links,,,,,,golf,https://rivershoregolflinks.com/,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,522006.00480404426,50.65488802112075,-120.00114904183572,British Columbia,BA00031
1200,Knight Road,Glacier Greens Golf Course,+1-250-339-6515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520340.374799451,49.706282192616605,-124.89257762839095,British Columbia,BA00142
,,Cordova Bay Golf Course - Bay Course,,,,,,,,,,,Natural Resources Canada,1000082,CanVec_Import_2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518735.1680932526,48.5353265913002,-123.37160152233267,British Columbia,BA00162
4955,Trans-Canada Highway,Cowichan Golf & Country Club,,,,,,golf,,,,,Cowichan Valley Regional District,,CVRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,517301.50575914484,48.7505746705192,-123.66460274027128,British Columbia,BA00016
,,Northlands Golf Course,,,,,,,https://golfnorthlands.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517110.3499671608,49.319823147677,-122.97994816974789,British Columbia,BA00253
,,Mayfair Lakes Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,515701.54748710396,49.17529465146831,-123.03456962492056,British Columbia,BA00018
523,9th Avenue West,Prince Rupert Centennial Golf,,,,V8J2S9,,,https://www.princerupertgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515546.7451333769,54.30464498184349,-130.31700679598478,British Columbia,BA00180
,,Nicklaus North Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515467.5830308616,50.140194354208994,-122.95618350048575,British Columbia,BA00068
,,Unknown Golf Course,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,514556.7043316191,50.357954568003834,-119.28401957012204,British Columbia,BA00150
29110,Matheson Avenue,Eighteen Pastures,,Mission,BC,V4S1B5,,,,CA,,,,,,,,18_hole,,,,,,,,,,,,,,Maple Ridge,CA,eighteenpastures@gmail.com,29910,+1-604-462-8622,V4S1B5,BC,Matheson Avenue,https://www.eighteenpastures.com,,,,,,,,,,,514412.3796711431,49.199271042068936,-122.41851978310903,British Columbia,BA00339
,,Kamloops Golf & Country Club,,,,,,golf,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513001.87653612095,50.71046655739163,-120.44671874272767,British Columbia,BA00128
,,Williams Lake Golf and Tennis Club,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502698.26837488427,52.11845516903162,-122.14777940476681,British Columbia,BA00265
,,Fairwinds Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,501952.4812511939,49.277778765351684,-124.13097999692953,British Columbia,BA00037
,,Farmington Fairways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500442.94432129303,55.85857845348629,-120.39378744522426,British Columbia,BA00191
,,McCleery Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499253.4554192954,49.21953991338958,-123.16776647452716,British Columbia,BA00103
,,University Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,497561.40088870627,49.264557200188385,-123.2250998459205,British Columbia,BA00050
,,Mountain Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495914.43050006585,49.555936209524084,-119.69516317085196,British Columbia,BA00318
,,Pitt Meadows Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494576.86442015064,49.2530781365798,-122.6959429744886,British Columbia,BA00112
36036,South Parallel Road,Fraserglen Golf Course,+1-604-859-3477,,,V3G 2K4,,golf,https://www.fraserglen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492451.75373601064,49.03258244439032,-122.22998053047718,British Columbia,BA00082
,,Furry Creek Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,492296.629041394,49.57923401867498,-123.22139631422884,British Columbia,BA00055
,,Prince George Golf & Curling Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491349.11296672915,53.89257810848528,-122.7751403548093,British Columbia,BA00067
3551,Granville Avenue,Quilchena Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490697.9726546617,49.161604491051015,-123.19258742742177,British Columbia,BA00100
,,Uplands Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489502.28984673484,48.451133328490734,-123.30990774847582,British Columbia,BA00085
7926,152 Street,Guildford Golf & Country Club,,Surrey,BC,V3S 3M5,,,,,,,,,City of Surrey 2010 Orthographs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,http://www.surrey.ca/city-services/658.aspx,485579.80157912977,49.14534136204778,-122.80690200023841,British Columbia,BA00020
,,Aspen Golf Course,,,,,,golf,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483107.1827935438,53.81817251507757,-122.66316528914763,British Columbia,BA00130
,,Vernon Golf Club,,,,,,golf,,,,,,,NRCan-CanVec-7.0;NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480668.6649384358,50.24592207723278,-119.2681163064592,British Columbia,BA00145
2800,Highland Boulevard,Nanaimo Golf Club,,,,,,,,,,,,,,,,18_hole,StatCan Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480483.79336547625,49.200980902792814,-123.98415043684317,British Columbia,BA00165
533,Dominion Ave,Carnoustie Golf Club,,Port Coquitlam,BC,V3E3G7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,479130.20056490327,49.2622487847897,-122.73357043939458,British Columbia,BA00058
,,Golden Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,472883.82003465213,51.332783595487605,-117.00804654245356,British Columbia,BA00062
21025,48 Avenue,Newlands Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,471378.73800813773,49.093720422386866,-122.63986472802506,British Columbia,BA00046
,,Langara Golf Course,,,,,,,,,,,,,Yahoo,,,,,,Langara Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462948.41052339546,49.22080863891834,-123.11126451145363,British Columbia,BA00087
,,Belmont Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462360.78967081645,49.156149784213305,-122.59445439714929,British Columbia,BA00072
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461235.68114062917,49.33651862670563,-119.72137520676463,British Columbia,BA00148
