addr:housenumber,addr:postcode,addr:street,name,building,addr:city,opening_hours,phone,website,addr:province,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,sport,indoor,source,operator,note,fax,landuse,addr:full,golf,golf:course,golf:par,surface,layer,start_date,description,old_name,email,mapillary,wheelchair,winter_service,operator:type,operator:wikidata,addr:hamlet,tourism,facebook,image,barrier,addr:country,designation,demolished,source:name,type,contact:city,contact:housenumber,contact:street,fixme,area,area_m2,lat,lon,province,gcid
,,,The Fairmont Banff Springs Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970988.5536349284,51.17280481394051,-115.53678337114188,Alberta,AA00069
,,,Crowsnest Pass Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965194.0453726334,49.62526875174664,-114.4567129089928,Alberta,AA00195
,,,Stewart Creek Golf & Country Club,,,,+1-877-993-4653,https://stewartcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956459.0710037425,51.045387773270626,-115.31289813479867,Alberta,AA00116
435,T9E 0V5,Airport Perimeter Road,Red Tail Landing,,Edmonton International Airport,,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,Nisku,,,,,,,,,,,,,,,954624.8735364353,53.321674136265834,-113.55366140463617,Alberta,AA00068
,,,Edmonton Garrison Memorial Golf & Curling Club,,,,,,,,,,,golf,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,947421.4736194708,53.66322032445016,-113.48549177658461,Alberta,AA00076
,,,Edmonton Springs Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944918.744816694,53.58337665334589,-113.79396541021063,Alberta,AA00242
174,T1S 1A5,Northridge Drive,D'Arcy Ranch Golf Club,,Okotoks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926819.2013866309,50.73804575705134,-113.9943620570348,Alberta,AA00130
,,,Elbow Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,924786.5764849439,51.012470346343626,-114.248015795166,Alberta,AA00042
,,,Silver Creek Golf Course,,,,,https://silvercreekgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922779.4971450004,52.889960182215674,-112.96582882676871,Alberta,AA00171
,,,Fort McMurray Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911549.3556490379,56.71135051295843,-111.44511476857777,Alberta,AA00087
29509,,Rge Rd 34,Tooth of the Dogpound Creek Golf Course,,,,+1 403 337 4880,https://www.toothofthedogpound.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899958.9389796818,51.52045737647583,-114.37043499868989,Alberta,AA00295
42,T0B3H0,Whitetail Drive,Whitetail Crossing Golf Club,,Mundare,,,,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897006.8837600639,53.581477013497285,-112.35120448155654,Alberta,AA00307
,,,Claresholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882806.6904765754,50.010054537694344,-113.58879925620397,Alberta,AA00185
,,,McCall Lake Golf Club,,,,,,,,,,,,,,City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882288.7277450647,51.086392720292736,-114.02203775351806,Alberta,AA00048
,,,Edmonton Petroleum Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881377.4624255543,53.41561657604603,-113.69537843959206,Alberta,AA00230
2000,,Silvertip Trail,Silvertip,,Canmore,,,,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869231.6975064148,51.101323215373974,-115.33827597853741,Alberta,AA00117
,,,Edmonton Country Club and Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868835.2731946963,53.49055817031657,-113.60429594838816,Alberta,AA00107
,,,Sirocco Golf Club,,,,,,,,,,,,,,,,,,,,18_hole,72,grass,,,,,,,,,,,,,,,,,,,,,,,,,,863879.0896366918,50.8483471312125,-114.08389547902453,Alberta,AA00127
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851038.6681776004,53.53742547912894,-114.43461640158733,Alberta,AA00166
,,,Brewster's Kananaskis Ranch golf course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847676.7228488976,51.09849363701525,-115.08220448441497,Alberta,AA00182
,,,Redwood Meadows Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,839261.3034477442,50.97873091979281,-114.5251247816054,Alberta,AA00038
,,,Paradise Canyon Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832673.70107045,49.65005322369761,-112.83187291714405,Alberta,AA00205
1,,C.A. Knight Way,Miskanaw Golf Club,,Fort McMurray,,+1-780-790-1812,https://www.miskanaw.ca/,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/MiskanawGolfClub/,https://images.squarespace-cdn.com/content/v1/5c901175840b1666619f3b82/1555013927741-9XEIJVSEH27ERP6U2DSD/IMG_1219-21-03-19-11-47.JPG?format=2500w,,,,,,,,,,,,829607.3377853099,56.738948719503036,-111.37952466644283,Alberta,AA00298
400,T1V 1M6,7 Street NW,Highwood Golf And Country Club,,High River,,,https://highwoodgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826012.9509156264,50.585662843807434,-113.88528507917803,Alberta,AA00177
,,,Pinehills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811719.1205589471,52.39370365585026,-114.99033501001783,Alberta,AA00250
,,,Athabasca Golf & Country Club,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806071.6413655389,54.73855241193845,-113.27892134918723,Alberta,AA00102
,,,Picture Butte Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797146.8720486407,49.857695417639995,-112.83105140112725,Alberta,AA00160
,,,Picture Butte Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797146.8720486407,49.857695417639995,-112.83105140112725,Alberta,AA00159
2300,T2X 0R3,194 Avenue SE,Blue Devil Golf Club,,Calgary,06:00-22:00,+1 403-452-7892,https://www.bluedevilgolf.com/,Alberta,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,796087.2238747602,50.884004447284255,-114.00716585253295,Alberta,AA00155
,,,Canyon Meadows Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795571.0878415406,50.944787952209495,-114.0997845692381,Alberta,AA00046
,,,McKenzie Meadows Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794659.1680001358,50.90296046626215,-114.00311284316915,Alberta,AA00188
,,,Turner Valley Golf Club,,,,,https://turnervalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789181.2377323956,50.66900919558668,-114.26061416348414,Alberta,AA00281
253200,T1Z 0E6,Range Road 280,The Canal at Delacour,,Delacour (Rockyview),,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783293.0999639649,51.14803941288405,-113.76682281972671,Alberta,AA00285
,,,Collicutt Siding Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777737.2889481534,51.41157459638459,-114.04331510130548,Alberta,AA00204
,,,Blackhawk Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772255.4095357702,53.386637663127026,-113.66119993697467,Alberta,AA00233
4540,T6L 6P6,50 Street NW,Mill Woods Golf Course,,Edmonton,Tu-Sa 06:30-18:00,+1-780-448-1601,https://www.millwoodsgolfcourse.com/,,,,,,,,,Mill Woods Cultural and Recreational Facility Association,,,,,,,,,,,,,golf@mwgolf.com,,,no,,,,,,,,,,,,,,,,,,757706.0625449924,53.481799361501054,-113.43378287044499,Alberta,AA00066
201,,Golf Course Crescent,Hanna Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,747537.4145403415,51.653509836496866,-111.92880788200125,Alberta,AA00175
1240,,Mapleglade Drive SE,Maple Ridge Golf Course,,Calgary,,,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Maple-Ridge.aspx,,,,,,golf,,,City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736154.3957436106,50.95676034102488,-114.03368997097895,Alberta,AA00075
,,,Winston (Calgary Elks) Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733769.9204594818,51.07472768236034,-114.04130136499597,Alberta,AA00055
,,,Cardston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733237.0148404951,49.184107233301866,-113.31940008623151,Alberta,AA00134
24427,T8T 1L4,Township Road 542,Cattail Crossing Golf Club,,Sturgeon County,,,https://cattailcrossing.ca/,AB,,,,,,,,,,,,,,,,,,,,,info@cattailcrossing.ca,,,,,,,,,,,,,,,,,,,,,727331.2852704345,53.65386020255326,-113.51137622151396,Alberta,AA00244
,,,Lethbridge Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711019.3803707807,49.67267507467434,-112.84440874884154,Alberta,AA00211
,,,Drayton Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707576.6990250815,53.256271867388634,-114.96847404186218,Alberta,AA00202
1505,,2 street,Wainwright Golf Club,,Wainwright,,,https://www.golfwainwright.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700748.187172155,52.846784199592285,-110.86507689840678,Alberta,AA00148
5685,T6W 0S6,Windermere Boulevard SW,River Ridge Golf and Country Club,,Edmonton,,,https://countryclubtour.com/river-ridge/,AB,,,,,,,,,,,,,,18,71,,,,,,,,,,,,,,,,,,,,,,,,,,,696637.8571454769,53.439916678170356,-113.63547900885737,Alberta,AA00074
5685,T6W 0S6,Windermere Boulevard SW,River Ridge Golf and Country Club,,Edmonton,,,https://countryclubtour.com/river-ridge/,AB,,,,,,,,,,,,,,18,71,,,,,,,,,,,,,,,,,,,,,,,,,,,696637.8571454769,53.439916678170356,-113.63547900885737,Alberta,AA00073
,,,Goose Hummock Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695394.0560090744,53.87075255829499,-113.3274276661084,Alberta,AA00158
,,,The Track Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,684743.2275389724,50.961225717199035,-113.66676399174888,Alberta,AA00044
,,,Sylvan Lake Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680542.9194907472,52.30874490556095,-114.11364600022691,Alberta,AA00070
19110,T6W1A5,Ellerslie Road SW,Windermere Golf and Country Club,,Edmonton,,+1-780-988-5501,https://windermeregcc.com,AB,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,680136.0643117438,53.428510332056064,-113.64771105084274,Alberta,AA00072
,,,Grande Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677796.732929252,53.90068905325585,-119.10325951112786,Alberta,AA00225
,,,Red Deer Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675471.7238479828,52.26669166861551,-113.84488094296408,Alberta,AA00203
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673222.7073820045,54.09922015159466,-114.43885276363334,Alberta,AA00092
,,,Bonnyville Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666148.7445772131,54.249579751202326,-110.83417791202838,Alberta,AA00276
711040,T8V 3A7,Resources Road,Grande Prairie Golf & Country Club,,Grande Prairie,,,,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664217.2179200465,55.13084208947395,-118.77576052069914,Alberta,AA00137
285127,,Symons Valley Road,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662353.3905424397,51.44148300826948,-114.28942573736956,Alberta,AA00186
,,,Magrath Golf Club,,,,+1-403-758-3054,https://www.magrathgolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661123.90286211,49.397308196138304,-112.8846063753079,Alberta,AA00263
11064,,Township Road 275,Apple Creek Golf Course,,,,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,656013.7986236585,51.347366849216186,-114.031076042635,Alberta,AA00257
44001,T1S 4X7,Dunbow Road,Carnmoney Golf & Country Club,,,,+1-403-256-6257,https://www.carnmoney.com/,,,,,,,,,,,+1-403-256-6484,,,,,,,,,,,info@carnmoney.com,,,,,,,,,,,,,,,,,,,,,654328.5500253355,50.83038040664489,-113.93487067060217,Alberta,AA00255
,,,Riverbank Golf & RV Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caravan_site,,,,,,,,,,,,,,653773.3541161576,55.1733875378497,-112.46302742621403,Alberta,AA00308
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650368.3984119666,51.030943612093914,-114.24779369262868,Alberta,AA00138
,,,Nanton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647825.6182019629,50.35221327324335,-113.76287638301257,Alberta,AA00289
,,,Bear Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643619.3000258793,55.203513746487346,-118.83916976153907,Alberta,AA00253
9574,T7X 5A2,Pinchback Road,The Ranch Golf & Country Club,,Acheson,Mo-Su 06:00-23:00,+1 780 470 4700,https://www.theranchgolf.com,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642685.4062739902,53.530321434355514,-113.74431047315854,Alberta,AA00259
,,,Ponoka,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641839.2095780738,52.65863926871505,-113.57042893076837,Alberta,AA00100
,,,Broadmoor Public Golf Course,,,,+1-780-467-7373,https://www.thebroadmoor.ca/,,,,,,,,,Broadmoor Public Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,641516.4349234938,53.52964250498128,-113.31157292761483,Alberta,AA00041
,,,Olds Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,oldsgolf.com,,,,,,,,,,,,,,,,,,,,,,,639388.4495018901,51.806006367977325,-114.05497105064114,Alberta,AA00214
,,,Valley Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638360.014602755,51.09789185473879,-114.25427477494809,Alberta,AA00082
,,,Terrae Pines Golf & Country Club & RV Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638119.1843833425,53.70927194861664,-113.64569041554273,Alberta,AA00245
,,,Grand Centre Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636445.3341571584,54.38783217311692,-110.1615883392772,Alberta,AA00172
,,,Balmoral Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635940.300880319,52.27762572435775,-113.72484708660959,Alberta,AA00109
26029,T8T 0K8,Meadowview Drive,Sandpiper Golf & Country Club,,Sturgeon County,,+1-780-408-8687,https://countryclubtour.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634421.0470645629,53.61622165359094,-113.70720542746517,Alberta,AA00300
,,,Muirfield Lakes Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,cloud-obscured aerial,,630607.5366316234,51.119198723781324,-113.59792572765889,Alberta,AA00032
,,,Spruce Meadows Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630602.2837312771,55.40700195476197,-118.69894999568383,Alberta,AA00252
,,,Canmore Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624724.7559133096,51.10531295305293,-115.37218331991826,Alberta,AA00065
,,,Belevedere Golf & Country Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623707.5526631334,53.42855589349003,-113.25254877213807,Alberta,AA00067
,,,Fort in View Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622316.8685275712,53.727055231450294,-113.2791349078637,Alberta,AA00248
,,,Highlands Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619546.6672631092,53.56017935636826,-113.43568808901435,Alberta,AA00071
55307,T8R 1S1,Range Road 251,"Cardiff Golf & Country Club,",,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618596.7852265164,53.768724232496744,-113.5912074705473,Alberta,AA00088
,,Range Road 13,Rolling Green Fairways,,,,,https://rollinggreen.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618256.6224615205,53.288929766936825,-110.07256592895183,Alberta,AA00284
,,,Meadowlands Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,616373.7230821735,52.28618261150345,-114.0860865792237,Alberta,AA00040
,,,Cougar Creek Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610907.9830390582,53.56631451206062,-114.29025334605976,Alberta,AA00217
,,,Pheasantback Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609244.6350736027,52.401313749399996,-112.7337599997886,Alberta,AA00142
,,,Fox Haven Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606157.6703013268,58.54767149119242,-117.10659357051152,Alberta,AA00290
,,,Coloniale Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,606040.9693900018,53.35999023391477,-113.39860528510938,Alberta,AA00037
,,,Sturgeon Valley Golf Club,,,,,https://sturgeonvalleygolfclub.com/,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603241.4260203129,53.678312389693666,-113.57343786276228,Alberta,AA00126
,,,Land O' Lakes,,,,,,,,,,,,,,,,,,,,18_hole,71,,,,,,,,,,,,,,,,,,,,,,,,,,,602409.7164665868,49.71661770152011,-112.63908087598105,Alberta,AA00200
,,,Lakeside Greens Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,600405.9745561148,51.041445213812224,-113.82776998423776,Alberta,AA00029
19,T2B 3V7,Gosling Way SE,Inglewood Golf & Curling Club,,,,+1-403-272-9709,https://www.inglewoodgolfclub.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598891.27853266,51.02804536374401,-114.0052067371328,Alberta,AA00086
