gcid,name,province,lat,lon,area_m2,addr:city,addr:country,addr:full,addr:hamlet,addr:housenumber,addr:postcode,addr:province,addr:street,area,barrier,building,contact:city,contact:housenumber,contact:street,demolished,description,designation,email,facebook,fax,fixme,golf,golf:course,golf:par,image,indoor,landuse,layer,mapillary,note,old_name,opening_hours,operator,operator:type,operator:wikidata,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,phone,source,source:name,sport,start_date,surface,tourism,type,website,wheelchair,winter_service,access,addr:unit,alt_name,attribution,branch,brand,canvec:code,contact:country,contact:email,contact:facebook,contact:phone,contact:postcode,contact:province,contact:website,created_by,fee,instagram,source:addr,source:url,wikidata,wikipedia,club,contact:instagram,url,wikipedia:en,mobile,name:en,name:fr,addr:district,addr:housename,addr:suburb,amenity,disused,fence_type,operational_status,canvec:uuid,check_date,entrance,historic,holes,natural,opendata:type,owner,payment:club_account,payment:maestro,payment:visa_debit,ref,tents,wheelchair:description,abandoned,addr:borough,addr:source,internet_access,opening_hours:signed,phone:mnemonic,short_name
AA00147,Strathmore Golf Club,Alberta,51.05527573646985,-113.40574367584736,986520.3631367197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00237,Fox Run Golf Course,Alberta,53.63553532360895,-113.17989268950616,979822.6684862267,,,,,22336,,,Township Road 540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00039,Priddis Greens Golf & Country Club - Hawk,Alberta,50.89706214628485,-114.39461409216516,976972.9904761873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00069,The Fairmont Banff Springs Golf Course,Alberta,51.17280481394051,-115.53678337114188,970988.5536349284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00195,Crowsnest Pass Golf & Country Club,Alberta,49.62526875174664,-114.4567129089928,965194.0453726334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00116,Stewart Creek Golf & Country Club,Alberta,51.045387773270626,-115.31289813479867,956459.0710037425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-877-993-4653,,,,,,,,https://stewartcreekgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00068,Red Tail Landing,Alberta,53.321674136265834,-113.55366140463617,954624.8735364353,Edmonton International Airport,,,Nisku,435,T9E 0V5,AB,Airport Perimeter Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00076,Edmonton Garrison Memorial Golf & Curling Club,Alberta,53.66322032445016,-113.48549177658461,947421.4736194708,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00242,Edmonton Springs Golf Resort,Alberta,53.58337665334589,-113.79396541021063,944918.744816694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00130,D'Arcy Ranch Golf Club,Alberta,50.73804575705134,-113.9943620570348,926819.2013866309,Okotoks,,,,174,T1S 1A5,,Northridge Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00042,Elbow Springs Golf Club,Alberta,51.012470346343626,-114.248015795166,924786.5764849439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00171,Silver Creek Golf Course,Alberta,52.889960182215674,-112.96582882676871,922779.4971450004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://silvercreekgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00087,Fort McMurray Golf Club,Alberta,56.71135051295843,-111.44511476857777,911549.3556490379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00295,Tooth of the Dogpound Creek Golf Course,Alberta,51.52045737647583,-114.37043499868989,899958.9389796818,,,,,29509,,,Rge Rd 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 403 337 4880,,,,,,,,https://www.toothofthedogpound.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00307,Whitetail Crossing Golf Club,Alberta,53.581477013497285,-112.35120448155654,897006.8837600639,Mundare,,,,42,T0B3H0,Alberta,Whitetail Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00185,Claresholm,Alberta,50.010054537694344,-113.58879925620397,882806.6904765754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00048,McCall Lake Golf Club,Alberta,51.086392720292736,-114.02203775351806,882288.7277450647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00230,Edmonton Petroleum Golf & Country Club,Alberta,53.41561657604603,-113.69537843959206,881377.4624255543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00117,Silvertip,Alberta,51.101323215373974,-115.33827597853741,869231.6975064148,Canmore,,,,2000,,Alberta,Silvertip Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00107,Edmonton Country Club and Golf Course,Alberta,53.49055817031657,-113.60429594838816,868835.2731946963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00127,Sirocco Golf Club,Alberta,50.8483471312125,-114.08389547902453,863879.0896366918,,,,,,,,,,,,,,,,,,,,,,,18_hole,72,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00166,Unknown Golf Course,Alberta,53.53742547912894,-114.43461640158733,851038.6681776004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00182,Brewster's Kananaskis Ranch golf course,Alberta,51.09849363701525,-115.08220448441497,847676.7228488976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00038,Redwood Meadows Golf & Country Club,Alberta,50.97873091979281,-114.5251247816054,839261.3034477442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00205,Paradise Canyon Golf & Country Club,Alberta,49.65005322369761,-112.83187291714405,832673.70107045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00298,Miskanaw Golf Club,Alberta,56.738948719503036,-111.37952466644283,829607.3377853099,Fort McMurray,,,,1,,Alberta,C.A. Knight Way,,,,,,,,,,,https://www.facebook.com/MiskanawGolfClub/,,,,,,https://images.squarespace-cdn.com/content/v1/5c901175840b1666619f3b82/1555013927741-9XEIJVSEH27ERP6U2DSD/IMG_1219-21-03-19-11-47.JPG?format=2500w,,,,,,,,,,,,,,,+1-780-790-1812,,,,,,,,https://www.miskanaw.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00177,Highwood Golf And Country Club,Alberta,50.585662843807434,-113.88528507917803,826012.9509156264,High River,,,,400,T1V 1M6,,7 Street NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://highwoodgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00250,Pinehills Golf Course,Alberta,52.39370365585026,-114.99033501001783,811719.1205589471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00102,Athabasca Golf & Country Club,Alberta,54.73855241193845,-113.27892134918723,806071.6413655389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-7.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00160,Picture Butte Golf Club,Alberta,49.857695417639995,-112.83105140112725,797146.8720486407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00159,Picture Butte Golf Club,Alberta,49.857695417639995,-112.83105140112725,797146.8720486407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00155,Blue Devil Golf Club,Alberta,50.884004447284255,-114.00716585253295,796087.2238747602,Calgary,,,,2300,T2X 0R3,Alberta,194 Avenue SE,,,,,,,,,,,,,,,,,,,,,,,,06:00-22:00,,,,,,,,+1 403-452-7892,,,,2013,,,,https://www.bluedevilgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00046,Canyon Meadows Golf Course,Alberta,50.944787952209495,-114.0997845692381,795571.0878415406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00188,McKenzie Meadows Golf Course,Alberta,50.90296046626215,-114.00311284316915,794659.1680001358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00281,Turner Valley Golf Club,Alberta,50.66900919558668,-114.26061416348414,789181.2377323956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://turnervalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00285,The Canal at Delacour,Alberta,51.14803941288405,-113.76682281972671,783293.0999639649,Delacour (Rockyview),,,,253200,T1Z 0E6,AB,Range Road 280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00204,Collicutt Siding Golf Club,Alberta,51.41157459638459,-114.04331510130548,777737.2889481534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00233,Blackhawk Golf Club,Alberta,53.386637663127026,-113.66119993697467,772255.4095357702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00066,Mill Woods Golf Course,Alberta,53.481799361501054,-113.43378287044499,757706.0625449924,Edmonton,,,,4540,T6L 6P6,,50 Street NW,,,,,,,,,,golf@mwgolf.com,,,,,,,,,,,,,,Tu-Sa 06:30-18:00,Mill Woods Cultural and Recreational Facility Association,,,,,,,+1-780-448-1601,,,,,,,,https://www.millwoodsgolfcourse.com/,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00175,Hanna Golf Club,Alberta,51.653509836496866,-111.92880788200125,747537.4145403415,,,,,201,,,Golf Course Crescent,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00075,Maple Ridge Golf Course,Alberta,50.95676034102488,-114.03368997097895,736154.3957436106,Calgary,,,,1240,,,Mapleglade Drive SE,,,,,,,,,,,,,,,,,,,,,,,,,City of Calgary,,,,,,,,,,golf,,,,,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Maple-Ridge.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00055,Winston (Calgary Elks) Golf Club,Alberta,51.07472768236034,-114.04130136499597,733769.9204594818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00134,Cardston,Alberta,49.184107233301866,-113.31940008623151,733237.0148404951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00244,Cattail Crossing Golf Club,Alberta,53.65386020255326,-113.51137622151396,727331.2852704345,Sturgeon County,,,,24427,T8T 1L4,AB,Township Road 542,,,,,,,,,,info@cattailcrossing.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cattailcrossing.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00211,Lethbridge Country Club,Alberta,49.67267507467434,-112.84440874884154,711019.3803707807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00202,Drayton Valley Golf Club,Alberta,53.256271867388634,-114.96847404186218,707576.6990250815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00148,Wainwright Golf Club,Alberta,52.846784199592285,-110.86507689840678,700748.187172155,Wainwright,,,,1505,,,2 street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.golfwainwright.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00074,River Ridge Golf and Country Club,Alberta,53.439916678170356,-113.63547900885737,696637.8571454769,Edmonton,,,,5685,T6W 0S6,AB,Windermere Boulevard SW,,,,,,,,,,,,,,,18,71,,,,,,,,,,,,,,,,,,,,,,,,https://countryclubtour.com/river-ridge/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
