# de trous,# of Holes,Address,Adresse,Club Type,Course Par,Emplacement,Location,Par du parcours,Phone,Site Web,Total Yards,Type de club,Téléphone,Verges totales,Website,url
,9,"https://www.google.com/maps/place/PO Box 305  LeRoy,SK S0K 2P0",,Public,Par 72,,"LeRoy, SK",,(306) 286-3437,,6218,,,,,https://www.golfcanada.ca/golf-facility/creek-at-leroy-golf-club-the-leroy-en/
,9,"https://www.google.com/maps/place/RR1. Site 30B, Compartment 6  Kaleden,BC V0H 1K0",,Public,Par 64,,"Kaleden, BC",,(250) 497-5648,,4408,,,,,https://www.golfcanada.ca/golf-facility/st-andrews-by-the-lake-en/
,18,"https://www.google.com/maps/place/2458 Mamquam Rd.  Squamish,BC V8B 0H8",,Semi-private,Par 72,,"Squamish, BC",,(888) 349-3688,,6521,,,,https://www.squamishvalleygolf.com,https://www.golfcanada.ca/golf-facility/squamish-valley-golf-club-en/
,18,"https://www.google.com/maps/place/1265 Route 105  Mactaquac,NB E6L 1B5",,Public,Par 72,,"Mactaquac, NB",,(506) 363-4925,,7030,,,,,https://www.golfcanada.ca/golf-facility/mactaquac-provincial-park-golf-club-en/
,18,"https://www.google.com/maps/place/18 Cove Road, PO Box 922  Lunenburg,NS B0J 2C0",,Public,Par 70,,"Lunenburg, NS",,902-634-4260,,5321,,,,https://www.bluenosegolfclub.com,https://www.golfcanada.ca/golf-facility/bluenose-golf-club-en/
18,,,"https://www.google.com/maps/place/18 Cove Road, PO Box 922  Lunenburg,NS B0J 2C0",,,"Lunenburg, NS",,Par 70,,https://www.bluenosegolfclub.com,,Public,902-634-4260,5321,,https://www.golfcanada.ca/fr/golf-facility/bluenose-golf-club-fr/
,18,"https://www.google.com/maps/place/200 Chemin du Golf  L'Épiphanie,QC J5X 2P6",,Semi-private,Par 72,,"L'Épiphanie, QC",,(450) 588-5475,,6601,,,,https://www.golfdelepiphanie.com,https://www.golfcanada.ca/golf-facility/epiphanie-club-de-golf-l-en/
,18,"https://www.google.com/maps/place/615 Winchester Rd E  Whitby,ON L1M 1X7",,Public,Par —,,"Whitby, ON",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/eldorado-golf-club-en/
,27,"https://www.google.com/maps/place/6540 - 20 St. S.W.  Calgary,AB T3E 5L2",,Private,,,"Calgary, AB",,(403) 249-5548,,,,,,https://www.earlgreygolfclub.com,https://www.golfcanada.ca/golf-facility/earl-grey-golf-club-en/
,18,"https://www.google.com/maps/place/2750 West Bay Hgwy. RR#2  West Bay,NS B0E 3K0",,Public,Par 72,,"West Bay, NS",,(800) 565-1774,,6379,,,,https://www.dundeegolfclub.com,https://www.golfcanada.ca/golf-facility/dundee-resort-golf-club-en/
,18,"https://www.google.com/maps/place/10 Des Meurons Street  Winnipeg,MB R2M 2X6",,Public,Par 68,,"Winnipeg, MB",,(204) 986-3006,,5346,,,,,https://www.golfcanada.ca/golf-facility/windsor-park-golf-course-en/
,18,"https://www.google.com/maps/place/3500 McDonald Avenue 3500 McDonald Avenue Brandon,MB R7B 0B9",,Public,Par 71,,"Brandon, MB",,(204) 729-2177,,6403,,,,,https://www.golfcanada.ca/golf-facility/wheat-city-golf-course-en/
,18,"https://www.google.com/maps/place/905 James St  Delhi,ON N4B 2E2",,Public,Par 72,,"Delhi, ON",,(519) 582-0870,,6450,,,,https://www.delhigolfandcc.com,https://www.golfcanada.ca/golf-facility/delhi-golf-country-club-en/
,18,"https://www.google.com/maps/place/27 Harbour St W  Collingwood,ON L9Y 5B4",,Semi-private,Par 71,,"Collingwood, ON",,(705) 444-2699,,6362,,,,https://www.thecranberryresort.com,https://www.golfcanada.ca/golf-facility/cranberry-golf-course-en/
,18,"https://www.google.com/maps/place/Box 8570  Canmore,AB T1W 2V3",,Semi-private,Par 71,,"Canmore, AB",,4036096099,,7012,,,,https://www.tsmv.ca,https://www.golfcanada.ca/golf-facility/stewart-creek-golf-club-en/
,36,"https://www.google.com/maps/place/690 Rte 132  Saint-Anicet,QC J0S 1M0",,Public,,,"Saint-Anicet, QC",,4502643511,,,,,,https://www.golfstanicet.com,https://www.golfcanada.ca/golf-facility/st-anicet-club-de-golf-st-anicet-en/
,18,"https://www.google.com/maps/place/P.O.  Box 60  Wabasca,AB T0G 2K0",,Public,Par 72,,"Wabasca, AB",,—,,7101,,,,https://www.golfwabasca.ca,https://www.golfcanada.ca/golf-facility/eagle-point-golf-course-en/
,18,"https://www.google.com/maps/place/181, chemin Owl’s Head  Mansonville,QC J0E 1X0",,Public,Par 72,,"Mansonville, QC",,(450)292-3342,,6568,,,,https://www.owlshead.com,https://www.golfcanada.ca/golf-facility/owls-head-club-de-golf-en/
,18,"https://www.google.com/maps/place/247 Tetrault Road  La Broquerie,MB R0A 0W0",,Public,Par 71,,"La Broquerie, MB",,(204) 424-5046,,6289,,,,https://www.labgolf.ca,https://www.golfcanada.ca/golf-facility/la-broquerie-golf-en/
,18,"https://www.google.com/maps/place/259 Lewis Estates Boulevard  Edmonton,AB T5T 6A4",,Public,Par 72,,"Edmonton, AB",,(780) 489-4653,,6762,,,,https://lewisestatesgolf.com,https://www.golfcanada.ca/golf-facility/lewis-estates-golf-club-en/
,18,"https://www.google.com/maps/place/82 Dewars Lane, Lot 53  Georgetown Royalty,PE C0A 1G0",,Public,Par 72,,"Georgetown Royalty, PE",,9023685761,,7089,,,,https://golflinkspei.com,https://www.golfcanada.ca/golf-facility/dundarave-golf-course-en/
,18,"https://www.google.com/maps/place/2120 Dugald Road  Winnipeg,MB R2C 3G7",,Public,Par 71,,"Winnipeg, MB",,(204) 222-6171,,6288,,,,https://www.transconagolf.ca,https://www.golfcanada.ca/golf-facility/transcona-golf-club-en/
,9,"https://www.google.com/maps/place/#113-437 Martin Street, Box 20  Penticton,BC V2A 5L1",,Public,Par 70,,"Penticton, BC",,(250) 492-7274,,4800,,,,,https://www.golfcanada.ca/golf-facility/skaha-meadows-golf-club-en/
,18,"https://www.google.com/maps/place/2363 North Service Rd W  Oakville,ON L6M 3H8",,Semi-private,Par 71,,"Oakville, ON",,(905) 847-5555,,6301,,,,,https://www.golfcanada.ca/golf-facility/deerfield-golf-club-en/
,18,"https://www.google.com/maps/place/995 Myrtle Road West  Ashburn,ON L0B 1A0",,Semi-private,Par 72,,"Ashburn, ON",,(905) 686-1121,,7055,,,,https://www.royalashburngolfclub.com,https://www.golfcanada.ca/golf-facility/royal-ashburn-golf-club-en/
,18,T0M 0X0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/eckville-meadows-golf-course-en/
,18,"https://www.google.com/maps/place/339 Hwy 215, RR #1  Ellershouse,NS B0N 1L0",,Public,Par 70,,"Ellershouse, NS",,(902) 757-0157,,5358,,,,,https://www.golfcanada.ca/golf-facility/coyote-hill-golf-course-en/
,18,"https://www.google.com/maps/place/101 Country Club Road  Lethbridge,AB T1K 7N9",,Private,Par 72,,"Lethbridge, AB",,(403) 327-6900,,6832,,,,https://www.lccgolf.com,https://www.golfcanada.ca/golf-facility/lethbridge-country-club-en/
,18,"https://www.google.com/maps/place/100 GlenEagles Drive  Cochrane,AB T4C 1P5",,Public,Par 72,,"Cochrane, AB",,4039321100,,7019,,,,https://www.gleneaglesgolf.com,https://www.golfcanada.ca/golf-facility/the-links-of-gleneagles-en/
18,,,"https://www.google.com/maps/place/100 GlenEagles Drive  Cochrane,AB T4C 1P5",,,"Cochrane, AB",,Par 72,,https://www.gleneaglesgolf.com,,Public,4039321100,7019,,https://www.golfcanada.ca/fr/golf-facility/the-links-of-gleneagles-fr/
,18,"https://www.google.com/maps/place/2835 Sunningdale Rd East  London,ON N5X 3Y7",,Public,,,"London, ON",,(519) 661-4435,,,,,,,https://www.golfcanada.ca/golf-facility/fanshawe-golf-country-club-en/
,9,"https://www.google.com/maps/place/171 Rue Angus N  East Angus,QC J0B 1R0",,Public,Par 35,,"East Angus, QC",,(819) 832-3643,,3067,,,,https://www.golfeastangus.ca,https://www.golfcanada.ca/golf-facility/east-angus-golf-club-en/
,18,"https://www.google.com/maps/place/3500-119 St.  Edmonton,AB T6J 5P5",,Private,Par 70,,"Edmonton, AB",,(780) 437-8399,,6569,,,,https://www.derrickclub.com,https://www.golfcanada.ca/golf-facility/the-derrick-golf-winter-club-en/
,18,"https://www.google.com/maps/place/253200 Range Road 280  Rockyview,AB T1Z 0E6",,Semi-private,Par 72,,"Rockyview, AB",,403 590-4515,,7077,,,,https://www.thecanalatdelacour.com,https://www.golfcanada.ca/golf-facility/the-canal-at-delacour-golf-club-en/
,—,—,,Public,Par 54,,"Ajax, ON",,—,,2692,,,,,https://www.golfcanada.ca/golf-facility/south-ajax-golf-club-wind-en/
,9,"https://www.google.com/maps/place/Airport Rd., Box 308  Salmo,BC V0G 1Z0",,Public,Par 70,,"Salmo, BC",,(250) 357-2068,,5760,,,,https://www.salmo.net/golf,https://www.golfcanada.ca/golf-facility/salmo-district-golf-club-en/
,18,"https://www.google.com/maps/place/4955 Trans Canada Hwy  Duncan,BC V9L 3X1",,Public,Par 70,,"Duncan, BC",,(250) 746-5333,,6189,,,,https://www.cowichangolfclub.ca,https://www.golfcanada.ca/golf-facility/cowichan-golf-country-club-en/
,18,"https://www.google.com/maps/place/109 Royal Troon Ln  Dunrobin,ON K0A 1T0",,Private,Par 72,,"Dunrobin, ON",,6138323400,,7012,,,,https://www.clublink.ca,https://www.golfcanada.ca/golf-facility/eagle-creek-golf-club-en/
45,,,"https://www.google.com/maps/place/P.O Box 150  Niagara Falls,ON L2E 6T2",,,"Niagara Falls, ON",,,,,,Public,9052959595,,,https://www.golfcanada.ca/fr/golf-facility/legends-on-the-niagara-fr/
,9,"https://www.google.com/maps/place/Box 238  Wheatley,ON N0P 2P0",,Public,Par 72,,"Wheatley, ON",,(519) 825-4521,,6566,,,,,https://www.golfcanada.ca/golf-facility/talbot-trail-golf-club-en/
,45,"https://www.google.com/maps/place/P.O Box 150  Niagara Falls,ON L2E 6T2",,Public,,,"Niagara Falls, ON",,9052959595,,,,,,,https://www.golfcanada.ca/golf-facility/legends-on-the-niagara-en/
,18,"https://www.google.com/maps/place/RR#2, 2483 Hwy 21  Tiverton,ON N0G 2T0",,Public,Par 72,,"Tiverton, ON",,(519) 396-8450,,5700,,,,,https://www.golfcanada.ca/golf-facility/somerhill-golf-club-en/
,18,"https://www.google.com/maps/place/651, 12e Rang Ouest  Princeville,QC G6P 6S8",,Semi-private,Par 72,,"Princeville, QC",,(819) 364-7069,,6199,,,,,https://www.golfcanada.ca/golf-facility/laurier-club-de-golf-en/
,9,"https://www.google.com/maps/place/PO Box 89  Smoky Lake,AB T0A 3C0",,Public,Par 72,,"Smoky Lake, AB",,(780) 656-2121,,6562,,,,https://smokylakegolf.org,https://www.golfcanada.ca/golf-facility/smoky-lake-town-country-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 491  Kyle,SK S0L 1T0",,Public,Par —,,"Kyle, SK",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/kyle-golf-club-en/
,9,"https://www.google.com/maps/place/1375 Manitoba Expressway E PO Box 2098 Moose Jaw,SK S6H 7T2",,Public,Par 54,,"Moose Jaw, SK",,—,,3034,,,,,https://www.golfcanada.ca/golf-facility/deer-ridge-golf-club-en-2/
,18,"https://www.google.com/maps/place/225, chemin du Golf  Cowansville,QC J2K 0N4",,Semi-private,Par 72,,"Cowansville, QC",,(450) 263-3131,,6685,,,,https://www.golfcowansville.com,https://www.golfcanada.ca/golf-facility/cowansville-club-de-golf-de-en/
,18,"https://www.google.com/maps/place/4300 S.W. Marine Dr.  Vancouver,BC V6N 4A6",,Private,Par 73,,"Vancouver, BC",,(604) 266-4141,,7010,,,,https://www.shaughnessy.org,https://www.golfcanada.ca/golf-facility/shaughnessy-golf-country-club-en/
,18,"https://www.google.com/maps/place/1445 Sandusk Road  Jarvis,ON N0A 1J0",,Public,Par 70,,"Jarvis, ON",,519-587-5886,,5523,,,,,https://www.golfcanada.ca/golf-facility/sandusk-golf-club-en/
,18,"https://www.google.com/maps/place/109 East Ridge Drive 109 East Ridge Drive Thornbury,ON N0H 2P0",,Semi-private,Par 72,,"Thornbury, ON",,(519) 599-7500,,7006,,,,https://www.lorabaygolf.com,https://www.golfcanada.ca/golf-facility/lora-bay-golf-club-en/
,18,"https://www.google.com/maps/place/4300 Garden Crescent  Petrolia,ON N0N 1R0",,Semi-private,Par 72,,"Petrolia, ON",,1-888-833-8787,,6084,,,,https://www.kingswellglen.com/,https://www.golfcanada.ca/golf-facility/kingswell-glen-golf-club-en/
18,,,"https://www.google.com/maps/place/4300 Garden Crescent  Petrolia,ON N0N 1R0",,,"Petrolia, ON",,Par 72,,https://www.kingswellglen.com/,,Semi-privé,1-888-833-8787,6084,,https://www.golfcanada.ca/fr/golf-facility/kingswell-glen-golf-club-fr/
,18,"https://www.google.com/maps/place/4441 Prospect Rd. 4441 Prospect Rd. Bayside,NS B3Z 1L6",,Semi-private,Par 73,,"Bayside, NS",,(902) 852-3419,,6344,,,,https://www.granitespringsgolf.com,https://www.golfcanada.ca/golf-facility/granite-springs-golf-club-en/
,—,"https://www.google.com/maps/place/100 Woodside lane  Fredericton,NB E3C 2R9",,Public,Par —,,"Fredericton, NB",,—,,—,,,,,https://www.golfcanada.ca/golf-facility/good-guys-golf-en-2/
,27,"https://www.google.com/maps/place/RR#6, 33937 Golf Course Road  Goderich,ON N7A 3Y3",,Public,Par 70,,"Goderich, ON",,(519) 524-8047,,5645,,,,https://www.sunsetgolfclub.com,https://www.golfcanada.ca/golf-facility/goderich-sunset-golf-club-en/
,18,K7P 2Z9,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/westbrook-golf-club-en/
,18,"https://www.google.com/maps/place/PO Box 142  Moose Jaw,SK S6H 4N8",,Public,Par 71,,"Moose Jaw, SK",,(306) 692-3196,,5879,,,,,https://www.golfcanada.ca/golf-facility/lynbrook-golf-country-club-en/
,9,"https://www.google.com/maps/place/550 Claudie Rd  Fredericton,NB E3G 7T7",,Public,Par 62,,"Fredericton, NB",,(506) 453-1077,,3552,,,,,https://www.golfcanada.ca/golf-facility/gilridge-golf-club-en/
,9,"https://www.google.com/maps/place/47 Fundy Park Chalet Road  Alma,NB E4H 4Y8",,Public,Par 70,,"Alma, NB",,(506) 887-2970,,6168,,,,,https://www.golfcanada.ca/golf-facility/fundy-national-park-golf-club-en/
,18,"https://www.google.com/maps/place/431 Crane Hill Road  Dartmouth,NS B2Z 1J5",,Semi-private,Par 72,,"Dartmouth, NS",,(902) 435-3278,,6607,,,,https://www.eaglequestgolf.com,https://www.golfcanada.ca/golf-facility/eaglequest-grandview-golf-country-club-en/
,9,"https://www.google.com/maps/place/9 Zimmerman Drive  Caledon,ON L7E 4C2",,Semi-private,Par 68,,"Caledon, ON",,905 583 5000,,4604,,,,,https://www.golfcanada.ca/golf-facility/legacy-pines-golf-club-en/
,18,"https://www.google.com/maps/place/285 Montée des Saules  Rimouski,QC G5L 8Y9",,Public,Par 71,,"Rimouski, QC",,(418) 724-2295,,5989,,,,https://www.golfdessaules.com,https://www.golfcanada.ca/golf-facility/saules-club-de-golf-les-en/
,18,"https://www.google.com/maps/place/PO Box 128  Waldheim,SK S0K 4R0",,Public,Par —,,"Waldheim, SK",,(306) 945-2255,,—,,,,,https://www.golfcanada.ca/golf-facility/pine-ridge-waldheim-golf-club-en/
,18,"https://www.google.com/maps/place/8888 Barnhartvale Rd.  Kamloops,BC V2C 6W1",,Public,Par 72,,"Kamloops, BC",,2505732453,,6778,,,,,https://www.golfcanada.ca/golf-facility/eaglepoint-golf-resort-en/
,18,"https://www.google.com/maps/place/670 Broadway St W  Yorkton,SK S3N 0G2",,Public,Par 72,,"Yorkton, SK",,(306) 786-1711,,6396,,,,https://www.golfdeerpark.com,https://www.golfcanada.ca/golf-facility/deer-park-golf-course-en/
,9,"https://www.google.com/maps/place/114 Rue Principale  Duparquet,QC J0Z 1W0",,Public,Par 72,,"Duparquet, QC",,819-948-2277,,5838,,,,,https://www.golfcanada.ca/golf-facility/duparquet-en/
,18,R7A 5Y2,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/sunnyside-golf-club-en/
,18,"https://www.google.com/maps/place/104 Belleau Lake Road  Garden River,ON P6A 5K9",,Public,Par 72,,"Garden River, ON",,—,,7435,,,,https://www.golfsilvercreek.com,https://www.golfcanada.ca/golf-facility/silver-creek-golf-course-en/
,18,"https://www.google.com/maps/place/1350 Rue Principale, , QC J0P 1Z0  Saint-Zotique,QC J0P 1Z0",,Public,Par 72,,"Saint-Zotique, QC",,(450) 267-3666,,6207,,,,https://www.golfst-zotique.qc.ca,https://www.golfcanada.ca/golf-facility/st-zotique-club-de-golf-en/
,18,"https://www.google.com/maps/place/Box 328  Elm Creek,MB R0G 0N0",,Semi-private,Par 70,,"Elm Creek, MB",,(204) 436-2600,,6051,,,,,https://www.golfcanada.ca/golf-facility/scotswood-links-en/
,18,"https://www.google.com/maps/place/2462 Route 19  Fairview,PE C0A 1H2",,Public,Par 72,,"Fairview, PE",,(902) 675-2800,,6229,,,,https://www.countryviewgolf.com,https://www.golfcanada.ca/golf-facility/countryview-golf-club-en/
9,,,"https://www.google.com/maps/place/75 Chemin Labrie  Saint-Quentin,NB E8A 2C9",,,"Saint-Quentin, NB",,Par 72,,,,Public,(506) 235-2578,6442,,https://www.golfcanada.ca/fr/golf-facility/saint-quentin-golf-club-fr/
,18,"https://www.google.com/maps/place/125 Hackamore Trail  Calgary,AB T3Z 1C2",,Semi-private,Par 71,,"Calgary, AB",,(403) 202-2000,,6713,,,,https://www.springbanklinks.com,https://www.golfcanada.ca/golf-facility/springbank-links-golf-course-en/
,9,"https://www.google.com/maps/place/75 Chemin Labrie  Saint-Quentin,NB E8A 2C9",,Public,Par 72,,"Saint-Quentin, NB",,(506) 235-2578,,6442,,,,,https://www.golfcanada.ca/golf-facility/saint-quentin-golf-club-en/
,18,"https://www.google.com/maps/place/3400 Anne Macdonald Way  North Vancouver,BC V7G 2S7",,Public,Par 71,,"North Vancouver, BC",,(604) 924-2950,,6523,,,,,https://www.golfcanada.ca/golf-facility/northlands-golf-course-en/
,18,"https://www.google.com/maps/place/673 rang Dumas  Ormstown,QC J0S 1K0",,Public,Par 72,,"Ormstown, QC",,(450) 829-2061,,6228,,,,https://www.golformstown.com,https://www.golfcanada.ca/golf-facility/ormstown-club-de-golf-en/
,18,"https://www.google.com/maps/place/PO Box 1482  St. Paul,AB T0A 3A0",,Public,Par 72,,"St. Paul, AB",,(780) 645-4077,,6691,,,,,https://www.golfcanada.ca/golf-facility/st-paul-golf-course-en/
,27,"https://www.google.com/maps/place/Box 845  Orillia,ON L3V 6K8",,Semi-private,,,"Orillia, ON",,(705) 689-5371,,,,,,,https://www.golfcanada.ca/golf-facility/lake-st-george-golf-club-en/
,18,"https://www.google.com/maps/place/RR#5, 2402 Clifford Line  Peterborough,ON K9J 6X6",,Private,Par 71,,"Peterborough, ON",,(705) 876-8061,,6172,,,,https://www.keystonelinks.com,https://www.golfcanada.ca/golf-facility/keystone-links-golf-country-club-en/
,18,R0C 0E0,,Public,Par —,,—,,—,,—,,,,,https://www.golfcanada.ca/golf-facility/ashern-golf-country-club-en/
,18,"https://www.google.com/maps/place/PO Box 222  Christopher Lake,SK S0J 0N0",,Public,Par —,,"Christopher Lake, SK",,(306) 982-4815,,—,,,,,https://www.golfcanada.ca/golf-facility/lazy-k-golf-country-club-en/
,9,"https://www.google.com/maps/place/PO Box 536  Delisle,SK S0L 0P0",,Public,Par 70,,"Delisle, SK",,(306) 493-3288,,6402,,,,,https://www.golfcanada.ca/golf-facility/valleyview-delisle-golf-country-club-en/
,18,"https://www.google.com/maps/place/7145 Highway 95A  Cranbrook,BC V1C 0A1",,Public,Par 72,,"Cranbrook, BC",,—,,7405,,,,,https://www.golfcanada.ca/golf-facility/shadow-mountain-golf-club-en/
,18,"https://www.google.com/maps/place/2164 Boulevard Saint-Joseph O  Saint-Majorique,QC J2B 8A8",,Public,Par 72,,"Saint-Majorique, QC",,(819) 475-3660,,7048,,,,https://www.clubdegolfledrummond.com,https://www.golfcanada.ca/golf-facility/drummond-club-de-golf-le-en/
,18,"https://www.google.com/maps/place/8400 No 6 Rd  Richmond,BC V6W 1E2",,Semi-private,Par 57,,"Richmond, BC",,(604) 241-4653,,3157,,,,,https://www.golfcanada.ca/golf-facility/country-meadows-golf-course-en/
,18,"https://www.google.com/maps/place/24427 Twp Rd 542 24427 Twp Rd 542 Sturgeon County,AB T8T 1L4",,Public,Par 72,,"Sturgeon County, AB",,780-973-6686,,6543,,,,,https://www.golfcanada.ca/golf-facility/cattail-crossing-golf-winter-club-en/
,18,"https://www.google.com/maps/place/776 rue Principale  Saint-Prime,QC G8J 1T9",,Public,Par 71,,"Saint-Prime, QC",,(418) 251-2831,,6297,,,,https://golfstprime.com,https://www.golfcanada.ca/golf-facility/saint-prime-sur-le-lac-club-de-golf-en/
